MOPOS27,"A. Renieri, D. A. Alesini, F. Alessandria, A. Bacci, M. Bellaveglia, S. Bertolucci, M.E. Biagini, C. Biscari, C.J. Bocchetta, R. Boni, I. Boscolo, M. Boscolo, F. Broggi, M. Carpanese, M. Castellano, L. Catani, E. Chiadroni, S. Cialdi, A. Cianchi, F. Ciocci, A. Clozza, M.B. Danailov, A. D'Angelo, G.D. Dattoli, G. D'Auria, C. De Martinis, A. Di Pace, G. Di Pirro, R. Di Salvo, A. Doria, D.H. Dowell, A. Drago, P. Emma, A. Esposito, A. Fantini, M. Ferianis, M. Ferrario, D. Filippetto, F. Flora, V. Fusco, G.P. Gallerano, A. Gallo, A. Ghigo, L. Giannessi, D. Giove, E. Giovenale, S. Guiducci, M. Incurvati, D. Levi, C. Ligi, C. Limborg-Deprey, F. Marcellini, C. Maroli, M. Mattioli, G. Medici, G. Messina, L. Mezi, M. Migliorati, C. Milardi, D. Moricciani, P. M. Musumeci, P.L. Ottaviani, S. Pagnutti, D.T. Palmer, L. Palumbo, G. Parisi, L. Pellegrino, V. Petrillo, L. Picardi, M. Preger, M.Q. Quattromini, P. Raimondi, S. Reiche, R. Ricci, M. Romè, G. Ronci, C. Ronsivalle, J.B. Rosenzweig, E. Sabia, C. Sanelli, M. Sassi, C. Schaerf, L. Serafini, M. Serio, F. Sgamma, B. Spataro, A. Stecchi, A. Stella, S. Tazzari, F. Tazzioli, G. Travish, C. Vaccarezza, M. Vescovi, C. Vicario, M. Zobov, A. Zucchini","Status Report on SPARC Project",
MOPOS29,"N. Nishimori","Analytical Solution of Phase Space Evolution of Electrons in a SASE FEL",
MOPOS30,"R. Kato, S"" Isaka, G.I. Isoyama, S.K. Kashiwagi, C"" Okamoto, H. Sakaki, S. Suemine, T. Yamamoto","Analysis of Intensity Fluctuations of SASE using the AR Model",
MOPOS32,"S.-K. Nam, . Kim","Behaviour of Electron Beam in Combined a Self-Generated Field and a Reversed Guide Field in the Helical Wiggler",
MOPOS33,"S.-K. Nam, . Kim","Evolution of Electron Beam in the Tapered Planar Wiggler",
MOPOS34,"E.-S.. Kim, D.E. Kim, S.J. Park, M.H. Yoon","Linac Lattice and Beam Dynamics for X-ray FEL at PAL",
MOPOS36,"J. S. Oh, Y. Kim, I. S. Ko, W. Namkung","Design Study on 0.3-nm PAL-XFEL",
MOPOS37,"S.J. Park, S.G. Baik, J.Y. Huang, D.E. Kim, E.-S.. Kim, I. S. Ko, S.H. Nam, W. Namkung, J. S. Oh, J.H. Park, M.H. Yoon","Design Study of Low-Emittance Injector for SASE-XFEL at Pohang Accelerator Laboratory",
MOPOS38,"M.H. Yoon, J.E. Han, E.-S.. Kim","Optimization of a Soft X-Ray SASE-FEL Parameters at Pohang Accelerator Laboratory",
MOPOS39,"M.I. de la Fuente, K.-J. Boller, P.J.M. van der Slot","The Effect of Liner Induced Phase Fluctuations on the Gain of a Cerenkov FEL",
MOPOS40,"XJ. Shu, YH. Dou, YZ. Wang","Simulation Investigation of the Detuning Curve",
MOPOS41,"J. Jia","Harmonic Amplifier Free Electron Laser",
MOPOS42,"LiYuhui. Li, J. Jia, Zhang Shancai. Zhang","Parameter Analysis For A High-Gain Harmonic Generation FEL By Numerical Calculation Based On 1D Theory",
MOPOS47,"A.V. Elzhov, A.K. Kaminsky, E.A. Perelstein, S.N. Sedykh, A.P. Sergeev","Simulating FEM Amplifiers: Features in Various Regimes",
MOPOS49,"N.S. Ginzburg, A.V. Elzhov, A.K. Kaminsky, A.M. Malkin, N.Yu. Peskov, S.N. Sedykh, A.S. Sergeev, A.P. Sergeev","Improving Selectivity of 1D Bragg Resonator Using Coupling of Propagating and Trapped Waves",
MOPOS51,"l. Werin, x. Andersson, x. Brandin, x. Eriksson, T.N. Hansen, x. Larsson, x. Lindgren, x. Tarawneh","Design considerations for the coherent radiator, FEL, in the MAX IV proposal",
