thppo084,"F. Furuta, K. Saito, KEK, Ibaraki","50MV/m Recipe for ICHIRO End Groups with Ethanol Rinsing and Wiping",821 823,
thppo085,"T. Saeki, KEK, Ibaraki; C.Z. Antoine, S. Berry, CEA, Gif-sur-Yvette; W.A. Clemens, JLAB, Newport News, Virginia; F. Eozénou, CEA, Gif-sur-Yvette; Y. Funahashi, KEK, Tsukuba; Y. Gasser, CEA, Gif-sur-Yvette; R.L. Geng, JLAB, Newport News, Virginia; H. Hayano, S. Kato, KEK, Ibaraki; R. Manus, JLAB, Newport News, Virginia; M. Nishiwaki, M. Sawabe., KEK, Ibaraki; P.V. Tyagi, GUAS/AS, Ibaraki; K. Ueno, KEK, Ibaraki; B. Visentin, CEA, Gif-sur-Yvette; K. Watanabe, KEK, Ibaraki","R&D for the Post-EP Processes of Superconducting RF Cavity",824 828,
thppo086,"T. Saeki, KEK, Ibaraki; W.A. Clemens, JLAB, Newport News, Virginia; Y. Funahashi, KEK, Ibaraki; R.L. Geng, JLAB, Newport News, Virginia; H. Hayano, S. Kato, KEK, Ibaraki; R. Manus, JLAB, Newport News, Virginia; M. Nishiwaki, M. Sawabe., KEK, Ibaraki; P.V. Tyagi, GUAS/AS, Ibaraki; K. Ueno, K. Watanabe, KEK, Ibaraki","Studies on the Electro-Polishing process with Nb sample plates at KEK.",829 829,
thppo087,"S. Mitsunobu, A. Kabe, Y. Morita, M. Nishiwaki, S. Takano, KEK, Ibaraki","Horizontal High Pressure Water Rinsing for KEKB Superconducting Cavity",830 832,
thppo088,"K. Saito, F. Furuta, KEK, Ibaraki","Nb/SUS Joint of Helium Vessel Base Plate for SRF Cavity Dressing",833 836,
thppo089,"K. Saito, F. Furuta, KEK, Ibaraki","PAL Commission Research on LL 9-Cell Cavity and Results",837 837,
thppo090,"K. Saito, F. Furuta, KEK, Ibaraki","Sulfur Generation Mechanism During Electropolishing with Niobium Cavities",838 838,
thppo091,"P.M. Michelato, L. Monaco, INFN/LASA, Segrate (MI)","Evolution of the Defects on the Niobium Surface during BCP and EP Treatments",839 843,
thppo092,"P. Pierini, A. Bosotti, P.M. Michelato, L. Monaco, R. Paparella, D. Sertore, INFN/LASA, Segrate (MI); E. Vogel, DESY, Hamburg","XFEL Third Harmonic Superconducting Cavity Prototypes: Fabrication and Processing Experience",844 848,
thppo093,"H. Kabumoto, N. Ishizaki, M. Matsuda, Y. Otokawa, S. Takeuchi, JAEA, Ibaraki-ken","Superconducting Twin Quarter Wave Resonator for Acceleration of Low Velocity Heavy Ions",849 853,
thppo094,"H.S. Kim, KAERI, Daejon; S. An, PAL, Pohang, Kyungbuk; Y.-S. Cho, H.-J. Kwon, KAERI, Daejon","Prototyping and Vertical Test For PEFP Low-Beta Elliptical Cavity",854 858,
thppo097,"S. Jin, L. Lin, X.Y. Lu, K. Zhao, PKU/IHIP, Beijing","Study of Buffered Electropolishing on Niobium Sheet",859 863,
thppo098,"P.A. McIntosh, R. Bate, C.D. Beard, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; S.A. Belomestnykh, CLASSE, Ithaca, New York; A. Büchner, FZD, Dresden; E.P. Chojnacki, Z.A. Conway, CLASSE, Ithaca, New York; M.A. Cordwell, STFC/DL, Daresbury, Warrington, Cheshire; J.N. Corlett, LBNL, Berkeley, California; D.M. Dykes, STFC/DL, Daresbury, Warrington, Cheshire; F.G. Gabriel, FZD, Dresden; G.H. Hoffstaetter, CLASSE, Ithaca, New York; T. Kimura, Stanford University, Stanford, Califormia; S.R. Koscielniak, R.E. Laxdal, TRIUMF, Vancouver; D. Li, S.M. Lidia, LBNL, Berkeley, California; M. Liepe, Cornell University, Ithaca, New York; P. Michel, FZD, Dresden; H. Padamsee, Cornell University, Ithaca, New York; S.M. Pattalwar, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; D. Proch, DESY, Hamburg; P. Quigley, CLASSE, Ithaca, New York; J. Sears, Cornell University, Ithaca, New York; J.K. Sekutowicz, DESY, Hamburg; V.D. Shemelin, Cornell University, Ithaca, New York; T.I. Smith, Stanford University, Stanford, Califormia; J. Strachan, STFC/DL, Daresbury, Warrington, Cheshire; V. Veshcherevich, CLASSE, Ithaca, New York","Assembly Preparations for the International ERL Cryomodule at Daresbury Laboratory",864 868,
thppo099,"I. Bustinduy, ESS Bilbao, Bilbao; F.J. Bermejo, Bilbao, Faculty of Science and Technology, Bilbao; V. Etxebarria, University of the Basque Country, Faculty of Science and Technology, Bilbao; J. Lucas, Elytt Energy, Madrid","Multiparticle Beam Dynamics Simulations for the ESS-Bilbao Superconducting Proton Accelerator",869 870,
thppo100,"M. Schuh, F. Gerigk, CERN, Geneva; M. Schuh, MPI-K, Heidelberg; J. Tuckmantel, CERN, Geneva; C.P. Welsch, Cockcroft Institute, Warrington, Cheshire","Higher Order Mode Beam Breakup Limits in the Superconducting Cavities of the SPL",871 875,
thppo102,"V. Volkov, BINP SB RAS, Novosibirsk; J. Knobloch, A.N. Matveenko, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","Beam Breakup Instability Suppression in Multi Cell SRF Guns",876 879,
thppo103,"V. Volkov, BINP SB RAS, Novosibirsk; J. Knobloch, A.N. Matveenko, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","Dipole High Order Mode Analysis in FZD Like SRF Guns",880 882,
thppo104,"L. Lilje, M. Boehnert, D. Hoppe, H. Remde, J. Wojtkiewicz, K. Zapfe, DESY, Hamburg","Particle Free Pump Down and Venting of UHV Vacuum Systems",883 886,
tuoaau01,"G. Ciovati, JLAB, Newport News, Virginia","High Field Q-slope and the Baking Effect",88 94,
tuoaau02,"A. Romanenko, CLASSE, Ithaca, New York","Crystalline Microstructure Role in the High-Field Q-Slope",95 101,
tuoaau03,"T.R. Bieler, Michigan State University, East Lansing","Advances in Material Studies for SRF",102 108,
tuoaau04,"W.-D. Möller, DESY, Hamburg","Review of Results from Temperature Mapping and Subsequent Cavity Inspections",109 112,
tuoaau05,"Z.A. Conway, D.L. Hartill, H. Padamsee, E.N. Smith, CLASSE, Ithaca, New York","Defect Location in Superconducting Cavities Cooled with HE-II Using Oscillating Superleak Transducers",113 116,
tuoaau06,"D. Meidlinger, CLASSE, Ithaca, New York","Basic Understanding for the Various Causes of Quench",117 122,
tuobau01,"K. Watanabe, KEK, Ibaraki","Review of Optical Inspection Methods and Results",123 128,
tuobau02,"S. M. Anlage, UMD, College Park, Maryland","Near-Field Microwave Microscopy of Superconducting Materials",129 129,
tuobau03,"T. Junginger, CERN, Geneva; T. Junginger, MPI-K, Heidelberg; W. Weingarten, CERN, Geneva; C.P. Welsch, Cockcroft Institute, Warrington, Cheshire","RF Characterization of Superconducting Samples",130 136,
tuobau04,"Th. Proslier, IIT, Chicago, Illinois; G. Ciovati, JLAB, Newport News, Virginia; J.W. Elam, ANL, Argonne; P. Kneisel, JLAB, Newport News, Virginia; J. Norem, M.J. Pellin, ANL, Argonne; J. Zasadzinski, IIT, Chicago, Illinois","Results from Point Contact Tunnelling Spectroscopy and Atomic Layer Deposition",137 143,
tuobau05,"D.C. Baars, T.R. Bieler, Michigan State University, East Lansing; C. Compton, NSCL, East Lansing, Michigan; P. Darbandi, F. Pourboghrat, MSU, East Lansing, Michigan","Microstructure Studies of Niobium",144 148,
tuobau06,"A.A. Rossi, S.M. Deambrosis, INFN/LNL, Legnaro, Padova; V. Palmieri, Univ. degli Studi di Padova, Padova; V. Rampazzo, V. Rupp, INFN/LNL, Legnaro, Padova; R.G. Sharma, IUAC, New Delhi; S. Stark, F. Stivanello, INFN/LNL, Legnaro, Padova","Nb3Sn Films by Multilayer Sputtering",149 154,
tuobau07,"S.M. Deambrosis, INFN/LNL, Legnaro, Padova; V. Palmieri, Univ. degli Studi di Padova, Padova; V. Rampazzo, A.A. Rossi, V. Rupp, INFN/LNL, Legnaro, Padova; R.G. Sharma, IUAC, New Delhi; S. Stark, F. Stivanello, INFN/LNL, Legnaro, Padova","A15 Superconductors by Thermal Diffusion in 6 GHz Cavities",155 158,
tuobau08,"G.V. Eremeev, CLASSE, Ithaca, New York","Review of RF Properties of NbN and MgB2 Thin Coating on Nb Samples and Cavities",159 163,
tuppo001,"T. Kamps, W. Anders, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin; M. Dirsat, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Berlin; A. Frahm, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin; P. Kneisel, JLAB, Newport News, Virginia; J. Knobloch, O. Kugeler, A. Neumann, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin; R. Nietubyc, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; T. Quast, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin; T. Rao, BNL, Upton, Long Island, New York; M. Schenk, M. Schuster, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin; J.K. Sekutowicz, DESY, Hamburg; J. Smedley, BNL, Upton, Long Island, New York; J. Teichert, FZD, Dresden; I. Will, MBI, Berlin","SRF Gun Development for an Energy-Recovery Linac Based Future Light Source",164 167,
tuppo002,"J. Gao, S.Y. Chen, Y.L. Chi, J.P. Dai, IHEP Beijing, Beijing; R. Ge, IHEP Beiing, Beijing; J. Gu, M. Hou, K.X. Huang, T.M. Huang, IHEP Beijing, Beijing; C.H. Li, IHEP Beiing, Beijing; S.P. Li, Z.Q. Li, Q. Ma, W.M. Pan, Y. Sun, Y. Sun, G.W. Wang, Z.X. Xu, J. Yu, J.Y. Zhai, J.R. Zhang, IHEP Beijing, Beijing","IHEP 1.3 GHz SC RF Technology R&D Progress",168 170,
tuppo003,"P. Bosland, P.-E. Bernaudin, S. Cozette, G. Devanz, G. Disset, CEA, Grenoble; R. Ferdinand, GANIL, Caen; J. Giraud, CEA, Gif-sur-Yvette; Y. Gómez-Martínez, LPSC, Grenoble; C. Madec, A. Pérolat, CEA, Gif-sur-Yvette","Tests of the Low Beta Cavities and Cryomodules for the SPIRAL 2 LINAC",171 175,
tuppo004,"Z.A. Conway, E.P. Chojnacki, D.L. Hartill, G.H. Hoffstaetter, M. Liepe, H. Padamsee, A. Romanenko, J. Sears, CLASSE, Ithaca, New York","ILC Testing Program at Cornell University",176 179,
tuppo005,"D. Kostin, A. Goessel, K. Jensch, W.-D. Möller, DESY, Hamburg","Superconducting Accelerating Module Tests at DESY",180 184,
tuppo006,"R. Stassen, FZJ, Jülich; R. Eichhorn, TU Darmstadt, Darmstadt; F.M. Esser, H. Singer, FZJ, Jülich","Superconducting RF Activities at FZ-Juelich",185 187,
tuppo007,"Y. Yamamoto, H. Hayano, E. Kako, T. Matsumoto, S. Michizono, T. Miura, S. Noguchi, M. Satoh, T. Shishido, K. Watanabe, KEK, Ibaraki","Experimental Result of Lorentz Detuning in STF Phas10-1 at KEK-STF",188 192,
tuppo008,"F. Bouly, IPN, Orsay; S. Barbanotti, INFN/LASA, Segrate (MI); J.-L. Biarrotte, P. Blache, IPN, Orsay; A. Bosotti, INFN/LASA, Segrate (MI); S. Bousson, C. Commeaux, P. Duthil, C. Joly, J. Lesrel, IPN, Orsay; P.M. Michelato, L. Monaco, R. Paparella, P. Pierini, INFN/LASA, Segrate (MI); E. Rampnoux, IPN, Orsay; M. Souli, GANIL, Caen","Construction of a 700 MHz Prototypical Cryomodule for the EUROTRANS ADS Proton Linear Accelerator",193 197,
tuppo010,"T. Tajima, G.V. Eremeev, F.L. Krawczyk, LANL, Los Alamos, New Mexico","Superconducting RF Activities at LANL",198 200,
tuppo011,"W. Hartung, J. Bierwagen, S. Bricker, C. Compton, J. DeLauter, NSCL, East Lansing, Michigan; A. Facco, INFN/LNL, Legnaro, Padova; M.J. Johnson, O.K. Kester, F. Marti, D. Norton, J. Popielarski, L. Popielarski, N. Verhanovitz, J. Wlodarczak, R.C. York, NSCL, East Lansing, Michigan; E.N. Zaplatin, FZJ, Jülich","Production Cavities and Cryomodules for a Heavy Ion Re-accelerator at Michigan State University",201 204,
tuppo013,"J.K. Hao, X.Y. Lu, S.W. Quan, W. Xu, B.C. Zhang, K. Zhao, F. Zhu, PKU/IHIP, Beijing","3.5-Cell Superconducting Cavity for DC-SRF Photoinjector at Peking University",205 207,
tuppo014,"S. An, M.-H. Chun, Y.D. Joo, M.H. Jung, H.-S. Kang, H.-G. Kim, K.R. Kim, S.H. Nam, C.D. Park, I.S. Park, K.-H. Park, Y.U. Sohn, I.H. Yu, PAL, Pohang, Kyungbuk","PLS-II Superconducting RF System",208 212,
tuppo015,"R.L. Geng, JLAB, Newport News, Virginia","Overview of High Gradient SRF R&D for ILC Cavities at Jefferson Lab",213 217,
tuppo016,"P.N. Ostroumov, J.D. Fuerst, M.P. Kelly, B. Mustapha, K.W. Shepard, J. Xu, ANL, Argonne","A New ATLAS Efficiency and Intensity Upgrade Project",218 222,
tuppo017,"W. Anders, M. Abo-Bakr, T. Kamps, J. Knobloch, O. Kugeler, B.C. Kuske, A.N. Matveenko, A. Meseck, A. Neumann, T. Quast, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","BERLinPro: a Prototype ERL for Future Synchrotron Light Sources",223 227,
tuppo019,"M. Jensen, P. Gu, M. Maddock, P.J. Marten, S.A. Pande, S. Rains, A.F. Rankin, D. Spink, A.V. Watkins, Diamond, Oxfordshire","Operational Experience of Diamond`s Superconducting Cavities",228 230,
tuppo021,"E. Kako, H. Hayano, S. Noguchi, M. Satoh, T. Shishido, K. Watanabe, Y. Yamamoto, KEK, Ibaraki","Cryomodule Tests in STF Phas10-1 at KEK",231 235,
tuppo022,"Y. Morita, K. Akai, T. Furuya, A. Kabe, S. Mitsunobu, M. Nishiwaki, S. Takano, KEK, Ibaraki","Status of KEKB Superconducting Cavities and Study for Future SKEKB",236 238,
tuppo023,"K. Saito, F. Furuta, Y. Higashi, T. Saeki, KEK, Ibaraki","High Power Test Results of LL Cavity Package in STF0.5 Program at KEK",239 239,
tuppo024,"R. Eichhorn, A. Araz, J. Conrad, F. Hug, M. Konrad, T. Kuerzeder, A. Kuhl, C. Liebig, F. Schlander, S.T. Sievers, TU Darmstadt, Darmstadt","Cold Leak Problems Related to HELICOFLEX Gaskets and Recent Results from the S-DALINAC",240 243,
tuppo025,"A. Rai, J. Antony, S. Babu, J. Chacko, A. Choudhury, G.K. Chowdhury, T.S. Datta, R.N. Dutt, S. Ghosh, R. Joshi, D. Kanjilal, S. Kar, M. Kumar, D.S. Mathuria, R. Mehta, K.K. Mistri, A. Pandey, P. Patra, P.N. Potukuchi, A. Roy, B.K. Sahu, A. Sarkar, S.S. Sonti, J. Zacharias, IUAC, New Delhi","Operational Experience with the IUAC Linac",244 248,
tuppo026,"H. Büttig, A. Arnold, A. Büchner, M. Freitag, U. Lehnert, P. Michel, R. Schurig, G.S. Staats, J. Teichert, J. Voigtländer, A. Winter, FZD, Dresden","Tests of ELBE RF-Components with Increased RF-Power",249 253,
tuppo027,"R. Xiang, A. Arnold, H. Büttig, D. Janssen, M. Justus, U. Lehnert, P. Michel, P. Murcek, A. Schamlott, Ch. Schneider, R. Schurig, FZD, Dresden; F. Staufenbiel, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Berlin; J. Teichert, FZD, Dresden","The Properties of Normal Conducting Cathodes in FZD Superconducting Cavity",254 258,
tuppo028,"H.T. Hou, SINAP, Shanghai; M. Chen, Z.Q. Feng, H.T. Hou, Shanghai KEY Laboratory of Cryogenics & Superconducting RF Technology, Shanghai; Z. Li, SINAP, Shanghai; J.F. Liu, Shanghai KEY Laboratory of Cryogenics & Superconducting RF Technology, Shanghai; C. Luo, D.Q. Mao, Zh.G. Zhang, SINAP, Shanghai; S.J. Zhao, Y.B. Zhao, Shanghai KEY Laboratory of Cryogenics & Superconducting RF Technology, Shanghai; X. Zheng, SINAP, Shanghai","Operation Status of SRF Systems in the Storage Ring of SSRF",259 262,
tuppo029,"A. Perry, Soreq NRC, Yavne; B. Aminov, CRE, Wuppertal; D. Berkovits, Soreq NRC, Yavne; K. Dunkel, RI Research Instruments GmbH, Bergisch Gladbach; I. Gertz, I. Mardor, Soreq NRC, Yavne; M. Pekeler, C. Piel, RI Research Instruments GmbH, Bergisch Gladbach; J. Rodnizki, Soreq NRC, Yavne; D. Trompetter, RI Research Instruments GmbH, Bergisch Gladbach; L. Weissman, Soreq NRC, Yavne; P. vom Stein, RI Research Instruments GmbH, Bergisch Gladbach","Saraf Superconducting module commissioning status",263 267,
tuppo030,"N. Guillotin, H.D. Dias, M.D. Diop, M.E. El Ajjouri, J.L. Labelle, R.L. Lopes, M.L.M. Louvet-Monsanglant, P. Marchand, C.M. Monnot, F. Ribeiro, T. Ruan, R. Sreedharan, SOLEIL, Gif-sur-Yvette","Operation of SOLEIL with the Two 352 MHz Cryomodules in the Storage Ring",268 268,
tuppo031,"M.P. Kelly, J.D. Fuerst, S.M. Gerbick, M. Kedzie, P.N. Ostroumov, S.I. Sharamentov, G.P. Zinkann, ANL, Argonne","Microphonics in the ATLAS Upgrade Cryomodule",269 272,
tuppo032,"M.P. Kelly, M. Kedzie, ANL, Argonne; Z.C. Liu, PKU/IHIP, Beijing","A Simple Second Sound Detection Technique for SRF Cavities",273 275,
tuppo033,"E.P. Chojnacki, CLASSE, Ithaca, New York","A Multiplexed RTD Temperature Map System for Multi-cell SRF Cavities",276 280,
tuppo034,"Y. Xie, J.H. Hinnefeld, M. Liepe, CLASSE, Ithaca, New York","Design of a TE-Type Cavity for Testing Superconducting Material Samples",281 285,
tuppo035,"S. Aderhold, DESY, Hamburg","Optical Inspection of SRF Cavities at DESY",286 288,
tuppo036,"G. Kreps, A. Goessel, D. Kostin, W.-D. Möller, D. Proch, K. Twarowski, DESY, Hamburg","Excitation of Parasitic Modes in CW Cold Tests of 1.3 GHz TESLA-Type Cavities",289 291,
tuppo038,"Y. Yamamoto, H. Hayano, E. Kako, S. Noguchi, H. Sakai, M. Satoh, T. Shishido, K. Umemori, K. Watanabe, KEK, Ibaraki","Vertical Test System and T-mapping/X-ray-mapping at KEK-STF",292 292,
tuppo039,"G. Martinet, S. Blivet, M. Fouaidy, N. Hammoudi, IPN, Orsay","Development of a TE011 Cavity for Thin-Films Study",293 296,
tuppo040,"Y. Iwashita, H. Fujisawa, Kyoto ICR, Uji, Kyoto; H. Hayano, KEK, Ibaraki; H. Tongu, Kyoto ICR, Uji, Kyoto; K. Watanabe, Y. Yamamoto, KEK, Ibaraki","R&D of Nondestructive Inspection Systems for SRF Cavities",297 299,
tuppo041,"A.T. Wu, JLAB, Newport News, Virginia; H. Baumgart, D. Gu, ODU, Norfolk, Virginia","TEM Study of Niobium Surfaces Treated by Different Polishing Techniques",300 304,
tuppo042,"B. Xiao, R.L. Geng, M.J. Kelley, F. Marhauser, H.L. Phillips, C.E. Reece, H. Wang, JLAB, Newport News, Virginia; B. Xiao, The College of William and Mary, Williamsburg","RF Surface Impedance Measurement of Polycrystalline and Large Grain Nb Disk Sample at 7.5 GHz",305 308,
tuppo043,"D.L. Bowring, UVa, Charlottesville, Virginia; H.L. Phillips, JLAB, Newport News, Virginia","A Method of Evaluating Multilayer Films for SRF Applications",309 311,
tuppo044,"A. Navitski, Bergische Universität Wuppertal, Wuppertal; K. Flöttmann, S. Lederer, DESY, Hamburg; G. Mueller, Bergische Universität Wuppertal, Wuppertal","Novel UHV Scanning Anode Field Emission Microscope (SAFEM) for Dark Current Investigations on Photocathodes",312 315,
tuppo045,"A. Navitski, S. Lagotzky, G. Mueller, Bergische Universität Wuppertal, Wuppertal; D. Reschke, X. Singer, DESY, Hamburg","Surface Roughness and Correlated Enhanced Field Emission Investigations of Electropolished Niobium Samples",316 320,
tuppo046,"G. Burt, R.G. Carter, A.C. Dexter, Cockcroft Institute, Lancaster University, Lancaster; P. Goudket, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; B.D.S. Hall, Cockcroft Institute, Lancaster University, Lancaster; J.D.A. Smith, Cockcroft Institute, Warrington, Cheshire","Benchmarking Simulations of Multipactor in Rectangular Waveguides Using CST-Particle Studio",321 325,
tuppo047,"B. Visentin, CEA, Gif-sur-Yvette; M.F. Barthe, P. Desgardin, V. Moineau, CNRS Orléans, Orléans Cedex 2","Positron Annihilation Spectroscopy on Niobium Samples",326 330,
tuppo048,"Y. Xie, M. Liepe, D. Meidlinger, H. Padamsee, CLASSE, Ithaca, New York","Thermal Modeling of Ring-Type Defects",331 333,
tuppo049,"Y. Xie, H. Padamsee, A. Romanenko, CLASSE, Ithaca, New York","Relationship Between Defects Pre-Heating and Defects Size",334 337,
tuppo050,"D. Kostin, W.-D. Möller, J.K. Sekutowicz, K. Twarowski, DESY, Hamburg","TESLA Type 9-Cell Cavities Continuous Wave Tests",338 341,
tuppo051,"D. Reschke, L. Lilje, H. Weise, DESY, Hamburg","Analysis of RF Results of Recent Nine-Cell Cavities at DESY",342 346,
tuppo052,"W. Weingarten, CERN, Geneva","On the Field Dependent Surface Resistance Observed in Superconducting Niobium Cavities",347 351,
tuppo053,"O. Kugeler, W. Anders, A. Frahm, S. Klauke, J. Knobloch, A. Neumann, D. Pflückhahn, S. Rotterdam, M. Schuster, S. Voronenko, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","Manipulating the Intrinsic Quality Factor by Thermal Cycling and Magnetic Fields",352 354,
tuppo055,"K. Umemori, T. Furuya, H. Sakai, KEK, Ibaraki; M. Sawamura, JAEA/ERL, Ibaraki; K. Shinoe, ISSP/SRL, Chiba; T. Takahashi, KEK, Ibaraki","Status of 9-cell Superconducting Cavity Development for ERL Project in Japan",355 358,
tuppo056,"K. Watanabe, E. Kako, S. Noguchi, M. Satoh, T. Shishido, K. Umemori, Y. Yamamoto, KEK, Ibaraki","SC Cavity System for ERL Injector at KEK",359 363,
tuppo057,"Y. Yamamoto, H. Hayano, E. Kako, S. Noguchi, H. Sakai, M. Satoh, T. Shishido, K. Umemori, K. Watanabe, KEK, Ibaraki","Recent Results of Vertical Test for S1-Global project at KEK-STF",364 364,
tuppo058,"M. Mostajeran, M. Lamehi Rachti, IPM, Tehran","The Challenge of Monte Carlo Method in Two-Sided Multipactor.",365 369,
tuppo059,"R.L. Geng, G. Ciovati, A.C. Crawford, JLAB, Newport News, Virginia","Gradient Limiting Defects in 9-Cell Cavities EP Processed and RF Tested at Jefferson Lab",370 374,
tuppo062,"A. Grassellino, University of Pennsylvania, Philadelphia, Pennsylvania; K. Fong, R.E. Laxdal, B.S. Waraich, V. Zvyagintsev, TRIUMF, Vancouver","Medium Field Q-Slope Studies in Quarter Wave Cavities",375 378,
tuppo063,"H.T. Edwards, C.A. Cooper, M. Ge, I.G. Gonin, E.R. Harms, T.N. Khabiboulline, N. Solyak, Fermilab, Batavia","Comparison of Buffered Chemical Polished and Electropolished 3.9 GHz Cavities",379 383,
tuppo064,"L. Cooley, D. Burk, M. Ge, D.T. Hicks, C. Thompson, G. Wu, Fermilab, Batavia","Augmentation of Cavity Optical Inspection by Replicas without Performance Degradation",384 386,
tuppo066,"G. Wu, M. Ge, Fermilab, Batavia","Oxygen Diffusion in RRR Niobium During High Temperature Baking",387 390,
tuppo068,"M. Krishnan, B.L. Bures, AASC, San Leandro, California; A.V. Gurevich, NHMFL, Tallahassee, Florida; J. Jiang, D.C. Larbalestier, ASC, Tallahassee, Florida; H.L. Phillips, C.E. Reece, A-M. Valente-Feliciano, JLAB, Newport News, Virginia; K.Y. Wilson Elliott, AASC, San Leandro, California","Energetic Condensation Growth of MgB2 Thin-Films for SRF Applications",391 395,
tuppo069,"M. Krishnan, B.L. Bures, AASC, San Leandro, California; H.L. Phillips, C.E. Reece, JLAB, Newport News, Virginia; K.I. Seo, NSU, Newport News; A-M. Valente-Feliciano, JLAB, Newport News, Virginia; K.Y. Wilson Elliott, AASC, San Leandro, California; B. Xiao, X. Zhao, JLAB, Newport News, Virginia","Energetic Condensation Growth of Nb Thin-Films for SRF Applications",396 400,
tuppo070,"C.Z. Antoine, A. Aguilal, S. Berry, CEA, Gif-sur-Yvette; S. Bouat, Commisariat à l'Energie Atomique (CEA), Grenoble Cedex 9; A.V. Gurevich, NHMFL, Tallahassee, Florida; J.F. Jacquot, Commisariat à l'Energie Atomique (CEA), Grenoble Cedex 9; G. Lamura, CNR-INFM-LAMIA, Genova; J.C. Villegier, Commisariat à l'Energie Atomique (CEA), Grenoble Cedex 9","Characterization of Superconducting Multilayers Samples",401 404,
tuppo071,"C.Z. Antoine, CEA, Gif-sur-Yvette; R. Crooks, Black Laboratories, L.L.C., Newport News","Reducing Electropolishing Time with Chemical-Mechanical Polishing",405 405,
tuppo072,"N.R.A. Valles, Z.A. Conway, M. Liepe, CLASSE, Ithaca, New York","Exploring the Maximum Superheating Magnetic Fields of Niobium",406 410,
tuppo073,"W. Singer, S. Aderhold, A. Ermakov, DESY, Hamburg; P.M. Michelato, L. Monaco, INFN/LASA, Segrate (MI); F. Schoelz, W.C. Heraeus GmbH COPY, Materials Technology Dept., Hanau; X. Singer, K. Twarowski, DESY, Hamburg","Surface Investigation of Samples Extracted From Prototype Cavities for European XFEL",411 411,
tuppo074,"X. Singer, A. Ermakov, A. Matheisen, A. Schmidt, W. Singer, DESY, Hamburg","Structure of the Electron Beam Welding Connections",412 412,
tuppo077,"S. Mitsunobu, KEK, Ibaraki; M. Fukutomi, NIMS, Tsukuba, Ibaraki; S. Inagaki, H. Nakanishi, K. Saito, T. Takatomi, M. Wake, M. Yoshida, KEK, Ibaraki","MgB2 Thin Films on Copper, Titanium and Niobium by Pulse Laser Deposition in KEK",413 417,
tuppo080,"B.L. Bures, M. Krishnan, AASC, San Leandro, California; H.L. Phillips, C.E. Reece, JLAB, Newport News, Virginia; K.I. Seo, NSU, Newport News; A-M. Valente-Feliciano, JLAB, Newport News, Virginia; K.Y. Wilson Elliott, AASC, San Leandro, California; X. Zhao, JLAB, Newport News, Virginia","X-ray Pole Figure Analysis on Fiber Textured Epitaxial Niobium Films for SRF Cavities",418 421,
tuppo081,"H. Tian, C.E. Reece, W. Sommer, O. Trofimova, JLAB, Newport News, Virginia; L. Zhao, The College of William and Mary, Williamsburg","Analysis of the Topographic Transformation of Niobium Surfaces Under Controlled EP Conditions",422 425,
tuppo082,"H. Tian, JLAB, Newport News, Virginia; D. Griffis, NCSU AIF, Raleigh, North Carolina; M.J. Kelley, The College of William and Mary, Williamsburg; P. Maheswari, NCSU AIF, Raleigh, North Carolina; R. Myneni, C.E. Reece, JLAB, Newport News, Virginia; F.A. Stevie, NCSU AIF, Raleigh, North Carolina","Development of SIMS Standards for Measurement of H, C, O, N in Nb",426 426,
tuppo083,"A-M. Valente-Feliciano, H.L. Phillips, JLAB, Newport News, Virginia; S. Popovic, M. Raškovic, J. Upadhyay, L. Vuškovic, ODU, Norfolk, Virginia","Plasma Etching of a Single-Cell RF Cavity – Asymmetric Electronegative Discharge",427 430,
tuppo084,"A-M. Valente-Feliciano, JLAB, Newport News, Virginia; H. Baumgart, D. Gu, ODU, Norfolk, Virginia; R.A. Lukaszew, The College of William and Mary, Williamsburg; H.L. Phillips, C.E. Reece, JLAB, Newport News, Virginia; K.I. Seo, NSU, Newport News; B. Xiao, The College of William and Mary, Williamsburg; X. Zhao, JLAB, Newport News, Virginia","RF and Structural Characterization of New SRF Films",431 435,
