a101,"P.V. Livdahl, Fermilab, Batavia, Illinois, USA","The Livermore MTA Project and its Influence on Modern Linacs",5 11,
d203,"R.P. Kujbida, A.V. Kryzhanovskij, N.V. Lazarev, ITEP, Moscow, USSR","On Proton Beam Emittance Growth in Linac",142 145,
e01,"G.E. McMichael, B.G. Chidley, Atomic Energy of Canada, Chalk River, Ontario, Canada","Beam Dynamics Studies of High Current RFQ and DTL Tanks",149 152,
e02,"M. Pabst, K. Bongardt, FZK, Karlsruhe, Germany","Statistical Treatment of Misalignments in Linear Accelerators",153 155,
e03,"K. Mittag, D. Sanitz, FZK, Karlsruhe, Germany","Motion - A Versatile Multiparticle Simulation Code",156 158,
e04,"D.D. Chamberlin, G.N. Minerbo, LANL, Los Alamos, New Mexico, USA; C.T. Mottershead, EGG, Los Alamos, New Mexico, USA","Noninterceptive Transverse Beam Measurements",159 160,
e05,"G.R. Swain, LANL, Los Alamos, New Mexico, USA","Power Reduction by Changing the Design Particle Phase",161 163,
e06,"J.W. Wang, G.A. Loew, J.N. Weaver, P.B. Wilson, SLAC, Menlo Park, California, USA","Microwave Measurements of Energy Lost to Longitudinal Modes by Single Electron Bunches Traversing Periodic Structures",164 166,
e07,"K. Bongardt, FZK, Karlsruhe, Germany","Funneling of Heavy Ion Beams",167 170,
e08,"E.R. Martin, R.E. Gritzo, V.A. Martinez, C.M. Schneider, R.E. Trout, LANL, Los Alamos, New Mexico, USA","Evolution of the Racetrack Microtron Control System",171 173,
e09,"H.V. Smith, Jr., P. Allison, LANL, Los Alamos, New Mexico, USA","H Beam Emittance for the Penning and the Asymmetric, Grooved Magnetron Surface-Plasma Sources",174 176,
e10,"S. Anami, R. Bissonnette, S. Fukuda, H. Honma, Y. Saito, T. Shidara, J. Tanaka, KEK, Ibaraki, Japan","The RF System of the Photon Factory Injector Linac",177 179,
e11,"J.C. Brown, R.M. Hutcheon, Atomic Energy of Canada, Chalk River, Ontario, Canada","Design Considerations for a Developmental High Power Coupling Loop to Drive a Resonant Load",180 182,
e12,"J. Ungrin, S.O. Schriber, R.A. Vokes, Atomic Energy of Canada, Chalk River, Ontario, Canada","Post Coupler Studies for Alvarez Tanks to be Used for High Power or Variable Energy",183 186,
e13,"D.A. Swenson, T.J. Boyd, Jr., J.M. Potter, J.E. Stovall, LANL, Los Alamos, New Mexico, USA","Variable-Energy Drift-Tube Linacs",187 190,
e14,"E. Tanabe, G. Meddaugh, Varian Associates, Palo Alto, California, USA","Variable Energy Standing Wave Linear Accelerator Structure",191 193,
e15,"D. Howard, H. Lancaster, LBL, Berkeley, California, USA","Loop Coupling to a Radio Frequency Quadrupole Resonator (RFQ)",194 196,
e16,"A. Moretti, R.J. Lari, R.L. Martin, R.L. Stockley, J.M. Watson, ANL, Argonne, Illinois, USA","Low Frequency RFQ Linacs for Heavy Ion Fusion",197 199,
e17,"S. Okumura, Fukui University, Fukui, Japan","A Program Development for SUPERFISH",200 202,
f01,"A. Faltens, D. Keefe, LBL, Berkeley, California, USA","Review of Induction Linacs",205 213,
f02,"R.L. Gluckstern, University of Maryland, College Park, Maryland, USA; R.F. Holsinger, Field Effects, Inc., Carlisle, Massachusettes, USA","Design of REC Permanent Magnet Quadrupoles Taking into Account B, H Non-Linearity",214 218,
f03,"W.E. Stein, C.A. Brau, B.E. Newman, R.W. Warren, J. Winston, L.M. Young, LANL, Los Alamos, New Mexico, USA","Free-Electron Laser Results",219 222,
g101,"F.T. Cole, Fermilab, Batavia, Illinois, USA","Recent Work on Collective Accelerators",225 231,
g102,"J.W. Poukey, R.B. Miller, S.L. Shope, Sandia National Laboratories, Albuquerque, New Mexico, USA","Particle Simulations of Radlac",232 234,
g103,"M. Reiser, P. Loschialpo, W. Namkung, J. Suter, University of Maryland, College Park, Maryland, USA; J.D. Lawson, RAL, Didcot, UK","Experimental Studies of Electron Beam Focusing with Solenoid Lenses Near the Space Charge Limit",235 238,
g104,"H. Euteneuer, H. Herminghaus, R. Klein, IKP, Mainz, Germany","Beam Instabilities in Race Track Microtrons",239 241,
g201,"E.P. Colton, ANL, Argonne, Illinois, USA","Focussing Considerations in the Race Track Microtron and Double-Sided Microtron",242 244,
g202,"H.-J. Kreidel, K. Merle, IKP, Mainz, Germany","Automatic Beam-Steering of the Mainz Microtron",245 247,
g203,"J.D. Schneider, D.D. Armstrong, LANL, Los Alamos, New Mexico, USA","Numerical Method for Determining Electrode Shapes for High-Perveance Extractors",248 250,
