A-01,"H.W. Schreuder, KVI, Groningen, The Netherlands","Invited Paper: AGOR: Initial Beam Tests, Transport and Commissioning",6 11,
c-07,"S.M. Haji-Saeid, H. Afarideh, A. Amirabadi, Nuclear Research Center for Agriculture and Medicine, Karadj, Iran","The NRCAM Cyclotron Facilities",128 131,
c-08,"M.F. Vorogushin, V. Glukhikh, B. Tronov, Yu.P. Vakhrushin, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, St. Petersburg, Russia","Status of Cyclotron Design in the Efremov Institute",132 135,
d-01,"P.Yu. Apel, JINR, Dubna, Russia","Invited Paper: Polymeric Materials Research with Cyclotrons",136 143,
d-02,"M.F. Stroosnijder, Joint Research Centre, Ispra (Va), Italy","The Application of a Cyclotron in Materials Research at the IAM of the European Commission",144 147,
d-03,"A.V. Demyanov, Institute for Nuclear Research, Kiev, Ukraine","Application of 235U+ Ion Beams for Increasing the Safety of Operation in Nuclear Reactors for Atomic Power Station (APS)",148 149,
d-04,"A.A. Ogloblin, Kurchatov Institute, Moscow, Russia","Radioactive Beams for Material Engineering",150 153,
d-05,"G. Laguzzi, R. Bisconti, G. Macchi, M.F. Stroosnijder, Joint Research Centre, Ispra (Va), Italy","Deuteron Activation of Chromium for Thin Layer Activation Studies",154 156,
d-06,"S. Tazawa, Sumitomo Heavy Industries Examination  Inspection, Toyo-shi, Japan; H. Muraoka, T. Nozaki, Purex Inc., Yokohama, Japan","Industrial Use of a Sub-Compact Cyclotron",157 160,
e-01,"P.K. Sigg, J. Cherix, H.R. Fitze, H. Frei, M. Märki, U. Schryber, PSI, Villigen, Switzerland","Invited Paper: High Beam Power RF-Systems for Cyclotrons",161 168,
e-02,"T. Saito, I. Miura, M. Uraki, Osaka University, Osaka, Japan","The Flat-Topping System for the RCNP Ring Cyclotron",169 172,
e-03,"C.M. Lyneis, D.J. Clark, Z.Q. Xie, LBNL, Berkeley, California, USA","LBNL 88-Inch Cyclotron Improvements",173 176,
e-04,"T. Kuo, R. Baartman, G. Dutto, K. Jayamanna, R.E. Laxdal, M. McDonald, B.F. Milton, R. Poirier, L. Root, P.W. Schmor, H.R. Schneider, N.R. Stevenson, W. Uzat, D. Yuan, TRIUMF, Vancouver, B.C., Canada","On the Development of 2 mA RF H Beams for Compact Cyclotrons",177 180,
e-05,"A. Schempp, University of Frankfurt, Frankfurt, Germany","Invited Paper: RF-Quadrupole Injectors for Cyclotrons",181 185,
e-06,"J. Dietrich, FZJ, Jülich, Germany","Invited Paper: Recent Beam Diagnostic Techniques",186 193,
e-07,"B. Launé, IPN, Orsay, France; . SPIRAL Group, GANIL, Caen, France","The Diagnostics System for the SPIRAL R.I.B. Facility",194 197,
e-08,"O.C. Dermois, K. Gerbens, J.M. Schippers, J. Zijlstra, KVI, Groningen, The Netherlands","Non intercepting Beam-Current and Position Monitors for the AGOR Beamlines",198 201,
e-09,"A. Goto, Y. Batygin, T. Chiba, M. Hemmi, E. Ikezawa, N. Inabe, T. Kageyama, O. Kamigaito, M. Kase, S. Kohara, Y. Miyazawa, T. Nakagawa, Y. Yano, RIKEN, Saitama, Japan","Construction of a New Pre-Injector System for the RILAC",202 205,
e-10,"J.Y. Tang, X.Q. Zhao, Institute of Modern Physics, Lanzhou, China","New Design of the SFC Central Region",206 209,
e-11,"D.V. Altiparmakov, M.V. Markovic, S.S. Tomic, VINCcaron;A Institute of Nuclear Sciences, Belgrade, Yugoslavia; N.A. Morozov, JINR, Dubna, Russia","Computer Modeling of the Isochronous Field in the VINCY Cyclotron",210 213,
e-12,"D.V. Altiparmakov, VINCcaron;A Institute of Nuclear Sciences, Belgrade, Yugoslavia; S.B. Vorozhtsov, JINR, Dubna, Russia","Computer Models of the VINCY Cyclotron Magnet",214 217,
e-13,"W. Beeckman, J.C. Amélia, A. Laisné, G. Lannoye, Y. Jongen, D. Vandeplassche, S. Zaremba, Ion Beam Applications SA, Louvain-la-Neuve, Belgium; T. Satoh, T. Tachikawa, M. Sano, Sumitomo Heavy Industries, Niihama-City, Japan","The C235 IBA-SHI Protontherapy Cyclotron for the NPTC Project: Magnetic System Design and Construction",218 221,
e-14,"W. Beeckman, J.C. Amélia, G. Lannoye, M. Schuwer, D. Vandeplassche, S. Zaremba, Ion Beam Applications SA, Louvain-la-Neuve, Belgium; H. Miyazaki, Sumitomo Heavy Industries, Niihama-City, Japan","The C235 IBA-SHI Protontherapy Cyclotron for the NPTC Project: Progress Report of the Magnetic Field Mapping and Shimming",222 225,
e-15,"O.C. Dermois, A.M. Van Den Berg, H.K.T. Van Der Molen, KVI, Groningen, The Netherlands","Fringefield Effects in Short Quadrupoles",226 229,
e-16,"O.C. Dermois, K. Gerbens, C. Herrema, S. Lettinga, KVI, Groningen, The Netherlands","A Fast Scanmagnet for Irradiation Purposes with AGOR Beams",230 232,
e-17,"T. Honma, M. Fujioka, T. Shinozuka, Tohoku University, Sendai, Japan","Properties of a Permanent-Magnet Dipole with Variable Field Strength and Polarity",233 236,
e-18,"T. Mitsumoto, S. Fujishima, A. Goto, K. Ikegami, T. Kawaguchi, T. Kubo, H. Okuno, Y. Tanaka, T. Tominaka, Y. Yano, RIKEN, Saitama, Japan","Design Study of Sector Magnets of Superconducting Ring Cyclotron for the RIKEN RI Beam Factory",237 240,
e-19,"D. Rifuggiato, L. Calabretta, P. Gmaj, INFN/LNS, Catania, Italy; G. Bellomo, INFN/LASA  University of Milan, Segrate, Milan, Italy","Analysis of the Final Magnetic Measurements of the L.N.S. Superconducting Cyclotron",241 244,
e-21,"E. Acerbi, M. Sorbi, INFN/LASA  University of Milan, Segrate, Milan, Italy; M. Castiglioni, Joint Research Centre, Ispra (Va), Italy; N. Fiétier, P. Mandrillon, Centre Antoine Lacassagne, Nice, France","Design of the RF Cavity for a 200 MeV Proton Superconducting Cyclotron",245 248,
e-22,"J.L. Conradie, A.H. Botha, R.E.F. Fenemore, J.J. Kritzinger, M.J. Van Niekerk, National Accelerator Centre, Faure, Republic of South Africa","A Flat-Top Acceleration System for the NAC Light Ion Injector Cyclotron",249 252,
e-23,"A. Caruso, A. Spartà, J. Sura, E. Zappalà, INFN/LNS, Catania, Italy; V. Pagani, M. Bonezzi, A. Bosotti, D. Corti, M. Fusetti, G. Varisco, INFN/LASA  University of Milan, Segrate, Milan, Italy","The Upgraded Control of the LNS Superconducting Cyclotron Radio-Frequency System",253 256,
e-24,"N. Fiétier, S. Besançon, V. Rossin, Centre Antoine Lacassagne, Nice, France","The RF System of the Accelerator Complex of the Energy Amplifier",257 260,
e-25,"J.J. Kritzinger, A. Müller, H.A. Smit, National Accelerator Centre, Faure, Republic of South Africa","Experience with Electrical Contact Systems for Radio Frequencies at NAC",261 264,
e-26,"J.Y. Tang, W. Lei, Y.F. Wang, Institute of Modern Physics, Lanzhou, China","A New Buncher System for SFC",265 268,
e-27,"P. Miller, D. Lawton, F. Marti, NSCL, East Lansing, Michigan, USA","Beam Loss from Charge Changing Collisions in a Cyclotron",269 272,
e-28,"L. Onischenko, N. Shakun, P. Shishlyannikov, JINR, Dubna, Russia","Beam Lifetime in the JINR Phasotron",273 275,
e-29,"Y.F. Nakamura, T. Agematsu, K. Arakawa, M. Fukuda, I. Ishibori, K. Mizuhashi, T. Nara, S. Okumura, W. Yokota, JAERI, Gunma, Japan","Performance and Constitution of the Vacuum System in the JAERI AVF Cyclotron",276 279,
e-30,"W. Bräutigam, R. Brings, FZJ, Jülich, Germany","Beam Stabilization by Feedback Control of the Accelerating Parameters in a Cyclotron",280 283,
e-31,"T. Agematsu, K. Arakawa, S. Okumura, JAERI, Gunma, Japan","Development of Visual Beam Adjustment Method for Cyclotron",284 287,
e-32,"A.A. Green, J. Birchall, J.R. Campbell, C.A. Davis, A.A. Hamian, L. Lee, S.A. Page, W.D. Ramsay, S.D. Reitzner, A.M. Sekulovich, V. Sum, W.T.H. Van Oers, University of Manitoba, Winnipeg, Canada; C.D.P. Levy, D.C. Healey, R. Helmer, W. Kellner, P.W. Schmor, A.N. Zelenski, TRIUMF, Vancouver, B.C., Canada; P.W. Green, G. Roy, J. Soukup, G.M. Stinson, T. Stocki, University of Alberta, Edmonton, Canada; J.D. Bowman, R.E. Mischke, LANL, Los Alamos, New Mexico, USA; N.A. Titov, Institute for Nuclear Research, Moscow, Russia; A.R. Berdoz, Carnegie Mellon University, Pittsburgh, Pennsylvania, USA","Precision Measurements of the Effects of Energy and Intensity Modulation of an Optically-Pumped Polarized Ion Source",288 290,
e-33,"M. Kase, A. Goto, M. Hemmi, N. Inabe, Y. Yano, I. Yokoyama, RIKEN, Saitama, Japan","Applications of MCP Phase Monitor to Operation of RIKEN Heavy Ion Accelerators",291 294,
e-34,"B. Lundström, D. Wessman, Uppsala University, Uppsala, Sweden","Improvements of the Diagnostics of the Gustaf Werner Cyclotron",295 297,
e-35,"G.H. Mackenzie, M. Dombsky, W.R. Rawnsley, G. Stanford, Y. Yin, TRIUMF, Vancouver, B.C., Canada; A. Novikov, Institute for Nuclear Research, Moscow, Russia","Beam Instrumentation for an ISOL Test Stand",298 301,
e-36,"T. Itahashi, S. Ano, K. Hatanaka, K. Hosono, M. Kibayashi, I. Miura, T. Saito, K. Sato, A. Shimizu, K. Takahisa, H. Tamura, K. Tamura, M. Uraki, T. Yamazaki, Osaka University, Osaka, Japan","Radial and Vertical Betatron Oscillation Frequencies Observed by a Scintillation Plate and a Three Wire Tomography Monitor",302 305,
e-37,"A.A. Green, J. Birchall, J.R. Campbell, C.A. Davis, A.A. Hamian, L. Lee, S.A. Page, W.D. Ramsay, S.D. Reitzner, A.M. Sekulovich, V. Sum, W.T.H. Van Oers, University of Manitoba, Winnipeg, Canada; N.A. Titov, Institute for Nuclear Research, Moscow, Russia; D.C. Healey, R. Helmer, W. Kellner, C.D.P. Levy, P.W. Schmor, A.N. Zelenski, TRIUMF, Vancouver, B.C., Canada; P.W. Green, G. Roy, J. Soukup, G.M. Stinson, T. Stocki, University of Alberta, Edmonton, Canada; J.D. Bowman, R.E. Mischke, LANL, Los Alamos, New Mexico, USA; A.R. Berdoz, Carnegie Mellon University, Pittsburgh, Pennsylvania, USA","Pulsed Integrating Feedback Amplifier Position Control of Intermediate Energy Proton Beams",306 309,
e-38,"J.S. Chai, J.H. Ha, Y.S. Kim, KAERI, Seoul, South Korea; D.S. Ahn, S.B. Hong, K.H. Kwon, SungKyanKwan University, Kyunggi-Do, South Korea","Beam Transport System Using Fuzzy Controller in the KCCH Cyclotron",310 313,
e-39,"A.H. Mohammadzadeh, H. Afarideh, S.M. Haji-Saeid, Nuclear Research Center for Agriculture and Medicine, Karadj, Iran","Improving the Energy Resolution of the 30 MeV Cyclotron Proton Using the Designed Achromatic System",314 317,
e-40,"J. Pivarccaron;, JINR, Dubna, Russia","Vacuum for Cyclotron Beam Transport Lines",318 321,
e-41,"H.F. Weehuizen, A.H. Botha, J.L. Conradie, P.M. Cronje, R.K. Fisch, D.T. Fourie, H.N. Jungwirth, H. Kettner, L.M. Roels, P.J. Theron, National Accelerator Centre, Faure, Republic of South Africa","Beam Control for Proton Therapy",322 325,
e-42,"H.F. Weehuizen, R.K. Fisch, M.E. Hogan, I.H. Kohler, P.J. Theron, National Accelerator Centre, Faure, Republic of South Africa","The Present Status of the NAC Control System",326 329,
e-43,"B. Mukherjee, National Medical Cyclotron, Camperdown, Australia","A ''Cook-Book-Method'' of Shielding Design for Compact Medical Cyclotrons",330 333,
e-44,"B. Mukherjee, National Medical Cyclotron, Camperdown, Australia","The Smart Effluent Monitoring System at the Australian National Medical Cyclotron",334 337,
f-01,"R. Maier, U. Bechstedt, J. Dietrich, S. Martin, D Prasuhn, A. Schnase, H. Schneider, H. Stockhorst, R. Tölle, FZJ, Jülich, Germany","Invited Paper: Commissioning of the Cooler Synchrotron COSY",338 344,
f-02,"R.E. Pollock, Indiana University, Bloomington, Indiana, USA","Invited Paper: New Developments at the IUCF Cooler Ring",345 349,
f-03,"D. Reistad, T. Bergmark, L. Einarsson, K. Gajewski, L. Hermansson, P. Jahnke, T. Lofnes, G. Norman, L. Westerberg, V. Ziemann, Svedberg Laboratory, Uppsala, Sweden; K. Hedblom, A. Johansson, Uppsala University, Uppsala, Sweden; M. Berglund, Alfvén Laboratory, Stockholm, Sweden","Injection, Cooling and Accumulation of Ions from the Gustaf Werner Cyclotron into the CELSIUS Cooler-Storage Ring",350 353,
f-04,"B.W. Wei, J.W. Xia, Institute of Modern Physics, Lanzhou, China","HIRFL-CSR Proposal",354 357,
f-05,"Y.N. Rao, B.W. Wei, J.W. Xia, Y.J. Yuan, Institute of Modern Physics, Lanzhou, China","Lifetime of Ion Beam Stored in HIRFL-CSR",358 361,
