A-01,"H.W. Schreuder, KVI, Groningen, The Netherlands","Invited Paper: AGOR: Initial Beam Tests, Transport and Commissioning",6 11,
k-04,"C. Birattari, D. Arginelli, M. Bonardi, F. Groppi, L. Ulrici, INFN/LASA  University of Milan, Segrate, Milan, Italy; M. Gallorini, G. Miraglia, S. Saponaro, INFN Pavia, Pavia, Italy","Cyclotron Production of Pt, Pd and Rh Radiotracers to Study the Environmental Impact of the Catalytic Converter Emissions",545 548,
k-05,"M.A. Chaudhri, Austin Hospital  The University of Melbourne, Melbourne, Australia; A.J. Chaudhri, Q. Jabbar, Q. Nadeem, Lahore College for Women, Lahore, Pakistan","Yields of Cyclotron Produced Isotopes",549 552,
k-06,"B. Fateh, H. Afarideh, S.M. Haji-Saeid, Nuclear Research Center for Agriculture and Medicine, Karadj, Iran","Production of 67Ga by Irradiation of Natural Zinc with Deuterons in NRCAM Cyclotron",553 555,
k-07,"A.A. Rylov, I.R. Gulamov, A.P. Portyanko, B.S. Yuldashev, Academy of Sciences, Tashkent, Uzbekistan","A Fast Method for Producing Super-Pure Radionuclide 57Co at the Classical 1.5 meter Cyclotron of the Institute of Nuclear Physics Ac.Sc.RUz",556 558,
k-08,"F.J. Haasbroek, P. Andersen, J.H. Langenhoven, F.M. Nortier, D.Du T. Rossouw, T.N. Van der Walt, National Accelerator Centre, Faure, Republic of South Africa","Production of Radionuclides at the NAC Cyclotron Facility",559 562,
k-09,"A.A. Ognev, N.A. Konjakhin, N.N. Krasnov, V.N. Mironov, A.A. Ponomarev, Cyclotron Co., Ltd., Obninsk, Russia","Thirty Years Application of Cyclotron for Radionuclide Production",563 565,
k-10,"S.M. Miliebari, King Faisal Hospital and Research Center, Riyadh, Saudi Arabia; W.H. Meyer, Jr., National Institute of Health, Bethesda, Maryland, USA; M. Sajjad, R.H. Syed, PET VA Medical Center, Minneapolis, Minnesota, USA; R.G. Clem, CR/S, Henderson, Nevada, USA; R.M. Lambrecht, PET-Zentrum des Universitätsklinikums, Tübingen, Germany","Modification of the Internal Target System of the Cs-30 Compact Medical Cyclotron",566 567,
k-11,"A.I. Muminov, I.N. Konovalov, B.G. Kurganov, A.U. Usmonov, Academy of Sciences, Tashkent, Uzbekistan","A Semi-Automatic System for Radioisotope Production",568 570,
k-12,"R.J. Nickles, T.L. Mulnix, A.D. Roberts, M.D. Taylor, University of Wisconsin, Madison, Wisconsin, USA","Achieving Balance as a Survival Strategy for a Small Cyclotron Facility",571 574,
k-13,"St. Preusche, F. Füchtner, H. Krug, J. Steinbach, Forschungszentrum Rossendorf, Dresden, Germany; M. De Leenheer, M. Ghyoot, Ion Beam Applications SA, Louvain-la-Neuve, Belgium","The New Cyclotron of the Rossendorf PET Center",575 578,
k-14,"A.A. Sebiakin, Kurchatov Institute, Moscow, Russia","Isotope Production at the Kurchatov Institute Cyclotron",579 580,
k-15,"N.R. Stevenson, TRIUMF, Vancouver, B.C., Canada; W.J. Dickie, Nordion International Inc., Ontario, Canada","Future Cyclotron Systems: An Industrial Perspective",581 584,
k-16,"L. Vuksanovicacute;, J.J. Comor, T. Trticacute;, J. Vucacute;ina, VINCcaron;A Institute of Nuclear Sciences, Belgrade, Yugoslavia","Production of Radioisotopes for Nuclear-Medicinal Applications at the VINCY Cyclotron",585 587,
k-17,"I.R. Gulamov, M.N. Abdukajumov, B.S. Yuldashev, Academy of Sciences, Tashkent, Uzbekistan","The Faciltities and the Isotope Production in the Institute of Nuclear Physics in Tashkent",588 589,
l-01,"Y. Yano, Y. Batygin, T. Chiba, S. Fujishima, A. Goto, M. Hemmi, K. Ikegami, E. Ikezawa, N. Inabe, T. Kageyama, O. Kamigaito, T. Kawaguchi, M. Kase, S. Kohara, T. Kubo, T. Mitsumoto, Y. Miyazawa, T. Nakagawa, T. Ohkawa, A. Ohtomo, H. Okuno, M. Takanaka, Y. Tanaka, T. Tominaka, M. Wakasugi, RIKEN, Saitama, Japan; T. Katayama, S. Watanabe, M. Tomizawa, INS, Tokyo, Japan; Y.N. Rao, J.W. Xia, Y.J. Yuan, Institute of Modern Physics, Lanzhou, China","Invited Paper: RIKEN RI Beam Factory Project",590 597,
l-02,"N. Fiétier, P. Mandrillon, Centre Antoine Lacassagne, Nice, France; C. Rubbia, CERN, Geneva, Switzerland","Invited Paper: A Cyclotron-Based Accelerator for Driving the Energy Amplifier",598 605,
l-03,"Y. Jongen, M. Abs, J.C. Amélia, W. Beeckman, W. Kleeven, M. Ladeuze, G. Lannoye, S. Laycock, D. Leyman, V. Poreye, D. Vandeplassche, S. Zaremba, Ion Beam Applications SA, Louvain-la-Neuve, Belgium; M. Heiberger, E. Hubbard, T. Hurn, L. Nissley, M. Tabor, C. Silke, General Atomics, San Diego, California, USA; K. Ohtomo, M. Sano, T. Satoh, T. Tachikawa, T. Takayama, Sumitomo Heavy Industries, Niihama-City, Japan","The Proton Therapy System for MGH's NPTC: Equipment Description and Progress Report",606 609,
l-04,"Y. Jongen, P. Cohilis, Ion Beam Applications SA, Louvain-la-Neuve, Belgium; H. Aït Abderrahim, P. D'Hondt, L. Van Den Durpel, SCK-CEN, Mol, Belgium","A Proton-Driven, Intense, Subcritical, Fission Neutron Source",610 613,
l-05,"E. Acerbi, F. Alessandria, G. Bellomo, C. Birattari, C. De Martinis, D. Giove, M. Sorbi, INFN/LASA  University of Milan, Segrate, Milan, Italy; M. Castiglioni, Joint Research Centre, Ispra (Va), Italy; N. Fiétier, P. Mandrillon, Centre Antoine Lacassagne, Nice, France","The Protontherapy Superconducting Cyclotron",614 617,
l-06,"D.J. Clark, LBNL, Berkeley, California, USA","A Microtron Cyclotron - The ''Slipatron''",618 620,
l-07,"H.N. Jungwirth, A.H. Botha, J.G. De Villiers, A. Müller, W.A.G. Nel, L.K.O. Schülein, H.A. Smit, National Accelerator Centre, Faure, Republic of South Africa","A Superconducting Ring-Cyclotron for Proton Therapy",621 624,
l-08,"H.N. Jungwirth, National Accelerator Centre, Faure, Republic of South Africa; R.L. Kustom, ANL, Argonne, Illinois, USA; S. Martin, FZJ, Jülich, Germany; P.F. Meads, Jr., Private Address, Oakland, California, USA; E. Zaplatine, K. Ziegler, HMI, Berlin, Germany","Design of Fixed Field Alternating Gradient Cyclotrons - FFAG - as Accelerators for Intense Pulsed Proton Beams",625 628,
m-01,"M. Loiselet, G. Berger, D. Breyne, Th. Daras, H. Goffaux, N. Postiau, G. Ryckewaert, J. Ryckewaert, Université Catholique de Louvain, Louvain-la-Neuve, Belgium","Invited Paper: Production and Acceleration of Radioactive Beams at Louvain-la-Neuve",629 633,
m-02,"D.K. Olsen, G.D. Alton, R.L. Auble, D.T. Dowling, D.L. Haynes, C.M. Jones, R.C. Juras, S.N. Lane, M.J. Meigs, G.D. Mills, S.W. Mosko, P.E. Mueller, B.A. Tatum, ORNL, Oak Ridge, Tennessee, USA; J.D. Bailey, Joint Institute for Heavy Ion Research  University of Tennessee, Knoxville, Tennessee, USA; R.F. Welton, Oak Ridge Associated Universities and Georgia Institute of Technology, Atlanta, Georgia, USA; H. Wollnik, University of Giessen, Giessen, Germany","Invited Paper: Status Report for the Holifield Radioactive Ion Beam Facility",634 643,
m-03,"H.R. Schneider, TRIUMF, Vancouver, B.C., Canada","Invited Paper: The ISAC Project at TRIUMF",644 650,
m-04,"M. Lieuvin, . SPIRAL Group, GANIL, Caen, France","Invited Paper: Status of SPIRAL, the Radioactive Beam Project at GANIL",651 658,
m-05,"R. Oganessian, G. Gulbekian, . FLNR Group, JINR, Dubna, Russia","The Flerov Laboratory of Nuclear Reactions JINR Radioactive Ion Beam Project with the U400M-U400 Cyclotron Complex",659 662,
m-06,"G. Ryckewaert, D. Breyne, Th. Daras, H. Goffaux, M. Loiselet, N. Postiau, J. Ryckewaert, Université Catholique de Louvain, Louvain-la-Neuve, Belgium","Status of CYCLONE44: A Postaccelerator for Radioactive Ion Beams",663 666,
m-07,"B. Sinha, A. Banerjee, V. Banerjee, S. Bhattacharya, A. Chakrabarti, Bhabha Atomic Research Centre, Variable Energy Cyclotron Centre, Calcutta, India; P. Sen, Saha Institute of Nuclear Physics, Calcutta, India","The Proposed Radioactive Ion Beam Facility at the Calcutta Cyclotron Centre",667 669,
m-08,"Y.N. Rao, B.W. Wei, J.W. Xia, Y.J. Yuan, Institute of Modern Physics, Lanzhou, China","Equilibrium Between Electron Cooling and Intrabeam Scattering",670 673,
n-01,"H.G. Blosser, D.A. Johnson, J. Schubert, NSCL, East Lansing, Michigan, USA","Invited Paper: Problems and Accomplishments of Superconducting Cyclotrons",674 684,
n-02,"R.E. Pollock, Indiana University, Bloomington, Indiana, USA","Invited Paper: Concluding Remarks",685 688,
