,"G. Fortuna, G. Bassato, A. Battistella, M. Bellato, G. Bisoffi, G. P. Buso, S. Canella, M Cavenago, F. Cervellera, F. Chiurlotto, A. Dainelli, A. Facco, P. Favaron, S. Ghosh, A. Lombardi, M. F. Moisio, V. Palmieri, R. Pengo, M. Poggi, A. M. Porcellato, K.","Completion of the First Phase and Studies for the Upgrading of the ALPI Project at LNL",170 173,
,"U. Schryber, R. Abela, S. Adam, H. Frei, G. Heidenreich, W. Joho, M. Maerki, C. Markovits, M. Olivo, L. Rezzonico, U. Rohrer, P. Sigg, T. Stammbach, E. Steiner","Upgrading the PSI Accelerator Facility for High Intensity Operation",173 176,
,"M. Kanazawa, M. Endo, Y. Hirao, A. Itano, T. Kanai, K. Kawachi, A. Kitagawa, T. Kohno, M. Kumada, S. Minohara, K. Noda, H. Ogawa, K. Satgo, K. Sato, Y. Sato, F. Soga, M. Sudou, E. Takada, S. Yamada","Status of HIMAC Construction at NIRS - Japan",176 179,
,"P. Mandrillon, C. Carli, G. Cesari, F. Farley, N. Fietier, R. Ostojic, M. Pinardi, N. Postiau, C. Rocher, G. Ryckewaert, J. Y. Tang","Feasibility Studies of the EULIMA Light Ion Medical Accelerator",179 182,
,"V. L. Auslender, V. G. Cheskidov, B. L. Faktorovich, V. A. Gorbunov, V. E. Nekhaev, A. D. Panfilov, V.A. Poliakov, A. A. Tuvik","High-Frequency Powerful Electron Accelerators Type ILU for Industrial Applications",182 185,
,"R. J. Anderson, D. E. Andrews, A. R. Jorden, V. C. Kempson, J. C. Schouten, A. I. C. Smith, M. C. Townsend, J. A. Uythoven, A. J. Weger, M. N. Wilson","Report on Helios: Routine Operation",187 192,
,"A. Heuberger","Lithography Production Techniques for next Generations of Microelectronics",192 197,
,"R.P. Johnson, H. P. Bluem, B. C. Craft, R.C. Sah, D.Y. Wang","Commissioning of the Synchrotron Light Source at LSU",197 200,
,"M. Ida, Y. Kohno, S. Mandai, M. Ohishi, M. Takahashi, H. Ukikusa","Development of Compact Synchrotron Light Source for X-Ray Lithography",200 203,
,"M. Kodaira, O. Asai, N. Awaji, M. Haraguchi, T. Kishimoto","Performance of SORTEC 1-GeV Synchrotron Radiation Source Facility and Future Plan",203 206,
,"H. Nakabushi","A Superconducting Compact SR Ring AURORA for X-Ray Lithography",206 209,
,"S. Varro","Synchrotron Radiation in the Presence of a Perfect Cylindrical Mirror",209 212,
,"J. B. Murphy, R. Biscardi, H. Halama, R. Heese, S. Kramer, J. Krishnaswamy, R. Nawrocky","Performance of the Phase I Superconducting X-Ray Lithography Source (SXLS) at BNL",212 215,
,"D. Boehne","Synchrotrons for Cancer Therapy",217 222,
,"E. Wieser","Use of Accelerators in Material Research",225 230,
,"R. Jameson","Accelerator-Driven Transmutation Technology for Energy Production and Nuclear Waste Treatment",230 235,
,"M. Pachan","Use of Accelerators for Environmental Protection",235 240,
,"P. Rullhusen","Novel X-Ray Sources Produced by Electron Beams",240 245,
,"H. Herminghaus","From MAMI to the Polytrons - Microtrons in the 10 GeV Range",247 252,
,"L. Bex","Review of Latest Developments of Ion Sources",252 257,
,"C. Bovet","Advanced Beam Observation Methods for LEP",259 264,
,"W. Scandale","Non-Linear Single Particle Beam Dynamics in Circular Machines",264 269,
,"R. D. Kohaupt","Multi-bunch Instabilities: Observations, Cures",269 273,
,"B. Zotter","Comparison of Theory and Experiment on Beam Impedances: The Case of LEP",273 277,
,"J. Tueckmantel","Review of Experience with Superconducting Cavities",279 284,
,"P. Schmueser","Properties and Practical Performance of SC Magnets in Accelerators",284 289,
,"R. Perin","Review of R & D Towards High-field Accelerator Magnets",289 294,
,"G. Horlitz","Review of Large-scale Cryogenic Systems for Accelerators",297 302,
,"T. Lavine","Review of Pulsed RF Power Generation",302 307,
,"E. Haebel","Higher Order Mode Suppression in Accelerating Structures",307 312,
,"R. P. Johnson","Trends in Accelerator Control Systems",315 319,
,"W. D. Klotz","Controlling the ESRF Accelerators",321 324,
,"M. E. Clay","What are Good Operators and Why are They Needed?",324 327,
,"N. M. Kroll, Z. D. Farkas, T. L. Lavine, A. Menegat, C. Nantista, R. D. Ruth, P. B. Wilson","A High Power SLED-II Pulse Compression System",327 330,
