fr1a01,"F. Marti [FRIB, East Lansing, Michigan, USA] ","Heavy Ion Strippers",1050 1054,
mopb071,"L. Popielarski, C. Compton, L.J. Dubbs, K. Elliott, A. Facco, L.L. Harle, I.M. Malloch, R. Oweiss, J.P. Ozelis, J. Popielarski, K. Saito [FRIB, East Lansing, USA] ","Process Developments for Superconducting RF Low Beta Resonators for the ReA3 LINAC and Facility for Rare Isotope Beams",342 344,
mopb072,"R.G. Olave, J.R. Delayen, C.S. Hopper [ODU, Norfolk, Virginia, USA] ","Multipole Expansion of the Fields in Superconducting High-Velocity Spoke Cavities",345 347,
mopb073,"M.P. Kelly, Z.A. Conway, S.M. Gerbick, M. Kedzie, R.C. Murphy, P.N. Ostroumov, T. Reid [ANL, Argonne, USA] ","Cold Testing of Superconducting 72 MHz Quarter-wave Cavities for ATLAS",348 350,
mopb074,"N. Bazin, P. Bosland, S. Chel, G. Devanz, N. Grouas, P. Hardy, J. Migne, F. Orsini, F. Peauger [CEA/DSM/IRFU, France] ","Thermo-Mechanical Simulations of the Frequency Tuning Plunger for the IFMIF Half-Wave Resonator",351 353,
mopb077,"N. Solyak, G.I. Cancelo, B. Chase, D.J. Crawford, D.R. Edstrom, Jr, E.R. Harms, Y.M. Pischalnikov, W. Schappert [Fermilab, Batavia, USA] ","Lorentz Force Detuning Compensation Studies for Long Pulses in ILC type SRF Cavities",354 356,
mopb079,"G. Burt, P.K. Ambattu, A.C. Dexter, C. Lingwood, B.J. Woolley [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] S.R. Buckley, P. Goudket, C. Hill, P.A. McIntosh, J.W. McKenzie, A.E. Wheelhouse [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] V.A. Dolgashev [SLAC, Menlo Park, California, USA] A. Grudiev [CERN, Geneva, Switzerland] R.M. Jones [UMAN, Manchester, United Kingdom] ","Normal Conducting Deflecting Cavity Development at the Cockcroft Institute",357 359,
mopb080,"R. Boni, D. Alesini, M. Bellaveglia, G. Di Pirro, M. Ferrario, A. Gallo, B. Spataro [INFN/LNF, Frascati (Roma), Italy] A. Mostacci, L. Palumbo [URLS, Rome, Italy] ","Status of the C-Band RF System for the SPARC-LAB High Brightness Photoinjector",360 362,
mopb081,"V.V. Paramonov [RAS/INR, Moscow, Russia] ","Travelling Wave Accelerating Structures with a Large Phase Advance",363 365,
mopb082,"V.V. Paramonov, L.V. Kravchuk [RAS/INR, Moscow, Russia] K. Floettmann (K. Flöttmann) [DESY, Hamburg, Germany] ","RF Parameters of the TE - Type Deflecting Structure for S-Band Frequency Range",366 368,
mopb083,"A. Fabris, P. Delgiusto, F. Gelmetti, M.M. Milloch, A. Milocco, F. Pribaz, C. Serpico, N. Sodomaco, R. Umer, L. Veljak [ELETTRA, Basovizza, Italy] ","Operational experience with the FERMI@Elettra S-band RF System",369 371,
mopb084,"T. Sakurai, T. Inagaki, Y. Otake [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] H. Ego [JASRI/SPring-8, Hyogo-ken, Japan] ","Design of a C-band Disk-loaded Type Accelerating Structure for a Higher Pulse Repetition Rate in the SACLA Accelerator.",372 374,
mopb086,"W. Fang, Q. Gu, Z.T. Zhao [SINAP, Shanghai, People's Republic of China] D.C. Tong [TUB, Beijing, People's Republic of China] ","The Nonresonant Perturbation Theory Based Field Measurement and Tuning of a Linac Accelerating Structure",375 377,
mopb087,"A. Krasnykh, F.-J. Decker [SLAC, Menlo Park, California, USA] R.W. LeClair [INTA, Santa Clara, USA] ","S-Band Loads for SLAC Linac",378 380,
mopb088,"B. Zhang [IMP, Lanzhou, People's Republic of China] ","Fabrication Tests for IMP 162.5 MHz RFQ",381 382,
mopb089,"Y.-C. Du, J.F. Hua, W.-H. Huang, C.-X. Tang, L.X. Yan, H. Zha, Z. Zhang [TUB, Beijing, People's Republic of China] ","X-Ray Local Energy Spectrum Measurement at Tsinghua Thomson Scattering X-Ray Source (TTX)",383 385,
mopb090,"J. Popielarski, E.C. Bernard, S. Bricker, S. Chouhan, C. Compton, A. Facco, A. Fila, L.L. Harle, M. Hodek, L. Hodges, S. Jones, M. Leitner, D. R. Miller, S.J. Miller, D. Morris, R. Oweiss, J.P. Ozelis, L. Popielarski, K. Saito, N.R. Usher, J. Weisend, Y. Zhang, S. Zhao, Z. Zheng [FRIB, East Lansing, USA] M. Klaus [Technische Universität Dresden, Dresden, Germany] ","FRIB Technology Demonstration Cryomodule Test",386 388,
mopb091,"R.E. Laxdal, A. Koveshnikov, N. Muller, W.R. Rawnsley, G. Stanford, V. Zvyagintsev [TRIUMF, Vancouver, Canada] M. Ahammed, M. Mondrel [VECC, Kolkata, India] ","The Injector Cryomodule for the ARIEL e-Linac at TRIUMF",389 391,
mopb093,"M.E. Conde, D.S. Doran, W. Gai, R. Konecny, W. Liu, J.G. Power, Z.M. Yusof [ANL, Argonne, USA] S.P. Antipov, C.-J. Jing [Euclid TechLabs, LLC, Solon, Ohio, USA] E.E. Wisniewski [Illinois Institute of Technology, Chicago, Illinois, USA] ","The Upgraded Argonne Wakefield Accelerator Facility (AWA): a Test-Bed for the Development of High Gradient Accelerating Structures and Wakefield Measurements",392 394,
mopb094,"T. Maruta [JAEA/J-PARC, Tokai-mura, Japan] M. Ikegami [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","Simulation Study on the Longitudinal Bunch Shape Measurement by RF Chopper at J-PARC Linac",395 397,
mopb095,"A.V. Shemyakin, C.M. Baffes, A.Z. Chen, Y.I. Eidelman, B.M. Hanna, V.A. Lebedev, S. Nagaitsev, J.-F. Ostiguy, R.J. Pasquinelli, D.W. Peterson, L.R. Prost, G.W. Saewert, V.E. Scarpine, B.G. Shteynas, N. Solyak, D. Sun, M. Wendt, V.P. Yakovlev [Fermilab, Batavia, USA] T. Tang [SLAC, Menlo Park, California, USA] ","Design of MEBT for the Project X Injector Experiment at Fermilab",398 400,
mopb096,"M. Ikegami, Z. Fang, K. Futatsukawa, T. Miyao [KEK, Ibaraki, Japan] Y. Liu [KEK/JAEA, Ibaraki-Ken, Japan] T. Maruta, A. Miura, J. Tamura, G.H. Wei [JAEA/J-PARC, Tokai-mura, Japan] H. Sako [JAEA, Ibaraki-ken, Japan] ","Beam Loss Mitigation in J-PARC Linac after the Tohoku Earthquake",401 403,
mopb098,"C. Xiao, O.K. Kester [IAP, Frankfurt am Main, Germany] L. Groening [GSI, Darmstadt, Germany] ","Planning for Experimental Demonstration of Transverse Emittance Transfer at the GSI UNILAC through Eigen-Emittance Shaping",404 406,
moplb01,"F.-J. Decker, W.S. Colocho, N. Lipkowitz, Y. Nosochkov, J. Sheppard, H. Smith, Y. Sun, M.-H. Wang, G.R. White, U. Wienands, M. Woodley, G. Yocky [SLAC, Menlo Park, California, USA] ","Emittance Control for Different FACET Beam Setups in the SLAC Linac",138 140,
moplb02,"T. Kamitani, M. Akemoto, D.A. Arakawa, Y. Arakida, A. Enomoto, S. Fukuda, K. Furukawa, Y. Higashi, T. Higo, H. Honma, N. Iida, M. Ikeda, E. Kadokura, K. Kakihara, H. Katagiri, M. Kurashina, S. Matsumoto, T. Matsumoto, H. Matsushita, S. Michizono, K. Mikawa, T. Miura, F. Miyahara, T. Mori, H. Nakajima, K. Nakao, T. Natsui, Y. Ogawa, S. Ohsawa, M. Satoh, T. Shidara, A. Shirakawa, H. Sugimoto, T. Suwada, T. Takatomi, T. Takenaka, Y. Yano, K. Yokoyama, M. Yoshida, L. Zang, X. Zhou [KEK, Ibaraki, Japan] D. Satoh [TIT, Tokyo, Japan] ","Positron Injector Linac Upgrade for SuperKEKB",141 143,
moplb03,"A. Kanareykin, S.P. Antipov, J.E. Butler, C.-J. Jing [Euclid TechLabs, LLC, Solon, Ohio, USA] W. Gai [ANL, Argonne, USA] V. Yakimenko [BNL, Upton, Long Island, New York, USA] ","Advances in Beam Tests of Dielectric Based Accelerating Structures",144 146,
moplb04,"G. Pei, Y.L. Chi, M.H. Dai, D.Y. He, X. He, X. Li, J. Liu, C. Ma, X. Wang, C.H. Yu, F. Zhao, J. Zhao, Z.S. Zhou [IHEP, Beijing, People's Republic of China] Y. Feng, H. Huang, S. Shi, E. Tang, X. Yang, Q. Yuan, Z. Zhu [Institute of High Energy Physics (IHEP), People's Republic of China] Z. Li, X. Zhang [Wuxi EL PONT Radiation Technology Ltd, Wuxi, People's Republic of China] ","A 10 MeV L-band Linac for Irradiation Applications in China",147 149,
moplb05,"C.-J. Jing, S.P. Antipov, A. Kanareykin, P. Schoessow [Euclid TechLabs, LLC, Solon, Ohio, USA] M.E. Conde, W. Gai, J.G. Power [ANL, Argonne, USA] ","Applications of Compact Dielectric-Based Accelerators",150 152,
moplb06,"C.M. Ginsburg [Fermilab, Batavia, USA] ","Fermilab 1.3 GHz Superconducting RF Cavity and Cryomodule Program for Future Linacs",153 155,
moplb07,"Y. Iwashita, Y. Fuwa, M. Hashida, K. Otani, S. Sakabe, S. Tokita, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] H. Hayano, K. Watanabe, Y. Yamamoto [KEK, Ibaraki, Japan] ","Non-destructive Inspections for SC Cavities",156 158,
moplb08,"G. Burt, P.K. Ambattu, A.C. Dexter, C. Lingwood, B.J. Woolley [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] S.R. Buckley, P. Goudket, C. Hill, P.A. McIntosh, J.W. McKenzie, A.E. Wheelhouse [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] V.A. Dolgashev [SLAC, Menlo Park, California, USA] A. Grudiev [CERN, Geneva, Switzerland] R.M. Jones [UMAN, Manchester, United Kingdom] ","Normal Conducting Deflecting Cavity Development at the Cockcroft Institute",159 161,
moplb09,"R. Boni, D. Alesini, M. Bellaveglia, G. Di Pirro, M. Ferrario, A. Gallo, B. Spataro [INFN/LNF, Frascati (Roma), Italy] A. Mostacci, L. Palumbo [URLS, Rome, Italy] ","Status of the C-Band RF System for the SPARC-LAB High Brightness Photoinjector",162 164,
moplb10,"J. Popielarski, E.C. Bernard, S. Bricker, S. Chouhan, C. Compton, A. Facco, A. Fila, L.L. Harle, M. Hodek, L. Hodges, S. Jones, M. Leitner, D. R. Miller, S.J. Miller, D. Morris, R. Oweiss, J.P. Ozelis, L. Popielarski, K. Saito, N.R. Usher, J. Weisend, Y. Zhang, S. Zhao, Z. Zheng [FRIB, East Lansing, USA] M. Klaus [Technische Universität Dresden, Dresden, Germany] ","FRIB Technology Demonstration Cryomodule Test",165 167,
moplb11,"M.E. Conde, D.S. Doran, W. Gai, R. Konecny, W. Liu, J.G. Power, Z.M. Yusof [ANL, Argonne, USA] S.P. Antipov, C.-J. Jing [Euclid TechLabs, LLC, Solon, Ohio, USA] E.E. Wisniewski [Illinois Institute of Technology, Chicago, Illinois, USA] ","The Upgraded Argonne Wakefield Accelerator Facility (AWA): a Test-Bed for the Development of High Gradient Accelerating Structures and Wakefield Measurements",168 170,
moplb12,"Y.-C. Du, J.F. Hua, W.-H. Huang, C.-X. Tang, L.X. Yan, H. Zha, Z. Zhang [TUB, Beijing, People's Republic of China] ","X-Ray Local Energy Spectrum Measurement on Tsinghua Thomson Scattering X-Ray Source (TTX)",171 173,
supb001,"C. Xu, M.J. Kelley [The College of William and Mary, Williamsburg, USA] C.E. Reece [JLAB, Newport News, Virginia, USA] ","Analyzing Surface Roughness Dependence of Linear RF Losses",99 98,
supb003,"T. Atkinson, A.V. Bondarenko, A.N. Matveenko, Y. Petenev [HZB, Berlin, Germany] ","Feasibility Study of Short Pulse Mode Operation for Multi-turn ERL Light Source",4 6,
supb004,"Y. Petenev, T. Atkinson, A.V. Bondarenko, A.N. Matveenko [HZB, Berlin, Germany] ","Linac Optics Design for Multi-turn ERL Light Source",7 9,
supb006,"D. Gu, Q. Gu, D. Huang, M. Zhang, M.H. Zhao [SINAP, Shanghai, People's Republic of China] ","Study of Beam-Based Alignment for Shanghai Soft X-Ray FEL Facility",10 12,
supb007,"J. Pfingstner, D. Schulte [CERN, Geneva, Switzerland] ","On-Line Dispersion Free Steering for the Main Linac of CLIC",13 15,
supb008,"A. Gerbershagen, A. Andersson, D. Schulte [CERN, Geneva, Switzerland] P. Burrows [JAI, Oxford, United Kingdom] F.O. Ilday (F.Ö. Ilday) [Bilkent University, Bilkent, Ankara, Turkey] ","Specifications of the Distributed Timing System for the CLIC Main Linac",16 18,
supb009,"A.E. Levichev, A.M. Barnyakov, V.M. Pavlov [BINP SB RAS, Novosibirsk, Russia] Y.D. Chernousov [ICKC, Novosibirsk, Russia] V. Ivannikov, I.V. Shebolaev [ICKC SB RAS, Novosibirsk, Russia] ","Linear Accelerator based on Parallel Coupled Accelerating Structure",19 21,
supb010,"F. Hug, C. Burandt, M. Konrad, N. Pietralla [TU Darmstadt, Darmstadt, Germany] R. Eichhorn [Cornell University, Ithaca, New York, USA] ","Measurements of a Reduced Energy Spread of a Recirculating Linac by Non-Isochronous Beam Dynamics",22 24,
supb011,"A. Nause, A. Gover [University of Tel-Aviv, Faculty of Engineering, Tel-Aviv, Israel] ","Computational Model Analysis for Experimental Observation of Optical Current Noise Suppression Below the Shot-noise Limit",25 28,
supb012,"D. Mäder, H. Klein, H. Podlech, U. Ratzinger, C. Zhang [IAP, Frankfurt am Main, Germany] ","Status of CH Cavity and Solenoid Design of the 17 MeV Injector for MYRRHA",29 31,
supb013,"Z.J. Wang, Y. He, H. Jia, C. Li, S.H. Liu, W. Wu, X.B. Xu, B. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","The Beam Commissioning Plan of Injector II in C-ADS",32 34,
supb014,"B. Koubek, A. Schempp, J.S. Schmidt [IAP, Frankfurt am Main, Germany] J. Haeuser [Kress GmbH, Biebergemuend, Germany] ","RF Setup of the MedAustron RFQ",35 37,
supb015,"F. Scantamburlo, R. Dima, A. Pepato [INFN- Sez. di Padova, Padova, Italy] C. Roncolato [INFN/LNL, Legnaro (PD), Italy] ","Production and Quality Control of the First Modules of the IFMIF-EVEDA RFQ",38 40,
supb016,"A. Kolomiets [ITEP, Moscow, Russia] A.S. Plastun [MEPhI, Moscow, Russia] ","RFQ With Improved Energy Gain",41 43,
supb017,"J.S. Schmidt, B. Klump, B. Koubek, A. Schempp [IAP, Frankfurt am Main, Germany] ","Tuning Studies on 4-rod-RFQs",44 46,
supb018,"R. Ainsworth [Royal Holloway, University of London, Surrey, United Kingdom] S. Molloy [ESS, Lund, Sweden] ","Studies of Parasitic Cavity Modes for Proposed ESS Linac Lattices",47 49,
supb019,"C. Zhang, S. He, Y. He, S.C. Huang, Y.L. Huang, T.C. Jiang, R.X. Wang, M.X. Xu, Y.Z. Yang, W.M. Yue, S.H. Zhang, S.X. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","The Multipacting Simulation for the New-Shaped QWR using TRACK3P",50 52,
supb020,"C. Zhang, S. He, Y. He, S.C. Huang, Y.L. Huang, T.C. Jiang, R.X. Wang, Y.Z. Yang, W.M. Yue, S.H. Zhang, S.X. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] M.H. Xu [IHEP, Beijing, People's Republic of China] ","Structural Analysis of the New-Shaped QWR for HIAF in IMP",53 55,
supb022,"M. Busch, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] M. Amberg [HIM, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] M. Pekeler [RI Research Instruments GmbH, Bergisch Gladbach, Germany] ","First Measurements on the 325 MHz Superconducting CH Cavity",56 58,
supb023,"F.D. Dziuba, M. Amberg, M. Busch, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] K. Aulenbacher [IKP, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] ","Status of the Superconducting CW Demonstrator for GSI",59 61,
supb024,"Y. Fuwa, Y. Iwashita, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] S. Fukuda, S. Michizono [KEK, Ibaraki, Japan] ","Development of Permanent Magnet Focusing System for Klystrons",62 64,
supb025,"J.P. Holzbauer, A. Nassiri, G.J. Waldschmidt, G. Wu [ANL, Argonne, USA] ","Development of Superconducting Radio-Frequency (SRF) Deflecting Mode Cavities and Associated Waveguide Dampers for the APS Upgrade Short Pulse X-Ray Project",65 67,
supb026,"C.S. Hopper, J.R. Delayen [ODU, Norfolk, Virginia, USA] ","Multipacting Analysis of High-velocity Superconducting Spoke Resonators",68 70,
supb027,"S. He, Y. He, S.C. Huang, F.F. Wang, R.X. Wang, M.X. Xu, Y.Z. Yang, W.M. Yue, C. Zhang, S.H. Zhang, S.X. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","Mechanical Study of the First Superconducting Half-wave Resonator for Injector II of CADS Project",71 73,
supb028,"M.X. Xu, S. He, Y. He, S.C. Huang, Y.L. Huang, T.C. Jiang, R.X. Wang, Z.J. Wang, J.W. Xia, Y.Z. Yang, W.M. Yue, C. Zhang, S.H. Zhang, S.X. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","The Superconducting CH Cavity Development in IMP*",74 76,
supb029,"J.M. Vogt, J. Knobloch, O. Kugeler [HZB, Berlin, Germany] ","Impact of Trapped Flux and Systematic Flux Expulsion in Superconducting Niobium",77 79,
supb031,"W. Fang, Q. Gu, Z.T. Zhao [SINAP, Shanghai, People's Republic of China] D.C. Tong [TUB, Beijing, People's Republic of China] ","The Nonresonant Perturbation Theory Based Field Measurement and Tuning of a Linac Accelerating Structure",80 82,
supb032,"C.P. Wang, Q. Gu, Z.T. Zhao [SINAP, Shanghai, People's Republic of China] ","The C-band RF Pulse Compression for Soft XFEL at SINAP",83 85,
supb035,"S.M. Polozov, T.V. Bondarenko [MEPhI, Moscow, Russia] Y.A. Bashmakov [LPI, Moscow, Russia] ","RF Photoinjector and Radiating Structure for High-power THz Radiation Source",86 88,
supb037,"J.N. Bai, S. Xiao, T.G. Xu, L. Zeng [IHEP, Beijing, People's Republic of China] ","The Development of Timing Control System for RFQ",89 91,
supb038,"S.U. De Silva, J.R. Delayen [ODU, Norfolk, Virginia, USA] S.U. De Silva [JLAB, Newport News, Virginia, USA] ","Multipole Field Effects for the Superconducting Parallel-Bar Deflecting/Crabbing Cavities",92 94,
supb039,"S.U. De Silva [ODU, Norfolk, Virginia, USA] S.U. De Silva [JLAB, Newport News, Virginia, USA] ","Compact Superconducting Crabbing and Deflecting Cavities",95 99,
th1a01,"H. Hayano, M. Akemoto, S. Fukuda, K. Hara, N. Higashi, E. Kako, H. Katagiri, Y. Kojima, Y. Kondo, T. Matsumoto, S. Michizono, T. Miura, H. Nakai, H. Nakajima, K. Nakanishi, S. Noguchi, N. Ohuchi, T. Saeki, T. Shidara, T. Shishido, T. Takenaka, A. Terashima, N. Toge, K. Tsuchiya, K. Watanabe, S. Yamaguchi, A. Yamamoto, Y. Yamamoto, K. Yokoya [KEK, Ibaraki, Japan] C. Adolphsen, C.D. Nantista [SLAC, Menlo Park, California, USA] T.T. Arkan, S. Barbanotti, M.A. Battistoni, H. Carter, M.S. Champion, A. Hocker, R.D. Kephart, J.S. Kerby, D.V. Mitchell, T.J. Peterson, Y.M. Pischalnikov, M.C. Ross, W. Schappert, B.E. Smith [Fermilab, Batavia, USA] A. Bosotti, R. Paparella, P. Pierini [INFN/LASA, Segrate (MI), Italy] K. Jensch, D. Kostin, L. Lilje, A. Matheisen, W.-D. Moeller (W.-D. Möller), P. Schilling, M. Schmoekel (M. Schmökel), N.J. Walker, H. Weise [DESY, Hamburg, Germany] C. Pagani [Università degli Studi di Milano  INFN, Segrate, Italy] ","Results Achieved by the S1-Global Collaboration for ILC",748 752,
th1a02,"S.U. De Silva [ODU, Norfolk, Virginia, USA] S.U. De Silva [JLAB, Newport News, Virginia, USA] ","Compact Superconducting Crabbing and Deflecting Cavities",753 757,
th1a03,"J.R. Delayen [ODU, Norfolk, Virginia, USA] ","Superconducting Spoke Cavities for Electron and High-Velocity Proton Linacs",758 762,
th1a04,"A. Roy [IUAC, New Delhi, India] ","Superconducting Linac and Associated Developments at IUAC Delhi",763 767,
th2a004,"A. Gover [University of Tel-Aviv, Faculty of Engineering, Tel-Aviv, Israel] A. Nause [University of Tel Aviv, Tel Aviv, Israel] ","Computational Model Analysis for Experimental Observation of Optical Current Noise Suppression Below the Shot-noise Limit",783 786,
th2a01,"M. Lindroos, H. Danared, C. Darve, D.P. McGinnis, S. Molloy [ESS, Lund, Sweden] ","The ESS Linac Design",768 772,
th2a02,"P. Bertrand, R. Ferdinand [GANIL, Caen, France] ","SPIRAL2 Accelerator Construction Progress",773 777,
th2a03,"F. Gerigk, Y. Cuvet, A. Dallocchio, G. Favre, J.-M. Geisser, L. Gentini, J.-M. Giguet, S.J. Mathot, M. Polini, S. Ramberger, B. Riffaud, C. Rossi, P. Ugena Tirado, M. Vretenar, R. Wegner [CERN, Geneva, Switzerland] E. Kendjebulatov, Ya.G. Kruchkov, A.G. Tribendis [BINP SB RAS, Novosibirsk, Russia] M.Y. Naumenko [RFNC-VNIITF, Snezhinsk, Chelyabinsk region, Russia] ","Design and Construction of the Linac4 Accelerating Structures",778 782,
th3a01,"A. Yamamoto [KEK, Ibaraki, Japan] M.C. Ross [SLAC, Menlo Park, California, USA] N.J. Walker [DESY, Hamburg, Germany] ","Status of ILC",787 791,
th3a02,"F.C. Pilat [JLAB, Newport News, Virginia, USA] ","The 12 GeV Energy Upgrade at Jefferson Laboratory",792 796,
th3a03,"F. Zimmermann [CERN, Geneva, Switzerland] ","ERL-Based Lepton-Hadron Colliders: eRHIC and LHeC",797 801,
th3a04,"C.I. Clarke, E. Adli, S. Corde, F.-J. Decker, R.J. England, R.A. Erickson, A.S. Fisher, S.J. Gessner, C. Hast, M.J. Hogan, S.Z. Li, N. Lipkowitz, M.D. Litos, Y. Nosochkov, J.T. Seeman, J. Sheppard, I. Tudosa, G.R. White, U. Wienands, M. Woodley, Z. Wu, G. Yocky [SLAC, Menlo Park, California, USA] C.E. Clayton, C. Joshi, W. Lu, K.A. Marsh, N. Vafaei [UCLA, Los Angeles, California, USA] ","Plasmas, Dielectrics and the Ultrafast: First Science and Operational Experience at FACET",802 806,
thpb002,"J. Zhu, S. Chen, J. Deng, Y. Shen, J. Shi, W.D. Wang, L.S. Xia, H. Zhang, L.W. Zhang [CAEP/IFP, Mainyang, Sichuan, People's Republic of China] Y. Liu [Institute of Fluid Physics, China Academy of Engineering Physics, Mianyang,Sichuan, People's Republic of China] ","Preliminary Study of Proton Beam Transport in a 10 MeV Dielectric Wall Accelerator",840 842,
thpb003,"S.C. Joshi, J. Dwivedi, P.D. Gupta, P.R. Hannurkar, P. Khare, P.K. Kush, G. Mundra, A. Puntambekar, S.B. Roy, P. Shrivastava [RRCAT, Indore (M.P.), India] ","R&D Activities on High Intensity Superconducting Proton Linac at RRCAT",843 845,
thpb004,"D.C. Plostinar, C. Gabor [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] S.M.H. Alsari, M. Aslaninejad, A. Kurup, J.K. Pozimski, P. Savage [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] J.J. Back [University of Warwick, Coventry, United Kingdom] G.E. Boorman, A. Bosco [Royal Holloway, University of London, Surrey, United Kingdom] M.A. Clarke-Gayther, D.C. Faircloth, S.R. Lawrie, A.P. Letchford [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] S. Jolly [UCL, London, United Kingdom] ","Current Status of the RAL Front End Test Stand (FETS) Project",846 848,
thpb005,"C. Zhang, H. Klein, D. Mäder, H. Podlech, U. Ratzinger, A. Schempp, R. Tiede, M. Vossberg [IAP, Frankfurt am Main, Germany] ","Front-End Linac Design and Beam Dynamics Simulations for MYRRHA",849 851,
thpb006,"A. Almomani, M. Droba, I. Hofmann, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","Post Acceleration of Laser-generated Proton Bunches by a CH-DTL",852 854,
thpb007,"U. Ratzinger, H. Podlech, A. Schempp, K. Volk [IAP, Frankfurt am Main, Germany] U. Hagen, O. Heid, T.J.S. Hughes [Siemens AG, Erlangen, Germany] H. Hoeltermann [BEVATECH OHG, Offenbach/Main, Germany] ","A Pulsed Linac Front-end for ADS Applications",855 857,
thpb008,"M. Heilmann, O. Meusel, D. Mäder, U. Ratzinger, A. Schempp, M. Schwarz [IAP, Frankfurt am Main, Germany] ","A Coupled RFQ-IH Cavity for the Neutron Source FRANZ",858 860,
thpb009,"D. Mäder, H. Klein, H. Podlech, U. Ratzinger, C. Zhang [IAP, Frankfurt am Main, Germany] ","Status of CH Cavity and Solenoid Design of the 17 MeV Injector for MYRRHA",861 863,
thpb010,"M. Vretenar, L. Arnaudon, P. Baudrenghien, G. Bellodi, C. Bertone, Y. Body, J.C. Broere, O. Brunner, M.C.L. Buzio, C. Carli, J.-P. Corso, J. Coupard, A. Dallocchio, N. Dos Santos, J.-F. Fuchs, A. Funken, R. Garoby, F. Gerigk, L. Hammouti, K. Hanke, J. Hansen, I. Kozsar, J.-B. Lallement, J. Lettry, A.M. Lombardi, L.A. Lopez Hernandez, C. Maglioni, S.J. Mathot, B. Mikulec, D. Nisbet, M.M. Paoluzzi, B. Puccio, U. Raich, S. Ramberger, F. Roncarolo, C. Rossi, N. Schwerg, R. Scrivens, G. Vandoni, J. Vollaire, R. Wegner, S. Weisz, Th. Zickler [CERN, Geneva, Switzerland] ","Progress in the Construction of Linac4 at CERN",864 866,
thpb011,"G. Bellodi, V.A. Dimov, L.M. Hein, J.-B. Lallement, A.M. Lombardi, O. Midttun, R. Scrivens [CERN, Geneva, Switzerland] P.A. Posocco [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","Linac4 45 keV Proton Beam Measurements",867 869,
thpb012,"A.P. Zhukov, A.V. Aleksandrov [ORNL, Oak Ridge, Tennessee, USA] ","High Resolution Emittance Measurements at SNS Front End",870 872,
thpb013,"A.V. Aleksandrov, W. Blokland, Y. Liu, C.D. Long, A.P. Zhukov [ORNL, Oak Ridge, Tennessee, USA] ","Diagnostics Tools for Beam Halo Investigation in SNS Linac",873 875,
thpb014,"N. Solyak, J.-P. Carneiro, V.A. Lebedev, J.-F. Ostiguy, A. Saini [Fermilab, Batavia, USA] ","Lattice Design and Beam Dynamics Studies for Project X",876 878,
thpb015,"P. Varghese, B.W. Barnes, B. Chase, E. Cullerton, C.C. Tan [Fermilab, Batavia, USA] ","Performance of Ferrite Vector Modulators in the LLRF system of the Fermilab HINS 6-Cavity Test",879 881,
thpb016,"M. Popovic [Fermilab, Batavia, USA] ","Concept: Low Energy, Low Intensity NF from ProjectX",882 884,
thpb017,"M. Popovic, J.-F. Ostiguy [Fermilab, Batavia, USA] ","A Concept: 8GeV CW Linac, Staged Approach",885 887,
thpb020,"H. Ao, H. Asano, N. Ouchi, J. Tamura [JAEA/J-PARC, Tokai-mura, Japan] F. Naito, K. Takata [KEK, Ibaraki, Japan] ","Annular-ring Coupled Structure for the Energy Upgrade of the J-PARC Linac",888 890,
thpb021,"J. Tamura, H. Ao, H. Asano, T. Morishita, N. Ouchi [JAEA/J-PARC, Tokai-mura, Japan] Y. Sawabe [MELCO SC, Tsukuba, Japan] ","Recovery Efforts from the Tohoku Earthquake and Energy Upgrade Preparation of the Beam Transport from the J-PARC Linac to the 3-GeV Synchrotron",891 893,
thpb022,"H.S. Kim, Y.-S. Cho, J.-H. Jang, H.-J. Kwon, J.Y. Ryu, K.T. Seol, Y.-G. Song [KAERI, Daejon, Republic of Korea] ","Beam Phase Measurement for PEFP Linear Accelerator",894 896,
