frioa06,"E. Gschwendtner [CERN, Geneva, Switzerland] ","AWAKE: Advanced Proton Driven Plasma Wakefield Acceleration Experiment at CERN",1196 1201,
mopp011,"D. Raparia, J.G. Alessi, B. Briscoe, D.M. Gassner, O. Gould, T. Lehn, V. Lo Destro, J. Ritter, W. Shaffer, A. Zelenski [BNL, Upton, Long Island, New York, USA] ","Reliability and Intensity Upgrade for 200 MeV Linac at Brookhaven National Laboratory",67 69,
mopp012,"W. Xu, S.A. Belomestnykh, I. Ben-Zvi, D.M. Gassner, H. Hahn, J.P. Jamilkowski, P. Kankiya, D. Kayran, N. Laloudakis, R.F. Lambiase, G.T. McIntyre, D. Phillips, V. Ptitsyn, K.S. Smith, R. Than, D. Weiss, A. Zaltsman [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi, V. Ptitsyn [Stony Brook University, Stony Brook, USA] D. Holmes [AES, Medford, New York, USA] ","Beam Commissioning of the SRF 704 MHz Photoemission Gun",70 72,
mopp013,"W. Xu, S.A. Belomestnykh, I. Ben-Zvi, H. Hahn, R. Porgueddu, R. Than, D. Weiss [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi [Stony Brook University, Stony Brook, USA] C.H. Boulware, T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] M.D. Cole, D. Holmes, T. Schultheiss [AES, Medford, New York, USA] ","Vertical Test Results of 704 MHz BNL3 SRF Cavities",73 75,
mopp015,"Q.T. Zhao, S. Cao, R. Cheng, X.K. Shen, Z.M. Zhang, Y.T. Zhao [IMP, Lanzhou, People's Republic of China] Y.-C. Du [TUB, Beijing, People's Republic of China] W. Gai [ANL, Argonne, Illinois, USA] ","High Energy Electron Radiography Experiment Research Based on Picosecond Pulse-width Bunch",76 79,
mopp016,"G.M. Ge, G.H. Hoffstaetter, M. Liepe, H. Padamsee, V.D. Shemelin [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Extracting Superconducting Parameters from Surface Resistivity by Using Inside Temperature of SRF Cavities",80 83,
mopp017,"D. Gonnella, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Cool Down and Flux Trapping Studies on SRF Cavities",84 87,
mopp018,"D. Gonnella, R.G. Eichhorn, F. Furuta, G.M. Ge, D.L. Hall, Y. He, G.H. Hoffstaetter, M. Liepe, T.I. O'Connel, S. Posen, P. Quigley, J. Sears, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] A. Grassellino, A. Romanenko [Fermilab, Batavia, Illinois, USA] ","Nitrogen-Doped 9-Cell Cavity Performance in the Cornell Horizontal Test Cryomodule",88 91,
mopp019,"S. Posen, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] Th. Proslier [ANL, Argonne, Illinois, USA] ","Nb3Sn Materials Studies",92 94,
mopp020,"R.G. Eichhorn, P. Quigley, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] S.A. Belomestnykh [BNL, Upton, Long Island, New York, USA] ","Input Couplers for Cornell ERL",95 97,
mopp021,"S. Barbanotti, K. Jensch, W. Maschmann, O. Sawlanski [DESY, Hamburg, Germany] ","XFEL Cryomodule Transportation: from the Assembly Laboratory in CEA-Saclay (France) to the Test-Hall in DESY-Hamburg (Germany)",98 100,
mopp023,"G. D'Auria, S. Di Mitri, C. Serpico [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] E. Adli [University of Oslo, Oslo, Norway] A.A. Aksoy, O. Yavas (Ö. Yavaş) [Ankara University, Accelerator Technologies Institute, Golbasi / Ankara, Turkey] D. Angal-Kalinin, J.A. Clarke [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] C.J. Bocchetta, A.I. Wawrzyniak [Solaris, Krakow, Poland] M.J. Boland, T.K. Charles, R.T. Dowd, G. LeBlanc, Y.E. Tan, K.P. Wootton, D. Zhu [SLSA, Clayton, Australia] G. Burt [Lancaster University, Lancaster, United Kingdom] N. Catalan-Lasheras (N. Catalán Lasheras), A. Grudiev, A. Latina, D. Schulte, S. Stapnes, I. Syratchev, W. Wuensch [CERN, Geneva, Switzerland] W. Fang, Q. Gu [SINAP, Shanghai, People's Republic of China] E.N. Gazis [National Technical University of Athens, Athens, Greece] M. Jacewicz, R.J.M.Y. Ruber, V.G. Ziemann [Uppsala University, Uppsala, Sweden] X.J.A. Janssen [VDL ETG, Eindhoven, The Netherlands] ","X-band Technology for FEL Sources",101 104,
mopp024,"A. Fabris, P. Delgiusto, M. Milloch, C. Serpico [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] A. Grudiev [CERN, Geneva, Switzerland] ","Perspectives of the S-Band Linac of FERMI",105 107,
mopp025,"G. Bellodi, V.A. Dimov, J.-B. Lallement, A.M. Lombardi, U. Raich, F. Roncarolo, F. Zocca [CERN, Geneva, Switzerland] M. Yarmohammadi Satri [IPM, Tehran, Iran] ","Longitudinal Beam Profile Measurements in Linac4 Commissioning",108 110,
mopp026,"R. Bonomi, V. Parma [CERN, Geneva, Switzerland] ","Actively Cooled RF Power Coupler : Theoretical and Experimental Studies",111 113,
mopp028,"K.N. Sjobak, A. Grudiev [CERN, Geneva, Switzerland] E. Adli [University of Oslo, Oslo, Norway] ","New Criterion for Shape Optimization of Normal-Conducting Accelerator Cells for High-Gradient Applications",114 116,
mopp029,"D. Lanaia, M.A. Fraser, D. Voulot [CERN, Geneva, Switzerland] ","Overview of the New High Level Software Applications Developed for the HIE-ISOLDE Superconducting Linac",117 120,
mopp030,"J.L. Navarro Quirante, R. Corsini, W. Farabolini, D. Gamba, A. Grudiev, M.A. Khan, T. Lefevre (T. Lefèvre), S. Mazzoni, R. Pan, F. Peauger, F. Tecker, N. Vitoratou, K. Yaqub [CERN, Geneva, Switzerland] W. Farabolini, F. Peauger [CEA/DSM/IRFU, France] D. Gamba [JAI, Oxford, United Kingdom] M.A. Khan, K. Yaqub [PINSTECH, Islamabad, Pakistan] J. Oegren (J. Ögren), R.J.M.Y. Ruber [Uppsala University, Uppsala, Sweden] N. Vitoratou [Thessaloniki University, Thessaloniki, Greece] ","CALIFES: A Multi-Purpose Electron Beam for Accelerator Technology Tests",121 123,
