moco-a01,"H. W. Zhao, L. T. Sun, IMP, Lanzhou","Recent Results and Operation at 18 GHz with SECRAL",99 98,
mopo-15,"M. Dubois, J. A. Alcantara Nunez, R. Alves Conde, C. Barue, C. Canet, M. Dupuis, J. L. Flambard, R. Frigot, P. Jardin, C. Leboucher, N. Lecesne, P. Lecomte, P. Leherissier, F. Lemagnen, J. Y. Pacquet, A. Pichard, M. G. Saint-Laurent, GANIL, Caen","Permanent Magnets Under Irradiation and Radioactive Alkali Ion Beam Development for SPIRAL I",102 105,
mopo-16,"V. Mironov, J. P.M. Beijers, S. Brandenburg, H. R. Kremers, J. Mulder, S. Saminathan, KVI, Groningen","Operations of KVI AECRIS at AGOR Superconducting Cyclotron Facility",106 106,
mopo-17,"G. Rodrigues, D. Kanjilal, P. Kumar, P. S. Lakshmy, A. Mandal, IUAC, New Delhi","Operational Experience with the HTS-ECRIS, PKDELIS",107 110,
mopo-18,"L. Schachter, S. Dobrescu, IFIN, Magurele- Bucuresti; K. E. Stiebing, IKF, Frankfurt-am-Main","Microwave Power Saving and Reduced Bremsstrahlung Emission for a High Charge State Ion Production in an ECRIS Equipped with MD Structures",111 113,
mopo-19,"V. Zorin, I. Izotov, V. Skalyga, IAP/RAS, Nizhny Novgorod","Optimization of Gasdynamic ECR Ion Sources",114 114,
mopo-20,"R. Gobin, O. Delferriere, F. Harrault, B. Pottin, O. Tuske, CEA, Gif-sur-Yvette","High Intensity Helium Beam at CEA/Saclay",115 115,
mopo-21,"L. Zhao, B. Cluggish, J. S. Kim, Far-Tech, Inc., San Diego, California","Modeling ECRIS Plasma Using 2D GEM (General ECRIS Model)",116 119,
mopo-22,"M. Oyaizu, S. Arai, KEK, Ibaraki; Y. Fuchi, Y. Hirayama, KEK, Tokai Branch, Tokai, Naka, Ibaraki; S. Ichikawa, JAEA, Ibaraki-ken; N. Imai, H. Ishiyama, S. C. Jeong, KEK, Tokai Branch, Tokai, Naka, Ibaraki; H. Kabumoto, M. Matsuda, JAEA, Ibaraki-ken; H. Miyatake, KEK, Tokai Branch, Tokai, Naka, Ibaraki; M. Okada, KEK, Ibaraki; A. Osa, Y. Otokawa, JAEA, Ibaraki-ken; Y. Watanabe, KEK, Tokai Branch, Tokai, Naka, Ibaraki","Wall Distribution of Ions Externally Injected for Charge-Breeding in ECRIS",120 122,
mopo-23,"M. H. Rashid, R. K. Bhandari, C. Mallik, DAE/VECC, Calcutta","New Spindle Cusp ZERO-B Field for ECR Ion and Plasma Sources",123 125,
mopo-24,"L. Panitzsch, C. Helmke, L. Seimetz, M. Stalder, R. F. Wimmer-Schweingruber, IEAP, Kiel","High-Resolution Beam-Profile Measurements with a Faraday-Cup Array",126 126,
