FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
MOPCH021,"C.J. Bocchetta, E. Allaria, D. Bulfone, ELETTRA, Basovizza, Trieste; J.N. Corlett, LBNL, Berkeley, California; M. Cornacchia, SLAC, Menlo Park, California; P. Craievich, G. D'Auria, M.B. Danailov, G. De Ninno, S. Di Mitri, B. Diviacco, ELETTRA, Basovizza, Trieste; P. Emma, SLAC, Menlo Park, California; W.M. Fawley, LBNL, Berkeley, California; M. Ferianis, A. Gambitta, A. Gomezel, ELETTRA, Basovizza, Trieste; W. Graves, F.O. Ilday, F.X. Kaertner, MIT, Cambridge, Massachusetts; E. Karantzoulis, ELETTRA, Basovizza, Trieste; S.M. Lidia, LBNL, Berkeley, California; F. Parmigiani, Università Cattolica-Brescia, Brescia; G. Penco, ELETTRA, Basovizza, Trieste; G. Penn, A. Ratti, J.W. Staples, LBNL, Berkeley, California; M. Trovo, ELETTRA, Basovizza, Trieste; D. Wang, MIT, Middleton, Massachusetts; R.B. Wilcox, A. Zholents, LBNL, Berkeley, California","FERMI @ Elettra: Conceptual Design for a Seeded Harmonic Cascade FEL for EUV and Soft X-rays",
MOPCH022,"G. De Ninno, E. Allaria, ELETTRA, Basovizza, Trieste; W.M. Fawley, LBNL, Berkeley, California; W. Graves, MIT, Middleton, Massachusetts; G. Penn, LBNL, Berkeley, California","Time-resolved quot;Start-to-endquot; FEL Simulation Results for the FERMI @ Elettra Project",
MOPCH024,"L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); D. Alesini, INFN/LNF, Frascati (Roma); S. Ambrogio, ENEA C.R. Frascati, Frascati (Roma); M.E. Biagini, R. Boni, INFN/LNF, Frascati (Roma); M. Bougeard, B. Carré, CEA, Gif-sur-Yvette; M. Castellano, INFN/LNF, Frascati (Roma); F. Ciocci, ENEA C.R. Frascati, Frascati (Roma); A. Clozza, INFN/LNF, Frascati (Roma); M.-E. Couprie, SOLEIL, Gif-sur-Yvette; G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); A. Dipace, ENEA Portici, Portici (Napoli); A. Doria, ENEA C.R. Frascati, Frascati (Roma); A. Drago, M. Ferrario, V. Fusco, INFN/LNF, Frascati (Roma); G.P. Gallerano, ENEA C.R. Frascati, Frascati (Roma); A. Gallo, INFN/LNF, Frascati (Roma); D. Garzella, CEA, Gif-sur-Yvette; A. Ghigo, INFN/LNF, Frascati (Roma); E. Giovenale, ENEA C.R. Frascati, Frascati (Roma); M. Labat, G. Lambert, CEA, Gif-sur-Yvette; M. Mattioli, Università di Roma I La Sapienza, Roma; H. Merdji, CEA, Gif-sur-Yvette; M. Migliorati, INFN/LNF, Frascati (Roma); P. Musumeci, Università di Roma I La Sapienza, Roma; M. Nisoli, Politecnico/Milano, Milano; L. Palumbo, INFN/LNF, Frascati (Roma); M. Petrarca, Università di Roma I La Sapienza, Roma; L. P. Poletto, Univ. degli Studi di Padova, Padova; M. Quattromini, A. Renieri, C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); E. Sabia, ENEA Portici, Portici (Napoli); P. Salieres, CEA, Gif-sur-Yvette; C. Sanelli, INFN/LNF, Frascati (Roma); G. Sansone, Politecnico/Milano, Milano; L. Serafini, INFN-Milano, Milano; F. Sgamma, INFN/LNF, Frascati (Roma); I.P. Spassovsky, ENEA C.R. Frascati, Frascati (Roma); B. Spataro, INFN/LNF, Frascati (Roma); S. Stagira, Politecnico/Milano, Milano; O. Tcherbakoff, CEA, Gif-sur-Yvette; S. Tomassini, INFN/LNF, Frascati (Roma); G. T. Tondello, Univ. degli Studi di Padova, Padova; C. Vaccarezza, C. Vicario, INFN/LNF, Frascati (Roma); S. de Silvestri, Politecnico/Milano, Milano","Future Seeding Experiments at SPARC",
MOPCH025,"M. Boscolo, INFN/LNF, Frascati (Roma); I. Boscolo, F. Castelli, S. Cialdi, INFN-Milano, Milano; M. Ferrario, INFN/LNF, Frascati (Roma); P. Musumeci, INFN-Roma, Roma; C. Vaccarezza, INFN/LNF, Frascati (Roma)","Laser Comb: Simulations of Pre-modulated E- Beams at the Photocathode of a High Brightness RF Photoinjector",
MOPCH026,"L. Ficcadenti, Rome University La Sapienza, Roma; D. Alesini, INFN/LNF, Frascati (Roma); A. Bacci, INFN-Milano, Milano; M.E. Esposito, A. Mostacci, L. Palumbo, Rome University La Sapienza, Roma; B. Spataro, INFN/LNF, Frascati (Roma)","A Biperiodic X-band RF Cavity for SPARC",
MOPCH027,"G. Gatti, L. Cultrera, INFN/LNF, Frascati (Roma); A. Fiori, Università di Roma II Tor Vergata, Roma; J. Langner, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; S. Orlanducci, Università di Roma II Tor Vergata, Roma; A. Perrone, INFN-Lecce, Lecce; C. Ristoscu, INFLPR, Bucharest - Magurele; M. S. Sadowski, P. Strzyzewski, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; F. Tazzioli, C. Vicario, INFN/LNF, Frascati (Roma)","Metal Film Photocathodes for High Brightness Electron Injectors",
MOPCH028,"C. Vaccarezza, D. Alesini, INFN/LNF, Frascati (Roma); F. Alessandria, A. Bacci, INFN/LASA, Segrate (MI); M. Bellaveglia, S. Bertolucci, M.E. Biagini, R. Boni, M. Boscolo, INFN/LNF, Frascati (Roma); F. Broggi, INFN/LASA, Segrate (MI); M. Castellano, INFN/LNF, Frascati (Roma); L. Catani, E. Chiadroni, INFN-Roma II, Roma; S. Cialdi, INFN-Milano, Milano; A. Cianchi, INFN-Roma II, Roma; F. Ciocci, ENEA C.R. Frascati, Frascati (Roma); A. Clozza, L. Cultrera, INFN/LNF, Frascati (Roma); G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); C. De Martinis, INFN/LASA, Segrate (MI); G. Di Pirro, INFN/LNF, Frascati (Roma); A. Doria, ENEA C.R. Frascati, Frascati (Roma); A. Drago, INFN/LNF, Frascati (Roma); P. Emma, SLAC, Menlo Park, California; A. Esposito, M. Ferrario, INFN/LNF, Frascati (Roma); L. Ficcadenti, Rome University La Sapienza, Roma; D. Filippetto, INFN/LNF, Frascati (Roma); F. Flora, ENEA C.R. Frascati, Frascati (Roma); V. Fusco, INFN/LNF, Frascati (Roma); G.P. Gallerano, ENEA C.R. Frascati, Frascati (Roma); A. Gallo, A. Ghigo, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); D. Giove, INFN/LASA, Segrate (MI); E. Giovenale, ENEA C.R. Frascati, Frascati (Roma); S. Guiducci, INFN/LNF, Frascati (Roma); C. Maroli, INFN-Milano, Milano; M. Mattioli, Università di Roma I La Sapienza, Roma; M. Mauri, INFN/LASA, Segrate (MI); G. Messina, ENEA C.R. Frascati, Frascati (Roma); M. Migliorati, INFN/LNF, Frascati (Roma); A. Mostacci, Rome University La Sapienza, Roma; P. Musumeci, INFN-Roma, Roma; P.L. Ottaviani, ENEA C.R. Frascati, Frascati (Roma); L. Palumbo, INFN/LNF, Frascati (Roma); G. Parisi, ENEA C.R. Frascati, Frascati (Roma); L. Pellegrino, INFN/LNF, Frascati (Roma); V. Petrillo, INFN-Milano, Milano; L. Picardi, ENEA C.R. Frascati, Frascati (Roma); M.A. Preger, INFN/LNF, Frascati (Roma); M. Quattromini, ENEA C.R. Frascati, Frascati (Roma); S. Reiche, UCLA, Los Angeles, California; A. Renieri, ENEA C.R. Frascati, Frascati (Roma); M. Rome, INFN-Milano, Milano; C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); J.B. Rosenzweig, UCLA, Los Angeles, California; C. Sanelli, INFN/LNF, Frascati (Roma); C. Schaerf, INFN-Roma II, Roma; L. Serafini, INFN-Milano, Milano; M. Serio, F. Sgamma, B. Spataro, A. Stella, F. Tazzioli, M. Vescovi, C. Vicario, INFN/LNF, Frascati (Roma)","Status of the SPARX FEL Project",
MOPCH029,"P. Musumeci, Università di Roma I La Sapienza, Roma; D. Alesini, INFN/LNF, Frascati (Roma); F. Alessandria, A. Bacci, INFN-Milano, Milano; M. Bellaveglia, S. Bertolucci, R. Boni, INFN/LNF, Frascati (Roma); I. Boscolo, INFN-Milano, Milano; M. Boscolo, INFN/LNF, Frascati (Roma); F. Broggi, INFN-Milano, Milano; M. Castellano, INFN/LNF, Frascati (Roma); L. Catani, E. Chiadroni, INFN-Roma II, Roma; S. Cialdi, INFN-Milano, Milano; A. Cianchi, INFN-Roma II, Roma; F. Ciocci, ENEA C.R. Frascati, Frascati (Roma); A. Clozza, L. Cultrera, INFN/LNF, Frascati (Roma); G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); C. De Martinis, INFN-Milano, Milano; G. Di Pirro, INFN/LNF, Frascati (Roma); A. Dipace, A. Doria, ENEA C.R. Frascati, Frascati (Roma); A. Drago, A. Esposito, M. Ferrario, L. Ficcadenti, D. Filippetto, V. Fusco, INFN/LNF, Frascati (Roma); E. Gabrielli, INFN-Roma II, Roma; G.P. Gallerano, ENEA C.R. Frascati, Frascati (Roma); A. Gallo, G. Gatti, A. Ghigo, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); D. Giove, INFN-Milano, Milano; E. Giovenale, ENEA C.R. Frascati, Frascati (Roma); M. Incurvati, INFN/LNF, Frascati (Roma); D. Levi, Università di Roma I La Sapienza, Roma; C. Ligi, F. Marcellini, INFN/LNF, Frascati (Roma); C. Maroli, INFN-Milano, Milano; M. Mattioli, Università di Roma I La Sapienza, Roma; M. Mauri, INFN-Milano, Milano; G. Medici, Università di Roma I La Sapienza, Roma; G. Messina, ENEA C.R. Frascati, Frascati (Roma); M. Migliorati, A. Mostacci, INFN/LNF, Frascati (Roma); P.L. Ottaviani, S. Pagnutti, ENEA C.R. Frascati, Frascati (Roma); L. Palumbo, L. Pellegrino, INFN/LNF, Frascati (Roma); D. Pelliccia, Università di Roma I La Sapienza, Roma; A. Perrone, INFN-Lecce, Lecce; M. Petrarca, Università di Roma I La Sapienza, Roma; V. Petrillo, INFN-Milano, Milano; L. Picardi, ENEA C.R. Frascati, Frascati (Roma); M.A. Preger, INFN/LNF, Frascati (Roma); M. Quattromini, ENEA C.R. Frascati, Frascati (Roma); S. Reiche, UCLA, Los Angeles, California; A. Renieri, ENEA C.R. Frascati, Frascati (Roma); R. Ricci, INFN/LNF, Frascati (Roma); M. Rome, INFN-Milano, Milano; G. Ronci, C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); J.B. Rosenzweig, UCLA, Los Angeles, California; M. Rosetti, ENEA C.R. Frascati, Frascati (Roma); A.R. Rossi, INFN-Milano, Milano; E. Sabia, ENEA C.R. Frascati, Frascati (Roma); C. Sanelli, INFN/LNF, Frascati (Roma); M. Sassi, ENEA C.R. Frascati, Frascati (Roma); L. Serafini, INFN-Milano, Milano; M. Serio, F. Sgamma, B. Spataro, A. Stecchi, A. Stella, INFN/LNF, Frascati (Roma); S. Tazzari, INFN-Roma II, Roma; F. Tazzioli, INFN/LNF, Frascati (Roma); A. Torre, ENEA C.R. Frascati, Frascati (Roma); G. Travish, UCLA, Los Angeles, California; C. Vaccarezza, M. Vescovi, C. Vicario, INFN/LNF, Frascati (Roma); A. Zucchini, ENEA C.R. Frascati, Frascati (Roma)","Status of the SPARC Project",
MOPCH030,"V. Petrillo, Universita' degli Studi di Milano, Milano; A. Bacci, INFN-Milano, Milano; A. Colzato, Universita' degli Studi di Milano, Milano; M. Ferrario, INFN/LNF, Frascati (Roma); C. Maroli, L. Serafini, INFN-Milano, Milano","Production of Coherent X-rays with a Free Electron Laser Based on an Optical Wiggler",
MOPCH031,"L. Ficcadenti, Rome University La Sapienza, Roma; D. Alesini, INFN/LNF, Frascati (Roma); A. Bacci, INFN-Milano, Milano; M.E. Esposito, A. Mostacci, L. Palumbo, Rome University La Sapienza, Roma; B. Spataro, INFN/LNF, Frascati (Roma)","Progress on the Pi-mode X-band RF Cavity for SPARC",
