FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
MOPLS026,"B.F. Viaud, Montreal University, Montreal, Quebec; W. Kozanecki, CEA, Gif-sur-Yvette; C. O'Grady, J.M. Thompson, M. Weaver, SLAC, Menlo Park, California","Monitoring of Interaction-point Parameters using the 3-dimensional Luminosity Distribution Measured at PEP-II",
MOPLS027,"M.E. Biagini, INFN/LNF, Frascati (Roma); P. Raimondi, SLAC, Menlo Park, California; D. Schulte, CERN, Geneva; J. Seeman, SLAC, Menlo Park, California","Beam-beam Simulations for a Single Pass SuperB-factory",
MOPLS028,"A. Gallo, D. Alesini, INFN/LNF, Frascati (Roma); G. Benedetti, CELLS, Bellaterra (Cerdanyola del Vallès); M.E. Biagini, C. Biscari, R. Boni, M. Boscolo, B. Buonomo, A. Clozza, G.O. Delle Monache, E. Di Pasquale, G. Di Pirro, A. Drago, INFN/LNF, Frascati (Roma); L. Falbo, INFN-Pisa, Pisa; J.D. Fox, SLAC, Menlo Park, California; A. Ghigo, S. Guiducci, M. Incurvati, P. Iorio, INFN/LNF, Frascati (Roma); E. Levichev, BINP SB RAS, Novosibirsk; C. Ligi, F. Marcellini, C. Marchetti, G. Mazzitelli, C. Milardi, INFN/LNF, Frascati (Roma); S.A. Nikitin, BINP SB RAS, Novosibirsk; L. Pellegrino, INFN/LNF, Frascati (Roma); P.A. Piminov, BINP SB RAS, Novosibirsk; M.A. Preger, L. Quintieri, INFN/LNF, Frascati (Roma); P. Raimondi, SLAC, Menlo Park, California; R. Ricci, U. Rotundo, C. Sanelli, M. Serio, F. Sgamma, INFN/LNF, Frascati (Roma); D.N. Shatilov, BINP SB RAS, Novosibirsk; B. Spataro, A. Stecchi, A. Stella, INFN/LNF, Frascati (Roma); D. Teytelman, SLAC, Menlo Park, California; S. Tomassini, C. Vaccarezza, M. Vescovi, M. Zobov, INFN/LNF, Frascati (Roma)","DAFNE Status Report",
MOPLS029,"A. Gallo, D. Alesini, F. Marcellini, P. Raimondi, M. Zobov, INFN/LNF, Frascati (Roma)","Preliminary Study of a Crab Crossing System for DAFNE",
MOPLS030,"Y. Funakoshi, KEK, Ibaraki","Recent Progress of KEKB",
MOPLS031,"M. Masuzawa, Y. Funakoshi, T.T. Nakamura, J.-I. Odagiri, KEK, Ibaraki","Beam Orbit Control System for the KEKB Crab Cavities",
MOPLS032,"K. Ohmi, K. Oide, KEK, Ibaraki; E. Perevedentsev, BINP SB RAS, Novosibirsk","Beam-beam Limit and the Degree of Freedom",
MOPLS033,"K. Ohmi, Y. Funakoshi, S. Hiramatsu, K. Oide, M. Tobiyama, KEK, Ibaraki","Beam-beam Limit and Feedback Noise",
MOPLS037,"D.E. Berkaev, V.V. Druzhinin, I. Koop, A.P. Lysenko, F.V. Podgorny, V.P. Prosvetov, P.Yu. Shatunov, Y.M. Shatunov, D.B. Shwartz, BINP SB RAS, Novosibirsk","Beams Injection System for e+e- Collider VEPP-2000",
MOPLS038,"A. Bogomyagkov, V.E. Blinov, S. Karnaev, V. Kiselev, E.V. Kremyanskaya, E. Levichev, O.I. Meshkov, S.I. Mishnev, I. Morozov, N.Yu. Muchnoi, S.A. Nikitin, I.B. Nikolaev, A.G. Shamov, D.N. Shatilov, E.A. Simonov, A.N. Skrinsky, V.V. Smaluk, Yu.A. Tikhonov, G.M. Tumaikin, V.N. Zhilich, BINP SB RAS, Novosibirsk","Beam Energy Calibration in Experiment on Precise Tau Lepton Mass Measurement at VEPP-4M with KEDR Detector",
MOPLS040,"P.Yu. Shatunov, D.E. Berkaev, A.A. Borisov, I. Koop, N.A. Mezentsev, E. Perevedentsev, Y.M. Shatunov, D.B. Shwartz, BINP SB RAS, Novosibirsk; A. Valishev, Fermilab, Batavia, Illinois","Magnet Structure of the VEPP-2000 Electron-positron Collider",
MOPLS041,"F. Schmidt, CERN, Geneva; E. Forest, KEK, Ibaraki; C. Milardi, INFN/LNF, Frascati (Roma)","MAD-X/PTC Lattice Design for DAFNE at Frascati",
MOPLS042,"R. Holtzapple, Alfred University, Alfred, New York; B. Cerio, Colgate University, Hamilton, New York; J.S. Kern, Alfred University, Alfred, New York; M.A. Palmer, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; P.J.S. Stonaha, Alfred University, Alfred, New York","Longitudinal Beam Stability for CESR-c",
MOPLS043,"J.A. Crittenden, Cornell University, Department of Physics, Ithaca, New York; M.G. Billing, CESR-LEPP, Ithaca, New York","Studies of the Beam-beam Interaction at CESR",
MOPLS044,"F.-J. Decker, M. Boyes, W.S. Colocho, A. Novokhatski, M.K. Sullivan, J.L. Turner, S.P. Weathersby, U. Wienands, G. Yocky, SLAC, Menlo Park, California","Luminosity Variations along Bunch Trains in PEP-II",
MOPLS045,"J. Seeman, SLAC, Menlo Park, California; M.E. Biagini, INFN/LNF, Frascati (Roma); J. Browne, Y. Cai, W.S. Colocho, F.-J. Decker, M.H. Donald, S. Ecklund, R.A. Erickson, A.S. Fisher, J.D. Fox, S.A. Heifets, R.H. Iverson, SLAC, Menlo Park, California; W. Kozanecki, CEA, Gif-sur-Yvette; A. Kulikov, A. Novokhatski, V. Pacak, M.T.F. Pivi, C.H. Rivetta, M.C. Ross, P. Schuh, K.G. Sonnad, M. Stanek, M.K. Sullivan, P. Tenenbaum, D. Teytelman, J.L. Turner, D. Van Winkle, M. Weaver, U. Wienands, W. Wittmer, M. Woodley, Y.T. Yan, G. Yocky, SLAC, Menlo Park, California","Achieving a Luminosity of 1034/cm2/s in the PEP-II B-factory",
MOPLS047,"J. Seeman, SLAC, Menlo Park, California; M.E. Biagini, INFN/LNF, Frascati (Roma); Y. Cai, A. Novokhatski, SLAC, Menlo Park, California; P. Raimondi, INFN/LNF, Frascati (Roma); A. Seryi, M.K. Sullivan, U. Wienands, SLAC, Menlo Park, California","Design of an Asymmetric Super-B Factory",
MOPLS048,"Y. Cai, J. Seeman, K.G. Sonnad, U. Wienands, SLAC, Menlo Park, California","Doubling the PEP-II Luminosity in Simulations",
MOPLS049,"M.K. Sullivan, Y. Cai, S. DeBarger, F.-J. Decker, S. Ecklund, A.S. Fisher, S.M. Gierman, S.A. Heifets, R.H. Iverson, A. Kulikov, N. Kurita, S.J. Metcalfe, A. Novokhatski, J. Seeman, K.G. Sonnad, D. Teytelman, J.L. Turner, U. Wienands, D. Wright, Y.T. Yan, G. Yocky, SLAC, Menlo Park, California","Anomalous High Radiation Beam Aborts in the PEP-II B-factory",
MOPLS050,"A.J. Bevan, Queen Mary University of London, London; Y. Cai, A.S. Fisher, SLAC, Menlo Park, California; W. Kozanecki, CEA, Gif-sur-Yvette; C. O'Grady, J.M. Thompson, SLAC, Menlo Park, California; B.F. Viaud, Montreal University, Montreal, Quebec; M. Weaver, SLAC, Menlo Park, California","Combined Phase Space Characterization at the PEP-II IP using Single-beam and Luminous-region Measurements",
MOPLS051,"U. Wienands, R. Akre, S.C. Curry, S. DeBarger, F.-J. Decker, S. Ecklund, A.S. Fisher, S.A. Heifets, A. Krasnykh, A. Kulikov, A. Novokhatski, J. Seeman, M.K. Sullivan, D. Teytelman, D. Van Winkle, G. Yocky, SLAC, Menlo Park, California","Tracking Down a Fast Instability in the PEP-II LER",
MOPLS052,"Y. Cai, W.S. Colocho, F.-J. Decker, Y. Nosochkov, P. Raimondi, J. Seeman, K.G. Sonnad, M.K. Sullivan, J.L. Turner, M. Weaver, U. Wienands, W. Wittmer, M. Woodley, Y.T. Yan, G. Yocky, SLAC, Menlo Park, California","Luminosity Improvement at PEP-II Based on Optics Model and Beam-beam Simulation",
MOPLS053,"G. Yocky, SLAC, Menlo Park, California","Beta-beat Correction Using Strong Sextupole Bumps in PEP-II",
MOPLS054,"Y.A. Kot, F.J. Willeke, DESY, Hamburg","On Increasing the HERA Luminosity",
MOPLS055,"F.J. Willeke, DESY, Hamburg; J.B. Dainton, Cockcroft Institute, Warrington, Cheshire; M. Klein, DESY Zeuthen, Zeuthen; P. Newman, Birmingham University, Birmingham; E. Perez, CEA, Gif-sur-Yvette","A Lepton-proton Collider with LHC",
MOPLS056,"H. Karadeniz, TAEK, Ankara; S. Sultansoy, Gazi University, Faculty of Science and Arts, Ankara","QCD Explorer Proposal: E-linac versus E-ring",
MOPLS058,"V. Ptitsyn, BNL, Upton, Long Island, New York; D.P. Barber, DESY, Hamburg; J. Beebe-Wang, I. Ben-Zvi, A.V. Fedotov, W. Fischer, BNL, Upton, Long Island, New York; W.A. Franklin, MIT, Middleton, Massachusetts; W. Graves, V. Litvinenko, W.W. MacKay, BNL, Upton, Long Island, New York; R. Milner, MIT, Middleton, Massachusetts; C. Montag, BNL, Upton, Long Island, New York; A.V. Otboev, BINP SB RAS, Novosibirsk; S. Ozaki, T. Roser, BNL, Upton, Long Island, New York; Y.M. Shatunov, BINP SB RAS, Novosibirsk; B. Surrow, MIT, Cambridge, Massachusetts; S. Tepikian, D. Trbojevic, BNL, Upton, Long Island, New York; C. Tschalaer, E. Tsentalovich, D. Wang, F. Wang, A. Zolfaghari, T. Zwart, J. van der Laan, MIT, Middleton, Massachusetts","eRHIC - Future Machine for Experiments on Electron-ion Collisions",
MOPLS059,"A. Mosnier, M. Authier, D. Bogard, A. Curtoni, O. Delferriere, G. Dispau, R. Duperrier, W. Farabolini, P. Girardot, M. Jablonka, J.L. Jannin, M. Luong, F. Peauger, CEA, Gif-sur-Yvette; N. Rouvière, IPN, Orsay; R. Roux, LAL, Orsay","The Probe Beam Linac in CTF3",
MOPLS060,"J. Payet, CEA, Gif-sur-Yvette; M. Alabau Pons, LAL, Orsay; D.A.-K. Angal-Kalinin, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; R. Appleby, UMAN, Manchester; P. Bambade, J. Brossard, O. Dadoun, LAL, Orsay; F. Jackson, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; L. Keller, SLAC, Menlo Park, California; O. Napoly, CEA, Gif-sur-Yvette; Y. Nosochkov, SLAC, Menlo Park, California; C. Rimbault, LAL, Orsay; C. Rippon, CEA, Gif-sur-Yvette; A. Seryi, SLAC, Menlo Park, California; D. Uriot, CEA, Gif-sur-Yvette","Design of an Interaction Region with Head-on Collisions for the ILC",
MOPLS061,"M. Alabau Pons, M. Alabau Pons, IFIC, Valencia; R. Appleby, UMAN, Manchester; P. Bambade, O. Dadoun, LAL, Orsay; A. Faus-Golfe, IFIC, Valencia","Optimization of the e-e- Option for the ILC",
MOPLS063,"R. Amirikas, A. Bertolini, W. Bialowons, DESY, Hamburg","Accelerator Component Vibration Studies and Tools",
MOPLS064,"W. Bialowons, R. Amirikas, A. Bertolini, D. Kruecker, DESY, Hamburg","Measurement of Ground Motion in Various Sites",
MOPLS065,"N.J. Walker, D. Kruecker, F. Poirier, DESY, Hamburg","An ILC Main Linac Simulation Package Based on Merlin",
MOPLS066,"N.K. Watson, D. Adey, Birmingham University, Birmingham; D.A.-K. Angal-Kalinin, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; R. Arnold, SLAC, Menlo Park, California; R.J. Barlow, UMAN, Manchester; C.D. Beard, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; A. Bungau, UMAN, Manchester; D.A. Burton, Lancaster University, Lancaster; C. Densham, G. Ellwood, CCLRC/RAL, Chilton, Didcot, Oxon; R.A. Erickson, SLAC, Menlo Park, California; J.L. Fernandez-Hernando, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; R.J.S. Greenhalgh, CCLRC/RAL, Chilton, Didcot, Oxon; C. Hast, SLAC, Menlo Park, California; F. Jackson, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; R.M. Jones, UMAN, Manchester; Y.K. Kolomensky, UCB, Berkeley, California; G.Yu. Kourevlev, UMAN, Manchester; M. Kärkkäinen, TEMF, Darmstadt; T.W. Markiewicz, SLAC, Menlo Park, California; A. Mercer, UMAN, Manchester; S. Molloy, SLAC, Menlo Park, California; W.F.O. Müller, TEMF, Darmstadt; J. O'Dell, CCLRC/RAL, Chilton, Didcot, Oxon; M.C. Ross, S. Seletskiy, A. Seryi, SLAC, Menlo Park, California; N. Shales, Microwave Research Group, Lancaster University, Lancaster; M. Slater, University of Cambridge, Cambridge; J.D.A. Smith, A. Sopczak, Lancaster University, Lancaster; M.C. Stockton, Birmingham University, Birmingham; Z. Szalata, P. Tenenbaum, SLAC, Menlo Park, California; R. Tucker, Lancaster University, Lancaster; T. Weiland, TEMF, Darmstadt; M. Woodley, M. Woods, SLAC, Menlo Park, California; I. Zagorodnov, DESY, Hamburg; F. Zimmermann, CERN, Geneva","Direct Measurement of Geometric and Resistive Wakefields in Tapered Collimators for the International Linear Collider",
MOPLS067,"M. Woods, SLAC, Menlo Park, California; D. Adey, Birmingham University, Birmingham; C. Adolphsen, SLAC, Menlo Park, California; M. Albrecht, Notre Dame University, Notre Dame, Iowa; W.W.M. Allison, OXFORDphysics, Oxford, Oxon; D.A.-K. Angal-Kalinin, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; R. Arnold, SLAC, Menlo Park, California; R.J. Barlow, UMAN, Manchester; C.D. Beard, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; V. Blackmore, OXFORDphysics, Oxford, Oxon; S.T. Boogert, Royal Holloway, University of London, Surrey; G.B. Bowden, G.R. Bower, SLAC, Menlo Park, California; A. Bungau, UMAN, Manchester; P. Burrows, OXFORDphysics, Oxford, Oxon; D.A. Burton, Lancaster University, Lancaster; W.E. Chickering, UCB, Berkeley, California; G.B. Christian, C.C. Clarke, OXFORDphysics, Oxford, Oxon; C. Densham, CCLRC/DL, Daresbury, Warrington, Cheshire; G. Doucas, OXFORDphysics, Oxford, Oxon; V. Duginov, JINR, Dubna, Moscow Region; G. Ellwood, CCLRC/RAL, Chilton, Didcot, Oxon; R.A. Erickson, SLAC, Menlo Park, California; J.L. Fernandez-Hernando, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; H. Fieguth, J.C. Frisch, SLAC, Menlo Park, California; F. Gournaris, UCL, London; R.J.S. Greenhalgh, CCLRC/DL, Daresbury, Warrington, Cheshire; A.F. Hartin, OXFORDphysics, Oxford, Oxon; C. Hast, SLAC, Menlo Park, California; M.H. Hildreth, Notre Dame University, Notre Dame, Iowa; C.T. Hlaing, UCB, Berkeley, California; P.G. Huggard, CCLRC/RAL, Chilton, Didcot, Oxon; R.H. Iverson, SLAC, Menlo Park, California; F. Jackson, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; M.B. Johnston, University of Oxford, Clarendon Laboratory, Oxford; A. Kalinin, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; O.N. Khainovski, UCB, Berkeley, California; M.F. Kimmitt, University of Essex, Physics Centre, Colchester; Y.K. Kolomensky, UCB, Berkeley, California; S.A. Kostromin, JINR, Dubna, Moscow Region; G.Yu. Kourevlev, UMAN, Manchester; Z. Li, SLAC, Menlo Park, California; A. Lyapin, B. Maiheu, S. Malton, UCL, London; T.W. Markiewicz, D.J. McCormick, SLAC, Menlo Park, California; A. Mercer, UMAN, Manchester; D.J. Miller, UCL, London; S. Molloy, SLAC, Menlo Park, California; N.A. Morozov, JINR, Dubna, Moscow Region; J. Nelson, SLAC, Menlo Park, California; J. O'Dell, CCLRC/RAL, Chilton, Didcot, Oxon; T. Orimoto, UCB, Berkeley, California; B. Ottewell, C. Perry, OXFORDphysics, Oxford, Oxon; M.T.F. Pivi, M.C. Ross, SLAC, Menlo Park, California; H.J. Schriber, DESY Zeuthen, Zeuthen; S. Seletskiy, A. Seryi, SLAC, Menlo Park, California; N. Shales, Microwave Research Group, Lancaster University, Lancaster; N. Sinev, University of Oregon, Eugene, Oregon; M. Slater, University of Cambridge, Cambridge; J.D.A. Smith, Lancaster University, Lancaster; S. Smith, SLAC, Menlo Park, California; A. Sopczak, Microwave Research Group, Lancaster University, Lancaster; M.C. Stockton, Birmingham University, Birmingham; Y. Sugimoto, KEK, Ibaraki; C. Swinson, OXFORDphysics, Oxford, Oxon; Z. Szalata, P. Tenenbaum, SLAC, Menlo Park, California; M.T. Thomson, University of Cambridge, Cambridge; E.T. Torrence, University of Oregon, Eugene, Oregon; R. Tucker, Lancaster University, Lancaster; M. Viti, DESY Zeuthen, Zeuthen; S. Walston, LLNL, Livermore, California; D.R. Ward, University of Cambridge, Cambridge; N.K. Watson, Birmingham University, Birmingham; T. Weiland, TEMF, Darmstadt; M. Wendt, Fermilab, Batavia, Illinois; G.R. White, OXFORDphysics, Oxford, Oxon; M.W. Wing, UCL, London; I. Zagorodnov, DESY, Hamburg; F. Zimmermann, CERN, Geneva","Test Beam Studies at SLAC's End Station A, for the International Linear Collider",
MOPLS068,"G. Ellwood, R.J.S. Greenhalgh, CCLRC/RAL, Chilton, Didcot, Oxon","Beam Impact of the ILC Collimators",
MOPLS069,"Y. Ivanyushenkov, CCLRC/RAL, Chilton, Didcot, Oxon; I.R. Bailey, D.P. Barber, Cockcroft Institute, Warrington, Cheshire; E. Baynham, T.W. Bradshaw, A.J. Brummitt, F.S. Carr, CCLRC/RAL, Chilton, Didcot, Oxon; J.A. Clarke, Cockcroft Institute, Warrington, Cheshire; P. Cooke, Liverpool University, Science Faculty, Liverpool; J.B. Dainton, O.B. Malyshev, Cockcroft Institute, Warrington, Cheshire; L.I. Malysheva, Liverpool University, Science Faculty, Liverpool; G.A. Moortgat-Pick, CERN, Geneva; J. Rochford, CCLRC/RAL, Chilton, Didcot, Oxon; D.J. Scott, B.J.A. Shepherd, Cockcroft Institute, Warrington, Cheshire","Development of a Superconducting Helical Undulator for the ILC Positron Source",
MOPLS070,"C.D. Beard, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; J.D.A. Smith, Cockcroft Institute, Warrington, Cheshire","Numerical Calculations of Collimator Insertions",
MOPLS071,"C.D. Beard, P.A. Corlett, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; R.M. Jones, Cockcroft Institute, Warrington, Cheshire; A.J. Moss, J.H.P. Rogers, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","TDR Measurements in support of ILC Collimator Studies",
MOPLS072,"J.A. Clarke, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; I.R. Bailey, Liverpool University, Science Faculty, Liverpool; D.P. Barber, DESY, Hamburg; E. Baynham, T.W. Bradshaw, A.J. Brummitt, F.S. Carr, CCLRC/RAL, Chilton, Didcot, Oxon; P. Cooke, J.B. Dainton, Liverpool University, Science Faculty, Liverpool; Y. Ivanyushenkov, CCLRC/RAL, Chilton, Didcot, Oxon; O.B. Malyshev, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; L.I. Malysheva, Liverpool University, Science Faculty, Liverpool; G.A. Moortgat-Pick, Durham University, Durham; J. Rochford, CCLRC/RAL, Chilton, Didcot, Oxon; D.J. Scott, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Status of the HeLiCal Contribution to the Polarised Positron Source for the International Linear Collider",
MOPLS073,"L. Fernandez-Hernando, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; R.J. Barlow, UMAN, Manchester; A. Bungau, Cockcroft Institute, Warrington, Cheshire; L. Keller, SLAC, Menlo Park, California; N.K. Watson, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Shower Simulations, Comparison of Fluka, Geant4 and EGS4",
MOPLS074,"F. Jackson, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Collimation Optimisation in the Beam Delivery System of the International Linear Collider",
MOPLS075,"G. Burt, Cockcroft Institute, Warrington, Cheshire; C.D. Beard, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; L. Bellantoni, Fermilab, Batavia, Illinois; A.C. Dexter, Cockcroft Institute, Warrington, Cheshire; P. Goudket, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Progress towards Crab Cavity Solutions for the ILC",
MOPLS076,"A.F. Hartin, A.F. Hartin, OXFORDphysics, Oxford, Oxon","The Stimulated Breit-Wheeler Process as a Source of Background e+e- Pairs at the ILC",
MOPLS077,"R. Appleby, UMAN, Manchester; D.A.-K. Angal-Kalinin, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; P. Bambade, LAL, Orsay; J. Carter, Royal Holloway, University of London, Surrey; O. Dadoun, LAL, Orsay; L. Keller, K. C. Moffeit, SLAC, Menlo Park, California; O. Napoly, CEA, Gif-sur-Yvette; Y. Nosochkov, SLAC, Menlo Park, California; B. Parker, BNL, Upton, Long Island, New York; A. Seryi, C.M. Spencer, SLAC, Menlo Park, California","The 2mrad Crossing Angle Interaction Region and Extraction Line",
MOPLS078,"R. Appleby, UMAN, Manchester; P. Bambade, O. Dadoun, LAL, Orsay; A. Ferrari, UU/ISV, Uppsala","Benchmarking of Tracking Codes (BDSIM/DIMAD) using the ILC Extraction Lines",
MOPLS079,"R. Appleby, UMAN, Manchester; J.R.J. Bennett, T.A. Broome, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; C. Densham, CCLRC/DL, Daresbury, Warrington, Cheshire; H. Vincke, CERN, Geneva","The Charged Beam Dumps for the International Linear Collider",
MOPLS080,"S.T. Boogert, Royal Holloway, University of London, Surrey; A. Aryshev, KEK, Ibaraki; G.A. Blair, G.E. Boorman, A. Bosco, Royal Holloway, University of London, Surrey; A. Brachmann, SLAC, Menlo Park, California; L. Deacon, Royal Holloway, University of London, Surrey; N. Delerue, JAI, Oxford; S. Dixit, OXFORDphysics, Oxford, Oxon; C. Driouichi, Royal Holloway, University of London, Surrey; F.B. Foster, OXFORDphysics, Oxford, Oxon; J.C. Frisch, SLAC, Menlo Park, California; G.F. Gannaway, OXFORDphysics, Oxford, Oxon; H. Hayano, KEK, Ibaraki; D.F. Howell, OXFORDphysics, Oxford, Oxon; L.J. Jenner, Cockcroft Institute, Warrington, Cheshire; T. Kamps, BESSY GmbH, Berlin; V. Karataev, K. Kubo, KEK, Ibaraki; Q.M. Qureshi, A. Reichold, OXFORDphysics, Oxford, Oxon; M.C. Ross, SLAC, Menlo Park, California; R. Senanayake, OXFORDphysics, Oxford, Oxon; N. Terunuma, J. Urakawa, KEK, Ibaraki","A Laser-wire System at the ATF Extraction Line",
MOPLS081,"S. Dixit, JAI, Oxford; G.A. Blair, S.T. Boogert, G.E. Boorman, A. Bosco, Royal Holloway, University of London, Surrey; A. Brachmann, SLAC, Menlo Park, California; N. Delerue, JAI, Oxford; C. Driouichi, Royal Holloway, University of London, Surrey; F.B. Foster, OXFORDphysics, Oxford, Oxon; J.C. Frisch, SLAC, Menlo Park, California; G.J. Hirst, CCLRC/RAL, Chilton, Didcot, Oxon; D.F. Howell, OXFORDphysics, Oxford, Oxon; K.J. Peach, JAI, Oxford; Q.G. Quelch, Q.M. Qureshi, A. Reichold, OXFORDphysics, Oxford, Oxon; I. N. Ross, CCLRC/RAL, Chilton, Didcot, Oxon; M.C. Ross, SLAC, Menlo Park, California; V. Soskov, LAL, Orsay; J. Urakawa, KEK, Ibaraki; V. Variola, Z.F. Zomer, LAL, Orsay","A Study of Laser System Requirements for Application in Beam Diagnostics and Polarimetry at the ILC",
MOPLS082,"J. Carter, I.V. Agapov, G.A. Blair, L. Deacon, Royal Holloway, University of London, Surrey; A.I. Drozhdin, N.V. Mokhov, Fermilab, Batavia, Illinois; Y. Nosochkov, A. Seryi, SLAC, Menlo Park, California","Simulation of the ILC Collimation System Using BDSIM, MARS15 and STRUCT",
MOPLS083,"K. Watanabe, GUAS/AS, Ibaraki; H. Hayano, E. Kako, S. Noguchi, T. Shishido, KEK, Ibaraki","Higher Order Mode Study of Superconducting Cavity for ILC Baseline",
MOPLS084,"F. Furuta, Y. Higashi, T. Higo, I.H. Inoue, S. Kazakov, Y. Kobayashi, H. Matsumoto, Y. Morozumi, R.S. Orr, T. Saeki, K. Saito, KEK, Ibaraki; J.S. Sekutowicz, DESY, Hamburg; K. Ueno, H. Yamaoka, KEK, Ibaraki","Experimental Comparison at KEK of High Gradient Performance of Different Single Cell Superconducting Cavity Designs",
MOPLS085,"H. Matsumoto, F. Furuta, I.H. Inoue, K. Saito, S.N. Sakamoto, K. Ueno, KEK, Ibaraki","Experience with a Zero Impedance Vacuum Flange at He Super-Leak Temperature for the ILC",
MOPLS087,"T. Saeki, F. Furuta, KEK, Ibaraki; M.Q. Ge, IHEP Beijing, Beijing; Y. Higashi, T. Higo, S. Kazakov, KEK, Ibaraki; K. Kim, Kyungpook National University, Daegu; H. Matsumoto, Y. Morozumi, KEK, Ibaraki; R.S. Orr, University of Toronto, Toronto, Ontario; K. Saito, N. Toge, K. Ueno, H. Yamaoka, KEK, Ibaraki","Series Test of High-gradient Single-cell Superconducting Cavity for the Establishment of KEK Recipe",
MOPLS088,"Y. Iwashita, Kyoto ICR, Uji, Kyoto","Resonant Kicker System for Head-on-collision Option of Linear Collider",
MOPLS090,"I. Rodriguez, CIEMAT, Madrid; L. García-Tabarés, CEDEX, Madrid; A. Ghigo, F. Marcellini, INFN/LNF, Frascati (Roma); F. Toral, CIEMAT, Madrid","Design of a Strip-line Extraction Kicker for CTF3 Combiner Ring",
MOPLS091,"V.G. Ziemann, T. J. C. Ekelof, UU/ISV, Uppsala; P. Eliasson, CERN, Geneva; A. Ferrari, UU/ISV, Uppsala","First Design of a Post Collision Line for CLIC at 3 TeV",
MOPLS092,"R.W. Assmann, F. Zimmermann, CERN, Geneva","Efficient Collimation and Machine Protection for the Compact Linear Collider",
MOPLS093,"R. Corsini, CERN, Geneva; D. Alesini, C. Biscari, B. Buonomo, INFN/LNF, Frascati (Roma); S. Doebert, CERN, Geneva; A. Ghigo, F. Marcellini, B. Preger, M. Serio, A. Stella, INFN/LNF, Frascati (Roma); F. Tecker, P. Urschütz, CERN, Geneva","Commissioning Status of the CTF3 Delay Loop",
MOPLS094,"P. Eliasson, M. Korostelev, D. Schulte, R. Tomas, F. Zimmermann, CERN, Geneva","Luminosity Tuning at the Interaction Point",
MOPLS095,"T. Ramsvik, S. Calatroni, A. Reginelli, M. Taborelli, CERN, Geneva","Investigations of DC Breakdown Fields",
MOPLS096,"G. Rumolo, A. Latina, D. Schulte, CERN, Geneva","Effects of Wake Fields in the CLIC BDS",
MOPLS097,"D. Schulte, CERN, Geneva; D. Carrillo, CIEMAT, Madrid; S. Doebert, G. Rumolo, I. Syratchev, CERN, Geneva","Progress on the CTF3 Test Beam Line",
MOPLS098,"D. Schulte, P. Eliasson, A. Latina, CERN, Geneva; F. Poirier, N.J. Walker, DESY, Hamburg","Study of an ILC Main Linac that Follows the Earth Curvature",
MOPLS099,"D. Schulte, P. Eliasson, CERN, Geneva; Eckhard. Elsen, D. Kruecker, DESY, Hamburg; A. Latina, CERN, Geneva; F. Poirier, N.J. Walker, G.X. Xia, DESY, Hamburg","A Study of Failure Modes in the ILC Main Linac",
MOPLS100,"R. Tomas, H.-H. Braun, D. Schulte, F. Zimmermann, CERN, Geneva","CLIC Final Focus Studies",
MOPLS101,"P. Urschütz, H.-H. Braun, G. Carron, R. Corsini, S. Doebert, T. Lefevre, G. McMonagle, J. Mourier, J.P.H. Sladen, F. Tecker, L. Thorndahl, C.P. Welsch, CERN, Geneva","Beam Dynamics and First Operation of the Sub-harmonic Bunching System in the CTF3 Injector",
MOPLS102,"P. Urschütz, H.-H. Braun, R. Corsini, S. Doebert, CERN, Geneva; A. Ferrari, UU/ISV, Uppsala; F. Tecker, CERN, Geneva","Beam Dynamic Studies and Emittance Optimization in the CTF3 Linac at CERN",
