mopc14,"S. Naveed, A.A. Nosych, C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] S. Naveed, A.A. Nosych, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] A.A. Nosych, L. Soby (L. Søby) [CERN, Geneva, Switzerland] ","Beam Position Monitors R&D for keV Ion Beams",78 81,
mopc16,"G. Schuenemann (G. Schünemann), P. Hartmann, D. Schirmer, G. Schmidt, P. Towalski, T. Weis [DELTA, Dortmund, Germany] ","FPGA Based Fast Orbit Feedback Data Acquisition System for Electron and Hadron Storage Rings",82 84,
mopc17,"M. Gasior [CERN, Geneva, Switzerland] ","Calibration of a Non-Linear Beam Position Monitor Electronics by Switching Electrode Signals",85 88,
mopc18,"J.L. Gonzalez, T.B. Bogey, C. Deplano, J.-J. Savioz [CERN, Geneva, Switzerland] ","Development of a High Dynamic Range Beam Position Measurement System Using Logarithmic Amplifiers for the SPS at CERN",89 92,
mopc19,"I. Podadera, F.M. De Aragon, A. Guirao, D. Jimenez, A. Lara, L.M. Martinez, J. Molla [CIEMAT, Madrid, Spain] ","Status of the Beam Position Monitors for LIPAc",93 96,
mopc20,"R.J. Steinhagen [CERN, Geneva, Switzerland] M.J. Boland [SLSA, Clayton, Australia] T.G. Lucas, R.P. Rassool [The University of Melbourne, Melbourne, Australia] T.M. Mitsuhashi [KEK, Ibaraki, Japan] ","Application of Metal-Semiconductor-Metal (MSM) Photodetectors for Transverse and Longitudinal Intra-Bunch Beam Diagnostics",97 100,
mopc21,"M.H. Almalki, G. Clemente, P. Forck, L. Groening, W. Kaufmann, P. Kowina, C. Krüger, R. Singh [GSI, Darmstadt, Germany] W. Ackermann [TEMF, TU Darmstadt, Darmstadt, Germany] M.H. Almalki [IAP, Frankfurt am Main, Germany] M.H. Almalki [KACST, Riyadh, Kingdom of Saudi Arabia] B.B. Baricevic, R. Hrovatin, P.L. Lemut, M. Znidarcic [I-Tech, Solkan, Slovenia] C.S. Simon [CEA/DSM/IRFU, France] ","Layout of the BPM System for p-LINAC at FAIR and the Digital Methods for Beam Position and Phase Monitoring",101 103,
mopc22,"A. Buechner (A. Büchner), B. Lange [HZDR, Dresden, Germany] ","A New High-Dynamic Range BPM for ELBE with Integrated Differential Current Monitor (DCM)",104 107,
mopc24,"S. De Santis, M.J. Chin, D. Filippetto, W.E. Norum, Z. Paret, G.J. Portmann, F. Sannibale, R.P. Wells [LBNL, Berkeley, California, USA] ","Design Of The Stripline BPM For The Advanced Photoinjector Experiment",108 111,
mopc25,"H. J. Choi, H.-S. Kang, C. Kim, S.H. Kim, S.J. Lee, S.J. Park, H. Yang [PAL, Pohang, Kyungbuk, Republic of Korea] ","About BPMS to be Used for PAL-XFEL",112 115,
mopc26,"D. Teytelman [Private Address, San Jose, USA] ","Optimization of Bunch-to-Bunch Isolation in Instability Feedback Systems",116 119,
mopc27,"S.T. Boogert [Royal Holloway, University of London, Surrey, United Kingdom] S.T. Boogert, F.J. Cullinan, Y.I. Kim, A. Lyapin, J. Snuverink [JAI, Egham, Surrey, United Kingdom] T. Tauchi, N. Terunuma, J. Urakawa [KEK, Ibaraki, Japan] G.R. White [SLAC, Menlo Park, California, USA] ","Cavity Beam Position Monitor System for ATF2",120 123,
mopc28,"J.E. Dusatko, J.M. Cesaratto, J.D. Fox, J.J. Olsen, C.H. Rivetta [SLAC, Menlo Park, California, USA] W. Höfle [CERN, Geneva, Switzerland] ","The Hardware Implementation of the CERN SPS Ultrafast Feedback Processor Demonstrator",124 127,
mopc29,"T. Rueckelt [Technische Universitaet Darmstadt (TU Darmstadt), Signal Processing Group, Darmstadt, Germany] M. Alhumaidi, T. Rueckelt, A.M. Zoubir [TU Darmstadt, Darmstadt, Germany] ","Realization of Transverse Feedback System for SIS18/100 using FPGA",128 131,
mopc31,"M.T. Switka, W. Hillert, M. Schedler, S. Zander [ELSA, Bonn, Germany] ","Streak Camera Imaging at ELSA",132 134,
mopc32,"C. Sydlo, M.K. Czwalinna, M. Felber, C. Gerth, T. Lamb, H. Schlarb, S. Schulz, F. Zummack [DESY, Hamburg, Germany] S. Jablonski (S. Jabłoński) [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] ","Development Status of Optical Synchronization for the European XFEL",135 138,
mopc33,"F. Zummack, M.K. Czwalinna, M. Felber, T. Lamb, H. Schlarb, S. Schulz, C. Sydlo [DESY, Hamburg, Germany] S. Jablonski (S. Jabłoński) [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] ","Status of the Fiber Link Stabilization Units at FLASH",139 142,
mopc34,"W. Shields, R. Bartolini, A.F.D. Morgan, G. Rehm [Diamond, Oxfordshire, United Kingdom] R. Bartolini, P. Karataev [JAI, Oxford, United Kingdom] P. Karataev [Royal Holloway, University of London, Surrey, United Kingdom] ","Longitudinal Beam Profile Monitor for Investigating the Microbunching Instability at Diamond Light Source",143 146,
mopc35,"T.E. Levens, T. Bohl, U. Wehrle [CERN, Geneva, Switzerland] ","A Beam-Synchronous Gated Peak-Detector for the LHC Beam Observation System",147 150,
mopc36,"P. Forck, C. Dorn, O.K. Kester, P. Kowina, B. Zwicker [GSI, Darmstadt, Germany] O.K. Kester [IAP, Frankfurt am Main, Germany] ","Test of a Non-Invasive Bunch Shape Monitor at GSI High Current LINAC",151 153,
mopc37,"E. Hass [Uni HH, Hamburg, Germany] C. Behrens, C. Gerth, B. Schmidt, M. Yan [DESY, Hamburg, Germany] S. Wesch [HZB, Berlin, Germany] ","Longitudinal Bunch Profile Reconstruction Using Broadband Coherent Radiation at FLASH",154 157,
mopc38,"R. Schurig, S. Findeisen, M. Gensch, B.W. Green, J. Hauser, S. Kovalev, M. Kuntzsch, U. Lehnert, F. Roeser (F. Röser), Ch. Schneider [HZDR, Dresden, Germany] A. Al-Shemmary, M. Bousonville, M.K. Czwalinna, T. Golz, H. Schlarb, B. Schmidt, S. Schulz, N. Stojanovic, S. Vilcins [DESY, Hamburg, Germany] E. Hass [Uni HH, Hamburg, Germany] ","Overview on Electron Bunch and Photon Beam Diagnostic Techniques for CW Linear Accelerators Using the Example of ELBE",158 158,
mopc39,"C.Y. Liao, M.C. Chou, K.T. Hsu, K.H. Hu, C.H. Kuo, C.-C. Kuo, W.K. Lau, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Commissioning of a New Streak Camera at TLS for TPS Project",159 162,
mopc40,"A.V. Aleksandrov, C. Huang, Y. Liu, A.P. Shishlo, A.P. Zhukov [ORNL, Oak Ridge, Tennessee, USA] ","Measurement of Longitudinal Bunch Profile and Twiss Parameters in SNS LINAC",163 166,
mopc41,"P. Krejcik, E.L. Bong, M. Boyes, S. Condamoor, J.P. Eichner, G.L. Gassner, A.A. Haase, B. Hong, B. Morris, J.J. Olsen, D.W. Sprehn, J.W. Wang [SLAC, Menlo Park, California, USA] ","Engineering Design of the New LCLS X-band Transverse Deflecting Cavity",167 169,
mopc42,"A. Kalinin [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","Novel Pickup for Bunch Arrival Time Monitor",170 173,
mopc43,"M. Hempel [BTU, Cottbus, Germany] T. Baer, A.E. Dabrowski [CERN, Geneva, Switzerland] E. Griesmayer [ATI, Wien, Austria] W. Lange, O. Novgorodova [DESY Zeuthen, Zeuthen, Germany] W. Lohmann [DESY, Hamburg, Germany] N.J. Odell [NU, Evanston, USA] D.P. Stickland [PU, Princeton, New Jersey, USA] ","Performance of Detectors using Diamond Sensors at the LHC and CMS",174 177,
mopc44,"M. Kwiatkowski, M. Alsdorf, B. Dehning, W. Vigano (W. Viganò), C. Zamantzas [CERN, Geneva, Switzerland] ","A Gigabit Ethernet Link for an FPGA Based Beam Loss Measurement System",178 181,
mopc45,"E. Effinger, T. Baer, B. Dehning, R. Schmidt [CERN, Geneva, Switzerland] H. Frais-Kölbl [FH WN, Wiener Neustadt, Austria] E. Griesmayer [ATI, Wien, Austria] P. Kavrigin [CIVIDEC Instrumentation, Wien, Austria] ","A Prototype Readout System for the Diamond Beam Loss Monitors at LHC",182 185,
mopc46,"Z. Liu, T. Russo, R.C. Webber, Y. Yamazaki, Y. Zhang [FRIB, East Lansing, Michigan, USA] ","Beam Loss Monitor System for Low-Energy Heavy-Ion FRIB Accelerators",186 188,
mopc47,"E. Nebot Del Busto, S. Mallows, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] E. Branger [Linköping University, Linköping, Sweden] S. Doebert (S. Döbert), E.B. Holzer, R.L. Lillestol (R.L. Lillestøl), S. Mallows, E. Nebot Del Busto [CERN, Geneva, Switzerland] R.L. Lillestol (R.L. Lillestøl) [University of Oslo, Oslo, Norway] C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Monte Carlo Simulations of Beam Losses in the Test Beam Line of CTF3",189 192,
mopf01,"U. Iriso, L. Torino [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] T.M. Mitsuhashi [KEK, Ibaraki, Japan] ","Transverse Beam Size Measurements Using Interferometry at ALBA",193 196,
mopf02,"M. Li, X.C. Kang, R.S. Mao, J.X. Wu, Y.J. Yuan, J. Zhang, Y. Zhang, G. Zhu [IMP, Lanzhou, People's Republic of China] ","The Wire Scanner Control Sytem for C-ADS Injector-II",197 199,
mopf03,"A.S. Alexandrova, C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] A.S. Alexandrova, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","Laser Diode Velocimeter-Monitor Based on Self-Mixing Technique",200 203,
mopf04,"B. Bolzon, C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] A.S. Aryshev [KEK, Ibaraki, Japan] B. Bolzon, T. Lefevre (T. Lefèvre), S. Mazzoni [CERN, Geneva, Switzerland] B. Bolzon, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] P. Karataev, K.O. Kruchinin [Royal Holloway, University of London, Surrey, United Kingdom] P. Karataev [JAI, Egham, Surrey, United Kingdom] ","Results of the High Resolution OTR Measurements at KEK and Comparison with Simulations",204 207,
mopf05,"L. Pribyl [Czech Republic Academy of Sciences, Institute of Physics, Prague, Czech Republic] ","Operating Semiconductor Timepix Detector with Optical Readout in an Extremely Hostile Environment of Laser Plasma Acceleration Experiment",208 211,
mopf06,"H. Delsim-Hashemi, K. Floettmann (K. Flöttmann) [DESY, Hamburg, Germany] S. Bayesteh [Uni HH, Hamburg, Germany] ","Beam Profile Monitors at REGAE",212 215,
mopf07,"S. Burger, A. Boccardi, E. Bravin, A. Goldblatt, A. Ravni, F. Roncarolo, R.S. Sautier [CERN, Geneva, Switzerland] ","Turn by Turn Profile Monitors for the CERN SPS and LHC",216 219,
mopf08,"A. Goldblatt, E. Bravin, F. Roncarolo, G. Trad [CERN, Geneva, Switzerland] ","Design and Performance of the Upgraded LHC Synchrotron Light Monitor",220 223,
