mod1a01,"G. Rehm, M. G. Abbott, J. Rowland, I. Uzun, Diamond, Oxfordshire","Digital EBPMs at Diamond: Operational Experience and Integration into a Fast Global Orbit Feedback",24 26,
tupb29,"M. Krasilnikov, DESY, Hamburg; J. W. Baehr, M. Hänel, F. Stephan, DESY Zeuthen, Zeuthen; I. Will, MBI, Berlin","Experimental Optimization of the Cathode Laser Temporal Profile",135 137,
tupb30,"C. H. Kuo, J. Chen, P. C. Chiu, K. T. Hsu, S. Y. Hsu, D. Lee, C. Y. Wu, NSRRC, Hsinchu","Applications of IEEE-1394 and GigE Vision Digital Camera in the TLS",138 140,
tupb31,"T. Bogey, O. R. Jones, CERN, Geneva","The Beam Position System of the CERN Neutrino to Gran Sasso Proton Beam Line",141 143,
tupb32,"S. A. Korepanov, DESY Zeuthen, Zeuthen; D. Alesini, INFN/LNF, Frascati (Roma); L. Ficcadenti, Rome University La Sapienza, Roma; M. Krasilnikov, F. Stephan, DESY Zeuthen, Zeuthen","An RF Deflector for the Longitudinal and Transverse Beam Phase Space Analysis at PITZ",144 146,
tupc02,"Ye. Ivanisenko, G. Asova, J. W. Baehr, DESY Zeuthen, Zeuthen; O. Kalekin, Erlangen University, Erlangen; S. A. Korepanov, M. Krasilnikov, B. Petrosyan, F. Stephan, DESY Zeuthen, Zeuthen","Photo Injector Cathode Laser Beam Intensity and Pointing Position Diagnostics at PITZ",147 149,
tupc03,"C. Gerth, DESY, Hamburg","Synchrotron Radiation Monitor for Energy Spectrum Measurements in the Bunch Compressor at FLASH",150 152,
tupc05,"R. Spesyvtsev, J. W. Baehr, S. Khodyachykh, L. Staykov, DESY Zeuthen, Zeuthen","Screen studies at PITZ",153 155,
tupc06,"M. Veronese, S. Di Mitri, M. Ferianis, ELETTRA, Basovizza, Trieste","Coherent Radiation Studies For The FERMI@Elettra Relative Bunch Length Diagnostics",156 158,
tupc07,"S. Khodyachykh, J. W. Baehr, DESY Zeuthen, Zeuthen; T. Garvey, LAL, Orsay; M. Krasilnikov, A. Oppelt, DESY Zeuthen, Zeuthen; J. Roensch, Uni HH, Hamburg; L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Design and Construction of the Multipurpose Dispersive Section at PITZ",159 161,
tupc08,"P. Cameron, BNL, Upton, Long Island, New York; M. Gasior, CERN, Geneva; A. Jansson, C.-Y. Tan, Fermilab, Batavia, Illinois","Quadrupole Transfer Function for Emittance Measurement",162 164,
tupc09,"P. Craievich, C. Bontoiu, M. Ferianis, ELETTRA, Basovizza, Trieste; M. Poggi, INFN/LNL, Legnaro, Padova; V. V. Smaluk, BINP SB RAS, Novosibirsk; G. Trovato, ELETTRA, Basovizza, Trieste","Design of the cavity BPM system for FERMI@elettra",165 167,
tupc10,"P. Craievich, ELETTRA, Basovizza, Trieste; D. Alesini, INFN/LNF, Frascati (Roma); S. Di Mitri, M. Ferianis, ELETTRA, Basovizza, Trieste; M. Petronio, DEEI, Trieste; M. Veronese, ELETTRA, Basovizza, Trieste","A transverse RF deflecting cavity for the FERMI@elettra project",168 170,
tupc11,"L. Badano, M. Ferianis, M. Trovo, M. Veronese, ELETTRA, Basovizza, Trieste","The Beam Diagnostics System for the FERMI@elettra Photoinjector",171 173,
tupc12,"I. Krouptchenkov, K. Wittenburg, DESY, Hamburg","FPGA based Frame Grabber for Video Beam Diagnostics",174 176,
tupc13,"R. De Monte, ELETTRA, Basovizza, Trieste","The new Diode BPM system for ELETTRA",177 179,
tupc16,"M.-A. Tordeux, L. Cassinari, O. V. Chubar, J.-C. Denard, D. Pedeau, B. Pottin, SOLEIL, Gif-sur-Yvette","Ultimate Resolution of Soleil X-Ray Pinhole Camera",180 182,
