105," D. Rifuggiato, G. Cuttone, L. Calabretta, L. Celona, F. Chines, L. Cosentino, P. Finocchiaro, A. Pappalardo, M. Re and A. Rovelli, INFN-LNS","First Radioactive Beam With Excyt: Role Of The K800 Superconducting Cyclotron",
110,"W.L.Zhan, J.W.Xia, H.W.Zhao, Y.J.Yuan, K.D.Man, P.Yuan, D.Q.Gao, X.T.Yang, M.T.Song, G.Q.Xiao,W.M.Qiao, X.H.Cai, X.D.Yang, B.W.Wei, and HIRFL-CSR Group Institute of Modern Physics, CAS, 730000, Lanzhou, China","Commissioning Of Csr In Lanzhou",
116,"A. Denker, P. Arndt, W. Busse, H. Homeyer, W. Pelzer, C. Rethfeldt, J. Röhrich  Hahn-Meitner-Institut, Berlin, Germany"," Status Of Isl: Converting A Multi-Purpose Accelerator To A Dedicated Proton Therapy Facility ",
119,"Bhaskar Mukherjee and Joseph Khachan, Department of Applied and Plasma Physics (A28), University of Sydney, NSW 2006, Australia"," Component Activation Of A High Current Radioisotope Production Medical Cyclotron ",
122,"R. Gebel, R. Brings, O. Felden And R. Maier, Forschungszentrum Jülich GmbH, Germany"," Operation Of The Injector Cyclotron Julic For The Cooler Synchrotron Cosy/Jülich ",
125,"K. Hatanaka, M. Fukuda, M. Kibayashi, S. Morinobu, K. Nagayama, H. Okamura, T. Saito, A. Tamii, H. Tamura And T. Yorita , RCNP, Osaka University, 10-1 Mihogaoka, Ibaraki, Osaka 567-0047, Japan","Development Of The Rcnp Cyclotron Cascade ",
128,"P. Heikkinen, JYFL, Jyväskylä, Finland","New Mcc30/15 Cyclotron For The Jyfl Accelerator Laboratory ",
131,"S. Kurashima, S. Okumura, N. Miyawaki, I. Ishibori, K. Yoshida, T. Satoh, H. Kashiwagi, Y. Yuri, T. Agematsu, T. Nara, T. Kamiya, W. Yokota, M. Oikawa And M. Fukuda,  Japan Atomic Energy Agency, 1233 Watanuki, Takasaki, Gunma 370-1292, Japan","Developments At Jaea Avf Cyclotron Facility For Heavy-Ion Microbeam",
134,"R. Risler, S. Banerian, R.C. Emery, I. Kalet, G.E. Laramore And D. Reid, University of Washington Medical Center, Seattle, WA 98195-6043, USA","Recent Improvements And Operational Status Of The Seattle Clinical Cyclotron Facility ",
137,"T. Honma, S. Hojo, Y. Sakamoto, T. Endo, A. Sugiura, T. Fukumura, T. Kanai,  National Institute of Radiological Science, Japan, T. Okada, K. Komatsu, T. Kamiya, Accelerator Engineering Corporation, Japan, J. Kanakura M. Sano And Y. Fukumoto, Sumitomo Heavy Industries, Japan","Recent Status Of The Nirs Cyclotron Facility",
140,"J.L. Conradie, P.J. Celliers, J.G. De Villiers, J.L.G. Delsink, H. Du Plessis, J.H. Du Toit, R.E.F. Fenemore, D.T. Fourie, I.H. Kohler, C. Lussi, P.T. Mansfield, H. Mostert, G.S. Muller, G.S.Price, P.F. Rohwer, M. Sakildien, R.W. Thomae, M.J. Van Niekerk, P.A. Van Schalkwyk, iThemba LABS, Z. Kormány, ATOMKI, P.O. Box 51, H-4001 Debrecen, Hungary, J. Dietrich, T. Weis, Fachbereich Physik, University Dortmund, D-44221 Dortmund, Germany, S. Adam, D. Goetz And P.A. Schmelzbach Paul Scherrer Institut, CH-5232 Villigen, Switzerland","Improvements To The Ithemba Labs Cyclotron Facilities ",
143,"I. Bylinskii, R.A. Baartman, G. Dutto, K. Fong, A. Hurst, M. Laverty, C. Mark, F. Mammarella, M. Mcdonald, A.K. Mitra, M. Mouat, D. Pearce, K. Reiniger, R. Ruegg, P. Schmor, I. Sekachev, M. Stenning And V.A. Verzilov , TRIUMF, Vancouver, Canada","Triumf 500 Mev Cyclotron Refurbishment ",
146,"Bhaskar Mukherjee And Joseph Khachan   Department of Applied and Plasma Physics (A28), University of Sydney, NSW 2006, Australia","Operational Health Physics During The Maintenance Of A Radioisotope Production Cyclotron ",
15,"Marco Schippers, Jürgen Duppich, Gudrun Goitein, Eugen Hug, Martin Jermann, Anton Mezger And Eros Pedroni , for the PROSCAN team, Paul Scherrer Institut, Villigen, Switzerland","First Year Of Operation Of Psi’s New Sc Cyclotron And Beam Lines For Proton Therapy ",
151,"Y. Jongen, M. Abs, W. Beeckman, A. Blondin, W. Kleeven, D. Vandeplassche, S. Zaremba, IBA, Belgium,  V. Aleksandrov, A. Glazov, S. Gurskiy, G. Karamysheva, N. Kazarinov, S. Kostromin, N. Morozov, E. Samsonov, V. Shevtsov, G. Shirkov, E. Syresi And A. Tuzikov, JINR, Russia","Iba C400 Cyclotron Project For Hadron Therapy ",
157,"M. Seidel And P.A. Schmelzbach Paul Scherrer Insititute, CH-5232 Villigen PSI, Switzerland","Upgrade Of The Psi Cyclotron Facility To 1.8 Mw ",
163,"M. Maggiore, L. Calabretta, D. Campo, L.A.C. Piazza And D. Rifuggiato INFN-LNS"," Progress On The Design Studies Of The 300 AMeV Superconducting Cyclotron",
166,"Ugo Amaldi, University of Milano Bicocca and TERA Foundation, Via Puccini 11, Novara, Italy"," Cyclinacs: Novel Fast-Cycling Accelerators For Hadrontherapy ",
169,"V.Papash, Institute for Nuclear Research, Kiev, Ukraine, V.Parkhomchuk , Budker Institute for Nuclear Physics, Novosibirsk, Russia, And O.Borisov, Joint Institute for Nuclear Research, Dubna, Russia "," Feasibility Study Of 8 Mev H- Cyclotron To Charge The Electron Cooling System For Hesr ",
172,"V. G. Vaccaro, R. Buiano, A.D'Elia, G. De Michele Univ. di Napoli Federico II and INFNNapoli,Italy, M. R. Masullo INFN-Napoli, Italy, F. Alessandria, D. Giove INFN- Milano, Italy, C. De Martinis , E.Di Betta, M.Mauri, Univ. di Milano and INFN- Milano, Italy, A. Rainò Univ.di Bari and INFN- Bari, Italy, V. Variale INFN- Bari, Italy, L. Calabretta INFN-LNS, Catania,Italy, R.J. Rush e2v Technologies, Chelmsford, UK"," Aclip: A 3 Ghz Side Coupled Linac For Protontherapy To Be Used As A Booster For  30 Mev Cyclotrons ",
177,"Y.Mori, Kyoto University, Research Reactor Institute, K.Okabe,  Fukui University, Dept. Engineering","Development Of FFAG Accelerators In Japan ",
18,"H. Okuno, K. Yamada, J. Ohnishi, N. Fukunishi, N. Sakamoto, O. Kamigaito, M. Fujimaki, H. Hasebe, K. Kumagai, T. Maie, M. Nagase, S. Yokouchi, K. Ikegami, M. Kase, A. Goto And Y. Yano, RIKEN Nishina Center, Saitama, Japan","Hardware Commissioning Of The Riken Superconducting Ring Cyclotron ",
183,"N.Bliss, C.D.Beard, J.A.Clarke, S.A.Griffiths, N.Marks, P.A.Mcintosh, B.D.Muratori, B.J.A.Shepherd, S.L.Smith, S.I.Tzenov, STFC Daresbury Laboratory, Warrington, UK, T.R.Edgecock, D.Kelliher And S.Machida , STFC Rutherford Appleton Laboratory, Didcot,UK","Technical Description And Status Of The Emma Nonscaling FFAG",
189,"G.H. Rees STFC Rutherford Appleton Laboratory, Chilton, Oxon OX11 0QX, U.K.","Non-Isochronous & Isochronous, Non-Scaling FFAG Design",
193,"E. Keil, CERN, Geneva, Switzerland, A.M. Sessler,  LBNL, Berkeley CA, USA, D. Trbojevic BNL, Upton NY, USA ","Three-Ring FFAG Complex For H+ And C6+ Therapy",
198,"J. Pasternak, J. Fourrier, E. Froidefond, Laboratoire de Physique Subatomique et de Cosmologie (CNRS/IN2P3-UJF-INPG), Grenoble, France B. Autin, CERN, Geneva, Switzerland, F. Méot, Laboratoire de Physique Subatomique et de Cosmologie (CNRS/IN2P3-UJF-INPG), Grenoble, France and CEA DAPNIA, Saclay, France J.-L. Lancelot, D. Neuvéglise, T. Planche, SIGMAPHI, Vannes, France","Spiral FFAG For Hadrontherapy",
201,"K.Y. Ng, Fermilab , P.O. Box 500, Batavia, IL 60510,  X. Pang, F. Wang, X. Wang And S.Y. Lee  Indiana University, Bloomington, IN 47405","Emittance Growths In Resonance Crossing At FFAGS",
204,"Alessandro G. Ruggiero, Brookhaven National Laboratory, Upton, NY 11973, U.S.A.","High-Power FFAG-Based Heavy-Ion And Proton Drivers ",
207,"Dejan Trbojevic, BNL, Upton, New York 11973, USA, Eberhard Keil, CERN, Geneva, Switzerland, Andrew M. Sessler, LBNL, Berkeley CA, USA","Innovative Design Of The Isocentric Proton/Carbon Ion Gantries",
21,"N. Fukunishi, K. Yamada∗, M. Fujimaki, T. Fujinawa, A. Goto, H. Hasebe, Y. Higurashi, K. Ikegami, E. Ikezawa, N. Inabe, O. Kamigaito, M. Kase, S. Kohara, M. Komiyama, K. Kumagai, T. Maie, M. Nagase, T. Nakagawa, J. Ohnishi, H. Okuno, H. Ryuto, N. Sakamoto, M. Wakasugi, T. Watanabe, Y. Yano, S. Yokouchi, RIKEN Nishina Center, Wako, Saitama 351-0198, Japan","Present Performance And Commissioning Details Of Ribf Accelerator Complex",
210,"K. Okabe University of Fukui, Faculty of Engineering Bunkyo 3-9-1, Fukui 910-8517, Japan Y. Mori Kyoto University, Research Reactor Institute Kumatori, Osaka 590-0494, Japan Y. Sato High Energy Accelerator Research Organization Oho 1-1, Tsukuba, Ibaraki, 305-0801, Japan","Development Of FFAG-Erit System For Bnct ",
215,"J. Martino, On Behalf Of The Nantes Arronax Cyclotron Group ","Arronax, A High Intensity Cyclotron In Nantes ",
219,"A. Montelius, E. Grusell, M. Karlsson, O. Mattsson, S. Mattsson And P. Nilsson , The University Hospitals of Uppsala, Umeå, Göteborg, Malmö and Lund, Sweden","Plans For Particle Therapy In Sweden ",
