fro03,"A. Facco, INFN/LNL, Legnaro, Padova","High Intensity Proton Sources",755 762,
mop31,"G. Gemme, R. Ballantini, A. Chincarini, R. Parodi, INFN Genova, Genova; O. Aberle, Ph. Bernard, S. Calatroni, E. Chiaveri, R. Losito, CERN, Geneva; E. Picasso, Scuola Normale Superiore, Pisa","Experimental Results on SCRF Cavity Prototypes for Gravitational Wave Detection",106 110,
mop32,"S. Noguchi, E. Kako, N. Ohuchi, K. Saito, T. Shishido, K. Tsuchiya, KEK, Ibaraki; N. Ouchi, JAERI, Ibaraki","Prototype Cryomodule for the ADS LINAC",111 114,
mop33,"M. Liepe, Cornell University, Ithaca, New York","Conceptual Layout of the Cavity String of the Cornell ERL Main Linac Cryomodule",115 119,
mop34,"H. Nakai, K. Hara, T. Honma, K. Hosoyama, A. Kabe, Y. Kojima, Y. Morita, KEK, Ibaraki; K. Nakanishi, Md. M. Rahman, Graduate University for Advanced Studies, Ibaraki; K. Okubo, MHI Shipyard and Machinery Works, Kobe","Research and Development Program on Superconducting Crab Cavities for KEKB",120 123,
mop36,"M. Pekeler, K. Dunkel, R. Henneborn, C. Piel, M. Poier, P. vom Stein, H. Vogel, ACCEL, Bergisch Gladbach","Design of a Superconducting Half Wave Resonator Module for Proton/Deuteron Acceleration",124 127,
mop37,"M. Pekeler, S. Bauer, B. Griep, M. Peiniger, P. vom Stein, H. Vogel, ACCEL, Bergisch Gladbach; S. Belomestnykh, H. Padamsee, P. Quigley, J. Sears, Cornell University, Ithaca, New York","Installation, Commissioning and Test Results of Superconducting RF Modules for Light Sources and Electron Storage Rings",128 130,
mop38,"C.E. Reece, G. Ciovati, I.E. Campisi, E. Daly, J. Henry, W.R. Hicks, J. Hogan, P. Kneisel, D. Machie, J. Preble, T. Rothgeb, J. Sekutowicz, K. Smith, T. Whitlatch, K.M. Wilson, M. Wiseman, G. Wu, JLAB, Newport News","Design and Construction of the Prototype Cryomodule Renascence for the CEBAF 12 GeV Upgrade",131 134,
mop39,"A.G. Ruggiero, J. Alessi, M. Harrison, M. Iarocci, T. Nehring, D. Raparia, T. Roser, J. Tuozzolo, W. Weng, BNL, Upton, Long Island, New York","Design of 1.2-GeV SCL as New Injector for BNL AGS",135 139,
mop40,"J. Sekutowicz, P. Kneisel, G. Wu, JLAB, Newport News","Development of Superstructures for High Current Application",140 143,
mop41,"J. Sekutowicz, S.A. Bogacz, JLAB, Newport News; M. Ferrario, INFN/LNF, Frascati (Roma); I. Ben-Zvi, J. Rose, BNL, Upton, Long Island, New York; P. Colestock, LANL, Los Alamos, New Mexico; D. Douglas, P. Kneisel, JLAB, Newport News; W.-D. Möller, B. Petersen, D. Proch, DESY, Hamburg; J.B. Rosenzweig, UCLA, Los Angeles, California; L. Serafini, INFN/LNF, Frascati (Roma); S. Simrock, DESY, Hamburg; T. Srinivasan-Rao, BNL, Upton, Long Island, New York; G.P. Williams, JLAB, Newport News","CW Energy Recovery Operation of an XFEL",144 151,
mop42,"Y. Cho, M. White, ANL, Argonne","Conceptual Design of a Multi-Turn Energy Recovery Linac for the Advanced Photon Source (APS) Storage Ring",152 155,
mop44,"J.D. Halbritter, FZK, Karlsruhe","Degradation of Superconducting RF Cavity Performance by Extrinsic Properties",156 162,
mop45,"V. Shemelin, R.L. Geng, M. Liepe, H. Padamsee, Cornell University, Ithaca, New York","Optimized Shape Sliding Phase Structure for TESLA",163 166,
mop46,"H. Saugnac, J.-L. Biarrotte, S. Blivet, S. Bousson, T. Junquera, P. Szott, IN2P3-CNRS, Orsay; B. Visentin, D. Braud, J.P. Charrier, J.P. Poupeau, D. Roudier, P. Sahuquet, CEA-Saclay, Gif-sur-Yvette","CRYHOLAB, A Horizontal Cavity Test Facility : New Results and Development",167 169,
mop47,"R. Xiang, K. Zhao, Sh. Quan, B. Zhang, Y. Ding, S. Huang, X. Lu, L. Lin, L. Wang, J. Chen, IHIP, Beijing","SRF Activities at Peking University",170 172,
mop48,"J. Knobloch, W. Anders, D. Pflückhahn, M. Schuster, BESSY, Berlin","HoBiCaT - A Test Facility for Superconducting RF Systems",173 175,
mop49,"B. Steffen, E.-A. Knabbe, L. Lilje, P. Schmüser, DESY, Hamburg; S. Casalbuoni, J. Kötzler, L. von Sawilski, IAP, Hamburg","Susceptibility Measurements on Surface Treated Niobium Samples",176 179,
mot01,"P. Schmüser, IAP, Hamburg","Basic Principles of RF Superconductivity and Superconducting Cavities",180 198,
thp01,"P. Bauer, T. Berenc, C. Boffo, M. Foley, M. Kuchnir, Y. Tereshkin, T. Wokas, Fermilab, Batavia","RRR Measurements on Niobium for Superconducting RF Cavities at Fermilab",588 590,
thp04,"S. Berry, C.Z. Antoine, A. Aspart, J.P. Charrier, M. Desmons, L. Margueritte, CEA-Saclay, Gif-sur-Yvette","Topologic Analysis of Samples and Cavities: A New Tool for Morphologic Inspection of Quench Site",591 595,
thp05,"C.Z. Antoine, S. Berry, H. Shou, CEA-Saclay, Gif-sur-Yvette","Hydrogen Surface Analysis of Niobium in Function of Various Electrochemical Conditions",596 598,
thp06,"W.R. Frisken, York University, Toronto; L.N. Hand, Cornell University, Ithaca, New York","Wet Oxidation of an Epitaxial Niobium Film",599 603,
thp07,"L.N. Hand, J.P. Craig, J.A. Thompson, Cornell University, Ithaca, New York; W.R. Frisken, York University, Toronto","Characterization of Niobium Films and a Bulk Niobium Sample with RRR, SIMS and a Squid Magnetometer",604 606,
thp08,"L. Turlington, J. Brawley, P. Kneisel, S. Manning, B. Manus, S. Morgan, G. Slack, JLAB, Newport News","Development of a Niobium Bellows for Beamline Connections",607 609,
thp09,"K. Kowalski, A. Bernasik, AGH University of Science and Technology, Krakow; W. Singer, X. Singer, DESY, Hamburg; J. Camra, Jagellonian Univerity, Krakow","In Situ XPS Investigation of the Baking Effect on the Surface Oxide Structure Formed on Niobium Sheets Used for Superconducting RF Cavity Production",610 613,
thp11,"D. Tonini, Univ. degli Studi di Padova, Padova; C. Greggio, V. Palmieri, INFN/LNL, Legnaro, Padova; G. Keppel, G. Torzo, INFM, Padova, Padova; F. Laviano, Turin Politecnic, Turin; M. Musiani, CNR-IENI, Padua","Morphology of Niobium Films Sputtered at Different Target-Substrate Angle",614 621,
thp13,"A.T. Wu, JLAB, Newport News","Surface Science Laboratory for Studying the Surfaces of Superconducting Radio Frequency Cavities",622 632,
thp14,"T. Wang, J. Mammosser, L. Phillips, R. Rimmer, JLAB, Newport News","Investigations to Reduce Field Emission in Production SRF Cavities at Jlab",633 636,
thp15,"K. Saito, KEK, Ibaraki","Surface Smoothness for High Gradient Niobium SC RF Cavities",637 640,
thp16,"K. Saito, KEK, Ibaraki","RRR Effect on the Flux Trapping of Niobium SC CAVITIES",641 642,
thp17,"K. Saito, KEK, Ibaraki","Q-Slope Analysis of Niobium SC RF Cavities",643 651,
thp18,"X. Singer, W.-D. Möller, W. Singer, H.M. Wen, DESY, Hamburg","Properties and Structure of Electrodeposited Copper Layers in Parts of the TTF Main Coupler",652 654,
thp19,"T. Tajima, R.L. Edwards, F.L. Krawczyk, J. Liu, D.L. Schrage, A.H. Shapiro, J.R. Tesmer, C.J. Wetteland, LANL, Los Alamos, New Mexico; R.L. Geng, Cornell University, Ithaca, New York","Q Disease: Insights from 350 MHz Spoke Cavities Tests and ERD Analyses of Hydrogen in Niobium",655 657,
thp20,"B. Barstow, M. Liepe, H. Padamsee, Cornell University, Ithaca, New York","Engineering a Light Source for the Future",658 661,
thp21,"J.R. Delayen, G.K. Davis, JLAB, Newport News","Microphonics and Lorentz Transfer Function Measurements on the SNS Cryomodules",662 664,
thp22,"J.R. Delayen, G.K. Davis, JLAB, Newport News","Piezoelectric Tuner Compensation of Lorentz Detuning in Superconducting Cavities",665 668,
thp23,"M. Fouaidy, N. Hammoudi, IPN, Orsay","Characterization of Piezoelectric Actuators Used for SRF Cavities Active Tuning at Low Temperature",669 674,
thp24,"R.L. Geng, S. Belomestnykh, H. Padamsee, Cornell University, Ithaca, New York; P. Goudket, D.M. Dykes, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; R.G. Carter, Lancaster University, Lancaster","Dynamics of Multipacting in Rectangular Coupler Waveguides and Suppression Methods",675 678,
thp25,"P. Goudket, R. Bate, D.M. Dykes, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; R.L. Geng, S. Belomestnykh, H. Padamsee, Cornell University, Ithaca, New York; R.G. Carter, Lancaster University, Lancaster","Multipactor Studies in Rectangular Waveguides",679 681,
