abc-01,"B.W. Allardyce, CERN, Geneva, Switzerland","The CERN Synchrocyclotron Today",55 58,
cp-02,"M.S. Antony, J. Britz, J.B. Bueb, J. Denimal, G. Frick, H. Gasser, G. Gaudiot, A. Helleboid, J.M. Helleboid, J. Heugel, J. Hoffmann, M.A. Molinari, C. Muller, R. Rebmeister, P. Volmer, P. Wagner, Centre de Recherches Nucléaires, Strasbourg, France","The Strasbourg Superconducting Coil Cyclotron Project",217 220,
cp-03,"H. Schweickert, FZK, Karlsruhe, West Germany","SULEICKA: A Proposal for a Superconducting Light Ion Cyclotron at Karlsruhe",221 223,
cp-04,"J.A. Martin, J.B. Ball, J.K. Ballou, R.L. Brown, W.H. Gray, E.D. Hudson, R.S. Lord, C.A. Ludemann, S.W. Mosko, S.W. Schwenterly, T.A. Welton, ORNL, Oak Ridge, Tennessee, USA; P.S. Litherland, G.S. McNeilly, Union Carbide Corporation, Oak Ridge, Tennessee, USA; T.P. Cleary, World Information and Technology Systems Corporation, Willowdale, Ontario, Canada","Superconducting Conversion of the Oak Ridge Isochronous Cyclotron",225 227,
dc-01,"V. Bechtold, L. Friedrich, H. Schweickert, FZK, Karlsruhe, West Germany","HISKA, Status Report and First Injection of ECR Produced Ions into the Karlsruhe Cyclotron",249 253,
dc-02,"P.F. Bosman, M. McDonald, P.W. Schmor, TRIUMF, Vancouver, Canada","Polarized Ion Source Development at TRIUMF",255 259,
dc-03,"R.K. Bhandari, J. Reich, FZJ, Jülich, West Germany","The Beam Handling and Axial Injection System for the Project ISIS at JULIC",261 265,
dc-04,"W.K. Van Asselt, O.C. Dermois, A.G. Drentje, H.W. Schreuder, KVI, Groningen, The Netherlands","The Axial Injection System at the KVI",267 272,
di-01,"D.J. Clark, LBL, Berkeley, California, USA","Ion Sources for Cyclotrons",231 240,
di-02,"G.H. Ryckewaert, Université Catholique de Louvain, Louvain-la-Neuve, Belgium","Axial Injection Systems for Cyclotrons",241 248,
dp-01,"T. Shinozuka, M. Fujioka, K. Kotajima, T. Yamaya, Tohoku University, Sendai, Japan; Y. Sakurada, University of Tokyo, Tokyo, Japan","Development of a Small Cold Cathode Type Pig Heavy Ion Source for the Tohoku AVF Cyclotron",273 275,
dp-02,"D.A. Lind, J.F. Benage, Jr., R.E. Rodenburg, R.A. Stern, University of Colorado, Boulder, Colorado, USA","RF Field Effects on the Cyclotron ARC Source",277 279,
dp-03,"Y. Jongen, C. Pirart, G.H. Ryckewaert, Université Catholique de Louvain, Louvain-la-Neuve, Belgium","The ECREVIS Source: A Status Report",281 283,
dp-04,"H. Beuscher, H.-G. Mathews, C. Mayer-Böricke, J. Reich, FZJ, Jülich, West Germany","The ECR-Source for the Project ISIS at JULIC",285 287,
dp-05,"R. Baartman, P.F. Bosman, R.E. Laxdal, P.W. Schmor, D. Yuan, TRIUMF, Vancouver, Canada","The H- Source for the High Intensity Beam at TRIUMF",289 291,
dp-06,"S. Oh, J. Birchall, I. Gusdal, A. McIlwain, J.S.C. McKee, R. Pogson, University of Manitoba, Winnipeg, Canada; M. de Jong, Atomic Energy of Canada, Chalk River, Ontario, Canada","Polarization Programme at the University of Manitoba Cyclotron Facility - Progress Report",293 295,
dp-07,"G. Frick, J.M. Helleboid, B. Heusch, A. Niemeskern, P. Wagner, Centre de Recherches Nucléaires, Strasbourg, France; E. Baron, C. Ricaud, GANIL, Caen, France","New Measurements about Carbon Foil Behaviour Under Heavy Ion Bombardment",297 298,
dp-08,"I.S. Dmitriev, E.A. Kralkina, V.S. Nikolaev, Ya.A. Teplova, V.P. Zaikov, Moscow State University, Moscow, USSR","Calculations of Equilibrium Thicknesses of Charge-Exchange Targets in Accelerator Devices",299 301,
dp-09,"C.A. Ludemann, R.M. Beckers, B.J. Casstevens, D.L. Haynes, E.D. Hudson, F. Irwin, R.S. Lord, S.W. Mosko, ORNL, Oak Ridge, Tennessee, USA","ORIC Stripping Foil Positioner for Tandem Beam Injection",303 305,
dp-10,"J.P. Schapira, IPN, Orsay, France","A Possible Design of an Axial Injection System into the Proposed Superconducting Cyclotron at Orsay",307 309,
dp-11,"E.D. Hudson, ORNL, Oak Ridge, Tennessee, USA","Helical Axial Injection Concept for Cyclotrons",311 313,
ec-01,"W.G. Davies, Atomic Energy of Canada, Chalk River, Ontario, Canada","The Effects of Noise and Buncher Nonlinearities in the Production of Very Short Beam Bunches",349 353,
