frt1a2,"C. Zhang [IHEP, Beijing, People's Republic of China] ","Parameter Optimization of Higgs Factory Design",59 62,
sus1h2,"F. Zimmermann [CERN, Geneva, Switzerland] E.B. Levichev [BINP SB RAS, Novosibirsk, Russia] ","Summary of HF2014 Working Group 1- "Parameters"",253 260,
sus2h1,"K. Ohmi [KEK, Ibaraki, Japan] Y. Cai [SLAC, Menlo Park, California, USA] ","Summary of Working Group 2: Optics",261 262,
sus2h2,"M.K. Sullivan [SLAC, Menlo Park, California, USA] Y. Funakoshi [KEK, Ibaraki, Japan] ","Summary of Working Group 3",263 265,
sus2h3,"J.T. Seeman [SLAC, Menlo Park, California, USA] M.E. Biagini [INFN/LNF, Frascati (Roma), Italy] ","Summary of Working Group 4: SR and Shielding",266 270,
sus2h4,"S.A. Belomestnykh [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh [Stony Brook University, Stony Brook, USA] Y. Morita [KEK, Ibaraki, Japan] ","HF2014 Report of Working Group 5: Superconducting RF",271 275,
sus2h5,"D.H. Rice [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] Y. Papaphilippou [CERN, Geneva, Switzerland] ","Summary of Working Group 6 - Injectors and Injection HF2014",276 279,
sus3h2,"M.G. Minty [BNL, Upton, Long Island, New York, USA] ","Summary from Working Group 9: Instrumentation and Control",280 283,
sut1a1,"M. Koratzinos [DPNC, Genève, Switzerland] ","Transverse Polarization for Energy Calibration at the Z-Peak",223 226,
sut1a2,"I. Koop [BINP SB RAS, Novosibirsk, Russia] ","Longitudinal Polarization and Acceleration of Polarized Beams",227 229,
sut1a3,"N.Yu. Muchnoi [NSU, Novosibirsk, Russia] ","FCC-ee Beam Energy Measurement Suggestion",230 232,
sut1a4,"E.B. Levichev, S.A. Nikitin [BINP SB RAS, Novosibirsk, Russia] ","Possible Applications of Wave-beam Interaction for Energy Measurement and Obtaining of Polarization at FCCee",233 238,
sut1b1,"Y. Funakoshi [KEK, Ibaraki, Japan] ","Lessons Learned from the B-Factories and Implications for a High-luminosity Circular e+e- Higgs Factory",239 246,
sut1b2,"O.R. Jones, M. Wendt, J. Wenninger [CERN, Geneva, Switzerland] ","Challenges in Beam Instrumentation and Diagnostics for Large Ring Colliders -Based on the LHC Experience",247 252,
thp1h2,"S.H. Zhu [ITP-PKU, Beijing, People's Republic of China] ","A New Paradigm: Role of Electron-positron and Hadron Colliders",99 98,
thp3h1,"F. Zimmermann, M. Benedikt, H. Burkhardt, F. Cerutti, A. Ferrari, J. Gutleber, B. Haerer (B. Härer), B.J. Holzer, E. Jensen, R. Kersevan, P. Lebrun, R. Martin, A. Mereghetti, J.A. Osborne, Y. Papaphilippou, D. Schulte, R. Tomas (R. Tomás), J. Wenninger [CERN, Geneva, Switzerland] A.P. Blondel, M. Koratzinos [DPNC, Genève, Switzerland] A.V. Bogomyagkov, I. Koop, E.B. Levichev, N.Yu. Muchnoi, S.A. Nikitin, D.N. Shatilov [BINP SB RAS, Novosibirsk, Russia] M. Boscolo [INFN/LNF, Frascati (Roma), Italy] K. Furukawa, K. Ohmi, K. Oide [KEK, Ibaraki, Japan] E. Gianfelice-Wendt [Fermilab, Batavia, Illinois, USA] B. Haerer (B. Härer) [KIT, Karlsruhe, Germany] L. Lari [ESS, Lund, Sweden] L.E. Medina [UGTO, Leon, Mexico] S.M. White [ESRF, Grenoble, France] U. Wienands [SLAC, Menlo Park, California, USA] ","FCC-ee Overview",6 15,
thp3h2,"Q. Qin, S. Bai, J. Cheng, X. Cui, H. Dong, L. Dong, J. Gao, H. Geng, Y.Y. Guo, D.P. Jin, W. Kang, S.P. Li, X.P. Li, G.P. Lin, Z.C. Liu, X.C. Lou, Z.J. Ma, G. Pei, H. Qu, Y. Sun, D. Wang, J.L. Wang, N. Wang, Y.F. Wang, Y. Wang, M. Xiao, G. Xu, J.H. Yue, Y. Yue, J.Y. Zhai, C. Zhang, Y. Zhang, Z.S. Zhou [IHEP, Beijing, People's Republic of China] W. Chou [Fermilab, Batavia, Illinois, USA] ","Overview of the CEPC Accelerator",16 21,
tht4a2,"M. Koratzinos [CERN, Geneva, Switzerland] ","CEPC Design Performance Considerations",22 26,
tht4a3,"R.M. Talman [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Ring Circumference and Two Rings vs One Ring",27 32,
tht4b2,"R.M. Talman [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Single Ring Multibunch Operation and Beam Separation",33 39,
tht4b3,"B. Haerer (B. Härer), B.J. Holzer [CERN, Geneva, Switzerland] B. Haerer (B. Härer) [KIT, Karlsruhe, Germany] ","Challenges and Status of the FCC-ee Lattice Design",40 44,
tht4b4,"H. Geng, S. Bai, X. Cui, Z. Duan, S. Fu, J. Gao, Y.Y. Guo, Y.M. Peng, Q. Qin, D. Wang, N. Wang, Y. Wang, M. Xiao, G. Xu, Y. Yue, Y. Zhang [IHEP, Beijing, People's Republic of China] W. Chou [Fermilab, Batavia, Illinois, USA] ","Status of CEPC Lattice Design",45 48,
tht5a2,"Z.C. Liu, J. Gao [IHEP, Beijing, People's Republic of China] ","A Green CEPC Using the Power of Nuclear Waste",49 53,
tht5a3,"T.I. Parker [ESS, Lund, Sweden] P.C. Peck [IIIEE, Lund, Sweden] ","Greening for Bosons",54 58,
