FOAA001,"J. Flanz, T. Delaney, H. Kooy, S. Rosenthal, U. Titt","Treating Patients with the NPTC Accelerator Based Proton Treatment FacilityTREATING PATIENTS WITH AN ACCELERATOR BASED PROTON FACILITY",
FOAA002,"H. Eickhoff, R. Baer, A. Dolinskii, Th. Haberer, B. Schlitt, P. Spiller, U. Weinrich","HICAT- The German Hospital-Based Light Ion Cancer Therapy ProjectThe proposed dedicated ion beam facility for cancer therapy at the clinic in Heidelberg",
FOAA003,"D.L. Friesel, V. Anferov, J. Collins, W.P. Jones, J. Katuin, S.B. Klein, A.N. Schreuder","Status of the Midwest Proton Radiotherapy InstituteMicrosoft Word - FOAA003 Paper.doc",
FOAA004,"T. Mottershead, D. Barlow, B. Blind, G. Hogan, A. Jason, F. Merrill, K. Morley, C. Morris, A. Saunders, R. Valdiviez","Design and Operation of a Proton Microscope for Radiography at 800 MeVMicrosoft Word - PACctm.doc",
FOAA005,"G. Jackson, S. Howe","Antimatter Driven Sail for Deep Space MissionsANTIMATTER DRIVEN SAIL FOR DEEP SPACE MISSIONS",
FOAA006,"E. Towns-Andrews, E.J. MacLean","Facilities for Industrial Customers at the Daresbury Synchrotron Radiation Source (SRS)",
FOAA009,"H. Toyokawa, N. Aoki, N. Kobayashi, T. Mikado, H. Ogawa, H. Ohgaki, N. Sei, K. Yamada, M. Yasumoto","Gamma-Ray Computerized Tomography Using 10 MeV Laser-Compton Photon BeamGAMMA-RAY COMPUTERIZED TOMOGRAPHY USING 10 MEV LASER-COMPTON PHOTON BEAM",
FOAB004,"R.F. Hubbard, D.F. Gordon, B. Hafizi, T. Jones, D. Kaganovich, J.R. Penano, P. Sprangle, A. Ting, A. Zigler","Simulation of Accelerated Electron Spectra in Laser Wakefield Accelerators",
FOAB005,"J.R. Cary, D.L. Bruhwiler, E. Esarey, G. Fubiani, R. Giacone, W.P. Leemans, C. Nieter","All-Optical Beamlet Train Generation",
FOAB006,"S. Banna, R. Byer, E. Colby, B. Cowan, M. Javanmard, A. Mizrahi, R.J. Noble, T. Plettner, L. Schaechter, R.H. Siemann","Scaling Laws of a Dielectric Optical AcceleratorSCALING LAWS OF A DIELECTRIC OPTICAL ACCELERATOR",
FOAB007,"J.L. Hirshfield","Selected Advanced Acceleration Concepts",
FOAB009,"R. Byer, A. Mizrahi, L. Schaechter, R.H. Siemann","Dielectric Bragg Accelerator",
FOAB011,"T.C. Katsouleas, B.E. Blue, C. Clayton, F.-J. Decker, M.J. Hogan, R. Iverson, C. Joshi, K.A. Marsh, W.B. Mori, P. Muggli, C.L. O'Connell, P. Raimondi, R.H. Siemann, D. Walz","Positron Beam Propagation in a Meter Long Plasma Channel",
FOAB012,"D.L. Bruhwiler, J.R. Cary, D.A. Dimitrov, E. Esarey, W.P. Leemans","Simulation of Ionization Effects for High-Density Positron Drivers in Future Plasma Wakefield Experiments",
FOPL001,"G. Dugan","Technology Options for Linear CollidersFOPL001.dvi",
FPAB001,"J. Alessi, B. Briscoe, O. Gould, V. Klenov, S. Kokhanovski, A. Kponou, Vincent LoDestro, D. Raparia, J. Ritter, A. Zelenski, V. Zubets","Polarized H<sup>-<\sup> ",
FPAB002,"M. Migliorati, L. Palumbo, D. Alesini, F. Alessandria, A. Bacci, R. Bartolini, S. Bertolucci, M. Biagini, C. Biscari, R. Boni, I. Boscolo, M. Boscolo, F. Broggi, M. Castellano, L. Catani, E. Chiadroni, S. Cialdi, A. Cianchi, F. Ciocci, A. Clozza, A. D'Ang","The SPARC Project: A High Brightness Electron Beam Source at LNF to Drive a SASE-FEL ExperimentMicrosoft Word - SPARC-Project.dot.php3",
FPAB003,"T. Kamitani, S. Kashiwagi, Y. Ohnishi","A Simulation Study of the JLC Positron Source",
FPAB004,"E. Chacon-Golcher, J. Kwan, E.C. Morse","Diffusion of Alkali Species in Porous Tungsten Substrates Used in Contact-Ionization Sources",
FPAB005,"D. Baca, E. Chacon-Golcher, J. Kwan, J.K. Wu","Fabrication of Large Diameter Alumino-Silicate K<sup><\sup> Sources",
FPAB006,"J. Kwan, F.M. Bieniosek, I. Haber, E. Halaxa, J.-L. Vay, G. Westenskow","Beam Optics of a 10-cm Diameter High Current Heavy Ion Diode",
FPAB007,"G. Westenskow, E. Halaxa, R.P. Hall, J. Kwan","Characterization of an RF-Driven Plasma Ion Source for Heavy Ion Fusion",
FPAB008,"A.N. Dovbnya, N.I. Aizatsky, V.N. Boriskin, M.A. Krasnogolovets, V.A. Kushnir, V.A. Mitrochenko, N.G. Reshetnyak, Yu.Ya. Volkolupov, V.V. Zakutin","Stability of Electron Beam Parameters in Sources with Cold Secondary-Emission CathodesMicrosoft Word - FPAB008.doc",
FPAB009,"R.F. Welton, R. Keller, S.N. Murray, M.P. Stockli","Development and Status of the SNS Ion SourceDEVELOPMENT AND STATUS OF THE SNS ION SOURCE",
FPAB010,"L. Grisham, S.K. Hahto, S.T. Hahto, J. Kwan, K.N. Leung","Proof-of-Concept Experiments for Negative Ion Driver Beams for Heavy Ion Fusion",
FPAB011,"A. Krasnykh, V. Ivanov, L. Ives, G. Miram, G. Scheitrum, D. Sprehn","3D Modeling Activity for Novel High Power Electron Guns at SLAC",
FPAB012,"A. Krasnykh, V. Ivanov, A. Jensen, G. Scheitrum","An Improved Version of TOPAZ 3DAN IMPROVED VERSION OF TOPAZ 3D *",
FPAB013,"V. Variale, P. Bak, A. Boggia, Y. Boimelshtein, G. Brautti, T. Clauser, P. Logatchov, A. Raino, B. Skarbo, M. Tiunov, V. Valentino","First Test of the Charge State Breeder BRIC",
FPAB015,"P. Frigola, G. Andonian, S. Reiche, J.B. Rosenzweig, S. Telfer, G. Travish","Design and Operation of Pegasus Thermionic Cathode",
