mobla01,"P.C. Chiu, J. Chen, Y.-S. Cheng, K.T. Hsu, K.H. Hu, C. H. Huang, C.H. Kuo, D. Lee, C.Y. Liao, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","The Role of Beam Diagnostics in the Rapid Commissioning of the TPS Booster and Storage Ring",99 98,
tupb047,"A.A. Nosych, U. Iriso [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] J. Olle [UAB, Barcelona, Spain] ","Electrostatic Finite-element Code to Study Geometrical Nonlinear Effects of BPMs in 2D",418 422,
tupb048,"A.A. Nosych, C. Colldelram, A. Crisol, U. Iriso, A. Olmos [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] F. Cioeta, A. Falone, A. Ghigo, M. Serio, A. Stella [INFN/LNF, Frascati (Roma), Italy] A. Mostacci [Rome University La Sapienza, Roma, Italy] ","Measurements and Calibration of the Stripline BPM for the ELI-NP facility with the Stretched Wire Method",423 427,
tupb049,"L. Torino, U. Iriso [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Limitations and Solutions of Beam Size Measurements via Interferometry at ALBA",428 432,
tupb051,"A. Young [SLAC, Menlo Park, California, USA] H. Hassanzadegan [ESS, Lund, Sweden] ","Design of a New Super-heterodyne MicroTCA.4 BPM and LLRF Rear Transition Module (RTM) for the European Spallation",433 436,
tupb052,"J. Herranz, B. Dehning, E. Effinger, J. Emery, A. Guerrero, C. Pereira [CERN, Geneva, Switzerland] A. Barjau, J. Herranz [Universitat Politécnica de Catalunya, Barcelona, Spain] J. Herranz [Proactive Research and Development, Barcelona, Spain] ","Wire Scanners and Vibrations - Models and Measurements",437 440,
tupb053,"J.L. Sirvent Blasco, B. Dehning, J. Emery [CERN, Geneva, Switzerland] A. Dieguez [UB, Barcelona, Spain] ","A High Dynamic Range Diamond Detector Readout System for the CERN Beam Wire Scanners Program",441 445,
tupb054,"N. Galindo Munoz, N. Catalan-Lasheras (N. Catalán Lasheras), M. Wendt, S. Zorzetti [CERN, Geneva, Switzerland] V.E. Boria [DCOM-iTEAM-UPV, Valencia, Spain] A. Faus-Golfe [IFIC, Valencia, Spain] ","Electromagnetic Field Pre-alignment of the Compact Linear Collider (CLIC) Accelerating Structure with help of Wakefield Monitor Signals",446 450,
tupb055,"T. Hofmann, E. Bravin, U. Raich, F. Roncarolo [CERN, Geneva, Switzerland] G.E. Boorman, A. Bosco, S.M. Gibson [Royal Holloway, University of London, Surrey, United Kingdom] E. Griesmayer [CIVIDEC Instrumentation, Wien, Austria] ","Design of a Laser-based Profile Monitor for LINAC4 Commissioning at 50 MeV and 100 MeV",451 455,
tupb056,"W. Höfle, G. Kotzian, D. Valuch [CERN, Geneva, Switzerland] ","Transverse Rigid Dipole and Intra-Bunch Oscillation Detection Using the Transverse Feedback Beam Position Detection Scheme in SPS and LHC",456 460,
tupb057,"R. Kieffer, M. Bergamaschi, T. Lefevre (T. Lefèvre), S. Mazzoni [CERN, Geneva, Switzerland] T. Aumeyr, P. Karataev [Royal Holloway, University of London, Surrey, United Kingdom] M.G. Billing, J.V. Conway, J.P. Shanks [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] L.M. Bobb [DLS, Oxfordshire, United Kingdom] N. Terunuma [KEK, Ibaraki, Japan] ","Development of a Versatile OTR-ODR Station for Future Linear Colliders",461 464,
tupb058,"R. Marco-Hernandez, M.E. Angoletta, M. Ludwig, J.C. Molendijk, F. Pedersen, R. Ruffieux, J. Sanchez-Quesada, L. Soby (L. Søby) [CERN, Geneva, Switzerland] ","A New Orbit System for the CERN Antiproton Decelerator",465 469,
tupb059,"J.W. Storey, D. Bodart, B. Dehning, S. Levasseur, P. Pacholek, A. Rakai, M. Sapinski, G. Schneider, D. Steyart [CERN, Geneva, Switzerland] K. Satou [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] ","Development of an Ionization Profile Monitor Based on a Pixel Detector for the CERN Proton Synchrotron",470 473,
tupb060,"J.R. Towler, T. Lefevre (T. Lefèvre), M. Wendt [CERN, Geneva, Switzerland] S.T. Boogert, A. Lyapin [JAI, Egham, Surrey, United Kingdom] B.J. Fellenz [Fermilab, Batavia, Illinois, USA] ","Development and Test of High Resolution Cavity BPMs for the CLIC Main Beam Linac",474 478,
tupb061,"R. Veness, W. Andreazza, N. Chritin, B. Dehning, J. Emery, D. Gudkov, J. Herranz, P. Magagnin, E. Piselli, S. Samuelsson [CERN, Geneva, Switzerland] ","Experience From the Construction of a New Fast Wire Scanner Prototype for the CERN- SPS and its Optimisation for Installation in the CERN-PS Booster",479 482,
tupb062,"H. Mainaud Durand, K. Artoos, M.C.L. Buzio, D. Caiazza, N. Catalan-Lasheras (N. Catalán Lasheras), A. Cherif, I.P. Doytchinov, J.-F. Fuchs, A. Gaddi, N. Galindo Munoz, J. Gayde, M. Modena, P. Novotny, S. Russenschuck, C. Sanz, G. Severino, K.W. Solomon, D. Tshilumba, V. Vlachakis, M. Wendt, S. Zorzetti [CERN, Geneva, Switzerland] ","Status of the PACMAN Project",483 486,
tupb063,"S. Zorzetti, N. Galindo Munoz, M. Wendt [CERN, Geneva, Switzerland] L. Fanucci [Università di Pisa, Pisa, Italy] ","Stretched-Wire Techniques and Measurements for the Alignment of a 15GHz RF-BPM for CLIC",487 491,
tupb064,"B. Keil, R. Baldinger, R. Ditter, M. Gloor, W. Koprek, F. Marcellini, G. Marinkovic, M. Roggli, M. Rohrer, M. Stadler, D.M. Treyer [PSI, Villigen PSI, Switzerland] ","Status of The European XFEL Transverse Intra Bunch Train Feedback System",492 496,
tupb065,"B. Keil, R. Baldinger, R. Ditter, D. Engeler, W. Koprek, R. Kramert, A. Malatesta, F. Marcellini, G. Marinkovic, M. Roggli, M. Rohrer, M. Stadler [PSI, Villigen PSI, Switzerland] ","Status of The SwissFEL BPM System",497 501,
tupb066,"Y.-S. Cheng, P.C. Chiu, K.T. Hsu, S.Y. Hsu, H.P. Hsueh, K.H. Hu, C.Y. Liao [NSRRC, Hsinchu, Taiwan] ","Preliminary Test of the Bunch-by-Bunch Transverse Feedback System for TPS Storage Ring",502 506,
tupb067,"C.Y. Liao, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, S.Y. Hsu, H.P. Hsueh, K.H. Hu, C.K. Kuan, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Synchrotron Radiation Measurement at Taiwan Photon Source",507 511,
tupb068,"P.C. Chiu, Y.-S. Cheng, K.T. Hsu, K.H. Hu, C. H. Huang, C.H. Kuo, D. Lee [NSRRC, Hsinchu, Taiwan] ","Commissioning of BPM System for the TPS Project",512 515,
tupb070,"A.S. Alexandrova, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] A.S. Alexandrova, C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Beam Characterization Using Laser Self-Mixing",516 520,
tupb071,"A. Kurup, J.K. Pozimski, P. Savage [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] S.M. Gibson, K.O. Kruchinin [JAI, Egham, Surrey, United Kingdom] S.M. Gibson, K.O. Kruchinin [Royal Holloway, University of London, Surrey, United Kingdom] A.P. Letchford [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] J.K. Pozimski [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] ","Simulations of the FETS Laser Diagnostic",521 525,
tupb073,"G.E. Boorman, S.M. Gibson, N. Rajaeifar [Royal Holloway, University of London, Surrey, United Kingdom] J.D. Gale [University of Sussex, Brighton, United Kingdom] S. Jolly [UCL, London, United Kingdom] S.R. Lawrie [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] A.P. Letchford [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] J.K. Pozimski [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","Characterising the Signal Processing System for Beam Position Monitors at the Front End Test Stand",526 529,
tupb075,"H.D. Zhang, A. Jeff, V. Tzoganis, C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] A. Jeff [CERN, Geneva, Switzerland] A. Jeff, V. Tzoganis, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] V. Tzoganis [RIKEN, Saitama, Japan] V. Tzoganis [RIKEN Nishina Center, Wako, Japan] ","Development of a Supersonic Gas Jet Beam Profile Monitor",530 534,
tupb077,"R.M. Thurman-Keup, M.L. Alvarez, J. Fitzgerald, C.E. Lundberg, P.S. Prieto, M. Roberts, J.R. Zagel [Fermilab, Batavia, Illinois, USA] W. Blokland [ORNL, Oak Ridge, Tennessee, USA] ","Installation Status of the Electron Beam Profiler for the Fermilab Main Injector",535 539,
tupb080,"R.C. McCrady, H.A. Watkins [LANL, Los Alamos, New Mexico, USA] ","Signal Processing Algorithm for Beam Position and Phase Monitors at LANSCE",540 541,
tupb081,"J.D. Sedillo, D. Martinez, J.D. Nguyen [LANL, Los Alamos, New Mexico, USA] ","LANSCE 1L Harp Data Acquisition System Upgrade: First Results",542 546,
tupb082,"P. Krejcik, M.L. Campell, J.M. D'Ewart, H. Loos, K. Luchini [SLAC, Menlo Park, California, USA] ","Performance of the New Fast Wire Scanner at the LCLS",547 549,
tupb084,"J. Gubeli, P.E. Evtushenko [JLab, Newport News, Virginia, USA] ","Cherenkov Converter for Large Dynamic Range, High Sensitivity Detectors for Use on Wire-Scanners",550 553,
tupb085,"T.J. Campese, R.B. Agustsson, M.A. Harrison, B.T. Jacobson, A.Y. Murokh, A.G. Ovodenko, M. Ruelas, H.L. To [RadiaBeam, Santa Monica, California, USA] M.G. Fedurin, I. Pogorelsky, T.V. Shaftan [BNL, Upton, Long Island, New York, USA] ","Multi-Diagnostic Transverse Profile Monitor Chamber for Extreme Ultraviolet Lithography",554 556,
tupb086,"W.X. Cheng, Y. Li, B. Podobedov [BNL, Upton, Long Island, New York, USA] ","Observation of Ion-induced Instabilities at NSLS2 Storage Ring",557 561,
weala02,"M. Kuhn, F. Antoniou, E. Bravin, B. Dehning, J. Emery, V. Kain, A. Langner, Y. Papaphilippou, E. Piselli, G. Trad [CERN, Geneva, Switzerland] ","First LHC Emittance Measurements at 6.5 TeV",562 566,
webla01,"E.B. Holzer [CERN, Geneva, Switzerland] ","Beam Loss Monitoring for Demanding Environments",567 574,
webla02,"M. Yoshimoto, H. Harada, S. Kato, M. Kinsho, K. Okabe [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] ","Development of the Beam Loss Monitor for Beam Halo Measurement in the J-PARC RCS",575 579,
webla03,"E. Nebot Del Busto, S. Doebert (S. Döbert), F.S. Domingues Sousa, E. Effinger, W. Farabolini, E.B. Holzer, M. Kastriotou, W. Vigano (W. Viganò) [CERN, Geneva, Switzerland] M.J. Boland [ASCo, Clayton, Victoria, Australia] M.J. Boland [SLSA, Clayton, Australia] M.J. Boland, R.P. Rassool [The University of Melbourne, Melbourne, Victoria, Australia] W. Farabolini [CEA/DSM/IRFU, France] M. Kastriotou, C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] M. Kastriotou, E. Nebot Del Busto, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","Position Resolution of Optical Fibre-Based Beam Loss Monitors Using Long Electron Pulses",580 584,
wecla02,"F. Schmidt-Foehre (F. Schmidt-Föhre), L. Froehlich (L. Fröhlich), D. Noelle (D. Nölle), R. Susen, K. Wittenburg [DESY, Hamburg, Germany] ","Commissioning of the New Online-Radiation-Monitoring-System at the New European XFEL Injector with First Tests of the High-Sensitivity-Mode for Intra-Tunnel Rack Surveillance",585 589,
wecla03,"T. Watanabe, N. Fukunishi, M. Kase [RIKEN Nishina Center, Wako, Japan] S.I. Inamori, K. Kon [TEP Corporation, Tokyo, Japan] ","HTc-SQUID Beam Current Monitor at the RIBF",590 594,
wecla04,"J.D. Fox, J.E. Dusatko, C.H. Rivetta, O. Turgut [SLAC, Menlo Park, California, USA] H. Bartosik, W. Höfle, B. Salvant, U. Wehrle [CERN, Geneva, Switzerland] S. De Santis [LBNL, Berkeley, California, USA] ","Wideband Vertical Intra-Bunch Feedback at the SPS - Technology Development, Recent Accelerator Measurements and Next Steps",595 601,
wedla01,"A.I. Wawrzyniak, C.J. Bocchetta, P.B. Borowiec, P. Bulira, P.P. Goryl, A. Kisiel, M.P. Kopec, R. Nietubyc (R. Nietubyć), L. Zytniak (Ł. Żytniak) [Solaris, Krakow, Poland] A.M. Marendziak, M.J. Stankiewicz, M. Zajac (M. Zając) [Solaris National Synchrotron Radiation Centre, Jagiellonian University, Krakow, Poland] ","First Results of Solaris Synchrotron Commissioning",602 605,
wedla02,"S.M. Gibson, A. Arteche, G.E. Boorman, A. Bosco [Royal Holloway, University of London, Surrey, United Kingdom] P.Y. Darmedru, T. Lefevre (T. Lefèvre), T.E. Levens [CERN, Geneva, Switzerland] ","High Frequency Electro-Optic Beam Position Monitors for Intra-Bunch Diagnostics at the LHC",606 610,
wedla03,"S.I. Meigo, A. Akutsu, K. Ikezaki, M. Nishikawa, M. Ooi [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] S.F. Fukuta [KEK/JAEA, Ibaraki-Ken, Japan] ","Beam Profile Monitor at the 1 MW Spallation Neutron Source",611 617,
