a01,"D. Böhne, GSI, Darmstadt, Germany","The Unilac, Development and Present Status",2 11,
a02,"D.C. Hagerman, LANL, Los Alamos, New Mexico, USA","The Status of LAMPF",12 19,
a03,"B.P. Murin, Radiotechnical Institute, Moscow, USSR","Radiotechnical Institute Activity in the Linac Field",20 26,
a04,"J. Tanaka, KEK, Ibaraki, Japan","The Status of Accelerator Development in Japan",27 35,
a05,"P.R. Tunnicliffe, B.G. Chidley, J.S. Fraser, Atomic Energy of Canada Limited, Chalk River, Ontario, Canada","High Current Proton Linear Accelerators and Nuclear Power",36 44,
a06,"E. Boltezar, H. Haseroth, W. Pirkl, G. Plass, T.R. Sherwood, P.H. Standley, P. Têtu, U. Tallgren, D.J. Warner, M. Weiss, CERN, Geneva, Switzerland","Review and Status of the CERN New 50 MeV Linac Project",45 48,
a07,"D.J. Warner, CERN, Geneva, Switzerland","Accelerating Structure of the CERN New 50 MeV Linac",49 53,
b01,"H. Grunder, F. Selph, LBL, Berkeley, California, USA","The Status of the SuperHILAC",54 61,
b02,"M. Odera, RIKEN, Saitama, Japan","A Variable Frequency Heavy-Ion Linac",62 66,
b03,"A. Schempp, H. Klein, University of Frankfurt, Frankfurt am Main, Germany","Spiral Loaded Cavities for Heavy Ion Acceleration",67 72,
b04,"K. Kaspar, GSI, Darmstadt, Germany","The Prestripper Accelerator of the Unilac",73 80,
b05,"J. Staples, J. Alonso, G. Behrsing, D. Clark, H. Grunder, M. Olivier, D. Spence, R. Yourd, LBL, Berkeley, California, USA","A Wideröe Pre-Accelerator for the Superhilac",81 85,
b06,"M. Kuntze, FZK, Karlsruhe, Germany","Developments in Superconducting Slow-Wave Structures",86 94,
b07,"L.M. Bollinger, R. Benaroya, B.E. Clifft, A.H. Jaffey, K.W. Johnson, T.K. Khoe, C.H. Scheibelhut, K.W. Shepard, T.P. Wangler, ANL, Argonne, Illinois, USA","The Argonne Superconducting Heavy-Ion Linac",95 101,
b08,"A.H. Jaffey, R. Benaroya, T.K. Khoe, ANL, Argonne, Illinois, USA","A Hybrid Superconducting Solenoid as a Focusing Element in a Superconducting Heavy-Ion Accelerator",102 105,
b09,"J.E. Vetter, G. Hochschild, B. Piosczyk, FZK, Karlsruhe, Germany; E. Jaeschke, R. Repnow, Th. Walcher, Max-Planck-Institut, Heidelburg, Germany","Accelerating Ions with Superconducting Resonators, Operated at a Temperature of 4.4 K",106 111,
b10,"E. Jaeschke, G. Ihmels, H. Ingwersen, B. Kolb, R. Repnow, Th. Walcher, Max-Planck-Institut, Heidelburg, Germany","Postacceleration and Bunching of 150 MeV 58Ni Ions by Independently Phased Spiral Resonators",112 114,
c01,"E.A. Knapp, LANL, Los Alamos, New Mexico, USA","Applications of Linear Accelerators",115 118,
c02,"D.E. Johnson, S. Ohnuma, Fermilab, Batavia, Illinois, USA","MESSYMESH - An Improved Version",119 121,
c03,"K. Halbach, LBL, Berkeley, California, USA; R.F. Holsinger, W.E. Jule, D.A. Swenson, LANL, Los Alamos, New Mexico, USA","Properties of the Cylindrical RF Cavity Evaluation Code SUPERFISH",122 128,
c04,"W.E. Jule, D. Baggett, P. Wechsler, LANL, Los Alamos, New Mexico, USA; R.L. Gluckstern, University of Maryland, College Park, Maryland, USA","Effects of Perturbation in Low  Proton Accelerating Structures",129 131,
c05,"P. Grand, A.N. Goland, BNL, Upton, New York, USA","On the Needs and Status of CTR Materials Irradiation Facilities, an Introduction to 14-MeV Neutron Sources",132 137,
c06,"G. Dôme, CERN, Geneva, Switzerland","The SPS Acceleration System Travelling Wave Drift-Tube Structure for the CERN SPS",138 147,
c07,"J. Staples, D. Clark, H. Grunder, H. Lancaster, R. Main, F. Selph, L. Smith, F. Voelker, R. Yourd, LBL, Berkeley, California, USA","A Deuteron Linac for a High-Intensity Neutron Source",148 152,
c08,"P. Grand, K. Batchelor, R. Chasman, R. Rheaume, BNL, Upton, New York, USA","The Proposed Brookhaven Accelerator-Based Neutron Generator",153 159,
c09,"K. Batchelor, BNL, Upton, New York, USA","Choice of Initial Operating Parameters for High Average Current Linear Accelerators",160 165,
c10,"J.S. Fraser, W.T. Diamond, J. McKeown, G.E. McMichael, Atomic Energy of Canada Limited, Chalk River, Ontario, Canada","Operation of the Graded- Electron Test Accelerator",166 170,
c11,"J. Ungrin, B.G. Chidley, J.D. Hepburn, J.H. Ormrod, M.R. Shubaly, Atomic Energy of Canada Limited, Chalk River, Ontario, Canada","Chalk River Experience in the Operation of High Current 100% Duty Factor Accelerating Columns",171 174,
c12,"M.A. Allen, L.G. Karvonen, SLAC, Stanford, California, USA","High Duty Factor Structures for e+e- Storage Rings",175 178,
d01,"C. Curtis, Fermilab, Batavia, Illinois, USA","Ion Source and Injector Development",179 188,
d02,"S. Fukumoto, S. Takano, KEK, Ibaraki, Japan","KEK Preinjector Accelerating Column",189 192,
d03,"S. Fukumoto, H. Ishimaru, K. Ito, C. Kubota, T. Sakaue, A. Takagi, S. Takano, KEK, Ibaraki, Japan","Operation of KEK Preinjector",193 196,
d04,"H. Ishimaru, S. Anami, S. Fukumoto, T. Inagaki, K. Itoh, T. Sakaue, KEK, Ibaraki, Japan","750 KeV Beam Line Construction at the KEK",197 201,
d05,"H. Ishimaru, S. Fukumoto, K. Itoh, K. Muto, T. Sakaue, KEK, Ibaraki, Japan","750 KeV Beam Monitoring at the KEK",202 207,
d06,"J. Knott, D.J. Warner, M. Weiss, CERN, Geneva, Switzerland","Adjustment of a Double Drift Harmonic Buncher and Bunch Shape Measurements",208 212,
d07,"L.C. Teng, Fermilab, Batavia, Illinois, USA","High Efficiency Buncher for Linac",213 216,
d08,"G.A. Loew, SLAC, Stanford, California, USA","Electron Linacs",217 229,
d09,"E.A. Knapp, D.A. Swenson, LANL, Los Alamos, New Mexico, USA","The PIGMI Program at LASL",230 233,
d10,"D.A. Swenson, LANL, Los Alamos, New Mexico, USA","Beam Dynamics in the Low Energy End of PIGMI",234 237,
d11,"H. Deitinghoff, P. Junior, H. Klein, University of Frankfurt, Frankfurt am Main, Germany","Properties of Heavy Ion Linacs with Alternating Phase Focusing",238 244,
d12,"D.J. Warner, M. Weiss, CERN, Geneva, Switzerland","Beam Optics in the CERN New 50 MeV Linac",245 250,
e01,"C.W. Owen, Fermilab, Batavia, Illinois, USA","Status of Accelerator Development at Fermilab",251 253,
e02,"J. Guyard, M. Weiss, CERN, Geneva, Switzerland","Use of Beam Emittance Measurements in Matching Problems",254 258,
e03,"A. Cheretakis, J. Knott, P. Mead, U. Tallgren, A. van der Schueren, CERN, Geneva, Switzerland","The Control System of the CERN New Linac",259 263,
e04,"R.W. Goodwin, R.F. Kocanda, M.F. Shea, Fermilab, Batavia, Illinois, USA","A Microprocessor-Based Preaccelerator Control System",264 268,
e05,"V.G. Andreev, I.K. Guslitskov, E.A. Mirochnik, V.M. Pirozhenko, B.I. Polyakov, Radiotechnical Institute, Moscow, USSR","Investigation of the Accelerating Structure for the Second Part of the Meson Factory Linac",269 271,
e06,"D. Keefe, LBL, Berkeley,,California, USA","Linear Induction Accelerator for Heavy Ions",272 275,
e07,"K. Batchelor, BNL, Upton, New York, USA","Linear Accelerator Development at Brookhaven National Laboratory",276 285,
e08,"N. Angert, K. Blasche, B. Franczak, B. Franzke, B. Langenbeck, GSI, Darmstadt, Germany","The Stripper-Section of the Unilac",286 290,
e09,"J. McKeown, J.S. Fraser, G.E. McMichael, Atomic Energy of Canada Limited, Chalk River,,Ontario, Canada","Field Control in a Standing Wave Structure at High Average Beam Power",291 295,
e10,"J.C. Brown, B.G. Chidley, Atomic Energy of Canada Limited, Chalk River,,Ontario, Canada","A High Power RF Supply for the Chalk River 100% Duty Factor Alvarez Linac",296 299,
e11,"Z.D. Farkas, H.A. Hogg, H.L. Martin, A.R. Wilmunder, SLAC, Stanford, California, USA","Recent Developments in Microwave Beam-Position Monitors at SLAC",300 305,
e12,"J. Glatz, J. Klabunde, P. Strehl, GSI, Darmstadt, Germany","Some Aspects of the Unilac Beam Diagnostic System",306 312,
e13,"M.R. Shubaly, J.H. Ormrod, J. Pachner, Jr., J. Ungrin, Atomic Energy of Canada Limited, Chalk River,,Ontario, Canada","An Emittance Measuring Unit for 100% Duty Factor Linac Injector",313 315,
f01,"J.E. Osher, J.C. Davis, LLL, Livermore,,California, USA","Ion Source and Accelerator Development for the LLL 14-MeV Neutron Source Facility",316 320,
f02,"N. Angert, K. Blasche, B. Franczak, B. Franzke, W. Jacoby, M. Khaouli, M. Müller, GSI, Darmstadt, Germany","The Unilac-Injector",321 326,
f03,"J.R. McConnell, P.W. Allison, E.A. Meyer, R.R. Stevens, Jr., LANL, Los Alamos, New Mexico, USA","Status of the Injector Complex at LAMPF",327 332,
f04,"J. Tanaka, S. Anami, H. Baba, S. Inagaki, T. Kakuyama, H. Matsumoto, I. Sato, T. Takenaka, Y. Terayama, KEK, Ibaraki, Japan","Operation of the KEK 20 MeV Injector Linac",333 337,
f05,"S.O. Schriber, L.W. Funk, R.M. Hutcheon, Atomic Energy of Canada Limited, Chalk River,,Ontario, Canada","Effective Shunt Impedance Comparison Between S-Band Standing Wave Accelerators with On-Axis and Off-Axis Couplers",338 343,
f06,"S.B. Hodge, L.W. Funk, S.O. Schriber, Atomic Energy of Canada Limited, Chalk River,,Ontario, Canada","Mechanical Design Considerations of a Standing Wave S-Band Accelerator with On-Axis Couplers",344 349,
f07,"I.M. Kapchinskij, A.M. Kozodaev, N.V. Lazarev, V.S. Skachkov, ITEP, Moscow, USSR","Design and Development of Permanent Magnet Quadrupoles for Ion Linacs",350 351,
f08,"D. Keefe, LBL, Berkeley,,California, USA","Particle Acceleration by Collective Effects",352 357,
f09,"V.E. Hart, LANL, Los Alamos, New Mexico, USA","PIGMI Mechanical Fabrication",358 361,
f10,"J.M. Potter, LANL, Los Alamos, New Mexico, USA","A Resonantly Coupled, Waveguide RF Power Manifold for Linear Accelerators",362 362,
f11,"E.D. Bush, Jr., LANL, Los Alamos, New Mexico, USA","Permanent Quadrupole Magnets",363 368,
pub01,"G. Bianchi, G. Gourcy, J.F. Gournay, M. Jablonka, CEN Saclay, Gif-sur-Yvette, France","A Flexible Dialogue with the Computer in the Control Room of the Saclay's Linac",369 371,
pub02,"P.-A. Chamouard, M. Olivier, CEN Saclay, Gif-sur-Yvette, France","Improvement in the 20 MeV Beam Brightness at SATURNE",372 375,
pub03,"J.R. Faulkner, LANL, Los Alamos, New Mexico, USA","The LAMPF Line D Fast Deflector System",376 376,
