mo3-24,"J. MacLachlan, Fermilab, Batavia, Illinois, USA","Reference Design for the Fermilab Linac Upgrade",103 105,
mo3-25,"J. MacLachlan, F. Mills, L. Oleksiuk, Fermilab, Batavia, Illinois, USA","Transition Section between a 200 MHz Drift Tube Linac and a High Gradient Coupled Cavity Linac for the Fermilab Upgrade",106 108,
mo3-26,"D. Warner, CERN, Geneva, Switzerland","Heavy Ion Acceleration Using Drift-Tube Structures with Optimised Focusing",109 111,
mo3-27,"R. Gluckstern, D. Vassiliadis, University of Maryland, College Park, Maryland, USA","Low Beta Linacs and Alternating Phase Focusing",112 114,
mo3-31,"N. Wilson, G. Bolme, K. Kalash, LANL, Los Alamos, New Mexico, USA","Design and Construction of a 425-MHz Cryogenic (20 K) Two-Cell DTL Sparker",115 118,
mo3-33,"M. Browman, T. Barts, P. Friedrichs, G. Spalek, LANL, Los Alamos, New Mexico, USA","Studies of the Four-Rod RFQ Using the MAFIA Codes",119 121,
mo3-34,"E. Gray, A. Shapiro, G. Spalek, LANL, Los Alamos, New Mexico, USA","A Radio-Frequency Quadrupole Accelerator Longitudinal Field Stabilizer",122 124,
mo3-35,"J. Billen, A. Shapiro, G. Spalek, LANL, Los Alamos, New Mexico, USA","Field Stability in Two-Stem Drift-Tube Linacs",125 127,
mo3-36,"J. Billen, A. Shapiro, LANL, Los Alamos, New Mexico, USA","Post-Coupler Stabilization and Tuning of a Ramped-Gradient Drift-Tube Linac",128 130,
mo3-37,"J. Billen, LANL, Los Alamos, New Mexico, USA","Analysis of Measured Post-Coupler Fields in a Ramped-Gradient Drift-Tube Linac",131 133,
mo3-38,"J. Gilpatrick, R. Meyer, J. Power, R. Shafer, F. Wells, LANL, Los Alamos, New Mexico, USA","Synchronous Phase and Energy Measurement System for a 6.7 MeV H Beam",134 136,
mo3-39,"R. Wojke, J. Bannenberg, R. Steenvoorden, W. Urbanus, FOM-Institute for Atomic and Molecular Physics, Amsterdam, The Netherlands; P. van Amersfoort, FOM-Institute for Plasma Physics, Nieuwegein, The Netherlands; H. Klein, A. Schempp, R. Thomae, T. Weis, IAP, Frankfurt am Main, Germany","Tailoring of the RF - Properties of a Multichannel Accelerator for the MeV Energies",137 139,
mo3-40,"R. Kazimi, Texas AM University  Texas Accelerator Center, The Woodlands, Texas, USA","A Four-Rod Cavity RFQ",140 142,
mo3-41,"A. Moretti, D. Young, G. Lee, F. Mills, P. Zhou, Fermilab, Batavia, Illinois, USA; D. Swenson, P. Young, Science Applications International Corporation, McLean, Virginia, USA","An 805 MHz Disk and Washer Structure for the Fermilab Linac Upgrade",143 145,
mo3-42,"I. Chuvilo, V. Artemov, I. Kapchinskiy, Yu. Korchagin, V. Kuzmichev, V. Kurakin, V. Kushin, N. Lazarev, I. Parshin, S. Plotnikov, A. Raskopin, R. Romanovskiy, V. Stolbunov, S. Ugarov, ITEP, Moscow, USSR","Acceleration of He4 Ions in the APF Structure and the Linac I-2 for Injection into 10 GeV Synchrotron",146 148,
mo3-43,"W. Becraft, Grumman Space Systems, Oak Ridge, Tennessee, USA; G. McMichael, Atomic Energy of Canada, Chalk River, Ontario, Canada; A. Schempp, IAP, Frankfurt am Main, Germany; T. Wanger, LANL, Los Alamos, New Mexico, USA; M. Akerman, G. Barber, W. Dagenhart, H. Haselton, B. Murphy, R. Raridon, K. Rothe, P. Ryan, W. Stirling, J. Whealton, ORNL, Oak Ridge, Tennessee, USA","High-Energy (1-2 MeV) Beams for Magnetic Fusion - Tokamak Plasma Heating and Current Drive",149 154,
