tudbc2,"G. Shen, Z.Q. He [FRIB, East Lansing, Michigan, USA] ","Development Status of a Thin Lens Model for FRIB Online Model Service",51 54,
tudbc3,"S. Zheng [CIAE, Beijing, People's Republic of China] T. Planche, Y.-N. Rao [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Maximum Entropy Tomography Reconstruction",55 57,
tudwc1,"C.G. Li, J.H. Li, S. Zheng [CIAE, Beijing, People's Republic of China] ","The Electro-magnetic Field Simulation and Cavity Design of Ridgetron for High Power Electron Irradiation Accelerator",58 60,
webji1,"M. Borland, T.G. Berenc, L. Emery, R.R. Lindberg [ANL, Argonne, Ilinois, USA] ","Simultaneous Simulation of Multi-particle and Multi-bunch Collective Effects for the Aps Ultra-low Emittance Upgrade",61 65,
wecji1,"J.D. Kunz [IIT, Chicago, Illinois, USA] M. Berz [MSU, East Lansing, Michigan, USA] P. Snopok [Illinois Institute of Technology, Chicago, Illlinois, USA] ","Hybrid Methods for Muon Accelerator Simulations with Ionization Cooling",66 70,
wep03,"S. Sabounchi, H. Afarideh, R. Solhju [AUT, Tehran, Iran] M.R. Asadi [PPRC, Tehran, Iran] J.-S. Chai, M. Ghergherehchi [SKKU, Suwon, Republic of Korea] ","Stress and Strain Analysis of the 10 MeV Cyclotron Magnet",71 73,
wep08,"M. Mohamadian, H. Afarideh, S. Sabounchi, M. Salehi [AUT, Tehran, Iran] J.-S. Chai, M. Ghergherehchi [SKKU, Suwon, Republic of Korea] J.-S. Chai [KIRAMS, Seoul, Republic of Korea] ","Tuner System Optimization in 10 MeV Cyclotron Cavity",74 76,
wep09,"N. Rahimpour Kalkhoran, H. Afarideh, R. Solhju [AUT, Tehran, Iran] M. Ghergherehchi [SKKU, Suwon, Republic of Korea] ","Design and Simulation of 18 MeV Cyclotron Magnet by TOSCA Code",77 80,
wep10,"B. Yasatekin, O. Cakir, G. Turemen [Ankara University, Faculty of Sciences, Ankara, Turkey] E. Celebi [Bogazici University, Bebek / Istanbul, Turkey] G. Unel [UCI, Irvine, California, USA] B. Yasatekin [SNRTC, Ankara, Turkey] ","DEMIRCI: An RFQ Design Software",81 83,
wep11,"Y. Hu, L.R. Dalesio [BNL, Upton, Long Island, New York, USA] ","Diagnosing and Controls of NSLS-II: A Bright New Light for Science",84 86,
wep12,"L. Yang, Y. Hidaka, Y. Li [BNL, Upton, Long Island, New York, USA] G. Shen [FRIB, East Lansing, Michigan, USA] ","Single Particle Dynamics Simulation and Control for NSLS-II Commissioning",87 89,
wep13,"L. Yang [BNL, Upton, Long Island, New York, USA] ","The Complex TPSA and Normal Form Analysis in Tesla",90 92,
wep14,"J.H. Li [China Institute of Atomic Energy, Beijing, People's Republic of China] Z. Li [SCU, Chengdu, People's Republic of China] S. Zheng [CIAE, Beijing, People's Republic of China] ","The Simulation of the Room Temperature Cross-bar H Type Drift Tube Linac",93 96,
wep15,"L. Huang, Y.W. An, H.F. Ji, S. Wang [IHEP, Beijing, People's Republic of China] ","The Development of Injection and Extraction Software in the Rapid Cycling Synchrotron",97 99,
wep16,"H.F. Ji [IHEP, Beijing, People's Republic of China] ","Discussion on the Problems of the Online Optimization of the Luminosity of BEPCII With the Robust Conjugate Direction Search Method",100 102,
wep20,"Z. Zhang, D.Z. Chen, D. Li, M.R. Pan, C. Zuo [Huazhong University of Science and Technology, State Key Laboratory of Advanced Electromagnetic Engineering and Technology,, Hubei, People's Republic of China] ","3D Numerical Simulation of Extraction of a Large-power Negative Ion Source",103 105,
wep21,"Y.W. An, L. Huang, S. Wang, S.Y. Xu [IHEP, Beijing, People's Republic of China] ","Magnet Sorting of the CSNS/RCS Dipoles and Quadrupoles",106 108,
wep28,"G.A. Karamysheva, O. Karamyshev, S.A. Kostromin, N.A. Morozov, E.V. Samsonov, G. Shirkov [JINR, Dubna, Moscow Region, Russia] Y.F. Bi, Y. Song [ASIPP, Hefei, People's Republic of China] ","Design Studies of a Compact Superconducting Cyclotron for Proton Therapy",109 111,
wep32,"E. Brentegani, U. van Rienen [Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock, Germany] W. Hillert, D. Sauerland [ELSA, Bonn, Germany] A. Meseck [HZB, Berlin, Germany] ","Simulation of the Distribution of Parasitic Ions in the Potential of an Electron Beam",112 114,
wep34,"S.A. Glukhov, E.B. Levichev, S.A. Nikitin, P.A. Piminov, D.N. Shatilov, S.V. Sinyatkin [BINP SB RAS, Novosibirsk, Russia] ","6D Tracking with Compute Unified Device Architecture (CUDA) Technology",115 117,
wep35,"K. Wang, B.C. Jiang, C.M. Luo, S.Q. Tian, M.Z. Zhang, Q.L. Zhang [SINAP, Shanghai, People's Republic of China] ","Parallel Optimization of Accelerator Toolbox by OpenMP and MPI",118 121,
wep36,"C. Liu, W. Ackermann, H. De Gersem, W.F.O. Müller, T. Weiland [TEMF, TU Darmstadt, Darmstadt, Germany] ","Numerical Calculation of Eigenmodes in PETRA 7-cell Cavity under precise Consideration of Coupler Structures",122 124,
wep38,"R. Huang, Q.K. Jia [USTC/NSRL, Hefei, Anhui, People's Republic of China] D. Filippetto, C.E. Mitchell, C. F. Papadopoulos, H.J. Qian, J. Qiang, F. Sannibale, J.W. Staples, M. Venturini [LBNL, Berkeley, California, USA] ","Off-axis Beam Dynamics Study in RF Photocathode Electron Sources",125 127,
