mopa08,"J.A. Clarke, D.J. Dunning, S. Leonard, A.D. Smith, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; M. Surman, STFC/DL/SRD, Daresbury, Warrington, Cheshire; N. Thompson, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire","Status of the ALICE IR-FEL",41 44,
mopa09,"H. Bluem, V. Christina, AES, Medford, NY; L.R. Dalesio, EPIC Consulting, Medford, New York; D. Douglas, Douglas Consulting, York, Virginia; D. Dowell, AES, Princeton, New Jersey; S. Gewinner, FHI, Berlin; S.C. Gottschalk, STI, Washington; K. Jordan, Kevin Jordan PE, Newport News, Virginia; H. Junkes, FHI, Berlin; R.N. Kelly, STI, Washington; U. Lehnert, HZDR, Dresden; G. Meijer, FHI, Berlin; P. Michel, HZDR, Dresden; J.H. Park, J. Rathke, AES, Medford, NY; W. Schöllkopf, FHI, Berlin; W. Seidel, FZD, Dresden; A.M.M. Todd, AES, Princeton, New Jersey; R. Wünsch, FZD, Dresden; L.M. Young, AES, Medford, NY; W.Q. Zhang, G. von Helden, FHI, Berlin","The Fritz Haber Institute THz FEL Status",45 47,
mopb01,"W.M. Fawley, J.-L. Vay, LBNL, Berkeley, California","Fully Electromagnetic FEL Simulation via Lorentz-Boosted Frame Transformation",48 51,
mopb02,"S.D. Webb, V. Litvinenko, G. Wang, BNL, Upton, Long Island, New York","A 3-Dimensional Theory of Free Electron Lasers",52 55,
mopb03,"S.D. Webb, V. Litvinenko, BNL, Upton, Long Island, New York","Dispersion Relations for 1D High-Gain FELs",56 59,
mopb04,"G. Wang, V. Litvinenko, BNL, Upton, Long Island, New York; S.D. Webb, Stony Brook University, Stony Brook","The Physics of FEL in an Infinite Electron Beam",60 63,
mopb06,"F. Jafari Bahman, B. Maraghechi, AUT, Tehran","Three-Dimensional Simulation of Free-Electron Laser With Helical Wiggler and Ion-Channel Guiding",64 67,
mopb12,"A. Raghavi, pnum, Mashhad; N. Mahdizadeh, PPRC, Tehran","FEL-IFEL, a Crossed Field Wiggler Scheme for Energy Transfer Between Two Electromagnetic Waves",68 70,
mopb13,"V.A. Goryashko, NASU/IRE, Kharkov","Analysis and Optimization of FELs With Irregular Waveguides",71 74,
mopb20,"V. Petrillo, Universita' degli Studi di Milano, Milano; M. Ferrario, INFN/LNF, Frascati (Roma); A.R. Rossi, Istituto Nazionale di Fisica Nucleare, Milano","Momentum Modulations Produced by Laser-Beam Interaction at a Photocathode",75 78,
mopb21,"V. Petrillo, Universita' degli Studi di Milano, Milano; M. Ferrario, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); C. Maroli, Universita' degli Studi di Milano, Milano","One-Dimensional FEL Equations Without the Slowly Varying Envelope Approximation",79 82,
mopb23,"J.T. Donohue, CENBG, Gradignan; J. Gardelle, CESTA, Le Barp","Three-Dimensional Modes of a Lamellar Grating for Smith-Purcell Experiments",83 86,
mopb27,"J. Wu, SLAC, Menlo Park, California; R.A. Bosch, UW-Madison/SRC, Madison, Wisconsin; B. Jia, FEL/Duke University, Durham, North Carolina; A.A. Lutman, DEEI, Trieste; J.J. Welch, SLAC, Menlo Park, California","The Imperfectness of Electron Bunch Initial Longitudinal Phase Space on a Seeded Free Electron Laser Performance",87 90,
mopb28,"Z. Huang, Y.T. Ding, J. Wu, SLAC, Menlo Park, California","Three-Dimensional Analysis of Frequency-Chirped FELs",91 94,
mopb30,"L.T. Campbell, B.W.J. McNeil, USTRAT/SUPA, Glasgow","An Unaveraged Computational Model of a Variably Polarised Undulator FEL",95 98,
mopb32,"J. Henderson, USTRAT/SUPA, Glasgow; D.J. Dunning, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; B.W.J. McNeil, USTRAT/SUPA, Glasgow","Beam Quality and Transport Stability Simulations in Echo Enabled Harmonic Generation",99 102,
mopb33,"O.A. Shevchenko, N. Vinokurov, BINP SB RAS, Novosibirsk","The SASE FEL Two-Time Correlation Function",103 106,
mopb38,"N. Mahdizadeh, Islamic Azad University, Sabzevar Branch, Sabzevar; F.M. Aghamir, University of Tehran, Tehran; A. Raghavi, pnum, Mashhad; S. Saviz, PPRC, Tehran","Beam Temperature Effects on the Growth Rate of a Two-Stream Free Electron Laser",107 110,
mopc02,"T. Hara, H. Tanaka, K. Togawa, RIKEN/SPring-8, Hyogo","Beam Optics and Parameter Design of the XFEL/SPring-8 Accelerator",111 114,
mopc04,"E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","Options of FLASH Extension for Generation of Circularly Polarized Radiation in the Wavelength Range Down to 1.2 nm",115 118,
mopc05,"E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","Expected Properties of the Radiation From the European XFEL Operating at the Energy of 14 GeV",119 122,
mopc06,"E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","An Option of Frequency Doubler at the European XFEL for Generation of Circularly Polarized Radiation in the Wavelength Range Down to 1 - 2.5 nm",123 126,
mopc07,"R. Brinkmann, E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","Betatron Switcher for a Multi-Color Operation of an X-Ray FEL",127 130,
mopc08,"C. Behrens, C. Gerth, DESY, Hamburg","Measurement of Sliced-Bunch Parameters at FLASH",131 134,
mopc10,"L.-G. Wißmann, J. Breunlin, Uni HH, Hamburg; B. Schmidt, B. Steffen, DESY, Hamburg","Ytterbium Fibre Laser Based Electro-Optic Measurements of the Longitudinal Charge Distribution of Electron Bunches at FLASH",135 138,
mopc11,"J. Breunlin, Uni HH, Hamburg; B. Schmidt, B. Steffen, DESY, Hamburg; L.-G. Wißmann, Uni HH, Hamburg","Commissioning of an Electro-Optic Electron Bunch Length Monitor at FLASH",139 142,
mopc13,"A.H. Lumpkin, M.D. Church, H.T. Edwards, S. Nagaitsev, M. Wendt, Fermilab, Batavia","Considerations on Fermilab's Superconducting Test Linac for an EUV/Soft X-ray SASE FEL",143 146,
mopc14,"J. Wu, Y.T. Ding, P. Emma, Z. Huang, H. Loos, M. Messerschmidt, SLAC, Menlo Park, California; E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","LCLS X-Ray Pulse Duration Measurement Using the Statistical Fluctuation Method",147 150,
mopc16,"Y.T. Ding, Z. Huang, SLAC, Menlo Park, California; S.A. Ocko, MIT, Cambridge, Massachusetts","Transverse-Coherence Properties of the FEL at the LCLS",151 154,
mopc19,"H.-S. Kang, S.H. Nam, PAL, Pohang, Kyungbuk","X-Ray Free Electron Laser Project of Pohang Accelerator Laboratory",155 158,
mopc20,"S. Reiche, B. Pedrini, PSI, Villigen","Coherence Properties of SwissFEL",159 162,
mopc22,"J.P.M. Beijers, KVI, Groningen; F. Bijkerk, FOM, Utrecht; S. Brandenburg, K. Eikema, R. Hoekstra, S. Hoekstra, K. Jungmann, KVI, Groningen; O.J. Luiten, TUE, Eindhoven; B. Noheda, T.T. Palstra, P. Rudolf, RUG, Groningen; T. Schlathoelter, R.G. Timmermans, L. Willmann, KVI, Groningen; P.H.M. van Loosdrecht, RUG, Groningen","ZFEL: A Compact, Soft X-ray FEL in the Netherlands",163 164,
motui1,"B.W.J. McNeil, USTRAT/SUPA, Glasgow","How an FEL Works",182 182,
