fraau01,"K. Honkavaara, B. Faatz, S. Schreiber, DESY, Hamburg","Status of FLASH",533 536,
mopph026,"V. Litvinenko, I. Ben-Zvi, Y. Hao, A. Kayran, E. Pozdeyev, BNL, Upton, Long Island, New York; S. Reiche, UCLA, Los Angeles, California; O. A. Shevchenko, N. Vinokurov, BINP SB RAS, Novosibirsk; G. Wang, BNL, Upton, Long Island, New York","High Gain FEL Amplification of Charge Modulation Caused by a Hadron",51 54,
mopph032,"H. X. Deng, Z. M. Dai, SINAP, Shanghai","Three Dimensional Simulations on Harmonic Operation of Shanghai Deep Ultraviolet Free Electron Laser",55 58,
mopph033,"H. X. Deng, Z. M. Dai, SINAP, Shanghai","Study of Short Seed Pulse Effects in High Gain Harmonic Generation Free Electron Laser",59 62,
mopph034,"P. J.M. van der Slot, K.-J. Boller, Mesa+, Enschede; H. Freund, SAIC, McLean; R. van der Meer, Mesa+, Enschede","Mirror Aberrations in Low Gain FEL Oscillators",63 66,
mopph037,"V. Kumar, RRCAT, Indore (M. P.); K.-J. Kim, ANL, Argonne, Illinois","Smith-Purcell BWO with Electron Beam Focussing",67 70,
mopph041,"M. Yasuda, H. Hama, F. Hinode, K. Kasamsook, M. Kawai, A. Kurihara, K. Nanbu, Y. Shibasaki, S. Takahashi, Tohoku University, School of Scinece, Sendai","Development of THz Light Source Using Pre-Bunched FEL",71 74,
mopph042,"D. J. Dunning, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire","FEL Scheme with Optical Cavity Round-Trip Frequency at Multiple of Electron Bunch Repetition Rate",75 78,
mopph046,"G. M. Kazakevich, BINP SB RAS, Novosibirsk; Y. U. Jeong, B. C. Lee, KAERI, Daejon; V. M. Pavlov, BINP SB RAS, Novosibirsk","Phase Stability of a Microtron Driving a Terahertz FEL",79 82,
mopph047,"H. L. Andrews, C. A. Brau, Vanderbilt University, Nashville, TN; R. Durant, C. F. Guertin, Vermont Photonics, Bellows Falls, VT; J. D. Jarvis, Vanderbilt University, Nashville, TN; T. H. Lowell, M. R. Mross, A. O'Donnell, Vermont Photonics, Bellows Falls, VT","Experimental Observation of the Evanescent Wave in a Smith-Purcell Free-Electron Laser",83 86,
mopph048,"R. Hajima, N. Nishimori, JAEA/ERL, Ibaraki","Free-Electron Laser Options for the Energy-Recvory Linac Light Source in Japan",87 89,
