frioa01,"R. Calaga, E. Jensen [CERN, Geneva, Switzerland] ","LHC Crab Cavity .Progress and Outlook",1161 1164,
mop001,"M.K. Kalliokoski, I.R. Bailey, N. Woollett [Lancaster University, Lancaster, United Kingdom] G. Burt, A.C. Dexter [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] S. Chattopadhyay [Cockcroft Institute, Warrington, Cheshire, United Kingdom] J.B. Dainton [The University of Liverpool, Liverpool, United Kingdom] P. Goudket, A.J. Moss, S.M. Pattalwar, T.T. Thakker, P.H. Williams [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","CASCADE: a Cavity Based Dark Matter Experiment",66 68,
mop002,"M.S. Champion, M. Doleans, S.-H. Kim [ORNL, Oak Ridge, Tennessee, USA] ","Conceptual Design for Replacement of the DTL and CCL with Superconducting RF Cavities in the Spallation Neutron Source Linac",69 72,
mop003,"C. Christou, A. Bogusz, P. Gu, M. Maddock, P.J. Marten, S.A. Pande, A.F. Rankin, D. Spink, A.V. Watkins [Diamond, Oxfordshire, United Kingdom] ","Implications of Increased Beam Current for the Diamond Storage Ring RF System",73 76,
mop004,"C. Darve, M. Eshraqi, M. Lindroos, D.P. McGinnis, S. Molloy [ESS, Lund, Sweden] P. Bosland [CEA/IRFU, Gif-sur-Yvette, France] S. Bousson [IPN, Orsay, France] ","The ESS Superconducting Linear Accelerator",77 79,
mop006,"V. Gettmann, W.A. Barth, S. Jacke, S. Mickat, S. Mickat, A. Orzhekhovskaya [GSI, Darmstadt, Germany] M. Amberg, K. Aulenbacher, W.A. Barth, S. Jacke, S. Mickat [HIM, Mainz, Germany] M. Amberg, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] K. Aulenbacher [IKP, Mainz, Germany] ","Status of the SC CW-Linac Demonstrator",80 82,
mop007,"S.-H. Kim, W. Blokland, M.S. Champion, A. Coleman, M.T. Crofford, M. Doleans, D.L. Douglas, T.V. Gorlov, M.P. Howell, Y.W. Kang, A.P. Shishlo, S.E. Stewart, W.H. Strong [ORNL, Oak Ridge, Tennessee, USA] R. Afanador, B. DeGraff, B.S. Hannah, S.W. Lee, C.J. McMahan, T.S. Neustadt, S.W. Ottaway, C.C. Peters, J. Saunders, D.M. Vandygriff [ORNL RAD, Oak Ridge, Tennessee, USA] ","The Status of Superconducting Linac and SRF Activities at the SNS",83 88,
mop008,"H.J. Kim, H.J. Cha, M.O. Hyun, H.J. Jang, D. Jeon, J.D. Joo, M.J. Joung, H.C. Jung, Y. Jung, Y. Kim, M. Lee, G.-T. Park [IBS, Daejeon, Republic of Korea] ","SUPERCONDUCTING LINAC FOR THE RISP",89 91,
mop009,"A. Nassiri, N.D. Arnold, T.G. Berenc, M. Borland, B. Brajuskovic, D.J. Bromberek, J. Carwardine, G. Decker, L. Emery, J.D. Fuerst, J.P. Holzbauer, D. Horan, J.A. Kaluzny, J.S. Kerby, F. Lenkszus, R.M. Lill, H. Ma, V. Sajaev, B.K. Stillwell, G.J. Waldschmidt, M. White, G. Wu, Y. Yang, A. Zholents [ANL, Argonne, USA] J.M. Byrd, L.R. Doolittle, G. Huang [LBNL, Berkeley, California, USA] P. Dhakal, J. Henry, J.D. Mammosser, J. Matalevich, R.A. Rimmer, H. Wang, K.M. Wilson [JLAB, Newport News, Virginia, USA] Z. Li, L. Xiao [SLAC, Menlo Park, California, USA] ","A Summary of the Advanced Photon Source (APS) Short Pulse X-ray (SPX) R&D Accomplishments",92 94,
mop010,"G. Olry, F. Chatelet, C. Commeaux, N. Gandolfo, D. Grolet, C. Joly, J. Lesrel, D. Longuevergne, R. Martret, G. Michel, L. Renard, A. Stephen, P. Szott [IPN, Orsay, France] P.-E. Bernaudin, R. Beunard, R. Ferdinand, A. Lefevre [GANIL, Caen, France] Y. Gómez Martínez [LPSC, Grenoble Cedex, France] ","Spiral2 Cryomodules B Tests Results",95 99,
mop011,"P. Pierini, M. Bertucci, A. Bosotti, C. Maiano, P. Michelato, L. Monaco, R. Paparella, D. Sertore [INFN/LASA, Segrate (MI), Italy] C. Pagani [Università degli Studi di Milano  INFN, Segrate, Italy] E. Vogel [DESY, Hamburg, Germany] ","European XFEL 3.9 GHz System",100 102,
