frioa01,"R. Calaga, E. Jensen [CERN, Geneva, Switzerland] ","LHC Crab Cavity .Progress and Outlook",1161 1164,
mop070,"F. Schlander [IKP, Mainz, Germany] F. Schlander [DESY, Hamburg, Germany] ","Results on Quality Factors of 1.3 GHz Nine-Cell Cavities at DESY",297 299,
mop071,"N.R.A. Valles, R.G. Eichhorn, F. Furuta, G.M. Ge, D. Gonnella, D.L. Hall, Y. He, K.M.V. Ho, G.H. Hoffstaetter, M. Liepe, T.I. O'Connel, S. Posen, P. Quigley, J. Sears, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Record Quality Factor Performance of the Prototype Cornell ERL Main Linac Cavity in the Horizontal Test Cryomodule",300 304,
mop073,"J.Y. Zhai, J. Gao, S. Jin, Z.Q. Li, Y. Liu, Z.C. Liu, Z.H. Mi, X.H. Peng, T.X. Zhao, H.J. Zheng [IHEP, Beijing, People's Republic of China] C.A. Cooper, C.M. Ginsburg, T.N. Khabiboulline, A.M. Rowe, D.A. Sergatskov [Fermilab, Batavia, USA] J.X. Wang, H. Yu, H. Yuan [BIAM, Beijing, People's Republic of China] ","IHEP 1.3 GHz Low Loss Large Grain 9-cell Cavity Fabrication, Processing and Test",305 307,
mop074,"R.G. Eichhorn, B. Bullock, J.V. Conway, Y. He, T.I. O'Connel, P. Quigley, D.M. Sabol, J. Sears, E.N. Smith, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Design and Construction of the Main Linac Cryomodule for the Energy Recovery Linac Project at Cornell",308 313,
mop077,"J.P. Holzbauer, J.D. Fuerst, A. Nassiri, Y. Shiroyanagi, B.K. Stillwell, G.J. Waldschmidt, G. Wu [ANL, Argonne, USA] G. Cheng, J. Henry, J.D. Mammosser, J. Matalevich, J.P. Preble, R.A. Rimmer, H. Wang, K.M. Wilson, M. Wiseman, S. Yang [JLAB, Newport News, Virginia, USA] ","Cryomodule Component Development for the APS Upgrade Short Pulse X-Ray Project",314 320,
mop078,"J.P. Holzbauer, N.D. Arnold, T.G. Berenc, D.J. Bromberek, J. Carwardine, N.P. Di Monte, J.D. Fuerst, A.E. Grelick, D. Horan, J.A. Kaluzny, J.W. Lang, H. Ma, T.L. Mann, D.A. Meyer, M.E. Middendorf, A. Nassiri, Y. Shiroyanagi, J.H. Vacca, G.J. Waldschmidt, R.D. Wright, G. Wu, Y. Yang, A. Zholents [ANL, Argonne, USA] E.R. Harms, W. Schappert [Fermilab, Batavia, USA] J.D. Mammosser [JLAB, Newport News, Virginia, USA] ","Horizontal Testing of a Dressed Deflecting Mode Cavity for the APS Upgrade Short Pulse X-Ray Project",321 324,
mop079,"J.D. Fuerst, J.P. Holzbauer, J.A. Kaluzny, C.R. Montiel, Y. Shiroyanagi, B.K. Stillwell [ANL, Argonne, USA] ","Design and Test of a Cryogenic Seal for Rectangular Waveguide Using VATSEAL Technology",325 327,
mop080,"T. Junquera, P. Bujard, N.R. Chevalier, J.P. Thermeau [Accelerators and Cryogenic Systems, Orsay, France] L. Hermansson, M. Noor, R.J.M.Y. Ruber, R. Santiago Kern [Uppsala University, Uppsala, Sweden] H. Saugnac [IPN, Orsay, France] ","Design of a New Horizontal Test Cryostat for SCRF Cavities at the Uppsala University",328 330,
mop081,"T. Junquera, N.R. Chevalier, J.P. Thermeau [Accelerators and Cryogenic Systems, Orsay, France] L. Medeiros-Romao (L. Medeiros Romão), D. Vandeplassche [SCK-CEN, Mol, Belgium] H. Saugnac [IPN, Orsay, France] ","Preliminary Studies of the Cryogenic Refrigerator and Distribution Systems for the MYRRHA Proton Linac",331 333,
mop082,"T. Kuerzeder (T. Kürzeder), J. Conrad, F. Hug, N. Pietralla, A. Richter, S.T. Sievers [TU Darmstadt, Darmstadt, Germany] R.G. Eichhorn [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Development and Test of a New Cryostat Module for the Injector of the S-DALINAC*",334 336,
mop083,"M. Louvet, H.D. Dias, M. Diop, P. Marchand [SOLEIL, Gif-sur-Yvette, France] ","Operational Experience With the SOLEIL Storage Ring RF Cryogenic Plant",337 340,
mop084,"G. Olivier, J.P. Thermeau [IPN, Orsay, France] P. Bosland [CEA/IRFU, Gif-sur-Yvette, France] C. Darve [ESS, Lund, Sweden] ","ESS Cryomodules for Elliptical Cavities",341 344,
mop085,"V. Parma, R. Bonomi, O. Capatina, J.K. Chambrillon, E. Montesinos, K.M. Schirm, A. Vande Craen, G. Vandoni, R. van Weelderen [CERN, Geneva, Switzerland] G. Devanz [CEA/IRFU, Gif-sur-Yvette, France] P. Duchesne, P. Duthil, S. Rousselot [IPN, Orsay, France] ","Status of the Superconducting Proton Linac (SPL) Cryomodule",345 348,
mop086,"S.M. Pattalwar, R.K. Buckley, P.A. Corlett, P. Goudket, A.R. Goulden, A.J. May, P.A. McIntosh, A.E. Wheelhouse [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] S.A. Belomestnykh [BNL, Upton, Long Island, New York, USA] A. Buechner (A. Büchner), F.G. Gabriel, P. Michel [HZDR, Dresden, Germany] E.P. Chojnacki, J.V. Conway, R.G. Eichhorn, G.H. Hoffstaetter, M. Liepe, H. Padamsee, P. Quigley, J. Sears, V.D. Shemelin [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] M.A. Cordwell, T.J. Jones, L. Ma, A.J. Moss, J. Strachan [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] J.N. Corlett, D. Li, S.M. Lidia [LBNL, Berkeley, California, USA] T. Kimura [Stanford University, Stanford, California, USA] R.E. Laxdal [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] J.K. Sekutowicz [DESY, Hamburg, Germany] T.J. Smith [SLAC, Menlo Park, California, USA] ","Integration, Commissioning and Cryogenics Performance of the ERL Cryomodule Installed on ALICE-ERL Facility at STFC Daresbury Laboratory, UK",349 352,
mop087,"S.M. Pattalwar, P.A. McIntosh, A.E. Wheelhouse [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] G. Burt [Cockcroft Institute, Warrington, Cheshire, United Kingdom] G. Burt [Lancaster University, Lancaster, United Kingdom] O. Capatina [CERN, Geneva, Switzerland] B.D.S. Hall [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] T.J. Jones, N. Templeton [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] T.J. Peterson [Fermilab, Batavia, USA] ","Conceptual Design of a Cryomodule for Compact Crab Cavities for Hi-Lumi LHC",353 356,
mop089,"D. Reynet, S. Bousson, S. Brault, P. Duchesne, P. Duthil, N. Gandolfo, G. Olry, E. Rampnoux [IPN, Orsay, France] ","Design of the ESS Spoke Cryomodule",357 360,
mop090,"I. Terechkine, S. Cheban, T.H. Nicol, V. Poloubotko, D.A. Sergatskov [Fermilab, Batavia, USA] ","Feasibility of Using Conductively Cooled Magnets in Cryomodules of Superconducting Linacs",361 363,
mop092,"J. Heller, T. Flisgen, U. van Rienen [Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock, Germany] ","Computation of Wakefields and HOM Port Signals by Means of Reduced Order Models",364 366,
mop093,"A. Novokhatski [SLAC, Menlo Park, California, USA] ","Geometric Optics of Wake Fields of Very Short Bunches in Superconducting Cavities",367 369,
picture,"MARTINET Guillaume",N/A,99 98,
thioa01,"D. Reschke [DESY, Hamburg, Germany] ","Infrastructure, Methods and Test Results for the Testing of 800 Series Cavities for the European XFEL",812 815,
thioa02,"C. Madec [CEA, Gif-sur-Yvette, France] S. Berry, J.-P. Charrier, M. Fontaine, Y. Gasser, O. Napoly, C.S. Simon, T.V. Vacher, B. Visentin [CEA/DSM/IRFU, France] P. Charon, C. Cloue (C. Cloué), G. Monnereau, J.L. Perrin, D. Roudier, Y. Sauce, T. Trublet [CEA/IRFU, Gif-sur-Yvette, France] ","The Challenge to Assemble 100 Cryomodules for the European E-XFEL",816 820,
thioa03,"M. Yamanaka, Y. Ajima, H. Inoue, T. Kubo, T. Saeki, Y. Watanabe, S. Yamaguchi [KEK, Ibaraki, Japan] ","Cavity Fabrication Study in CFF at KEK",821 824,
thioa04,"S.J. Miller, B. Bird, N.K. Bultman, F. Casagrande, A.D. Fox, M.J. Johnson, M. Leitner, T. Nellis, J.P. Ozelis, X. Rao, R.J. Rose, M. Shuptar, K. Witgen, Y. Xu [FRIB, East Lansing, Michigan, USA] ","Low-Beta Cryomodule Design Optimized for Large-Scale Linac Installations",825 829,
thioa05,"T. Powers [JLAB, Newport News, Virginia, USA] ","Optimization of SRF Linacs",830 835,
thiob01,"M.A. Drury, J. Hogan, C. Hovater, L.K. King, H. Park, J.P. Preble, R.A. Rimmer, H. Wang, M. Wiseman [JLAB, Newport News, Virginia, USA] G.K. Davis, C.E. Reece [JLab, Newport News, Virginia, USA] F. Marhauser [Muons, Inc, Illinois, USA] ","CEBAF Upgrade: Cryomodule Performance and Lessons Learned",836 843,
thiob02,"R.G. Eichhorn, B. Bullock, B. Clasby, B. Elmore, F. Furuta, A. Ganshin, G.M. Ge, D. Gonnella, D.L. Hall, Y. He, K.M.V. Ho, G.H. Hoffstaetter, J.J. Kaufman, M. Liepe, T.I. O'Connel, S. Posen, P. Quigley, J. Sears, V.D. Shemelin, E.N. Smith, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","High Q Cavities for the Cornell ERL Main Linac",844 849,
thioc01,"M.P. Kelly, Z.A. Conway, S.M. Gerbick, M. Kedzie, S.H. Kim, R.C. Murphy, B. Mustapha, P.N. Ostroumov, T. Reid [ANL, Argonne, USA] ","Low Beta Cavity Development for an ATLAS Intensity Upgrade",850 854,
thioc02,"H. Sakai, K. Enami, T. Furuya, M. Satoh, K. Shinoe, K. Umemori [KEK, Ibaraki, Japan] E. Cenni [Sokendai, Ibaraki, Japan] M. Sawamura [JAEA, Ibaraki-ken, Japan] ","High Power CW Tests of cERL Main-Linac Cryomodule",855 859,
thioc03,"E.I. Simakov, S. Arsenyev, W.B. Haynes, S.S. Kurennoy, D.Y. Shchegolkov, N.A. Suvorova, T. Tajima [LANL, Los Alamos, New Mexico, USA] C.H. Boulware, T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] ","Superconducting Photonic Band Gap Structures for High-Current Applications",860 864,
thioc04,"M. Omet [Sokendai, Ibaraki, Japan] T. Matsumoto, S. Michizono, T. Miura [KEK, Ibaraki, Japan] ","Demonstration of RF Stabilities in STF 9-cell Cavities Aiming for the Near Quench Limit Operation",865 867,
thiod01,"Y. He, W.M. Yue, S.H. Zhang [IMP, Lanzhou, People's Republic of China] J.P. Dai, Z.Q. Li, Z.C. Liu, W.M. Pan [IHEP, Beijing, People's Republic of China] X.Y. Lu [PKU, Beijing, People's Republic of China] ","SRF Cavities for ADS Project in China",868 872,
thiod02,"A. Facco [NSCL, East Lansing, Michigan, USA] C. Compton, J.L. Crisp, K. Elliott, A. Facco, M. Hodek, M.J. Johnson, M. Leitner, I.M. Malloch, D. Miller, S.J. Miller, D. Morris, D. Norton, R. Oweiss, J.P. Ozelis, J. Popielarski, L. Popielarski, K. Saito, N.R. Usher, G.J. Velianoff, D.R. Victory, J. Wei, K. Witgen, Y. Xu, S. Zhao [FRIB, East Lansing, Michigan, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] ","Faced Issues in ReA3 Quarter-Wave Resonators and Their Successful Resolution",873 877,
thiod03,"N. Bazin, P. Carbonnier, G. Devanz, G. Disset, N. Grouas, P. Hardy, F. Orsini, D. Roudier [CEA/DSM/IRFU, France] J. Neyret [CEA/IRFU, Gif-sur-Yvette, France] ","Cavity Development for the Linear IFMIF Prototype Accelerator",878 883,
thiod04,"D. Longuevergne, S. Blivet, S. Bousson, N. Gandolfo, G. Martinet, G. Olry, H. Saugnac [IPN, Orsay, France] ","A Cold Tuner System With Mobile Plunger",884 888,
thp001,"S. An, P.P. Xue [PLAI, Nanjing, People's Republic of China] S.Q.X. Xu, H. Z. Zhang [ADS-SRF, People's Republic of China] P.P. Xue, L. Zhang [Changan University, Chang'an, People's Republic of China] Z.R. Zhang [Nanjing University of Aeronautics and Astronautics, Jiangning, People's Republic of China] ","Development of a Prototype SRF Cavity for the Proton Beam Utilization Facility at Nanjing University",889 891,
thp002,"P.V. Avrakhov, A. Kanareykin, R.A. Kostin, Y. Xie [Euclid TechLabs, LLC, Solon, Ohio, USA] S. Kazakov, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, USA] ","Design of 3-Cell Travelling Wave Cavity for High Gradient Test",892 895,
thp003,"M. Busch, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] M. Amberg [HIM, Mainz, Germany] ","Cold Measurements on the 325 MHz CH-Cavity",896 898,
thp004,"H.J. Cha, D. Jeon, H.C. Jung, H.J. Kim, G.-T. Park [IBS, Daejeon, Republic of Korea] R.E. Laxdal, Z.Y. Yao, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Design Progress of SSR1 Single Spoke Resonator for RAON",899 901,
thp005,"C.S. Hopper, J.R. Delayen, H. Park [ODU, Norfolk, Virginia, USA] J.R. Delayen, H. Park [JLAB, Newport News, Virginia, USA] ","Characteristics and Fabrication of Spoke Cavities for High-Velocity Applications",902 905,
thp006,"F.D. Dziuba, M. Amberg, M. Busch, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] M. Amberg, K. Aulenbacher, W.A. Barth, V. Gettmann, S. Mickat [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] ","A Superconducting 217 MHz CH Cavitiy for the CW Demonstrator at GSI",906 908,
thp007,"R.G. Eichhorn, B. Bullock, B. Clasby, B. Elmore, F. Furuta, G.H. Hoffstaetter, J.J. Kaufman, B.M. Kilpatrick, J. Sears, V.D. Shemelin [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] T. Kuerzeder (T. Kürzeder) [TU Darmstadt, Darmstadt, Germany] ","Cornell's ERL Cavity Production",909 913,
thp011,"J.K. Hao, J.E. Chen, L. Lin, K.X. Liu, X.Y. Lu, S.W. Quan, F. Wang, H.M. Xie, B.C. Zhang, K. Zhao, F. Zhu [PKU, Beijing, People's Republic of China] ","Improving Gradient of 9-cell SRF Cavities at Peking University",914 916,
thp012,"E.R. Harms, T.T. Arkan, E. Borissov, N. Dhanaraj, A. Hocker, Y.O. Orlov, T.J. Peterson, K.S. Premo [Fermilab, Batavia, USA] ","Rebuild of Capture Cavity 1 at Fermilab",917 919,
thp013,"F.S. He, R.A. Rimmer, H. Wang [JLAB, Newport News, Virginia, USA] ","A New Cavity Design for Medium Beta Acceleration",920 922,
thp016,"W.M. Yue, W. Chang, S. He, Y. He, S.C. Huang, Y.L. Huang, T.C. Jiang, F.F. Wang, R.X. Wang, M.X. Xu, C. Zhang, S.H. Zhang, S.X. Zhang [IMP, Lanzhou, People's Republic of China] ","DEVELOPMENT OF THE SUPERCONDUCTING HALF WAVE RESONATOR FOR INJECTOR II IN C-ADS",923 925,
thp017,"S. Jin, J. Gao, Z.C. Liu, J.Y. Zhai, H.J. Zheng [IHEP, Beijing, People's Republic of China] ","Mechanical Study on the Cavity Package of 1.3 GHz Superconducting Accelerating Unit at IHEP",926 928,
thp018,"T. Junquera [Accelerators and Cryogenic Systems, Orsay, France] F.J. Bermejo, J.L. Munoz (J.L. Muñoz), A.V. Velez (A. Vélez) [ESS Bilbao, Bilbao, Spain] P. Duchesne, G. Olry [IPN, Orsay, France] ","Design of a Superconducting 352MHz Fully Jacketed Double-Spoke Resonator for the ESS-Bilbao Proton Linac",929 932,
thp019,"P. Kolb, P.R. Harmer, D. Kishi, A. Koveshnikov, C. Laforge, D. Lang, R.E. Laxdal, Y. Ma, B.S. Waraich, Z.Y. Yao, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","1.3 GHz SRF Cavity Tests for ARIEL at TRIUMF",933 935,
thp020,"P. Kolb, B. Amini, R.E. Laxdal, Y. Ma, Z.Y. Yao, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Measuring the Higher Order Mode Spectrum of the TRIUMF 9-cell Cavity",936 938,
thp021,"Z.Q. Li, Y.L. Chi, Q. Ma, W.M. Pan, Y. Sun, J.Y. Tang, Q.Y. Wang, B. Xu, X.Y. Zhang [IHEP, Beijing, People's Republic of China] Y. He, C. Zhang, S.H. Zhang, S.X. Zhang [IMP, Lanzhou, People's Republic of China] H.Y. Lin, P. Sha [Institute of High Energy Physics (IHEP), Chinese Academy of Sciences, Beijing, People's Republic of China] ","Design of the SSR021 Cavity for the Proton Accelerator Main Linac of China ADS",939 941,
thp022,"H. Li, J.P. Dai, L.H. Li, H.Y. Lin, Q. Ma, W.M. Pan, Y. Sun, Q.Y. Wang, J. Zhang [IHEP, Beijing, People's Republic of China] H. Huang, P. Sha [Institute of High Energy Physics (IHEP), Chinese Academy of Sciences, Beijing, People's Republic of China] ","DEVELOPMENT OF A VERY LOW BETA SUPERCONDUCTING SINGLE SPOKE CAVITY FOR CHINA-ADS LINAC*",942 945,
thp024,"J.L. Munoz (J.L. Muñoz), F.J. Bermejo [ESS Bilbao, Zamudio, Spain] ","Lorentz Force Detuning Simulations of Spoke Cavities With Different Stiffening Elements",946 949,
thp026,"J. Noonan, T.L. Smith, M. Virgo, G.J. Waldschmidt [ANL, Argonne, USA] J.W. Lewellen [LANL, Los Alamos, New Mexico, USA] ","Cage Cavity: A Low Cost, High Performance SRF Accelerating Structure",950 954,
thp027,"G.-T. Park [IBS, Daejeon, Republic of Korea] ","Multipactor Analysis of the HWR at RISP",955 958,
thp028,"P. Sha, H. Huang [Institute of High Energy Physics (IHEP), Chinese Academy of Sciences, Beijing, People's Republic of China] W.M. Pan, X.Y. Zhang [IHEP, Beijing, People's Republic of China] ","The Research on Spoke 0.40 Cavity",959 961,
thp029,"N. Solyak, M.H. Awida, I.V. Gonin, T.N. Khabiboulline, Y.M. Pischalnikov, W. Schappert, V.P. Yakovlev [Fermilab, Batavia, USA] ","Simulation of Mechanical Resonances of SRF Cavities in Low Beam Current CW Operation",962 965,
thp030,"A.E. Wheelhouse, R.K. Buckley, L.S. Cowie, P. Goudket, A.R. Goulden, P.A. McIntosh [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] C.A. Cooper, C.M. Ginsburg, A. Grassellino, O.S. Melnychuk, A.M. Rowe, D.A. Sergatskov [Fermilab, Batavia, USA] J.R. Everard, N. Shakespeare [Shakespeare Engineering, South Woodham Ferrers, Essex, United Kingdom] ","Superconducting RF Cavity Development With UK Industry",966 968,
thp031,"Q. Wu, S.A. Belomestnykh, I. Ben-Zvi, G.T. McIntyre, R. Porqueddu, S.K. Seberg, T. Xin [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi [Stony Brook University, Stony Brook, USA] ","Superconducting Test of the 56 MHz SRF Quarter Wave Resonator for RHIC",969 971,
thp033,"Z.Y. Yao, R.E. Laxdal, B.S. Waraich, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] R. Edinger [PAVAC, Richmond, B.C., Canada] ","Study of Balloon Spoke Cavities",972 974,
thp034,"Z.Y. Yao, R.E. Laxdal, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] X.Y. Lu, K. Zhao [PKU, Beijing, People's Republic of China] ","Multipacting Suppression in a Single Spoke Cavity",975 977,
thp035,"V. Zvyagintsev, B. Amini, P.R. Harmer, P. Kolb, R.E. Laxdal, Y. Ma, B.S. Waraich, Z.Y. Yao [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] R. Edinger, M.C. Leustean, R. Singh [PAVAC, Richmond, B.C., Canada] ","Production of a 1.3 GHz Niobium 9-cell TRIUMF-PAVAC Cavity for the ARIEL Project",978 981,
thp036,"G. Burt, B.D.S. Hall [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] T.J. Jones, N. Templeton [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] P.A. McIntosh, S.M. Pattalwar, A.E. Wheelhouse [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] T.J. Peterson [Fermilab, Batavia, USA] L.A. Wright [CERN, Geneva, Switzerland] ","Design of a 4 Rod Crab Cavity Cryomodule System for HL-LHC",982 984,
thp038,"D.L. Hall, M. Liepe, I.S. Madjarov, K.P. McDermott, N.R.A. Valles [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Development and Performance of a High Field TE-Mode Sample Host Cavity",985 987,
thp039,"L. Lu [RIKEN, Saitama, Japan] O. Kamigaito, N. Sakamoto, K. Suda, K. Yamada [RIKEN Nishina Center, Wako, Japan] ","Design of a Triple-Spoke Cavity as a Rebuncher for RIKEN RI-Beam Factory",988 990,
thp040,"E.T. Tulu, U. van Rienen [Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock, Germany] A. Arnold [HZDR, Dresden, Germany] ","3D MULTIPACTING STUDY FOR THE ROSSENDORF SRF GUN",991 994,
thp041,"S. Verdú-Andrés, S.A. Belomestnykh, I. Ben-Zvi, J. Skaritka, Q. Wu, B. P. Xiao [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi [Stony Brook University, Stony Brook, USA] R. Calaga [CERN, Geneva, Switzerland] Z. Li [SLAC, Menlo Park, California, USA] ","Optimization of the Double Quarter Wave Crab Cavity Prototype for Testing at SPS",995 997,
thp042,"L. Xiao, K.L.F. Bane, Y. Cai, X. Huang, C.-K. Ng, A. Novokhatski, L. Wang [SLAC, Menlo Park, California, USA] ","High Frequency SRF Cavity Study for Bunch Shortening in PEPX",998 1001,
thp043,"B. P. Xiao, S.A. Belomestnykh, I. Ben-Zvi, R. Calaga, C. Cullen, L.R. Hammons, J. Skaritka, S. Verdú-Andrés, Q. Wu [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi [Stony Brook University, Stony Brook, USA] ","Design and Vertical Test of Double Quarter Wave Crab Cavity for LHC Luminosity Upgrade",1002 1005,
thp044,"B. P. Xiao, S.A. Belomestnykh, I. Ben-Zvi, J. Skaritka, S. Verdú-Andrés, Q. Wu [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi [Stony Brook University, Stony Brook, USA] R. Calaga [CERN, Geneva, Switzerland] ","Compact Higher Order Mode Filter for Crab Cavities in the Large Hadron Collider",1006 1008,
thp046,"K. Saito, S. Chouhan, C. Compton, J. DeKamp, M. Leitner, F. Marti, J.P. Ozelis, S. Shanab, G.J. Velianoff, X. Wu, Y. Yamazaki, A. Zeller, Y. Zhang, Q. Zhao [FRIB, East Lansing, Michigan, USA] S.K. Chandrasekaran [MSU, East Lansing, USA] K. Hosoyama [KEK, Ibaraki, Japan] ","Magnetic Material Characterization & SC Solenoid Coil Package Design for FRIB",1009 1012,
thp047,"I. Terechkine, T.N. Khabiboulline, D.A. Sergatskov [Fermilab, Batavia, USA] ","Performance Degradation of a Superconducting Cavity Quenching in Magnetic Field",1013 1015,
thp048,"R. Ainsworth [Royal Holloway, University of London, Surrey, United Kingdom] N. Baboi, M.K. Grecki, T. Wamsat [DESY, Hamburg, Germany] N. Eddy [Fermilab, Batavia, USA] S. Molloy [ESS, Lund, Sweden] P. Zhang [CERN, Geneva, Switzerland] ","The Influence of Tuners and Temperature on the Higher Order Mode Spectrum for 1.3 GHz SCRF Cavities",1016 1018,
thp049,"R. Bonomi, O. Capatina, E. Montesinos, V. Parma, A. Vande Craen [CERN, Geneva, Switzerland] ","SPL RF Coupler Cooling Efficiency",1019 1023,
thp050,"X. Chen, T.M. Huang, H.Y. Lin, Q. Ma, F. Meng, W.M. Pan, Y.H. Peng [IHEP, Beijing, People's Republic of China] ","Development of Power Coupler for Superconducting Spoke Cavities for China ADS Proton Linac",1024 1026,
thp052,"R.G. Eichhorn, J.V. Conway, Y. He, Y. Li, T.I. O'Connel, P. Quigley, J. Sears, N.R.A. Valles [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] V.D. Shemelin [Cornell University, Ithaca, New York, USA] ","Cornell's Beam Line Higher Order Mode Absorbers",1027 1030,
thp053,"R. Oweiss, J.L. Crisp, A. Facco, M. Leitner, D. Morris, J. Popielarski [FRIB, East Lansing, Michigan, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] L. Popielarski, J. Wenstrom [NSCL, East Lansing, Michigan, USA] ","Development of Quality Control Procedures for the Processing of ReA3 Copper Plated Fundamental Power Coupler",1031 1035,
thp054,"Y. Gómez Martínez, M.A. Baylac, P. Boge, T. Cabanel, P. De Lamberterie, M. Marton, R. Micoud [LPSC, Grenoble Cedex, France] ","Last Spiral 2 Couplers Preparation and RF Conditioning",1036 1039,
thp055,"H. Hahn, S.A. Belomestnykh, I. Ben-Zvi, L.R. Hammons, V. Litvinenko, R.J. Todd, D. Weiss, W. Xu [BNL, Upton, Long Island, New York, USA] A. Burrill [HZB, Berlin, Germany] J. Dai [Stony Brook University, Stony Brook, USA] ","Ferrite Covered Ceramic Break HOM Damper",1040 1042,
thp056,"H. Jenhani, P. Carbonnier, Y. Gasser, N. Grouas, P. Hardy, V.M. Hennion, F. Orsini, Y. Penichot, B. Renard, D. Roudier [CEA/IRFU, Gif-sur-Yvette, France] S.J. Einarson, T.A. Treado [CPI, Beverley, Massachusetts, USA] D. Regidor, M. Weber [CIEMAT, Madrid, Spain] ","Validation Procedures for the IFMIF Power Coupler Prototypes",1043 1046,
thp058,"D. Kostin, W.-D. Moeller (W.-D. Möller) [DESY, Hamburg, Germany] W. Kaabi [LAL, Orsay, France] ","Update on the European XFEL RF Power Input Coupler",1047 1050,
thp059,"D. Kostin, W.-D. Moeller (W.-D. Möller), J.K. Sekutowicz [DESY, Hamburg, Germany] ","HOM Coupler Design Adjustment for CW operation of the 1.3 GHz 9-cell TESLA Type SRF Cavity",1051 1054,
thp060,"S.V. Kutsaev, M.P. Kelly, B. Mustapha, J.A. Nolen, P.N. Ostroumov [ANL, Argonne, USA] ","High Power RF Coupler for ADS Accelerating Cavities",1055 1057,
thp061,"M. Nishiwaki, K. Akai, T. Furuya, A. Kabe, S. Mitsunobu, Y. Morita [KEK, Ibaraki, Japan] ","Developments of HOM Dampers for SuperKEKB Superconducting Cavity",1058 1060,
thp062,"S.A. Pande, C. Christou, P. Gu, M. Jensen [Diamond, Oxfordshire, United Kingdom] ","Optimisation of the 3-Stub Tuner for Matching the Diamond SCRF Cavities",1061 1065,
thp064,"K. Papke, U. van Rienen [Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock, Germany] F. Gerigk [CERN, Geneva, Switzerland] ","HOM Couplers for CERN SPL Cavities",1066 1068,
thp065,"E. Rampnoux, S. Bousson, S. Brault, P. Duchesne, P. Duthil, G. Olry, D. Reynet [IPN, Orsay, France] ","Design of 352.21 MHz RF Power Input Coupler and Window for the European Spallation Source Project (ESS)",1069 1072,
thp066,"J. Rodnizki, Y. Ben Aliz, I. Fishman, A. Grin, Z. Horvitz, B. Kaizer, L. Weissman [Soreq NRC, Yavne, Israel] ","SARAF Phase-I HWR Coupler Cooling Design",1073 1076,
