MP522,"J. Choi, K.M. Ha, J.M. Kim (PAL)","Control System Development for the KOMAC Vacuum System",
MP523,"V. Commichau, H.B. Broeker, C. Camps, G. Fluegge, K. Hangarter (RWTH Aachen) M. Capell, A. Koulemzine, A. Lebedev, S. Xu (MIT) K.S. Kim, J. Yang (Ewha Womans Univ.) G.N. Kim, M.W. Lee, D. Son (KNU) A. Biland, U. Roeser, G.M. Viertel, HP. von Gunten (ETHZ)","The Slow Control System for the Alpha Magnetic Spectrometer (AMS-02) on the International Space Station",
MP525,"V.I. Zaitsev (State Research Center of Russia Troitsk Institute for Innovation and Fusion Research)","High Power Fusion Facilities as Control Object",
MP526,"N. Kobayashi, N. Kanaya, Y. Tahara (Univ. of Ibaraki), S. Suzuki,  S. Sato (Tohoku Univ.)","Performance Evaluation of the Remote Equipment using Distributed Remote Object for the 1.8-GeV TSRF Storage Ring",
MP527,"N. Kanaya, N. Kobayashi (Univ. of Ibaraki) S. Suzuki, S. Sato (Tohoku Univ.)","Design of the Magnet Control System for the 1.8-GeV Synchrotron Radiation Source at TSRF",
MP528,"M. Komiyama, I. Yokoyama, M. Fujimaki, M. Nagase, T. Tanabe, M. Kase (RIKEN) J. Odagiri (KEK)","Current Status of the Control System for the RIKEN Accelerator Research Facility",
MP529,"Y. Leng, L. Hoff (BNL)","Analog I/O Module Test System Based on EPICS CA Protocol and ActiveX CA Interface",
MP531,"D. Domínguez, J.J. Gras, J. Lewis, J.J. Savioz, J. Serrano (CERN) F.J. Ballester (UPV)","An FPGA Based Multiprocessing CPU for Beam Synchronous Timing in CERN's SPS and LHC",
MP532,"P. Álvarez, D. Domínguez, J. Lewis, Q. King, J. Serrano, B. Todd (CERN)","PLL Usage in the General Machine Timing System for the LHC",
MP533,"J. Serrano, P. Álvarez, D. Domínguez, J. Lewis (CERN)","Nanosecond Level UTC Timing Generation and Stamping in CERN's LHC",
MP534,"J. Serrano, I. Acebes, S. Deghaye, W. Heinze, J. Lewis (CERN)","VME Switch for CERN's PS Analog Video System",
MP535,"J. Lewis, J.C. Bau, J. Serrano, D. Domínguez, P.A. Sanchez (CERN)","The Evolution of the CERN SPS Timing System for the LHC Era",
MP537,"W.H. Park, K.W. Seong, M.W. Lee, J.W. Shin, H.Y. Jin, K.S. Kim, Y.D. Oh, K. Cho, S.R. Ro, G.N. Kim, D. Son (CHEP) M.Y. Kim, K.S. Kim, Y.Y. Choi, H.J. Hyun, J. Yang (Ewha Womans Univ.)","A DC/DC Converter Test Board and Control System",
MP539,"K. Furukawa, T. Suwada, N. Kamikubota, M. Satoh (KEK)","The Timing System of KEKB 8-GeV Linac",
MP540,"H. Abasaki, K. Mochiki (Misashi Institute of Technology) J. Kishiro, K. Marutsuka, H. Nakagawa, H. Sato, M. Shirakata (KEK)","Power Spectrum Depended Spill Servo Control by DSP",
MP543,"B. Kalantari, T. Korhonen (PSI)","New Features of the SLS Timing System",
MP544,"M. Heiniger, S. Hunt (PSI)","Post-Mortem Analysis of Failures in Accelerator Systems",
MP545,"S. Hunt (PSI)","The Control System for the SLS Superconducting Third Harmonic Cavities.",
MP546,"C. Sibley, A. Jones, D. Thompson (SNS-ORNL) E. Bjorklund (LANL)","Implementation and Integration of the SNS Timing and Machine Protection Systems",
