srf84-1,"K. W. Shepard, ANL, Argonne","Status of RF Superconductivity at Argonne National Laboratory",
srf84-10,"D. C. Weisser, M. Malev, J. S. Sokolowski, Australian National University, Canberra","The Stub to Plate Weld in Quarter Wave Resonators - An Investigation",
srf84-11,"U. Trinks, Technische Universität, München","The Superconducting Separated Orbit Cyclotron Triton",
srf84-12,"L. Dietl, Technische Universität, München","Development of the Triton Cavities",
srf84-13,"J. R. Delayen, "California Institure of Technology, Low Temperature Physics", Pasadena","Remarks on Low Beta Structures and Accelerators Using Lead Technology",
srf84-14,"R. Sundelin, Cornell University, Ithaca","What did we learn from Storage Ring Tests?",
srf84-15,"Y. Kojima, KEK, Ibaraki-ken","Beam Test of a Three-Cell Structure in the Tristan Accumulation Ring",
srf84-16,"D. Proch, B. Dwersteg, W. Ebeling, W. Flauger, W. D. Moeller, J. Peters, D. Renken, J. Susta, DESY, Hamburg","Status Report of the Petra 18-Cell Superconducting Cavity Experiment",
srf84-17,"E. Picasso, CERN, Geneva","Superconducting Acceleration System for LEP",
srf84-18,"J. Tückmantel, E. Haebel, P. Marchand, CERN, Geneva","An Improved Superconducting Cavity Design for LEP",
srf84-19,"E. Haebel, CERN, Geneva","Beam Tube Couplers for the Superconducting LEP Cavity",
srf84-2,"H. Lengeler, C. Benvenuti, P. Bernard, D. Bloess, G. Cavallari, E. Chiaveri, N. Circelli, W. Erdt, E. Haebel, P. Marchand, R. Stierlin, J. Tückmantel, W. Weingarten, CERN, Geneva; H. Piel, University of Wuppertal, Wuppertal","RF - Superconductivity at CERN",
srf84-20,"J. Schmid, CERN, Geneva","Cryogenics for Superconducting RF Cavities in LEP",
srf84-21,"H. Padamsee, Cornell University, Ithaca","The Technology of Nb Production and Purification",
srf84-22,"G. Müller, University of Wuppertal, Wuppertal","Diagnostic Techniques and Defect Classification",
srf84-23,"D. Bloess, CERN, Geneva","Chemistry and Surface Treatment",
srf84-24,"J. Halbritter, Kernforschungszentrum, Karlsrhue","On RF Residual Losses in Superconducting Cavities",
srf84-25,"K. W. Shepard, ANL, Argonne","Long Term Operation of Niobium Superconducting Resonators in the Argonne Heavy - Ion Linac",
srf84-26,"E. L. Garwin, R. E. Kirby, SLAC, Stanford","Surface Studies of Nb, its Compounds, and Coatings",
srf84-27,"F. Palmer, Cornell University, Ithaca","Contribution of Oxide Layers to the Residual Resistance of Niobium",
srf84-28,"P. Kneisel, Cornell University, Ithaca","Clean Work and its Consequences - Contamination Control Considerations",
srf84-29,"R. V. Latham, University of Aston, Birmingham","Field - Induced Electron Emission from Localized Sites on Extended - Area Electrodes",
srf84-3,"R. Sundelin, Cornell University, Ithaca","Superconducting RF Activities at Cornell University",
srf84-30,"W. Weingarten, CERN, Geneva","Electron Loading",
srf84-31,"O. Fischer, Ph. Niedermann, N. Sankarraman, "DPMC, University of Geneva", Geneva","Investigations on Field Emission from Broad Area Nb - Cathodes",
srf84-32,"J. Susta, DESY, Hamburg","Development in Fabrication Methods",
srf84-33,"E. Chiaveri, H. Lengeler, CERN, Geneva","Welding of Niobium Cavities at CERN",
srf84-34,"C. Benvenuti, N. Circelli, M. Hauer, W. Weingarten, CERN, Geneva","Superconducting 500MHz Accelerating Copper Cavities Sputter - Coated with Niobium Films",
srf84-35,"G. Arnolds-Mayer, University of Wuppertal, Wuppertal","A15 Surfaces in Nb Cavities",
srf84-4,"W. Ebeling, B. Dwersteg, W. Flauger, W. D. Moeller, J. Peters, D. Proch, J. Susta, DESY, Hamburg","Superconducting Cavities at DESY",
srf84-5,"Y. Kojima, KEK, Ibaraki-ken","Recent Results on Superconducting Cavities at KEK",
srf84-6,"V. Nguyen Tuong, L. Wartski, M. Boussoukaya, K. M'Baye, M. Pham Tu, J. C. Villegier, Institut d'Electronique Fondamentale, Orsay-Cédex","RF Superconductivity at Orsay",
srf84-7,"I. E. Campisi, Z. D. Farkas, SLAC, Stanford","The Pulsed RF Superconductivity Program at SLAC",
srf84-8,"H. Heinrichs, G. Arnolds-Mayer, T. Grundey, U. Klein, N. Minatti, G. Müller, M. Peiniger, H. Piel, G. Unterbörsch, H. P. Vogel, University of Wuppertal, Wuppertal","Activities on RF-Superconductivity at Wuppertal",
srf84-9,"D. W. Storm, T. Goliak, A. G. Seamster, University of Washington Nuclear Physics Laboratory, Seattle; J. M. Brennan, R. Coughlin, State University of New York, New York; I. Ben-Zvi, Department of Nuclear Physics, Weizmann Institute of Science, Rehovot","Tests of Beta = 0.1 and Development of Beta = 0.2 - Lead Plated Quarter Wave Resonators",
