fr1a01,"R.A. Baartman [TRIUMF, Vancouver, Canada] ","Fast Envelope Tracking for Space Charge Dominated Injectors",1017 1021,
th2a01,"D.E. Johnson, K.L. Duel, M.H. Gardner, T.R. Johnson, D. Slimmer [Fermilab, Batavia, Illinois, USA] S. Patil [PriTel, Inc., Naperville, USA] J. Tafoya [Optical Engines, Inc., Colorado Springs, USA] ","The Linac Laser Notcher for the Fermilab Booster",710 714,
th2a02,"T. Hofmann, U. Raich, F. Roncarolo [CERN, Geneva, Switzerland] G.E. Boorman, A. Bosco, S.M. Gibson [Royal Holloway, University of London, Surrey, United Kingdom] G.E. Boorman, A. Bosco, S.M. Gibson [JAI, Egham, Surrey, United Kingdom] ","Results From the Laserwire Emittance Scanner and Profile Monitor at CERN's Linac4",715 719,
th2a03,"M.T. Maier, X. Du, P. Gerhard, L. Groening, S. Mickat, H. Vormann [GSI, Darmstadt, Germany] ","Complete Transverse 4D Beam Characterization for Ions Beams at Energies of Few MeV/u",720 724,
th3a01,"X. Shen, X.J. Wang [SLAC, Menlo Park, California, USA] ","Making Molecular Movie with MeV Electrons",725 728,
th3a02,"R.W. Garnett [LANL, Los Alamos, New Mexico, USA] ","The Los Alamos Multi-Probe Facility for Matter-Radiation Interactions in Extremes",729 733,
th3a03,"P.A. McIntosh, D. Angal-Kalinin, J.A. Clarke, L.S. Cowie, B.D. Fell, S.P. Jamison, B.L. Militsyn, Y.M. Saveliev, D.J. Scott, N. Thompson, P.H. Williams [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] A. Gleeson, T.J. Jones [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] ","The VELA and CLARA Test Facilities at Daresbury Laboratory",734 739,
thop01,"U. Pudasaini, M.J. Kelley [The College of William and Mary, Williamsburg, Virginia, USA] G.V. Eremeev, M.J. Kelley, C.E. Reece [JLab, Newport News, Virginia, USA] ","Experimental Study of Nucleation for Nb3Sn Diffusion Coatings on Niobium SRF Cavities",740 743,
thop02,"A.D. Palczewski, C.E. Reece [JLab, Newport News, Virginia, USA] M.J. Kelley [The College of William and Mary, Williamsburg, Virginia, USA] J. Tuggle [Virginia Polytechnic Institute and State University, Blacksburg, USA] ","Investigation of Nitrogen Absorption Rate and Nitride Growth on SRF Cavity Grade RRR Niobium as a Function of Furnace Temperature",744 747,
thop03,"A.V. Velez (A.V. Vélez), A. Frahm, J. Knobloch, A. Neumann [HZB, Berlin, Germany] ","Cold Bead-Pull Test Stand for SRF Cavities",748 750,
thop04,"T. Kuerzeder (T. Kürzeder), M. Arnold, L.E. Juergensen (L.E. Jürgensen), J. Pforr, N. Pietralla [TU Darmstadt, Darmstadt, Germany] F. Hug [IKP, Mainz, Germany] ","Measurements of the Beam Break-Up Threshold Current at the Recirculating Electron Accelerator S-DALINAC",751 753,
thop05,"R. Muñoz Horta, D. Lanaia, F. Perez (F. Pérez) [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Status and Operation of the ALBA Linac",754 756,
thop06,"R. Leewe, K. Fong, Z. Shahriari [TRIUMF, Vancouver, Canada] M. Moallem [SFU, Surrey, Canada] ","Novel Scheme to Tune RF Cavities Using Reflected Power",757 759,
thop08,"F. Naito, S. Anami, Z. Fang, K. Futatsukawa, Y. Honda, Y. Hori, M. Kawamura, H. Kobayashi, T. Kurihara, T. Miura, T. Miura, T. Miyajima, T. Obina, F. Qiu, Y. Sato, T. Shibata, M. Shimamoto, A. Takagi, E. Takasaki, M. Uota [KEK, Ibaraki, Japan] S. Fujikura [ICEPP, Tokyo, Japan] K. Ikegami [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] H. Kumada, Su. Tanaka [Tsukuba University, Graduate School of Comprehensive Human Sciences, Ibaraki, Japan] Y. Liu, T. Maruta [KEK/JAEA, Ibaraki-Ken, Japan] A. Miura [JAEA/J-PARC, Tokai-mura, Japan] N. Nagura, T. Ohba [Nippon Advanced Technology Co., Ltd., Tokai, Japan] T. Onishi [Tsukuba University, Ibaraki, Japan] T. Ouchi [ATOX, Ibaraki, Japan] ","Beam Commissioning of the i-BNCT Linac",760 762,
thop09,"B. Koubek, Y. Cuvet, A. Grudiev, C. Rossi, M.A. Timmins [CERN, Geneva, Switzerland] ","Tuning of the CERN 750 MHz RFQ for Medical Applications",763 766,
thop10,"Z. Zheng, J.T. Popielarski, K. Saito, S. Stark, T. Xu, Y. Yamazaki [FRIB, East Lansing, USA] ","Design and Commissioning of FRIB Multipacting-Free Fundamental Power Coupler",767 769,
thop11,"S. Doebert (S. Döbert) [CERN, Geneva, Switzerland] ","Ultra-Short Bunch Electron Injector for Awake",770 772,
thop12,"L. Garolfi, C. Bruni, M. El Khaldi [LAL, Orsay, France] N. Faure, A. Perez Delaume [PMB-ALCEN, PEYNIER, France] ","Electron Linac Upgrade for Thomx Project",773 775,
thplr003,"W. Wuensch, T. Argyropoulos, N. Catalan-Lasheras (N. Catalán Lasheras), D. Esperante Pereira, J. Giner Navarro, A. Grudiev, G. McMonagle, I. Syratchev, B.J. Woolley, H. Zha [CERN, Geneva, Switzerland] T. Argyropoulos, D. Esperante Pereira, J. Giner Navarro [IFIC, Valencia, Spain] G.B. Bowden, V.A. Dolgashev, A.A. Haase [SLAC, Menlo Park, California, USA] P.J. Giansiracusa, T.G. Lucas, M. Volpi [The University of Melbourne, Melbourne, Victoria, Australia] R. Rajamaki [Aalto University, School of Science and Technology, Aalto, Finland] X.F.D. Stragier [TUE, Eindhoven, The Netherlands] ","Fabrication and High-Gradient Testing of an Accelerating Structure Made From Milled Halves",845 848,
thplr004,"T. Ota, N. Kuroiwa, S. Nomura, Y. Otani, M. Takasaki, M. Yamada [Toshiba, Yokohama, Japan] H. Hayano, T. Saeki [KEK, Ibaraki, Japan] Y.V. Krygin, V. Kuznetsov, A.A. Tsorayev [Ulba Metallurgical Plant, Ust-Kamenogorak, Kazakhstan] Y. Shirota [BE International Corporation, Tokyo, Japan] T. Tosaka [Toshiba Corporation, Power And Industrial Systems Research and Development Center, Yokohama, Japan] ","Development of 1.3 Ghz Single-Cell Superconducting Cavities With Nb Material Developed by Ulba Metallurgical Plant",849 851,
thplr006,"H. Oikawa [Utsunomiya University, Utsunomiya, Japan] H. Hayano, S. Kato, T. Kubo, T. Saeki [KEK, Ibaraki, Japan] T. Higashiguchi [Center for Optical Research and Education, Utsunomiya University, Utsunomiya, Japan] M. Hino [Kyoto University, Research Reactor Institute, Osaka, Japan] Y. Iwashita [Kyoto ICR, Uji, Kyoto, Japan] ","Design Study of a Test Cavity for Evaluating RF Critical Magnetic Field of Thin-Film Superconductor",852 854,
thplr007,"A.I. Sukhanov, I.L. Rakhno, N. Solyak, I.S. Tropin [Fermilab, Batavia, Illinois, USA] ","Dark Current Studies in ILC Main Linac",855 857,
thplr008,"R.A. Kostin [LETI, Saint-Petersburg, Russia] P.V. Avrakhov, A. Kanareykin [Euclid TechLabs, LLC, Solon, Ohio, USA] T.N. Khabiboulline, A.M. Rowe, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","3-Cell Superconducting Traveling Wave Cavity Tuning at Room Temperature",858 860,
thplr009,"R.W. Garnett, S.S. Kurennoy, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] K. Hasegawa [JAEA, Ibaraki-ken, Japan] S. Portillo, E. Schamiloglu [University of New Mexico, Albuquerque, USA] N. Saito [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","A Compact Muon Accelerator for Tomography and Active Interrogation",861 863,
thplr011,"S.V. Matsievskiy, V.I. Kaminskiy [MEPhI, Moscow, Russia] ","Traveling Wave Accelerating Structure Power Input Calculation With Equivalent Circuit Method",864 866,
thplr012,"M.K. Fukuda, S. Araki, Y. Honda, N. Terunuma, J. Urakawa [KEK, Ibaraki, Japan] K. Sakaue [Waseda University, Waseda Institute for Advanced Study, Tokyo, Japan] M. Washio [Waseda University, Tokyo, Japan] ","Beam-Loading Compensation of a Multi-Bunch Electron Beam by Using RF Amplitude Modulation in Laser Undulator Compact X-Ray Source (LUCX)",867 869,
thplr013,"K. Pepitone, S. Doebert (S. Döbert) [CERN, Geneva, Switzerland] B. Cadilhon, B. Cassany, J. Gardelle [CEA, LE BARP cedex, France] ","LEETCHI: The High Current Electron Source for the CLIC Drive Beam Injector",870 872,
thplr014,"K. Koyama, M. Yoshida [KEK, Ibaraki, Japan] Z. Chen, H. Okamoto [The University of Tokyo, Tokyo, Japan] M. Uesaka [The University of Tokyo, Nuclear Professional School, Ibaraki-ken, Japan] ","Laser-Driven Dielectric Nano-Beam Accelerator for Radiation Biology Researches",873 875,
thplr015,"K. Yanagida, H. Hanaki, S. Suzuki [JASRI/SPring-8, Hyogo-ken, Japan] ","Fifth-Order Moment Correction for Beam Position and Second-Order Moment Measurement",876 878,
thplr018,"A.A. Sulimov, J.H. Thie [DESY, Hamburg, Germany] M. Pekeler, D. Trompetter [RI Research Instruments GmbH, Bergisch Gladbach, Germany] ","HOM Suppression Improvement for Mass Production of EXFEL Cavities at RI",879 881,
thplr019,"C. Gruen (C. Grün), S. Schreiber, T. Schulz [DESY, Hamburg, Germany] ","A Laser Pulse Controller for the Injector Laser at FLASH and European XFEL",882 884,
thplr020,"G. Shen, E.T. Berryman, D. Chabot, M.A. Davidsaver, K. Fukushima, Z.Q. He, M. Ikegami, M.G. Konrad, D. Liu, D.G. Maxwell, V. Vuppala [FRIB, East Lansing, USA] ","Status and Progress of FRIB High Level Controls",885 887,
thplr021,"T. Magome, H. Hanaki, T. Kobayashi, S. Suzuki, T. Taniuchi [JASRI/SPring-8, Hyogo-ken, Japan] ","Identification of Emitting Sources of Dark Currents From Gridded Thermionic Electron Gun and Measures to Suppress Dark Currents From Electron Gun in SPring-8 Linear Accelerator",888 890,
thplr023,"M. Marchetto, T.J. Alderson, F. Ames, R.A. Baartman, J.D. Chak, P.E. Dirksen, T.G. Emmens, G.W. Hodgson, T. Hruskovec, M. Ilagan, R.E. Laxdal, N. Muller, D. Preddy, D. Rowbotham, S. Saminathan, Q. Temmel, V.A. Verzilov, D. Yosifov [TRIUMF, Vancouver, Canada] ","The ARIEL Radioactive Ion Beam Transport System",891 893,
thplr024,"P. Anger, P. Bisson, O. Danna, X. Hulin, J.-M. Lagniel, S. Montaigne, F. Perocheau, E. Petit, L. Roupsard [GANIL, Caen, France] ","SPIRAL2 Project: Integration of the Accelerator Processes, Construction of the Buildings and Process Connections",894 897,
thplr025,"B. Schlitt, G. Eichler, S. Hermann, M. Hoerr, M. Mueh, S. Petit, A. Schnase, G. Schreiber, W. Vinzenz, J. Zappai [GSI, Darmstadt, Germany] ","Modernisation of the 108 MHz RF Systems at the GSI UNILAC",898 901,
thplr026,"V.G. Dudnikov, R.P. Johnson [Muons, Inc, Illinois, USA] G. Dudnikova [UMD, College Park, Maryland, USA] G. Dudnikova [ICT SB RAS, Novosibirsk, Russia] B. Han, S. Murrey, C. Stinson [ORNL RAD, Oak Ridge, Tennessee, USA] T.R. Pennisi, C. Piller, M. Santana, M.P. Stockli, R.F. Welton [ORNL, Oak Ridge, Tennessee, USA] ","Radio Frequency Surface Plasma Source With Solenoidal Magnetic Field",902 905,
thplr027,"Z.A. Conway, A. Barcikowski, G.L. Cherry, R.L. Fischer, B.M. Guilfoyle, C.S. Hopper, M. Kedzie, M.P. Kelly, S.H. Kim, S.W.T. MacDonald, P.N. Ostroumov, T. Reid [ANL, Argonne, Illinois, USA] V.A. Lebedev, A. Lunin [Fermilab, Batavia, Illinois, USA] ","Progress Towards a 2.0 K Half-Wave Resonator Cryomodule for Fermilab's PIP-II Project",906 909,
thplr028,"L. Xiao, O. Kononenko, C.-K. Ng [SLAC, Menlo Park, California, USA] ","Simulation of Mechanical Oscillations in PIP-II Cryomodule Using ACE3P",910 912,
thplr029,"M. Busch, M. Amberg, M. Basten, F.D. Dziuba, P.A. Mundine, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","Update on the SC 325 MHz CH-Cavity and Power Coupler Processing",913 915,
thplr030,"D. Longuevergne, J.-L. Biarrotte, S. Blivet, P. Duchesne, G. Olry, H. Saugnac [IPN, Orsay, France] Y. Gómez Martínez [LPSC, Grenoble Cedex, France] ","Performances of the Two First Single Spoke Prototypes for the MYRRHA Project",916 919,
thplr032,"P. Berrutti, T.N. Khabiboulline, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Update on SSR2 Cavity EM Design for PIP-II",920 922,
thplr033,"M. Basten, M. Amberg, M. Busch, F.D. Dziuba, H. Podlech, M. Schwarz [IAP, Frankfurt am Main, Germany] W.A. Barth, V. Gettmann, S. Mickat, M. Miski-Oglu [HIM, Mainz, Germany] M. Heilmann, S. Mickat, S. Yaramyshev [GSI, Darmstadt, Germany] ","R&D Status of the New Superconducting CW Heavy Ion LINAC@GSI",923 925,
thplr035,"E.N. Zaplatin [FZJ, Jülich, Germany] ","FZJ SRF TSR with Integrated LHe Vessel",926 928,
thplr036,"E.N. Zaplatin [FZJ, Jülich, Germany] I.V. Gonin, T.N. Khabiboulline, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","SRF Low-Beta Elliptical Resonator Two-Ring Stiffening",929 931,
thplr037,"H. Park, A. Hutton, F. Marhauser [JLab, Newport News, Virginia, USA] S.U. De Silva, J.R. Delayen, H. Park [ODU, Norfolk, Virginia, USA] ","Development of a Superconducting Twin Axis Cavity",932 935,
thplr038,"W. Schappert, J.P. Holzbauer, Y.M. Pischalnikov [Fermilab, Batavia, Illinois, USA] ","Resonance Control for Narrow Bandwidth PIP-II Cavities",936 938,
thplr040,"K. Yamada, O. Kamigaito, K. Ozeki, N. Sakamoto, K. Suda, Y. Watanabe [RIKEN Nishina Center, Wako, Japan] E. Kako, H. Nakai, K. Umemori [KEK, Ibaraki, Japan] A. Miyamoto, K. Sennyu, T. Yanagisawa [MHI-MS, Kobe, Japan] ","First Vertical Test of Superconducting QWR Prototype at RIKEN",939 942,
thplr041,"I.V. Gonin, E. Borissov, A. Grassellino, C.J. Grimm, V. Jain, S. Kazakov, V.A. Lebedev, A. Lunin, C.S. Mishra, D.V. Mitchell, T.H. Nicol, Y.M. Pischalnikov, G.V. Romanov, A.M. Rowe, N.K. Sharma, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","650 MHz Elliptical Superconducting RF Cavities for PIP-II Project",943 945,
thplr042,"A.S. Plastun, B. Mustapha, A. Nassiri, P.N. Ostroumov [ANL, Argonne, Illinois, USA] L. Faillace, S.V. Kutsaev, E.A. Savin [RadiaBeam, Santa Monica, California, USA] E.A. Savin [MEPhI, Moscow, Russia] ","Beam Dynamics Studies for a Compact Carbon Ion Linac for Therapy",946 948,
thplr043,"L. Wang, M. Ikegami, Z. Li, G. Shen, S. Zhao [FRIB, East Lansing, USA] M.A. Davis [NSCL, East Lansing, Michigan, USA] ","EPICS IOC Prototype of FRIB Machine Protection System",949 952,
thplr044,"F.D. Dziuba, M. Amberg, M. Basten, M. Busch, H. Podlech [IAP, Frankfurt am Main, Germany] W.A. Barth, M. Miski-Oglu [GSI, Darmstadt, Germany] W.A. Barth, M. Miski-Oglu [HIM, Mainz, Germany] ","First Performance Test on the Superconducting 217 MHz CH Cavity at 4.2 K",953 955,
thplr045,"M. Ikegami, D. Dudley, M.G. Konrad, Z. Li, G. Shen, V. Vuppala [FRIB, East Lansing, USA] ","Operation Mode and Machine State Control for FRIB Driver Linac Operation",956 958,
thplr046,"Z. Li, L.R. Dalesio, M. Ikegami, S.M. Lidia, L. Wang, S. Zhao [FRIB, East Lansing, USA] ","FRIB Fast Machine Protection System: Engineering for Distributed Fault Monitoring System and Light Speed Response",959 961,
thplr047,"S.Z. Wang, Y.L. Chi, X. Huang [IHEP, Beijing, People's Republic of China] ","The Beam Energy Feedback System in Beijing Electron Positron Collider II Linear Accelerator",962 965,
thplr048,"S. Pavinato, M. Betti, D. Bortolato, F. Gelain, D. Marcato, D. Pedretti [INFN/LNL, Legnaro (PD), Italy] M.A. Bellato, R. Isocrate [INFN- Sez. di Padova, Padova, Italy] M. Bertocco [UNIPD, Padova (PD), Italy] ","Development of a Digital LLRF Control System at LNL",966 968,
thplr049,"A. Palmieri, F. Grespan, A. Pisent [INFN/LNL, Legnaro (PD), Italy] ","Tuning the IFMIF 5MeV RFQ Accelerator",969 971,
thplr050,"L. Ferrari, A. Palmieri, A. Pisent [INFN/LNL, Legnaro (PD), Italy] R. Dima, A. Pepato, A. Prevedello, E. Udup [INFN- Sez. di Padova, Padova, Italy] ","IFMIF RFQ Module Characterization via Mechanical and RF Measurements",972 974,
thplr051,"E. Fagotti, L. Antoniazzi, M.G. Giacchini, F. Grespan, M. Montis, A. Palmieri [INFN/LNL, Legnaro (PD), Italy] ","High-Power RF Test of IFMIF-EVEDA RFQ at INFN-LNL",975 977,
thplr054,"N. Misiara, A. Albéri, G. Bourdelle, A.C. Chauveau, D. Chirpaz-Cerbat, M. Desmons, A.C. France, M. Lacroix, P.-A. Leroy, J. Neyret, G. Perreu, O. Piquet, B. Pottin, H. Przybilski, N. Sellami [CEA/IRFU, Gif-sur-Yvette, France] ","Recent RF and Mechanical Developments for the ESS RFQ",978 981,
thplr059,"A. Almomani, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","Status of a 325 MHz High Gradient CH - Cavity",982 984,
thplr060,"S. Papadopoulos, F. Gerigk, J.-M. Giguet, J. Hansen, J. Marques Balula, A.I. Michet, S. Ramberger, N. Thaus, R. Wegner [CERN, Geneva, Switzerland] ","Experience with the Conditioning of Linac4 RF Cavities",985 988,
thplr061,"L. Lu, C.X. Li, W. Ma, L.B. Shi, L.P. Sun, X.B. Xu, H.W. Zhao [IMP/CAS, Lanzhou, People's Republic of China] T.L. He [USTC/NSRL, Hefei, Anhui, People's Republic of China] L. Yang [USTC, Hefei, Anhui, People's Republic of China] ","Research on a Two-beam Type Drift Tube Linac",989 991,
thplr062,"Y. Kondo, K. Hasegawa [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] Y. Fukao, N. Kawamura, T. Mibe, Y. Miyake, M. Otani, K. Shimomura [KEK, Tsukuba, Japan] K. Ishida [RIKEN Nishina Center, Wako, Japan] R. Kitamura [University of Tokyo, Tokyo, Japan] N. Saito [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","Muon Acceleration Using an RFQ",992 995,
thplr063,"C.X. Li, W.P. Dou, Y. He, F.F. Wang, Z.J. Wang, X.B. Xu, Z.L. Zhang [IMP/CAS, Lanzhou, People's Republic of China] ","RF Design of a Deuteron Beam RFQ",996 998,
thplr064,"W. Ma, Y. He, C.X. Li, L. Lu, L.B. Shi, L.P. Sun, X.B. Xu, Z.L. Zhang, H.W. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Design and Simulation of a High Intensity Heavy Ion RFQ Accelerator Injector",999 1001,
thplr065,"J. Steimel, C.M. Baffes, P. Berrutti, J.-P. Carneiro, J.P. Edelen, T.N. Khabiboulline, L.R. Prost, V.E. Scarpine, A.V. Shemyakin [Fermilab, Batavia, Illinois, USA] A.L. Edelen [CSU, Fort Collins, Colorado, USA] M.D. Hoff, A.R. Lambert, D. Li, T.H. Luo, J.W. Staples, S.P. Virostek [LBNL, Berkeley, California, USA] V.L. Sista [BARC, Mumbai, India] ","Beam Commissioning Status and Results of the FNAL PIP2IT Linear Accelerator RFQ",1002 1004,
thplr066,"E. Fagotti, L. Antoniazzi, A. Baldo, A. Battistello, P. Bottin, L. Ferrari, M.G. Giacchini, F. Grespan, M. Montis, A. Pisent, D. Scarpa [INFN/LNL, Legnaro (PD), Italy] D. Agguiaro, A.G. Colombo, A. Pepato, L. Ramina [INFN- Sez. di Padova, Padova, Italy] F. Borotto Dalla Vecchia, G. Dughera, G. Giraudo, E.A. Macri, P. Mereu, R. Panero [INFN-Torino, Torino, Italy] ","Preparation and Installation of IFMIF-EVEDA RFQ at Rokkasho Site",1005 1007,
thplr067,"S. Choroba, V.V. Katalev [DESY, Hamburg, Germany] E.M. Apostolov [Technical University of Sofia, Sofia, Bulgaria] ","Series Production of the RF Power Distribution for the European XFEL",1008 1010,
thplr069,"J.W. Kim, H. Kim [IBS, Daejeon, Republic of Korea] ","Quality Factor Measurement Method Using Multi Decay Time Constants on Cavity",1011 1013,
thplr074,"R.G. Eichhorn, N.A. Stilin [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] W. Weingarten [CERN, Geneva, Switzerland] ","N-Doped Niobium Accelerating Cavities: Analyzing Model Applicability",1014 1016,
thprc006,"F. Geslin, P. Blache, M. Chabot, J. Lesrel [IPN, Orsay, France] Ch.L. Lievin, S. Sierra [TED, Velizy, France] ","Development of 704.4 MHz Power Coupler Window for Myrrha Project",776 778,
thprc007,"F. Geslin, M. Chabot, J. Lesrel, D. Reynet [IPN, Orsay, France] Ch.L. Lievin, S. Sierra [TED, Velizy, France] ","Development of 352.2 Mhz Power Coupler Window for R&D Purposes",779 781,
thprc008,"S. Sierra, G. Garcin, Ch.L. Lievin, C. Ribaud, G. Vignette [TED, Velizy-Villacoublay, France] M. Knaak, A. Navitski, M. Pekeler, L. Zweibaeumer [RI Research Instruments GmbH, Bergisch Gladbach, Germany] ","Status of the Development and Manufacturing of LCLS-II Fundamental Power Couplers",782 784,
thprc009,"S.B. Wibowo [Sokendai, Ibaraki, Japan] T. Matsumoto, S. Michizono, T. Miura, F. Qiu [KEK, Ibaraki, Japan] ","IF-Mixture Performance During Cavity Conditioning at STF-KEK",785 788,
thprc011,"N.R. Usher, D.M. Alt, J.F. Brandon, D.G. Morris, S. Zhao [FRIB, East Lansing, Michigan, USA] D.M. Alt [NSCL, East Lansing, Michigan, USA] ","Single LLRF for Multi-Harmonic Buncher",789 791,
thprc012,"T. E. Plawski, R. Bachimanchi, B. Bevins, L. Farrish, C. Hovater, G.E. Lahti, M.J. Wissmann [JLab, Newport News, Virgina, USA] ","Resonance Control System for the CEBAF Separator Upgrade",792 794,
thprc013,"S.J. Miller, H. Ao, B. Bird, G.D. Bryant, B. Bullock, N.K. Bultman, F. Casagrande, C. Compton, A. Facco, W. Hartung, J.D. Hulbert, D.G. Morris, P.N. Ostroumov, J.T. Popielarski, L. Popielarski, M.A. Reaume, K. Saito, M. Shuptar, J. Simon, S. Stark, B.P. Tousignant, J. Wei, J.D. Wenstrom, K. Witgen, T. Xu, Z. Zheng [FRIB, East Lansing, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] M.P. Kelly [ANL, Argonne, Illinois, USA] ","Design of a FRIB Half-Wave Pre-Production Cryomodule",795 797,
thprc014,"A. Saini, A. Lunin, N. Solyak, A.I. Sukhanov, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","RF Losses in 1.3 GHz Cryomodule of The LCLS-II Superconducting CW Linac",798 801,
thprc015,"R.G. Eichhorn, F. Furuta, M. Ge, G.H. Hoffstaetter, M. Liepe, S.R. Markham, T.I. O'Connell, P. Quigley, D.M. Sabol, J. Sears, E.N. Smith, V. Veshcherevich, D. Widger [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Cool-Down Performance of the Cornell ERL Cryomodules",802 804,
thprc016,"M. Therasse, G. Barlow, S. Bizzaglia, O. Capatina, A. Chrul, P. Demarest, J-B. Deschamps, J. Gayde, M. Gourragne, A. Harrison, G. Kautzmann, Y. Leclercq, D. Mergelkuhl, T. Mikkola, A. Miyazaki, V. Parma, J.A.F. Somoza, M. Struik, S. Teixeira L¿pez, W. Venturini Delsolaro, L.R. Williams, P. Zhang [CERN, Geneva, Switzerland] J. Dequaire [Intitek, Lyon, France] ","Assembling Experience of the First Two HIE-ISOLDE Cryomodules",805 807,
thprc017,"J.P. Holzbauer, Y.M. Pischalnikov, W. Schappert, J.C. Yun [Fermilab, Batavia, Illinois, USA] ","Performance of SRF Cavity Tuners at LCLS II Prototype Cryomodule at FNAL",808 810,
thprc021,"H. Ao, B. Bird, G.D. Bryant, B. Bullock, N.K. Bultman, C. Compton, A. Facco, J.D. Hulbert, S.J. Miller, J.T. Popielarski, L. Popielarski, M.A. Reaume, K. Saito, M. Shuptar, J. Simon, S. Stark, B.P. Tousignant, J.D. Wenstrom, K. Witgen, T. Xu, Z. Zheng [FRIB, East Lansing, USA] ","Status of =0.53 Pre-Production Cryomodule",811 814,
thprc022,"Y. Ma, K. Fong, P.R. Harmer, T. Junginger, D. Kishi, A.N. Koveshnikov, R.E. Laxdal, N. Muller, Z.Y. Yao, V. Zvyagintsev [TRIUMF, Vancouver, Canada] E. Thoeng [UBC  TRIUMF, Vancouver, British Columbia, Canada] ","The Cryogenic Performance of the ARIEL E-Linac Cryomodules",815 817,
thprc023,"Z. Zheng, J.T. Popielarski, K. Saito, T. Xu [FRIB, East Lansing, USA] ","Cost Reduction for FRIB Magnetic Shielding",818 820,
thprc024,"H. Ao, D. Luo, F. Marti, K. Saito, S. Shanab [FRIB, East Lansing, USA] ","Polarity Check of the FRIB Cryomodule Solenoids by Measuring Leakage Magnetic Field",821 823,
thprc025,"N. Butler, M.P.J. Gaudreau, M.K. Kempkes, M.G. Munderville, F.M. Niell [Diversified Technologies, Inc., Bedford, Massachusetts, USA] ","Solid-State Pulsed Power System for a Stripline Kicker",824 826,
thprc026,"A. Saini, A.V. Shemyakin [Fermilab, Batavia, Illinois, USA] ","Optical Design of the PI-Test MEBT Beam Scraping System",827 829,
thprc028,"S. Artikova [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] Y. Kondo [JAEA, Ibaraki-ken, Japan] T. Mibe, M. Otani [KEK, Tsukuba, Japan] ","Deflector Design for Spin Rotator in Muon Linear Accelerator",830 832,
thprc029,"D.M. Alt, J.F. Brandon, S.W. Krause, A. Lapierre, D.G. Morris, S. Nash, N.R. Usher, A.C.C. Villari, S.J. Williams, S. Zhao [FRIB, East Lansing, USA] M.J. Syphers [Northern Illinois University, DeKalb, Illinois, USA] ","Comissioning Results for a Subharmonic Buncher at REA",833 835,
thprc030,"A. Lajoie [NSCL, East Lansing, Michigan, USA] A. Hershcovitch, P. Thieberger [BNL, Upton, Long Island, New York, USA] F. Marti [FRIB, East Lansing, USA] ","Plasma Window as Charge Stripper Complement",836 839,
thprc031,"J. Castellanos, B. Brañas, J. Molla (J. Mollá), C. Oliver, I. Podadera, F. Toral [CIEMAT, Madrid, Spain] R. Iturbe, B. López [ANTEC Magnets SLU, Vizcaya, Spain] O. Nomen [IREC, Sant Adria del Besos, Spain] ","Manufacturing of MEBT Combined Quadrupole & Steerer Magnets for the Linear IFMIF Prototype Accelerator LIPAC",840 842,
thprc032,"D. Liu [FRIB, East Lansing, USA] ","Towards User Defined Web Applications in Accelerator Labs",843 844,
tu1a01,"F. Gerigk [CERN, Geneva, Switzerland] ","Review on Trends in Normal Conducting Linacs for Protons, Ions and Electrons, With Emphasis on New Technologies and Applications",336 341,
tu1a03,"J.-B. Lallement [CERN, Geneva, Switzerland] ","Experience with the Construction and Commissioning of Linac4",342 347,
tu1a05,"M.A. Plum [ORNL, Oak Ridge, Tennessee, USA] ","High Power Operation of SNS SC Linac",348 352,
tu2a01,"E. Jensen [CERN, Geneva, Switzerland] ","State of the Art, Status and Future of RF Sources for Linacs",353 358,
tu2a02,"C.A. Martins, G. Göransson, M. Kalafatic [ESS, Lund, Sweden] M. Collins [Lund Technical University, Lund, Sweden] ","Pulsed High Power Klystron Modulators for ESS Linac Based on the Stacked Multi-Level Topology",359 362,
tu2a03,"W. Schappert [Fermilab, Batavia, Illinois, USA] ","Resonance Control for Future Linear Accelerators",363 367,
