fr1a01,"R.A. Baartman [TRIUMF, Vancouver, Canada] ","Fast Envelope Tracking for Space Charge Dominated Injectors",1017 1021,
moplr008,"A. Saini, V.V. Kapin, N. Solyak [Fermilab, Batavia, Illinois, USA] ","Status Of the ILC Main Linac Design",149 151,
moplr009,"K. Jin [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","X-Band Travelling Wave Accelerating Section R&D for HTF",152 154,
moplr010,"G.V. Eremeev, M.A. Drury, J.M. Grames, R. Kazimi, M. Poelker, J.P. Preble, R. Suleiman, Y.W. Wang, M. Wright [JLab, Newport News, Virginia, USA] ","4 K SRF Operation of the 10 MeV CEBAF Photo-Injector",155 157,
moplr011,"A.L. Healy, G. Burt [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] M.J. Cliffe, D.M. Graham [The University of Manchester, The Photon Science Institute, Manchester, United Kingdom] S.P. Jamison [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] R. Valizadeh [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Design of a Dielectric-lined Waveguide for Terahertz-driven Linear Electron Acceleration",158 160,
moplr012,"M. Znidarcic (M. Žnidarčič), M. Cargnelutti [I-Tech, Solkan, Slovenia] ","Compact Beam Position Monitor for Electron and Proton Machines",161 164,
moplr013,"M. Krasilnikov, P. Boonpornprasert, J.D. Good, M. Gross (M. Groß), H. Huck, I.I. Isaev, D.K. Kalantaryan, O. Lishilin, G. Loisch, D. Melkumyan, A. Oppelt, G. Pathak, Y. Renier, T. Rublack, F. Stephan, G. Vashchenko, Q.T. Zhao [DESY Zeuthen, Zeuthen, Germany] G. Asova [INRNE, Sofia, Bulgaria] C. Hernandez-Garcia [JLab, Newport News, Virginia, USA] ","Investigations on Electron Beam Imperfections at PITZ",165 167,
moplr014,"M. Arnold, T. Kuerzeder (T. Kürzeder), J. Pforr, N. Pietralla, M. Steinhorst [TU Darmstadt, Darmstadt, Germany] F. Hug [IKP, Mainz, Germany] ","Construction of a Third Recirculation for the S-DALINAC*",168 170,
moplr015,"I.V. Gonin, E.R. Harms, T.N. Khabiboulline, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Thermal-Mechanical Study of 3.9 GHz CW Coupler and Cavity for LCLS-II Project",171 173,
moplr016,"B.L. Militsyn, D. Angal-Kalinin, R.K. Buckley, R.J. Cash, J.A. Clarke, L.S. Cowie, B.D. Fell, P. Goudket, T.J. Jones, K.B. Marinov, P.A. McIntosh, J.W. McKenzie, K.J. Middleman, T.C.Q. Noakes, B.J.A. Shepherd, R. Valizadeh, A.E. Wheelhouse [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] G. Burt [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] V.V. Paramonov [RAS/INR, Moscow, Russia] ","Status of the Injection System of the CLARA FEL Test Facility",174 177,
moplr018,"K. Furukawa, G. Isoyama [ISIR, Osaka, Japan] R. Kato [KEK, Ibaraki, Japan] K. Kawase [HSRC, Higashi-Hiroshima, Japan] A. Tokuchi [Pulsed Power Japan Laboratory Ltd., Kusatsu-shi Shiga, Japan] ","Upgrade of the Klystron Modulator of the L-Band Electron Linac at Osaka University for Higher Stability",178 180,
moplr020,"A. Burrill [SLAC, Menlo Park, California, USA] ","Challenges in Realizing the LCLS-II Cryomodule Production",181 184,
moplr022,"E.R. Harms, M.H. Awida, C.M. Baffes, K. Carlson, S.K. Chandrasekaran, B.E. Chase, E. Cullerton, J.P. Edelen, J. Einstein, C.M. Ginsburg, A. Grassellino, B.J. Hansen, J.P. Holzbauer, S. Kazakov, T.N. Khabiboulline, M.J. Kucera, J.R. Leibfritz, A. Lunin, D. McDowell, M.W. McGee, D.J. Nicklaus, D.F. Orris, J.P. Ozelis, J.F. Patrick, T.B. Petersen, Y.M. Pischalnikov, P.S. Prieto, O.V. Prokofiev, J. Reid, W. Schappert, D.A. Sergatskov, N. Solyak, R.P. Stanek, D. Sun, M.J. White, C. Worel, G. Wu [Fermilab, Batavia, Illinois, USA] ","Commissioning and First Results from the Fermilab Cryomodule Test Stand",185 188,
moplr023,"U. Pudasaini, M.J. Kelley [The College of William and Mary, Williamsburg, Virginia, USA] G.V. Eremeev, C.E. Reece [JLab, Newport News, Virginia, USA] J. Tuggle [Virginia Polytechnic Institute and State University, Blacksburg, USA] ","Examination of Cutouts Inner Surfaces from Nb3Sn Coated Cavity",189 192,
moplr024,"G.V. Eremeev, K. Macha, U. Pudasaini, C.E. Reece, A-M. Valente-Feliciano [JLab, Newport News, Virginia, USA] ","Progress Towards Nb3Sn CEBAF Injector Cryomodule",193 195,
moplr025,"J. Tuggle [Virginia Polytechnic Institute and State University, Blacksburg, USA] M.J. Kelley [The College of William and Mary, Williamsburg, Virginia, USA] A.D. Palczewski, C.E. Reece [JLab, Newport News, Virginia, USA] F.A. Stevie [NCSU AIF, Raleigh, North Carolina, USA] ","Investigation of Low-Level Nitrogen in Niobium by Secondary Ion Mass Spectrometry",196 198,
moplr026,"A.D. Palczewski, F. Marhauser [JLab, Newport News, Virginia, USA] A. Grassellino, S. Posen [Fermilab, Batavia, Illinois, USA] ","Material Qualification of LCLS-II Production Niobium Material Including RF and Flux Expulsion Measurements on Single Cell Cavities",199 202,
moplr030,"S.U. De Silva, J.R. Delayen, H. Park [ODU, Norfolk, Virginia, USA] A. Hutton, F. Marhauser, H. Park [JLab, Newport News, Virginia, USA] ","Electromagnetic Design of a Superconducting Twin Axis Cavity",203 205,
moplr031,"S.U. De Silva, J.R. Delayen [ODU, Norfolk, Virginia, USA] ","Wakefield Analysis of Superconducting RF-Dipole Cavities",206 208,
moplr032,"R. Grewe, L. Alff, J. Conrad, T. Kuerzeder (T. Kürzeder), M. Major, N. Pietralla [TU Darmstadt, Darmstadt, Germany] F. Hug [IKP, Mainz, Germany] ","Preparation for Cavity Material Studies at the Vertical High-Temperature UHV-Furnace of the S-DALINAC",209 211,
moplr035,"M. Sawamura, R. Hajima [QST, Tokai, Japan] H. Hokonohara, Y. Iwashita, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] T. Kubo, T. Saeki [KEK, Ibaraki, Japan] ","Fabrication of Superconducting Spoke Cavity for Compact Photon Source",212 214,
moplr036,"Y. Iwashita, Y. Fuwa, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] H. Hayano, T. Kubo, T. Saeki [KEK, Ibaraki, Japan] M. Hino [Kyoto University, Research Reactor Institute, Osaka, Japan] H. Oikawa [Utsunomiya University, Utsunomiya, Japan] ","Study on Multilayer Thin Film Coating on Superconducting Cavity",215 216,
moplr037,"V. Chouhan, Y.I. Ida, K.N. Nii, T.Y. Yamaguchi [MGH, Hyogo-ken, Japan] P. Carbonnier, F. Eozénou (F. Éozénou), Y. Gasser, L. Maurice, C. Servouin [CEA/DSM/IRFU, France] F. Furuta, M. Ge, T. Gruber, J.J. Kaufman, J. Sears [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] H. Hayano, S. Kato, H. Monjushiro, T. Saeki, M. Sawabe [KEK, Ibaraki, Japan] K. Ishimi [MGI, Chiba, Japan] ","Study of the Surface and Performance of Single-Cell Nb Cavities After Vertical EP Using Ninja Cathodes",217 219,
moplr038,"S. Kato, H. Hayano, H. Inoue, H. Monjushiro, T. Saeki, M. Sawabe [KEK, Ibaraki, Japan] V. Chouhan, Y.I. Ida, K.N. Nii, T.Y. Yamaguchi [MGH, Hyogo-ken, Japan] ","Fabrication of 9 Cell Coupon Cavity for Vertical Electropolishing Test",220 222,
moplr039,"K.N. Nii, V. Chouhan, Y.I. Ida, T.Y. Yamaguchi [MGH, Hyogo-ken, Japan] H. Hayano, S. Kato, H. Monjushiro, T. Saeki, M. Sawabe [KEK, Ibaraki, Japan] K. Ishimi [MGI, Chiba, Japan] ","Development of New Type "Ninja" Cathode for Nb 9-cell Cavity and Experiment of Vertical Electro-Polishing",223 225,
moplr041,"Z.Y. Yao, R.E. Laxdal, B.S. Waraich, V. Zvyagintsev [TRIUMF, Vancouver, Canada] R. Edinger [PAVAC, Richmond, B.C., Canada] ","Design and Fabrication of =0.3 SSR1 for RISP",226 228,
moplr043,"A.M. Rowe, S.K. Chandrasekaran, A. Grassellino, O.S. Melnychuk, M. Merio, D.A. Sergatskov [Fermilab, Batavia, Illinois, USA] T. Reid [ANL, Argonne, Illinois, USA] ","Cavity Processing and Preparation of 650 MHz Elliptical Cell Cavities for PIP-II",229 232,
moplr047,"F. Furuta, M. Ge, T. Gruber, G.H. Hoffstaetter, J.J. Kaufman, M. Liepe, J. Sears [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] T.D. Hall, M.E. Inman, S.T. Snyder, E.J. Taylor [Faraday Technology, Inc., Clayton, Ohio, USA] ","Advanced Vertical Electro-Polishing studies at Cornell with Faraday",233 236,
moplr048,"S. Benedetti, T. Argyropoulos, C. Blanch Gutierrez (C. Blanch Gutiérrez), N. Catalan-Lasheras (N. Catalán Lasheras), A. Degiovanni, D. Esperante Pereira, M. Garlasché (M. Garlaschè), J. Giner Navarro, A. Grudiev, G. McMonagle, A. Solodko, M.A. Timmins, R. Wegner, B.J. Woolley, W. Wuensch [CERN, Geneva, Switzerland] D. Esperante Pereira [IFIC, Valencia, Spain] ","Fabrication and Testing of a Novel S-Band Backward Travelling Wave Accelerating Structure for Proton Therapy Linacs",237 239,
moplr049,"S. Benedetti, A. Grudiev, A. Latina [CERN, Geneva, Switzerland] ","Design of a 750 MHz IH Structure for Medical Applications",240 243,
moplr050,"B. Kaizer, Z. Horvitz, A. Perry, J. Rodnizki [Soreq NRC, Yavne, Israel] M. Di Giacomo, J.F. Leyge, M. Michel, P. Toussaint [GANIL, Caen, France] A. Friedman [Ariel University, Ariel, Israel] ","Study and Development of CW Room Temperature Rebuncher for SARAF Accelerator",244 247,
moplr051,"O.S.H. Haas, O. Boine-Frankenheim [TEMF, TU Darmstadt, Darmstadt, Germany] ","Simulation of Gas and Plasma Charge Strippers",248 250,
moplr052,"T. Shibata, K. Ikegami, T. Maruta, K. Ohkoshi [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] H. Asano, Y. Kondo, A. Miura, H. Oguri [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] Y. Liu [KEK/JAEA, Ibaraki-Ken, Japan] F. Naito, A. Takagi [KEK, Tokai, Ibaraki, Japan] ","LEBT Commissioning of the J-PARC LINAC",251 253,
moplr053,"L.P. Sun, Y. He, C.X. Li, L. Lu, A. Shi, L.B. Shi, W.B. Wang, X.B. Xu, Z.L. Zhang, H.W. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Operating Status of Injector II RFQ for C-ADS Project",254 256,
moplr054,"K. Hasegawa [JAEA/J-PARC, Tokai-mura, Japan] ","Progress and Operation Experiences of the J-PARC Linac",257 260,
moplr057,"L. Neri, L. Allegra, A. Amato, G. Calabrese, A.C. Caruso, G. Castro, L. Celona, F. Chines, G. Gallo, S. Gammino, O. Leonardi, A. Longhitano, G. Manno, S. Marletta, D. Mascali, A. Massara, A. Maugeri, S. Passarello, G. Pastore, A. Seminara, A. Spartà, G. Torrisi, S. Vinciguerra [INFN/LNS, Catania, Italy] M.J. Ferreira, O. Midttun [ESS, Lund, Sweden] O. Midttun [University of Bergen, Bergen, Norway] ","Commissioning of the High Intensity Proton Source Developed at INFN-LNS for the European Spallation Source",261 263,
moplr059,"M. Comunian, L. Bellan, F. Grespan, A. Pisent [INFN/LNL, Legnaro (PD), Italy] M. Eshraqi, R. Miyamoto [ESS, Lund, Sweden] ","Commissioning Plans for the ESS DTL",264 266,
moplr060,"W.L. Chen, W.P. Dou, Y. He, H. Jia, S.H. Liu, Y.S. Qin, Z.J. Wang [IMP/CAS, Lanzhou, People's Republic of China] ","CIADS Normal Temperature Front-End Design",267 270,
moplr061,"H.-J. Kwon, Y.-S. Cho, H.S. Kim, Y.G. Song, S.P. Yun [Korea Atomic Energy Research Institute (KAERI), Gyeongbuk, Republic of Korea] ","Commissioning of the RI Production Beam Line of KOMAC",271 273,
moplr062,"W. Wittmer, P.O. Gustavsson, F. Hellström, G. Hulla [ESS, Lund, Sweden] I. Bustinduy, P.J. Gonzalez (P.J. González), G. Harper, S. Varnasseri, C. de la Cruz [ESS Bilbao, Zamudio, Spain] L. Celona, S. Gammino, L. Neri [INFN/LNS, Catania, Italy] A.C. Chauveau, D. Chirpaz-Cerbat [CEA/IRFU, Gif-sur-Yvette, France] F. Grespan, A. Pisent [INFN/LNL, Legnaro (PD), Italy] P. Mereu [INFN-Torino, Torino, Italy] O. Midttun [University of Bergen, Bergen, Norway] O. Piquet, B. Pottin [CEA/DSM/IRFU, France] ","European Spallation Source (ESS) Normal Conducting Front End Status Report",274 276,
