FOAA001,"M.A.C. Cummings, Northern Illinois University, DeKalb, Illinois","New Technology in Hydrogen Absorbers for Muon Cooling Channels",
ROAB002,"L. Ducimetière, CERN, Geneva","Advances of Transmission Line Kicker Magnets",
ROAB003,"A. Friedman, J.J. Barnard, LLNL, Livermore, California; R.J. Briggs, SAIC, Alamo, California; D. A. Callahan, G.J. Caporaso, LLNL, Livermore, California; C.M. Celata, LBNL, Berkeley, California; R.C. Davidson, PPPL, Princeton, New Jersey; A. Faltens, LBNL, Berkeley, California; L. Grisham, PPPL, Princeton, New Jersey; D.P. Grote, LLNL, Livermore, California; E. Henestroza, LBNL, Berkeley, California; I. Kaganovich, PPPL, Princeton, New Jersey; E. P. Lee, LBNL, Berkeley, California; R.W. Lee, LLNL, Livermore, California; M. Leitner, B. G. Logan, LBNL, Berkeley, California; S.D. Nelson, LLNL, Livermore, California; C. L. Olson, Sandia National Laboratories, Albuquerque, New Mexico; G. Penn, L. R. Reginato, LBNL, Berkeley, California; T. Renk, Sandia National Laboratories, Albuquerque, New Mexico; D. Rose, ATK-MR, Albuquerque, New Mexico; A. Sessler, J.W. Staples, LBNL, Berkeley, California; M. Tabak, LLNL, Livermore, California; C.H. Thoma, ATK-MR, Albuquerque, New Mexico; W. Waldron, LBNL, Berkeley, California; D.R. Welch, ATK-MR, Albuquerque, New Mexico; J.S. Wurtele, S. Yu, LBNL, Berkeley, California","Highly Compressed Ion Beams for High Energy Density Science",
ROAB004,"K.-C.D. Chan, H. Davis, C. Ekdahl, LANL, Los Alamos, New Mexico; T.C. Genoni, T.P. Hughes, ATK-MR, Albuquerque, New Mexico; M.E. Schulze, GA, San Diego, California","Ion Effects in the DARHT-II Downstream Transport",
ROAB005,"R.J. Briggs, SAIC, Alamo, California; L. R. Reginato, W. Waldron, LBNL, Berkeley, California","Helical Pulseline Structures for Ion Acceleration",
ROAB006,"K.J. Thomas, AWE, Reading","Pulsed Power Drivers and Diodes for X-Ray Radiography",
ROAB007,"W. Zhang, BNL, Upton, Long Island, New York; R.I. Cutler, ORNL, Oak Ridge, Tennessee; L. Ducimetière, T. Fowler, CERN, Geneva; T. Kawakubo, KEK, Ibaraki; V. Mertens, CERN, Geneva; J. Sandberg, BNL, Upton, Long Island, New York; Y. Shirakabe, KEK, Ibaraki","Pulsed Power Applications in High Intensity Proton Rings",
ROAB008,"E.G. Cook, G.L. Akana, LLNL, Livermore, California; C. A. Brooksby, Bechtel Nevada, Los Alamos, New Mexico; R. Cassel, J. E. De Lamare, SLAC, Menlo Park, California; E. J. Gower, S.A. Hawkins, B. C. Hickman, LLNL, Livermore, California; M.N. Nguyen, G.C. Pappas, SLAC, Menlo Park, California","Solid-State Modulators for RF and Fast Kickers",
ROAB009,"C.C. Jensen, G. E. Krafczyk, Fermilab, Batavia, Illinois","NuMI Proton Kicker Extraction System",
ROAB010,"S. Sampayan, G.J. Caporaso, Y.-J. Chen, S.A. Hawkins, L. Holmes, J.F. McCarrick, S.D. Nelson, C. Nunnally, B.R. Poole, A. Rhodes, M. Sanders, S. Sullivan, L. Wang, J.A. Watson, LLNL, Livermore, California","Development of a Compact Radiography Accelerator Using Dielectric Wall Accelerator Technology",
ROAC001,"I.E. Campisi, ORNL, Oak Ridge, Tennessee","Testing of the SNS Superconducting Cavities and Cryomodules",
ROAC002,"M. Liepe, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York","Overview of LLRF Systems",
ROAC003,"T.L. Grimm, W. Hartung, NSCL, East Lansing, Michigan","Superconducting RF for Low-Velocity and Intermediate-Velocity Beams",
ROAC004,"S. Doebert, C. Adolphsen, SLAC, Menlo Park, California; T.T. Arkan, C. Boffo, Fermilab, Batavia, Illinois; G.B. Bowden, D.L. Burke, SLAC, Menlo Park, California; H. Carter, Fermilab, Batavia, Illinois; J. Chan, V.A. Dolgashev, J.C. Frisch, SLAC, Menlo Park, California; Y. Funahashi, KEK, Tsukuba, Ibaraki; I.G. Gonin, Fermilab, Batavia, Illinois; H. Hayano, N. Higashi, Y. Higashi, T. Higo, KEK, Ibaraki; R.K. Jobe, R.M. Jones, SLAC, Menlo Park, California; H. Kawamata, KEK, Tsukuba, Ibaraki; T.K. Khabiboulline, Fermilab, Batavia, Illinois; R.E. Kirby, SLAC, Menlo Park, California; T. Kume, KEK, Ibaraki; J.R. Lewandowski, Z. Li, D.J. McCormick, R.H. Miller, SLAC, Menlo Park, California; S.C. Mishra, Fermilab, Batavia, Illinois; Y. Morozumi, KEK, Ibaraki; C.D. Nantista, J. Nelson, C. Pearson, SLAC, Menlo Park, California; G. Romanov, Fermilab, Batavia, Illinois; M.C. Ross, D.C. Schultz, T.J. Smith, SLAC, Menlo Park, California; N. Solyak, Fermilab, Batavia, Illinois; K. Takata, T. T. Takatomi, KEK, Ibaraki; S.G. Tantawi, SLAC, Menlo Park, California; N. Toge, K. Ueno, KEK, Tsukuba, Ibaraki; J.W. Wang, SLAC, Menlo Park, California; Y. Watanabe, KEK, Ibaraki","High Gradient Performance of NLC/GLC X-Band Accelerating Structures",
ROAC005,"M. Yoshii, S. Anami, E. Ezura, K. Hara, Y. Hashimoto, KEK, Ibaraki; M. Nomura, JAERI, Ibaraki-ken; C. Ohmori, KEK, Ibaraki; A. Schnase, JAERI, Ibaraki-ken; A. Takagi, KEK, Ibaraki; F. Tamura, JAERI, Ibaraki-ken; M. Toda, KEK, Ibaraki; M. Yamamoto, JAERI, Ibaraki-ken","Present Status of J-PARC Ring RF Systems",
ROAC006,"B.E. Carlsten, L.M. Earley, P. Ferguson, LANL, Los Alamos, New Mexico; S. Humphries, Field Precision, Albuquerque, New Mexico; F.L. Krawczyk, J. M. Potter, S.J. Russell, Z-F. Wang, LANL, Los Alamos, New Mexico","W-Band Source Development at Los Alamos",
ROAC007,"V.A. Dolgashev, SLAC, Menlo Park, California; Y. Higashi, T. Higo, KEK, Ibaraki; C.D. Nantista, S.G. Tantawi, SLAC, Menlo Park, California","RF Breakdown in Normal Conducting Single-cell Structures",
ROAC008,"J. Norem, ANL, Argonne, Illinois; P. Bauer, Fermilab, Batavia, Illinois; J. Sebastian, D.N. Seidman, NU, Evanston","Atom Probe Tomography Studies of RF Materials",
ROAC009,"R.L. Geng, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; H. Padamsee, Cornell University, Ithaca, New York; A.K. Seaman, V.D. Shemelin, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York","World Record Accelerating Gradient Achieved in a Superconducting Niobium RF Cavity",
ROAC010,"J. Guo, S.G. Tantawi, SLAC, Menlo Park, California","Development of Ultra-Fast Silicon Switches for Active X-Band High Power RF Compression Systems",
ROAD001,"S.D. Claudet, CERN, Geneva","Recent Progress in Power Refrigeration Below 2 K for Superconducting Accelerators",
ROAD002,"G.R. Murdoch, ORNL, Oak Ridge, Tennessee","Remote Handling in High-Power Proton Facilities",
ROAD003,"H.G. Kirk, BNL, Upton, Long Island, New York; Y. Hayato, KEK, Ibaraki; H. Ludewig, L.F. Mausner, BNL, Upton, Long Island, New York; K.T. McDonald, PU, Princeton, New Jersey; J. Sheppard, SLAC, Menlo Park, California; N. Simos, P. Thieberger, BNL, Upton, Long Island, New York; L.P. Trung, Stony Brook University, Stony Brook; K. Yoshimura, KEK, Ibaraki","Post-Irradiation Properties of Candidate Materials for High-Power Targets",
ROAD005,"M. Hahn, ESRF, Grenoble; R. Kersevan, ORNL, Oak Ridge, Tennessee","Status of NEG Coating at ESRF",
ROPA001,"J. Galambos, ORNL, Oak Ridge, Tennessee; C.K. Allen, LANL, Los Alamos, New Mexico; C. Chu, S.M. Cousineau, V.V. Danilov, J.G. Patton, T.A. Pelaia, A.P. Shishlo, ORNL, Oak Ridge, Tennessee","XAL Application Programming Structure",
ROPA002,"E. Matias, R. Berg, T. Johnson, R. Tanner, T. Wilson, G. Wright, H.Z. Zhang, CLS, Saskatoon, Saskatchewan","CLS: A Fully Open-Source Control System",
ROPA003,"T. Katoh, K. Furukawa, N. Kamikubota, H. Nakagawa, J.-I. Odagiri, KEK, Ibaraki; H. Sakaki, H. Sako, JAERI, Ibaraki-ken; G.S. Shen, KEK, Ibaraki; H. Takahashi, JAERI, Ibaraki-ken; Y. Takeuchi, KEK, Ibaraki; F. Tamura, JAERI, Ibaraki-ken; N. Yamamoto, M. Yoshii, KEK, Ibaraki; H. Yoshikawa, JAERI, Ibaraki-ken","Present Status of the J-PARC Control System",
ROPA004,"M. Spata, A. Cuffe, H. Fanning, T.C.O. Oren, Jefferson Lab, Newport News, Virginia","CEBAF Control Room Renovation",
ROPA005,"L.S.N. Nadolski, J. Chinkumo, K. Ho, N.L. Leclercq, M.O. Ounsy, S. Petit, SOLEIL, Gif-sur-Yvette","High Level Control Applications for SOLEIL Commissioning and Operation",
ROPA006,"J. Qiang, LBNL, Berkeley, California","Terascale Beam-Beam Simulations for Tevatron, RHIC and LHC",
ROPA007,"E. Sonnendrucker, M. Gutnic, M. Haefele, G. Latu, IRMA, Strasbourg; J.-L. Lemaire, CEA/DIF/DPTA/SP2A, Bruyeres-le-Chatel","Vlasov Simulations of Beams and Halo",
ROPA008,"W.-D. Klotz, ESRF, Grenoble; R. Pordes, Fermilab, Batavia, Illinois","The Grid",
ROPA009,"R.H. Cohen, A. Friedman, LLNL, Livermore, California; J.-L. Vay, LBNL, Berkeley, California","Bridging Timescales for Simulating Electron Clouds",
ROPA010,"D. Dohan, ANL, Argonne, Illinois","Component/Connection/Signal Modeling of Accelerator Systems",
ROPB001,"M.T.F. Pivi, R.E. Kirby, SLAC, Menlo Park, California; F. Le Pimpec, PSI, Villigen; T.O. Raubenheimer, SLAC, Menlo Park, California","Suppressing Electron Cloud in Future Linear Colliders",
ROPB002,"A.W. Molvik, LLNL, Livermore, California; D. Baca, LBNL, Berkeley, California; J.J. Barnard, LLNL, Livermore, California; F.M. Bieniosek, C.M. Celata, LBNL, Berkeley, California; R.H. Cohen, A. Friedman, M. Kireeff Covo, S.M. Lund, LLNL, Livermore, California; P.A. Seidl, J.-L. Vay, LBNL, Berkeley, California; J.L. Vujic, UCB, Berkeley, California; W. Waldron, LBNL, Berkeley, California","Experiments Studying Desorbed Gas and Electron Clouds in Ion Accelerators",
ROPB003,"L. Wang, J. Wei, BNL, Upton, Long Island, New York","Electron Cloud Dynamics in High-Intensity Rings",
ROPB004,"E. Benedetto, Politecnico di Torino, Torino; G. Arduini, CERN, Geneva; E. Benedetto, Politecnico di Torino, Torino; B. Feng, USC, Los Angeles, California; G. Franchetti, GSI, Darmstadt; A.F. Ghalam, T.C. Katsouleas, USC, Los Angeles, California; K. Ohmi, KEK, Ibaraki; F. Roncarolo, CERN, Geneva; G. Rumolo, CELLS, Bellaterra (Cerdanyola del Vallès); F. Zimmermann, CERN, Geneva","Effect of Lattice and Electron Distribution in Electron-Cloud Instability Simulations for the CERN SPS and LHC",
ROPB005,"E.-S. Kim, Y.J. Han, J.Y. Huang, PAL, Pohang, Kyungbuk; H. Hukuma, H. Ikeda, KEK, Ibaraki; I.S. Ko, P.C.D. Park, S.J. Park, PAL, Pohang, Kyungbuk","Recent Experiment Results on Fast Ion Instability at 2.5 GeV PLS",
ROPB006,"J.-L. Vay, LBNL, Berkeley, California; R.H. Cohen, K. Covo, A. Friedman, LLNL, Livermore, California; M.A. Furman, LBNL, Berkeley, California; D.P. Grote, A.W. Molvik, LLNL, Livermore, California; P.A. Seidl, LBNL, Berkeley, California; P. Stoltz, S.A. Veitzer, Tech-X, Boulder, Colorado; J. Verboncoeur, UCB, Berkeley, California","Filling in the Roadmap for Self-Consistent Electron Cloud and Gas Modeling",
ROPB007,"A.F. Ghalam, USC, Los Angeles, California; E. Benedetto, CERN, Geneva; V.K. Decyk, C. Huang, UCLA, Los Angeles, California; T.C. Katsouleas, USC, Los Angeles, California; W.B. Mori, UCLA, Los Angeles, California; G. Rumolo, GSI, Darmstadt; F. Zimmermann, CERN, Geneva","3-D Parallel Simulation Model of Continuous Beam-Electron Cloud Interactions",
ROPB008,"K.G. Sonnad, J.R. Cary, CIPS, Boulder, Colorado","Halo Mitigation Using Nonlinear Lattices",
ROPB009,"J.W. Flanagan, H. Fukuma, Y. Funakoshi, S. Hiramatsu, H. Ikeda, K. Ohmi, KEK, Ibaraki; E. Perevedentsev, BINP SB RAS, Novosibirsk; M. Tobiyama, S. Uehara, S. Uno, KEK, Ibaraki","Betatron Sidebands Due to Electron Clouds Under Colliding Beam Conditions",
ROPB010,"A.P. Shishlo, S.M. Cousineau, V.V. Danilov, S. Henderson, J.A. Holmes, ORNL, Oak Ridge, Tennessee; S.-Y. Lee, IUCF, Bloomington, Indiana; R.J. Macek, LANL, Los Alamos, New Mexico; Y. Sato, ORNL, Oak Ridge, Tennessee","Self-Consistent Electron-Cloud Simulation for Long Proton Bunches",
ROPC001,"A.V. Aleksandrov, ORNL, Oak Ridge, Tennessee","SNS Warm Linac Commissioning Results",
ROPC002,"K. Hasegawa, JAERI, Ibaraki-ken","J-PARC Commissioning Results",
ROPC003,"Y. Yano, RIKEN/RARF/CC, Saitama","RIKEN RI Beam Factory Project",
ROPC004,"E.N. Shaposhnikova, G. Arduini, T. Bohl, M. Chanel, R. Garoby, S. Hancock, K. Hanke, T.P.R. Linnecar, E. Métral, R.R. Steerenberg, B. Vandorpe, CERN, Geneva","Recent Intensity Increase in the CERN Accelerator Chain",
ROPC005,"S.O. Schriber, NSCL, East Lansing, Michigan","RIA Post Accelerator Design",
ROPC006,"S. Nagaitsev, D.R. Broemmelsiek, A.V. Burov, K. Carlson, Fermilab, Batavia, Illinois; W. Gai, ANL, Argonne, Illinois; C. Gattuso, M. Hu, Fermilab, Batavia, Illinois; G.M. Kazakevich, BINP SB RAS, Novosibirsk; B.J. Kramper, T.K. Kroc, J.R. Leibfritz, L.R. Prost, S.M. Pruss, G.W. Saewert, C.W. Schmidt, Fermilab, Batavia, Illinois; S. Seletsky, Rochester University, Rochester, New York; A.V. Shemyakin, M. Sutherland, V. Tupikov, A. Warner, Fermilab, Batavia, Illinois","Commissioning of Fermilab's Electron Cooling System for 8-GeV Antiprotons",
ROPC007,"B.H. Choi, KAERI, Daejon","Status of the Proton Engineering Frontier Project",
ROPC008,"M. Steck, K. Beckert, P. Beller, B. Franzke, F. Nolden, GSI, Darmstadt","Experimental Progress in Fast Cooling in the ESR",
ROPC009,"R.E. Laxdal, K. Fong, M. Marchetto, W.R. Rawnsley, V. Verzilov, TRIUMF, Vancouver","First Acceleration with Superconducting RF Cavities at ISAC-II",
ROPC010,"A.P. Letchford, D.C. Faircloth, D.J.S. Findlay, M. Perkins, A.F. Stevens, M. Whitehead, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Testing, Installation, Commissioning and First Operation of the ISIS RFQ Pre-Injector Upgrade",
RPAE001,"R.J. Dejus, ANL, Argonne, Illinois","On the Issue of Phasing of Undulators at the Advanced Photon Source",
RPAE002,"L. Emery, ANL, Argonne, Illinois","Coupling Correction of a Circularly Polarizing Undulator at the Advanced Photon Source",
RPAE003,"L. Emery, ANL, Argonne, Illinois","Optimization and Modeling Studies for Obtaining High Injection Efficiency at the Advanced Photon Source",
RPAE004,"J.H. Grimmer, R.T. Kmak, ANL, Argonne, Illinois","Parametric Mechanical Design of New Insertion Devices at the APS",
RPAE005,"S. Sasaki, ANL, Argonne, Illinois","The possibility for a Short-Period Hybrid Staggered Undulator",
RPAE006,"S. Koda, Y. Iwasaki, Saga Synchrotron Light Source, Industry Promotion Division, Saga City; H. Ohgaki, Kyoto IAE, Kyoto; T. Okajima, H. Setoyama, Y. Takabayashi, T. Tomimasu, Saga Synchrotron Light Source, Industry Promotion Division, Saga City; M. Torikoshi, NIRS, Chiba-shi; K. Yoshida, Saga Synchrotron Light Source, Industry Promotion Division, Saga City","Feasibility Study on Introducing a Superconducting Wiggler to Saga Light Source",
RPAE009,"J.-S. Oh, Y.J. Han, I.S. Ko, W. Namkung, S.S. Park, PAL, Pohang, Kyungbuk","Design Considerations for the Stability Improvement of Klystron-Modulator for PAL XFEL",
RPAE013,"D.J. Gibson, C.P.J. Barty, S.M. Betts, K. Crane, I. Jovanovic, LLNL, Livermore, California","Laser System for Photoelectron and X-Ray Production in the PLEIADES Compton Light Source",
RPAE014,"F.V. Hartemann, S.G. Anderson, C.P.J. Barty, K. Crane, D.J. Gibson, E.P. Hartouni, A.M. Tremaine, LLNL, Livermore, California","High-Energy Compton Scattering Light Sources",
RPAE015,"A.M. Tremaine, S.G. Anderson, S.M. Betts, K. Crane, LLNL, Livermore, California; P. Frigola, UCLA, Los Angeles, California; D.J. Gibson, F.V. Hartemann, J.S. Jacob, LLNL, Livermore, California; J. Lim, J.B. Rosenzweig, G. Travish, UCLA, Los Angeles, California","High Energy, High Brightness X-Rays Produced by Compton Back Scattering at the Livermore PLEIADES facility",
RPAE016,"A.S. Kesar, MIT/PSFC, Cambridge, Massachusetts; M. Hess, IUCF, Bloomington, Indiana; S.E. Korbly, R.J. Temkin, MIT/PSFC, Cambridge, Massachusetts","Smith-Purcell Radiation from a Charge Moving Above a Finite-Length Grating",
RPAE017,"R.A. Bosch, UW-Madison/SRC, Madison, Wisconsin","Radially Polarized Ion Channel Laser",
RPAE018,"V. Kumar, K.-J. Kim, ANL, Argonne, Illinois","Calculation of Reflection Matrix Elements of a Grating for Growing Evanescent Waves",
RPAE019,"D.K. Johnson, UCLA, Los Angeles, California; C.D. Barnes, SLAC, Menlo Park, California; C.E. Clayton, UCLA, Los Angeles, California; F.-J. Decker, SLAC, Menlo Park, California; S. Deng, USC, Los Angeles, California; M.J. Hogan, SLAC, Menlo Park, California; C. Huang, UCLA, Los Angeles, California; R.H. Iverson, SLAC, Menlo Park, California; C. Joshi, UCLA, Los Angeles, California; T.C. Katsouleas, USC, Los Angeles, California; P. Krejcik, SLAC, Menlo Park, California; W. Lu, K.A. Marsh, W.B. Mori, UCLA, Los Angeles, California; P. Muggli, USC, Los Angeles, California; C.L. O'Connell, SLAC, Menlo Park, California; E. Oz, USC, Los Angeles, California; R. Siemann, D.R. Walz, SLAC, Menlo Park, California; M. Zhou, UCLA, Los Angeles, California","Positron Source from Betatron X-Rays Emitted in a Plasma Wiggler",
RPAE020,"J. Lim, UCLA, Los Angeles, California; S.G. Anderson, M. Betts, K. Crane, LLNL, Livermore, California; A. Doyuran, P. Frigola, UCLA, Los Angeles, California; D.J. Gibson, F.V. Hartemann, LLNL, Livermore, California; J.B. Rosenzweig, G. Travish, UCLA, Los Angeles, California; A.M. Tremaine, LLNL, Livermore, California","Production of High Harmonic X-Ray Radiation from Non-linear Thomson at LLNL PLEIADES",
RPAE021,"S. Reiche, C. Joshi, C. Pellegrini, J.B. Rosenzweig, UCLA, Los Angeles, California; G. Shvets, The University of Texas at Austin, Austin, Texas; S. Tochitsky, UCLA, Los Angeles, California","Feasibility Study of a Laser Beat-Wave Seeded THz FEL at the Neptune Laboratory",
RPAE022,"J. Li, C. Sun, Y.K. Wu, DU/FEL, Durham, North Carolina","Improved Long Radius of Curvature Measurement System for FEL Mirrors",
RPAE027,"Y. Papaphilippou, L. Farvacque, ESRF, Grenoble; A. Mostacci, A. Patriarca, Rome University La Sapienza, Roma; E. Plouviez, ESRF, Grenoble","Linear Optics Measurements in the ESRF Booster",
RPAE028,"Y. Papaphilippou, P. Elleaume, L. Farvacque, A. Ropert, ESRF, Grenoble","Lattice Upgrade Options for the ESRF Storage Ring",
RPAE029,"Y. Papaphilippou, P. Elleaume, ESRF, Grenoble","Analytical Considerations for Reducing the Effective Emittance with Variable Dipole Field Strengths",
RPAE030,"A. Loulergue, SOLEIL, Gif-sur-Yvette","Status of the SOLEIL Booster Synchrotron",
RPAE031,"M.-P. Level, J.C. Besson, P. Brunelle, R. Chaput, A. Dael, J.-C. Denard, J.-M. Filhol, J.M. Godefroy, C. Herbeaux, V. Le Roux, P. Marchand, A. Nadji, L.S.N. Nadolski, R. Nagaoka, M.-A. Tordeux, SOLEIL, Gif-sur-Yvette","Progress Report on the Construction of SOLEIL",
RPAE032,"K. Holldack, S. Khan, BESSY GmbH, Berlin; R. Mitzner, Universitaet Muenster, Physikalisches Institut, Muenster; T. Quast, BESSY GmbH, Berlin","Femtosecond Laser-Electron Interaction in a Storage Ring Studied by Terahertz Radiation",
RPAE033,"S. Khan, K. Holldack, T. Kachel, BESSY GmbH, Berlin; R. Mitzner, Universitaet Muenster, Physikalisches Institut, Muenster; T. Quast, BESSY GmbH, Berlin","Commissioning Results from the BESSY II Femtoslicing Source",
RPAE034,"S. Khan, BESSY GmbH, Berlin","Storage Ring Fill Patterns for Femtoslicing Applications",
RPAE035,"R. Müller, J. Feikes, K. Holldack, P. Kuske, BESSY GmbH, Berlin","Orbit Stability at BESSY",
RPAE036,"M. Tischer, K. Balewski, W. Decking, DESY, Hamburg; V. Kuzminykh, E. Levichev, BINP SB RAS, Novosibirsk; M. Seidel, DESY, Hamburg; P. Vobly, BINP SB RAS, Novosibirsk; L. Yongjun, DESY, Hamburg; K. Zolotariov, BINP SB RAS, Novosibirsk","Damping Wigglers for the PETRA III Light Source",
RPAE037,"E. Huttel, A. Ben Kalefa, I. Birkel, FZK, Karlsruhe; M. Giovannozzi, CERN, Geneva; A.-S. Müller, FZK, Karlsruhe; M. Pont, F. Pérez, CELLS, Bellaterra (Cerdanyola del Vallès); P. Wesolowski, FZK, Karlsruhe","Operation with a Low Emittance Optics at ANKA",
RPAE038,"A.-S. Müller, I. Birkel, B. Gasharova, FZK, Karlsruhe; C. J. Hirschmugl, UWM, Milwaukee, Wisconsin; E. Huttel, R. Kubat, Y.-L. Mathis, W. Mexner, D.A. Moss, FZK, Karlsruhe; M. Pont, CELLS, Bellaterra (Cerdanyola del Vallès); F. Pérez, R. Rossmanith, P. Wesolowski, M. Wuensch, FZK, Karlsruhe","Far Infrared Coherent Synchrotron Edge Radiation at ANKA",
RPAE039,"R. Rossmanith, FZK, Karlsruhe; T. Baumbach, A. Bernhard, FZ Karlsruhe, Karlsruhe; MH. Hagelstein, B.K. Kostka, A.-S. Müller, FZK, Karlsruhe; E. Steffens, Erlangen University, Erlangen; M. Weisser, University of Erlangen-Nürnberg, Physikalisches Institut II, Erlangen; D. Wollmann, FZK, Karlsruhe","Operation of the ANKA Synchrotron Light Source with Superconductive Undulators",
RPAE040,"K. Harada, KEK, Ibaraki; N. Nakamura, ISSP/SRL, Chiba; T. Obina, KEK, Ibaraki; H. Sakai, H. Takaki, ISSP/SRL, Chiba","COD Correction at the PF and PF-AR by New Orbit Feedback Scheme",
RPAE041,"T. Honda, S. Asaoka, W.X. Cheng, K. Haga, K. Harada, Y. Hori, M. Izawa, T. Kasuga, Y. Kobayashi, H. Maezawa, A. Mishina, T. Mitsuhashi, T. Miyajima, H. Miyauchi, S. Nagahashi, T. Nogami, T. Obina, C.O. Pak, S. Sakanaka, Y. Sato, T. Shioya, M. Tadano, T. Takahashi, Y. Tanimoto, K. Tsuchiya, T. Uchiyama, A. Ueda, K. Umemori, S. Yamamoto, KEK, Ibaraki","Reconstruction of Photon Factory Storage Ring for the Straight-Sections Upgrade Project",
RPAE042,"T. Mitsuhashi, A. Ueda, KEK, Ibaraki","Optimization of Kicker Pulse Bump by Using a SR Monitor at the Photon Factory",
RPAE043,"T. Mitsuhashi, M.T. Tadano, KEK, Ibaraki","Beam Position Monitor for Undulator by Using SR Monitor Technique",
RPAE044,"T. Miyajima, T. Abe, W.X. Cheng, K. Ebihara, K. Haga, K. Harada, Y. Hori, T. Ieiri, S. Isagawa, T. Kageyama, T. Kasuga, T. Katoh, H. Kawata, M. Kikuchi, Y. Kobayashi, K. Kudo, T. Mitsuhashi, S. Nagahashi, T.T. Nakamura, H. Nakanishi, T. Nogami, T. Obina, Y. Ohsawa, M. Ono, T. Ozaki, H. Sakai, Y. Sakamoto, S. Sakanaka, M. Sato, M. Satoh, T. Shioya, M. Suetake, R. Sugahara, M. Tadano, T. Takahashi, S. Takasaki, Y. Tanimoto, M. Tejima, K. Tsuchiya, T. Uchiyama, A. Ueda, K. Umemori, N. Yamamoto, S. Yamamoto, S.I. Yoshimoto, KEK, Ibaraki","Operation and Recent Developments of the Photon Factory Advanced Ring",
RPAE045,"S. Sakanaka, T. Mitsuhashi, T. Obina, K. Umemori, KEK, Ibaraki","Production of Short Electron Bunches by Slow and Fast Excitations of Longitudinal Bunch-Shape Oscillations",
RPAE046,"E.S. Park, J. Choi, H.-S. Kang, M. Kim, E.-H. Lee, T.-Y. Lee, PAL, Pohang, Kyungbuk","Operational Status at the PLS: Recent Improvements and Changes",
RPAE047,"C.-C. Kuo, H.-P. Chang, C.-T. Chen, G.-H. Luo, H.-J. Tsai, M.-H. Wang, NSRRC, Hsinchu","Lattice Study for the Taiwan Photon Source",
RPAE048,"G.-H. Luo, H.-P. Chang, C.-C. Kuo, K.-K. Lin, H.-J. Tsai, M.-H. Wang, NSRRC, Hsinchu","Design Consideration of a Booster for Taiwan Photon Source",
RPAE049,"M.-H. Wang, H.-P. Chang, J. Chen, J.-R. Chen, K.-T. Hsu, C.-C. Kuo, G.-H. Luo, NSRRC, Hsinchu","Revision of Booster to Storage Ring Transport Line Design and Injection Scheme for Top-Up Operation at NSRRC",
RPAE050,"V.P. Suller, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; E.J. Anzalone, M.G. Fedurin, P. Jines, D.J. Launey, T.A. Miller, Y. Wang, LSU/CAMD, Baton Rouge, Louisiana","Status of the CAMD Light Source",
RPAE051,"V.P. Suller, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; M.G. Fedurin, P. Jines, T.A. Miller, LSU/CAMD, Baton Rouge, Louisiana","Multipole Design for CAMD Storage Ring",
RPAE052,"R. Bartolini, A.I. Baldwin, M. Belgroune, C. Christou, Diamond, Oxfordshire; D.J. Holder, J.K. Jones, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; V.C. Kempson, I.P.S. Martin, J.H. Rowland, B. Singh, Diamond, Oxfordshire; S.L. Smith, J.A. Varley, N.G. Wyles, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Overview of Accelerator Physics Studies and High Level Software for the Diamond Light Source",
RPAE053,"G. Decker, N. Sereno, ANL, Argonne, Illinois","Transient Generation of Short Pulses in the APS Storage Ring",
RPAE054,"G. Decker, O. Singh, ANL, Argonne, Illinois","Beam Stability at the Advanced Photon Source",
RPAE055,"C. Yao, M. Borland, A. Grelick, A.H. Lumpkin, N. Sereno, ANL, Argonne, Illinois","Results of Preliminary Tests of PAR Bunch Cleaning",
RPAE056,"J.B. Murphy, J. Bengtsson, R. Biscardi, A. Blednykh, G.L. Carr, W.R. Casey, S. Chouhan, S.B. Dierker, E. Haas, R. Heese, S. Hulbert, E.D. Johnson, C.C. Kao, S.L. Kramer, S. Krinsky, I.P. Pinayev, S. Pjerov, B. Podobedov, G. Rakowsky, J. Rose, T.V. Shaftan, B. Sheehy, J. Skaritka, N.A. Towne, J.-M. Wang, X.J. Wang, L.-H. Yu, BNL, Upton, Long Island, New York","NSLS II: The Future of the NSLS",
RPAE057,"S.L. Kramer, J. Bengtsson, BNL, Upton, Long Island, New York","Dynamic Aperture Optimization for Low Emittance Light Sources",
RPAE058,"T.V. Shaftan, A. Blednykh, S. Chouhan, E.D. Johnson, S.L. Kramer, S. Krinsky, J.B. Murphy, I.P. Pinayev, S. Pjerov, B. Podobedov, G. Rakowsky, J. Rose, T. Tanabe, J.-M. Wang, X.J. Wang, L.-H. Yu, BNL, Upton, Long Island, New York","NSLS-II Injection Concept",
RPAE059,"T.V. Shaftan, E.D. Johnson, J.B. Murphy, I.P. Pinayev, J. Rose, X.J. Wang, BNL, Upton, Long Island, New York","Design of 3 GeV Booster for NSLS-II",
