ROAA03,"G. Y. Kurkin, BINP SB RAS, Novosibirsk; S. F. Mikhailov, V. Popov, Y. K. Wu, S. M. Hartman, FEL/Duke University, Durham, North Carolina","Injection, Ramping and Extraction Timing for the Duke Booster",491 493,
ROAA04,"H. Ikeda, Visual Information Center, Inc., Ibaraki-ken; M. Ikegami, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; T. Ohkawa, H. Sako, G. B. Shen, JAEA, Ibaraki-ken; A. Ueno, JAEA/LINAC, Ibaraki-ken; C. K. Allen, LANL, Los Alamos, New Mexico","XAL Online Model Enhancements for J-PARC Commissioning and Operation",494 496,
ROAA05,"J. Sahlmann, ESO, Garching bei Muenchen; G. Vasisht, Jet Propulsion Laboratory, Pasadena, California; A. Wallander, N. Di Lieto, ESO, Garching bei Muenchen","An Approach to Stabilizing Large Telescopes for Stellar Interferometry",497 499,
ROAB01,"R. W. Carey, R. D. Demaret, L. J. Lagin, U. P. Reddi, P. J. Van Arsdall, A. P. Ludwigsen, LLNL, Livermore","Software Engineering Processes Used to Develop the NIF Integrated Computer Control System",500 504,
ROAB02,"D. Burckhart-Chromek, CERN, Geneva","Software Development and Testing: Approach and Challenges in a Distributed HEP Collaboration",503 507,
ROAB03,"M. Pasquato, P. Sivera, ESO, Garching bei Muenchen","Software Integration and Test Techniques in a Large Distributed Project: Evolution, Process Improvement, Results",508 510,
ROAB04,"J. Zhao, IHEP Beijing, Beijing","Experience of Developing BEPCII Control System",511 513,
ROPA01,"E. Danilova, J. G. Patton, J. D. Purcell, ORNL, Oak Ridge, Tennessee","Lessons Learned from the SNS Relational Database",514 516,
ROPA02,"M. Gonzalez-Berges, CERN, Geneva","The High Performance Database Archiver for the LHC Experiments",517 519,
ROPA03,"J. M. Gallone, IPHC, Strasbourg Cedex 2","ANTARES Slow Control Status",520 522,
ROPB01,"J. Niedziela, T. D'Ottavio, BNL, Upton, Long Island, New York","Using Sequencing to Improve Operational Efficiency and Reliability",689 691,
ROPB02,"K.-U. Kasemir, ORNL, Oak Ridge, Tennessee","Control System Studio Applications",692 694,
ROPB03,"A. D. Petrov, T. B. Bolshakov, Fermilab, Batavia, Illinois","Drag and Drop Display & Builder",695 697,
ROPB04,"C. K. Allen, LANL, Los Alamos, New Mexico; H. Ikeda, Visual Information Center, Inc., Ibaraki-ken; H. Sakaki, G. B. Shen, H. Takahashi, H. Yoshikawa, JAEA, Ibaraki-ken; H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Beam Commissioning Software and Database for J-PARC LINAC",698 700,
RPPA02,"K. T. Hsu, J.-Y. Hwang, D. Lee, K.-K. Lin, C. Y. Wu, K. H. Hu, NSRRC, Hsinchu","Linac RF Feed-forward Development at TLS",523 525,
RPPA03,"R. Billen, J. Mariethoz, P. Le Roux, CERN, Geneva","The LHC Functional Layout Database as Foundation of the Controls System",526 528,
RPPA04,"P. Golonka, F. Varela, F. Calheiros, CERN, Geneva","Automating the Configuration of the Control Systems of the LHC Experiments",529 531,
RPPA05,"F. Varela, CERN, Geneva","Software Management of the LHC Detector Control Systems",532 534,
RPPA10,"M. G. Abbott, J. A. Dobbing, Diamond, Oxfordshire; S. Duncan, University of Oxford, Oxford; M. T. Heron, I. P.S. Martin, G. Rehm, I. Uzun, J. Rowland, Diamond, Oxfordshire","Status of the Diamond Fast Orbit Feedback System",535 537,
RPPA11,"R. Barillere, A. B. Burmyakov, S. C. Cabaret, CERN, Geneva; H. Coppier, ESIEE, Amiens; A. Rachid, UPJV, Amiens; S. C. Cabaret, CERN, Geneva","MultiController: An Object Programming Approach to Introduce Advanced Control Algorithms for the GCS Large-Scale Project",538 540,
RPPA12,"T. Boeckmann, M. R. Clausen, J. Hatje, H. R. Rickens, C. H. Gerke, DESY, Hamburg","Process Control: Object Oriented Model for Offline Data",541 543,
RPPA13,"M. P. Martinez, J. D. Purcell, E. Danilova, ORNL, Oak Ridge, Tennessee","The Electrical Power Project at SNS",544 546,
RPPA14,"J. M. Fisher, J. B. Gordon, L. J. Lagin, S. L. West, J. C. Ho, LLNL, Livermore, California","Java Tool Framework for Automation of Hardware Commissioning and Maintenance Procedures",547 549,
RPPA15,"C. Yao, N. P. Di Monte, ANL, Argonne, Illinois","Initial Performance Results of the APS P0 Feedback System",550 552,
RPPA17,"S. F. Mikhailov, Y. K. Wu, S. M. Hartman, FEL/Duke University, Durham, North Carolina","A Physics Based Approach for Magnet Control in a Booster and Storage Ring",553 555,
RPPA19,"I. Tapan, UU, Bursa","Photon Diagnostic Station for TAC IR-FEL Test Facility",556 557,
RPPA20,"D. Bulfone, V. Forchi', G. Gaio, L. Pivetta, M. Lonza, ELETTRA, Basovizza, Trieste","A Fast Orbit Feedback for the ELETTRA Storage Ring",558 560,
