fra001,"M. Boyes, SLAC, Menlo Park, California; T. A. Pelaia, ORNL, Oak Ridge, Tennessee","Introducing CAML II",922 924,
thp085,"N. Stapley, M. Arruat, J. C. Bau, S. Deghaye, C. G.A. Dehavay, W. Sliwinski, M. Sobczak, CERN, Geneva","An Integration Testing Facility for the CERN Accelerator Controls System",838 840,
thp087,"E. Pozna, R. Schmutzer, A. J. Smette, ESO, Santiago","Task Synchronization in the Observation Control Software for the ESO-VLT CRIRES Instrument",841 843,
thp089,"H. Ikeda, Visual Information Center, Inc., Ibaraki-ken; H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Development of a New Java Channel Access Library JCAL",844 846,
thp090,"R. Lange, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin; L. R. Dalesio, BNL, Upton, Long Island, New York; A. N. Johnson, ANL, Argonne","Advanced Monitor/Subscription Mechanisms for EPICS",847 849,
thp091,"H. Ikeda, Visual Information Center, Inc., Ibaraki-ken; H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Development of a High-Level Application Framework with a Script Language JCE for Accelerator Beam Commissioning",850 852,
thp092,"R. Cirami, I. Coretti, P. Di Marcantonio, M. Pucillo, A. Santin, P. Santin, INAF-OAT, Trieste","The EVALSO Project: Software/Hardware Architecture and Remote Tests Results",853 855,
thp093,"G. Kruk, M. Peryt, CERN, Geneva","JDataViewer - Java-based Charting Library",856 858,
thp094,"G. B. Shen, BNL, Upton, Long Island, New York","A Modular Environment for High Level Applications",859 861,
thp095,"O. Holme, P. Golonka, M. Gonzalez-Berges, CERN, Geneva","Integrating LWDAQ Into The Detector Control Systems Of The LHC Experiments At CERN",862 864,
thp096,"G. Strangolino, F. Asnicar, V. Forchi, C. Scafuri, ELETTRA, Basovizza","QTango: a Qt Based Framework for Tango Graphical Control Panels",865 867,
thp097,"C. Charrondiere, O. O. Andreassen, D. Kudryavtsev, M. Nybo, A. Raimondo, H. Reymond, A. Rijllart, CERN, Geneva; S. Shaipov, R. Sorokoletov, JINR, Dubna, Moscow Region; M. Zerlauth, CERN, Geneva","RADE - A Rapid Application Development Framework Used for LHC Hardware Commissioning Tools and Other Accelerator Related Applications",868 870,
thp098,"R. Keitel, TRIUMF, Vancouver","Tdct - a Configuration Tool for EPICS Runtime Databases",871 873,
thp099,"I. D. Valova, ICSR, Sofia","Evaluation of OLAP Model Using Intuitionistic Fuzzy (IF) Logic",99 98,
thp100,"K. Yoshii, MELCO SC, Tsukuba; K. Furukawa, E. Kikutani, K. Mori, KEK, Ibaraki; T. Nakamura, MELCO SC, Tsukuba; T. T. Nakamura, KEK, Ibaraki","Present Status and Upgrade of VME Computer in KEKB",874 876,
thp101,"E. C. Williams, M. J. Beaudrow, C. M. Ikami, H. Nishimura, P. Pace, G. J. Portmann, CA. Timossi, LBNL, Berkeley, California","New EPICS Display Manager in WPF",877 879,
thp102,"S. Zhang, IHEP Beijing, Beijing","Implementing Distributed Technology on BESIII Slow Control System",99 98,
thp104,"E. Pozna, ESO, Garching bei Muenchen","Exposure Synchronization in the Observation Control Software Framework at ESO",99 98,
thp105,"E. Matias, CLS, Saskatoon, Saskatchewan; C. H. Armstrong, IBM, Markham, Ontario; M. Bauer, The University of Western Ontario, London, Ontario; M. Fuller, UWO, London, Ontario; J. Haley, IBM, Markham, Ontario; D. Liu, D. G. Maxwell, CLS, Saskatoon, Saskatchewan; S. McIntryre, UWO, London, Ontario; D. Medrano, CLS, Saskatoon, Saskatchewan; Y. Yan, Concordia University, Montreal","ScienceStudio: A Project Status Update",880 882,
thp106,"R. I. Farnsworth, C. A. Myers, A. C. Starritt, ASCo, Clayton, Victoria","The Flange for Controls System to Internet Applications",99 98,
thp107,"M. Ohsuna, S. Imazu, K. Kawahata, M. Kojima, Y. Nagayama, H. Nakanishi, M. Nonomura, NIFS, Gifu","Web-based Agent-oriented System for DAQ Control and Monitoring in LHD",99 98,
thp108,"Z. Zaharieva, R. Billen, CERN, Geneva","Rapid Development of Database Interfaces with Oracle APEX, Used for the Controls Systems at CERN",883 885,
thp109,"J. Hatje, M. R. Clausen, DESY, Hamburg; K. Meyer, C1 WPS GmbH, Hamburg; J. Rathlev, University of Hamburg, Hamburg","Eclipse RCP on the Way to the Web",886 888,
thp110,"R. Bacher, DESY, Hamburg","Light-weight Web-based Control Applications with the Web2CToolkit",889 891,
thp111,"J. M. Mosthaf, S. Hanke, A. Peters, S. Stumpf, HIT, Heidelberg","Using Wordpress as a Simple and Reliable Electronic Logbook for the Heidelberg Ion-Beam Therapy Centre (HIT) Accelerator Control System",892 894,
thp113,"Y.-S. Cheng, Y.-T. Chang, J. Chen, Y. K. Chen, K. T. Hsu, K. H. Hu, C. H. Kuo, NSRRC, Hsinchu","Upgrade the Machine Status Broadcast System by PHP Framework",895 897,
thp114,"L. P. Yang, IHEP Beijing, Beijing","Web-based Real time Database Access for BEPC II",898 900,
thp115,"J. M. Nogiec, K. Trombly-Freytag, Fermilab, Batavia","Combining Structured and Unstructured Data In A Configurable Web-based Logbook",901 903,
tua001,"K.-U. Kasemir, X. H. Chen, E. Danilova, ORNL, Oak Ridge, Tennessee","The Best Ever Alarm System Toolkit",46 48,
tua002,"T. Birke, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","Automated Operation of the Metrology Light Source Storage Ring",49 51,
tua003,"C. D. Marshall, R. G. Beeler, G. A. Bowers, R. W. Carey, J. M. Fisher, C. B. Foxworthy, T. M. Frazier, L. J. Lagin, D. G. Mathisen, J. J. Rhodes, M. J. Shaw, LLNL, Livermore, California","National Ignition Facility Control and Information System Operational Tools",52 54,
tua004,"S. T. Page, Q. King, Z. Zaharieva, CERN, Geneva","Automatic Inventory and Configuration Management Tools for the LHC Power Converter Controls",55 57,
tua005,"N. Malitsky, BNL, Upton, Long Island, New York; N. Hasabnis, Stony Brook University, Stony Brook; J. Shah, BNL, Upton, Long Island, New York; S. G. Shasharina, Tech-X, Boulder, Colorado; R. M. Talman, CLASSE, Ithaca, New York; N. Wang, Tech-X, Boulder, Colorado","Prototype of a DDS-Based High-Level Accelerator Application Environment",58 60,
tub001,"R. Billen, P. Le Roux, M. Peryt, C. Roderick, Z. Zaharieva, CERN, Geneva","Accelerator Data Foundation: How It All Fits Together",61 65,
tub002,"T. M. Frazier, P. Adams, S. G. Azevedo, R. G. Beeler, R. C. Bettenhausen, R. W. Carey, C. B. Foxworthy, M. Hutton, L. J. Lagin, S. L. Townsend, LLNL, Livermore","The National Ignition Facility Data Repository",66 68,
tub003,"M. Yamaga, JASRI/SPring-8, Hyogo-ken; T. Fukui, RIKEN/SPring-8, Hyogo; Y. Furukawa, T. Hirono, JASRI/SPring-8, Hyogo-ken; N. Hosoda, RIKEN/SPring-8, Hyogo; M. I. Ishii, T. Masuda, T. Ohata, R. Tanaka, A. Yamashita, JASRI/SPring-8, Hyogo-ken","Event-Synchronized Data-Acquisition System for SPring-8 XFEL",69 71,
tub004,"S. Mallon Amerigo, P. Martel, S. Petit, D. Widegren, CERN, Geneva","CERN's Global Equipment Data Repository",72 74,
tub005,"S. Poirier, A. Buteau, B. Gagey, P. Martinez, C. Maréchal, M. Mederbel, M. Ounsy, P. Pierrot, J. M. Rochat, SOLEIL, Gif-sur-Yvette","Experimental Data Storage Management in NeXus Format at Synchrotron SOLEIL",75 77,
tub006,"R. I. Farnsworth, ASCo, Clayton, Victoria","Marrying a High Performance Computer with Synchrotron Beamlines",78 80,
tuc001,"F. Hirsch, UNIDO, Dortmund","Commissioning of the ATLAS Pixel Detector with Cosmics Data",81 84,
tuc002,"H. Maesaka, T. Fukui, N. Hosoda, S. Matsubara, RIKEN/SPring-8, Hyogo; M. Musha, University of electro-communications, Tokyo; T. Ohshima, Y. Otake, RIKEN/SPring-8, Hyogo; K. Tamasaku, RIKEN Spring-8 Harima, Hyogo","Recent Progress of RF and Timing System of XFEL/SPring-8",85 89,
tuc003,"T. Masuda, T. Ohata, JASRI/SPring-8, Hyogo-ken","Development of COM Express VME Carrier Board with Remote Management Capability",90 92,
tuc004,"J. Serrano, P. Alvarez, CERN, Geneva; R. Baer, GSI, Darmstadt; M. Cattin, E. G. Cota, CERN, Geneva; J. Dedic, Cosylab, Ljubljana; T. Fleck, GSI, Darmstadt; G. Gaderer, Austrian Academy of Sciences, Wien; M. Kreider, GSI, Darmstadt; J. H. Lewis, CERN, Geneva; P. Loschmidt, Austrian Academy of Sciences, Wien; P. M. Oliveira Fernandes Moreira, CERN, Geneva; C. Prados, S. Rauch, GSI, Darmstadt; T. Wlostowski, CERN, Geneva","The White Rabbit Project",93 95,
tud001,"J. C. Guzman, CSIRO ATNF, NSW","Preliminary Design of the Australian SKA Pathfinder (ASKAP) Telescope Control System",343 345,
tud002,"M. K. Park, S. Baek, Y. Chu, S. H. Hahn, J. S. Hong, NFRI, Daejeon; K. H. Kim, SLAC, Menlo Park, California; M. K. Kim, Y. O. Kim, M. Kwon, S. Lee, W. R. Lee, H. K. Na, Y. K. Oh, J. S. Park, NFRI, Daejeon","The Newly Constructed EPICS-based Control System for KSTAR Tokamak Device",99 98,
tud003,"D. J. Nicklaus, Fermilab, Batavia","Supporting Multiple Control Systems at Fermilab",346 348,
tud004,"G. Raffi, ESO, Garching bei Muenchen; B. E. Glendenning, NRAO, Socorro, NM","ALMA Software Project Management, Lessons Learned",349 351,
tud005,"S. Sudo, M. Emoto, R. Horiuchi, S. Imagawa, S. Imazu, S. Ishiguro, Y. Ito, O. Kaneko, K. Kawahata, M. Kojima, A. Komori, T. Mutoh, Y. Nagayama, N. Nakajima, H. Nakanishi, M. Nonomura, M. Ohsuna, N. Ohyabu, S. Okamura, H. Sugama, Y. Takeiri, H. Yamada, T. Yamamoto, NIFS, Gifu","Large-scale Fusion Research System Integration Based on the Superconducting Large Helical Device and Plasma Simulator at NIFS",352 354,
tud006,"K. T. Hsu, Y.-T. Chang, J. Chen, Y. K. Chen, Y.-S. Cheng, P. C. Chiu, S. Y. Hsu, K. H. Hu, C. H. Kuo, D. Lee, C.-J. Wang, C. Y. Wu, NSRRC, Hsinchu","Design Status of the TPS Control System",355 357,
tup001,"E. Bonaccorsi, N. Neufeld, CERN, Geneva","Monitoring the LHCb Experiment Computing Infrastructure with NAGIOS",96 98,
tup002,"N. Neufeld, E. Bonaccorsi, L. Brarda, J. Closier, CERN, Geneva; H. Degaudenzi, EPFL, Lausanne; G. Moine, CERN, Geneva","Software Management in the LHCb Online System",99 101,
tup003,"T. Ohata, M. I. Ishii, T. Sakamoto, T. Sugimoto, JASRI/SPring-8, Hyogo-ken","Consummation of an Observable Network System",102 104,
tup004,"A. Al-Adwan, S. A. Matalgah, SESAME, Allan","SESAME Computing and Network Infrastructure",99 98,
tup005,"Y.-T. Chang, J. Chen, Y. K. Chen, Y.-S. Cheng, K. T. Hsu, S. Y. Hsu, K. H. Hu, C. H. Kuo, NSRRC, Hsinchu","Preliminary Planning of Taiwan Photon Source Control Network",105 107,
tup006,"M. Kodera, M. Hanada, K. Mayama, T. Shimizu, S. Yokota, JASRI/SPring-8, Hyogo-ken","Integration of Computers and Terminals by introduction of the Virtualization Technology and Thin Client in SPring-8",108 110,
tup007,"R. Petkus, BNL, Upton, Long Island, New York","Control System Network Architecture at NSLS-II",99 98,
tup008,"T. Hamano, R. Fujihara, A. Yamashita, JASRI/SPring-8, Hyogo-ken","Development of High Resolution Large Display for SPring-8 Central Control Room",111 113,
tup009,"R. Petkus, BNL, Upton, Long Island, New York","Network Impact of Small and Ubiquitous Intelligent Devices",99 98,
tup010,"J. D. Purcell, D. J. Armstrong, ORNL, Oak Ridge, Tennessee; X. H. Chen, ORNL RAD, Oak Ridge, Tennessee; K.-U. Kasemir, ORNL, Oak Ridge, Tennessee","CSS - We didn't Invent It, We Made It Better.",114 116,
tup011,"B. Sarkar, S. Bandyopadhyay, C. Datta, D. Sarkar, DAE/VECC, Calcutta","Software for Supervisory Control of the Trim Coil Power Supplies of the Kolkata Superconducting Cyclotron",99 98,
tup012,"P. Chu, A. Chan, S. Chevtsov, D. Fairley, SLAC, Menlo Park, California; Q. Gan, IHEP Beijing, Beijing; E. Grunhaus, R. H. Iverson, P. Krejcik, G. R. White, J. Wu, S. Zelazny, SLAC, Menlo Park, California","XAL Adoption Experience at LCLS",117 119,
tup013,"K. Kostro, R. Billen, C. Roderick, CERN, Geneva","On-change Publishing of Database Resident Control System Data",120 122,
tup015,"J. Rathlev, University of Hamburg, Hamburg; M. R. Clausen, J. Hatje, H. R. Rickens, DESY, Hamburg","A Framework for Authentication and Authorization in Plug-in-Based Control System Software",123 124,
tup017,"M. R. Clausen, J. Hatje, G. Liu, M. Moeller, H. R. Rickens, B. Schoeneburg, DESY, Hamburg","Managing Alarms and (Log)Messages - the CSS Way",125 127,
tup019,"M. Buttner, P. Charrue, J. Lauener, M. Sobczak, CERN, Geneva","Diagnostic and Monitoring CERN Accelerator Controls Infrastructure : The DIAMON Project - First Deployment in Operation",128 130,
tup020,"P. Charrue, CERN, Geneva; S. R. Gysin, E. S.M. McCrory, A. D. Petrov, Fermilab, Batavia; W. Sliwinski, M. Sobczak, I. Yastrebov, CERN, Geneva","Role Based Access Control in the LHC : The RBAC Project - First Deployment in LHC Operation",99 98,
tup021,"M. Zerlauth, O. O. Andreassen, V. Baggiolini, A. Castaneda, R. Gorbonosov, D. Khasbulatov, H. Reymond, A. Rijllart, I. Romera Ramirez, N. Trofimov, CERN, Geneva","The LHC Post Mortem Analysis Framework",131 133,
tup022,"K. S. White, K.-U. Kasemir, ORNL, Oak Ridge, Tennessee","Alarms Philosophy",99 98,
tup023,"S. Zelazny, S. Chevtsov, P. Chu, D. Fairley, P. Krejcik, D. Rogind, H. Smith, G. R. White, G. Yocky, SLAC, Menlo Park, California","Multi-Device Knob Utility for LCLS at SLAC",134 136,
tup024,"R. Neswold, C. King, Fermilab, Batavia","Generation of Simple, Type-Safe Messages for Inter-Task Communications",137 139,
tup025,"Y. Takabayashi, Y. Iwasaki, T. Kaneyasu, S. Koda, SAGA, Tosu","Beam-Size Measurement System at the SAGA-LS Storage Ring",140 142,
tup026,"Yu. A. Rogovsky, E. A. Bekhtenev, D. E. Berkaev, A. N. Kyrpotin, I. Nesterenko, BINP SB RAS, Novosibirsk","Beam Measuremet System for VEPP-2000",143 145,
tup028,"V. Sirotenko, J. F. Bartlett, D. G. Savage, Fermilab, Batavia","Process Watcher Application in D0 Experiment at Fermilab",99 98,
tup029,"S. Baek, M. Kwon, S. Lee, H. K. Na, M. K. Park, NFRI, Daejeon","KSTAR Widget Toolkit Using Qt Library for the EPICS Based Control System",146 148,
tup030,"N. Kanaya, Ibaraki University, Electrical and Electronic Eng., Ibaraki; H. Hayami, S. Mori, T. Saito, A. Shikanai, Ibaraki University, Hitachi, Ibaraki","Versatile Network Stream Capture Tool Using Java for High Energy Accelerator Control Systems",149 151,
tup031,"D. E. Berkaev, O. V. Belikov, V. R. Kozak, A. S. Medvedko, P. Yu. Shatunov, BINP SB RAS, Novosibirsk","System of Power Supply Ripples Measurement for VEPP-2000 Collider",152 154,
tup032,"D. E. Berkaev, E. V. Bykov, V. P. Cherepanov, V. R. Kozak, I. A. Ostanin, V. V. Repkov, BINP SB RAS, Novosibirsk","Beam Measurement System of VEPP-2000 Injection Channels",155 157,
tup033,"I. Vilches Calvo, R. Barillere, G. Thomas, CERN, Geneva","The Virtual UNICOS Process Expert: Integration of Artificial Intelligence Tools in Industrial Control Systems",158 160,
tup034,"P. Duval, DESY, Hamburg; J. Bobnar, I. Kriznar, T. Kusterle, Cosylab, Ljubljana; M. Lomperski, DESY, Hamburg; S. Weisse, DESY Zeuthen, Zeuthen","New ACOP Beans and TINE General Purpose Diagnostic Applications",161 163,
tup035,"E. Sombrowski, P. Gessler, DESY, Hamburg; J. M. Meyer, ESRF, Grenoble; A. Petrosyan, K. Rehlich, DESY, Hamburg","JDDD in Action",164 166,
tup036,"H. Shang, G. Decker, L. Emery, W. E. Norum, R. Soliday, ANL, Argonne","Application Software for the BSP-100 Beam Position Monitor at the APS",167 169,
tup037,"C. Scafuri, ELETTRA, Basovizza","The FERMI@Elettra Online Modeling Toolkit",170 172,
tup038,"P. A. Gurd, R. Keitel, TRIUMF, Vancouver","CPP/CXML - a Host-Based Sequencer for EPICS",173 175,
tup039,"A. Shapovalov, MEPhI, Moscow","Emittance Measurement Wizard",99 98,
tup042,"M. A. Power, F. H. Munson, R. C. Pardo, G. P. Zinkann, ANL, Argonne","Weak Beam Diagnostics Utility for ATLAS-CARIBU",176 178,
tup043,"J. J. Pon, E. Klassen, K. S. Lee, M. Mouat, M. Trinczek, P. J. Yogendran, TRIUMF, Vancouver","Recent Changes in the 500 MeV Cyclotron's Central Control System to Reduce Beam Downtime and Beam On/Off Transitions",179 181,
tup044,"K. S. Lee, E. Klassen, R. E. Laxdal, M. Mouat, W. R. Rawnsley, M. Trinczek, TRIUMF, Vancouver","Control of the Rotating Beam on RIB Targets at TRIUMF",182 184,
tup045,"Y.-S. Cheng, J. Chen, Y. K. Chen, P. C. Chiu, K. T. Hsu, K. H. Hu, C. H. Kuo, C. Y. Wu, NSRRC, Hsinchu","Preliminary Test of EPICS Waveform Support for TPS",185 187,
tup046,"K. L. Mahoney, I. T. Carlino, K. Kindrew, T. L. Larrieu, T. S. McGuckin, N. Okay, JLAB, Newport News, Virginia","Jefferson Lab Personnel Safety Electronic Log RMA",188 190,
tup047,"E. Matias, G. Judkins, M. McKibben, J. Swirsky, CLS, Saskatoon, Saskatchewan","The Use of Process and Instrumentation Drawings for Accelerator and Beamline Control Applications at the Canadian Light Source",191 193,
tup048,"G. Raffi, ESO, Garching bei Muenchen; B. E. Glendenning, NRAO, Socorro, NM","ALMA Software Project Management, Lessons Learned",194 196,
tup049,"F. Lucas Rodriguez, I. Atanassov, P. Palazzi, F. Ravotti, CERN, Geneva","The TOTEM Detector Control System",197 199,
tup050,"A. Buteau, S. Dupuy, V. H. Hardion, S. Le, M. Ounsy, G. Viguier, SOLEIL, Gif-sur-Yvette","Making Continuous Integration a Reality for Control Systems on a Large Scale Basis",200 202,
tup051,"M. Pieck, J. L. Erickson, M. S. Gulley, K. W. Jones, L. Rybarcyk, LANL, Los Alamos, New Mexico","Systems Enginering Aspects to Installation of the Phased Multi-Year LANSCE-Refurbishment Project",203 205,
tup052,"S. M. Hartman, ORNL, Oak Ridge, Tennessee","Failure Mode Effects Analysis for an Accelerator Control System",206 208,
tup054,"T. Friedrich, MAX-lab, Lund","Systems and Software Engineering for the MAX IV Facility",209 211,
tup057,"H. Nakanishi, S. Imazu, Y. Ito, K. Kawahata, M. Kojima, Y. Nagayama, M. Nonomura, M. Ohsuna, S. Sudo, NIFS, Gifu","FPGA Digital Timing System for Fusion Plasma Diagnostics in LHD",212 214,
tup058,"D. H. Beck, H. Brand, H. Hahn, F. Herfurth, S. Koszudowski, GSI, Darmstadt; G. Marx, L. Schweikhard, F. Ziegler, Ernst-Moritz-Arndt-Universität, Greifswald","A Pulse-Pattern Generator Using LabVIEW FPGA",215 217,
tup059,"N. P. Di Monte, W. E. Norum, C. Yao, ANL, Argonne","Commissioning of the FPGA-Based Transverse Feedback System at the Advanced Photon Source",218 220,
tup060,"M. Thieme, W. Panschow, S. Rauch, M. Zweig, GSI, Darmstadt","Single Board Computer for Device Control in the FAIR Accelerator Control System",99 98,
tup061,"T. Hirono, T. Kudo, T. Ohata, JASRI/SPring-8, Hyogo-ken","Applications and Upgrading of Flexible and Logic-reconfigurable VME Board",221 223,
tup062,"M. T. Heron, M. G. Abbott, J. A. Dobbing, A. J. Rose, J. Rowland, I. Uzun, Diamond, Oxfordshire","Control Architecture of a New Power Supply Controller for Diamond Light Source",224 226,
tup063,"T. Korhonen, T. Pal, PSI, Villigen","Configuration Management for Software and Firmware at PSI Accelerators",227 229,
tup065,"J. Yan, T. L. Allison, A. Cuffe, S. D. Witherspoon, JLAB, Newport News, Virginia","PC/104 Embedded IOCs at Jefferson Lab",230 232,
tup066,"M. Dach, G. Marinkovic, PSI, Villigen","Embedded Solutions for EPICS Based Control Systems",233 235,
tup067,"H. Takebe, RIKEN/SPring-8, Hyogo; K. Fukami, JASRI/SPring-8, Hyogo-ken; T. Fukui, T. Hara, RIKEN/SPring-8, Hyogo; T. Masuda, JASRI/SPring-8, Hyogo-ken; T. Otake, Y. Otake, RIKEN/SPring-8, Hyogo","Magnet Power Supply Control System Using i-DIO FPGA Program in a VME Filed Bus Card",236 238,
tup068,"N. Kanaya, Ibaraki University, Electrical and Electronic Eng., Ibaraki; K. Furukawa, KEK, Ibaraki","Reconfigurable Embedded Interface System for High Energy Accelerators",239 241,
tup069,"W. Jalmuzna, W. Cichalewski, D. R. Makowski, A. Napieralski, TUL-DMCS, Lodz","Multipurpose LLRF Field Controller for Various Superconducting Cavity Applications",242 244,
tup070,"S. Onuma, Tokyo City University, Tokyo; T. Adachi, KEK, Ibaraki; T. I. Ichikawa, Tokyo City University, Tokyo; A. Kiyomichi, KEK, Tsukuba; K. Mochiki, Tokyo City University, Tokyo; R. Muto, H. Nakagawa, KEK, Ibaraki; K. Noda, NIRS, Chiba-shi; H. Sato, H. Someya, M. Tomizawa, KEK, Ibaraki","Development of Spill Control System for the J-PARC Slow Extraction",245 247,
tup071,"T. Sano, Tokyo City University, Tokyo; Y. Arakida, T. Iwashita, KEK, Ibaraki; K. Mochiki, Tokyo City University, Tokyo","The Control System for Induction Acceleration in the KEK Digital Accelerator",248 250,
tup072,"T. Korhonen, B. Kalantari, A. Puzic, C. Quitmann, J. Raabe, PSI, Villigen","Reconfigurable Data Acquisition System for Time Resolved Measurements in Multibunch Mode at the SLS",251 253,
tup073,"G. Janser, PSI, Villigen","Digital Powersupply Controller Dataconcentrator DPCDC",99 98,
tup075,"E. Matias, D. Beauregard, R. Berg, G. Black, W. Dolton, R. Igarashi, T. Wilson, G. Wright, CLS, Saskatoon, Saskatchewan","Canadian Light Source - Phase II Beamline Control System Status Update",254 256,
tup076,"E. Lecorche, GANIL, Caen; J. F. Denis, CEA, Gif-sur-Yvette; P. Gillette, GANIL, Caen; F. Gougnaud, J.-F. Gournay, CEA, Gif-sur-Yvette; P. G. Graehling, IPHC, Strasbourg Cedex 2; C. H. Haquin, GANIL, Caen; J. H. Hosselet, IPHC, Strasbourg Cedex 2; E. Lemaitre, GANIL, Caen; Y. Lussignol, CEA, Gif-sur-Yvette; C. Maazouzi, IPHC, Strasbourg Cedex 2; P. Mattei, CEA, Gif-sur-Yvette; L. Philippe, D. T. Touchard, GANIL, Caen","Development of the Future Spiral2 Control System",257 259,
tup077,"V. I. Zaitsev, E. V. Grabovsky, A. V. Kartashov, G. M. Oleinik, SRC RF TRINITI, Moscow region","The Present Status of the Control System for the ANGARA-5 Fusion Facility",99 98,
tup078,"P. J. Van Arsdall, S. G. Azevedo, R. G. Beeler, R. M. Bryant, R. W. Carey, R. Demaret, J. M. Fisher, T. M. Frazier, L. J. Lagin, A. P. Ludwigsen, C. D. Marshall, D. G. Mathisen, R. K. Reed, LLNL, Livermore, California","National Ignition Facility Project Completion and Control System Status",260 262,
tup079,"R. G.K. Hart, G. Bobbink, H. Boterenbrood, NIKHEF, Amsterdam; S. Zimmermann, Freiburg","The ATLAS MDT Control System",263 265,
tup080,"R. G.K. Hart, NIKHEF, Amsterdam; F. O.G. Bauer, CEA, Gif-sur-Yvette; P-F. Giraud, CERN, Geneva; H. L. Groenstege, H. van der Graaf, NIKHEF, Amsterdam","The ATLAS Barrel Alignment Readout System",266 268,
tup082,"C. H. Wang, IHEP Beijing, Beijing","Operation and Running of BEPCII Control System",269 271,
tup083,"D. A. Pepler, A. Boyle, J. L. Collier, STFC/RAL, Chilton, Didcot, Oxon; M. Galimberti, CNR/IPP, Pisa; C. Hernandez-Gomez, P. Holligan, A. Kidd, A. Lyachev, I. O. Musgrave, W. Shaikh, Y. Tang, STFC/RAL, Chilton, Didcot, Oxon","The 10 Petawatt Upgrade Proposal For The Vulcan High-Power Laser",272 274,
tup084,"M. Komiyama, M. Fujimaki, N. Fukunishi, RIKEN Nishina Center, Wako; J.-I. Odagiri, KEK, Ibaraki; A. Uchiyama, SHI Accelerator Service ltd., Tokyo","Upgrading the Control System of RIKEN RI Beam Factory for New Injector",275 277,
tup085,"A. Buteau, P. Betinelli, B. Gagey, SOLEIL, Gif-sur-Yvette","Status of the SOLEIL Control System",99 98,
tup086,"M. G. Giacchini, A. Andrighetto, G. Bassato, L. Costa, R. Izsak, G. P. Prete, J. A. Vasquez, INFN/LNL, Legnaro (PD)","The Control System of SPES Target: Current Status and Perspectives.",278 280,
tup087,"A. Luchetta, O. Barana, A. Barbalace, G. Manduchi, A. Soppelsa, C. Taliercio, Consorzio RFX, Associazione Euratom-ENEA sulla Fusione, Padova","Control and Data Acquisition for the ITER Ion Source Test Facility",281 283,
tup088,"K. Lantzsch, CERN, Geneva; J. Boek, Bergische Universität Wuppertal, Wuppertal; B. Di Girolamo, CERN, Geneva; T. Henss, S. Kersten, P. Kind, P. Maettig, Bergische Universität Wuppertal, Wuppertal; J. J. Moss, Ohio State University, ; J. Schultes, Bergische Universität Wuppertal, Wuppertal; P. Sicho, T. Sluka, Czech Republic Academy of Sciences, Institute of Physics, Prague; J. Zhong, Academia Sinica, Taipei","The Control System of the ATLAS Pixel Detector",284 286,
tup090,"D. Fernandez-Carreiras, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","Status of the Alba Control System",287 289,
tup091,"J. Z. Xu, N. D. Arnold, R. Laird, W. E. Norum, S. E. Shoaf, S. J. Stein, S. Xu, ANL, Argonne","Linac Coherent Light Source (LCLS) Undulator Line Control System*",290 292,
tup092,"A. D. Alarcon, SLAC, Menlo Park, California","The Development of the Undulator Controls Module at the Linac Coherent Light Source",293 294,
tup093,"A. Augustinus, M. Boccioli, P. Ch. Chochula, G. De Cataldo, L. Granado Cardoso, L. S. Jirden, M. Lechman, P. Rosinsky, C. Torcato de Matos, L. Wallet, CERN, Geneva","The ALICE Detector Control System, Ready for First Collisions",295 297,
tup094,"N. Yamamoto, M. Hosaka, Nagoya University, Nagoya; M. Katoh, UVSOR, Okazaki; Y. Takashima, Nagoya University, Nagoya","Control System Design for Central Japan Synchrotron Radiation Research Facility",99 98,
tup095,"T. Masuda, JASRI/SPring-8, Hyogo-ken; T. Fukui, RIKEN/SPring-8, Hyogo; M. I. Ishii, JASRI/SPring-8, Hyogo-ken; N. Kumagai, Y. Sekiguchi, RIKEN/SPring-8, Hyogo; R. Tanaka, JASRI/SPring-8, Hyogo-ken","Facility Utility Control System of XFEL/SPring-8",298 300,
tup096,"F. Dittus, CERN, Geneva","The Control System of the ATLAS Inner Detector",301 303,
tup097,"H. Zen, M. Adachi, K. Hayashi, M. Katoh, J. Yamazaki, UVSOR, Okazaki","Present Status of Control System of UVSOR-II",304 306,
tup098,"T. Kaneyasu, Y. Iwasaki, S. Koda, Y. Takabayashi, SAGA, Tosu","Present Status of the SAGA-LS Control System",307 309,
tup099,"M. Tanigaki, N. Abe, A. Osanai, K. Takamiya, T. Takeshita, H. Yashima, H. Yoshino, KURRI, Osaka","A Control System Developed for 150 MeV FFAG Accelerator Complex and its Application",310 312,
tup100,"A. Buechler, UZH, Zürich; D. Esperante Pereira, usc, Santiago de Compostela","The LHCb Silicon Tracker And Its Control System: From Scratch Towards Stable Operation",99 98,
