fraa01,"R. Paparella [INFN/LASA, Segrate (MI), Italy] ","Overview of Recent Tuner Development on Elliptical and Low-Beta Cavities",1425 1431,
moba03,"D. Gonnella, J.J. Kaufman, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Sensitivity of Niobium Superconducting RF Cavities to Magnetic Field",34 36,
moba04,"J.M. Köszegi, J. Knobloch, O. Kugeler [HZB, Berlin, Germany] ","High-Q Operation of SRF Cavities: The Impact of Thermocurrents on the RF Surface Resistance",37 40,
moba05,"M. Checchin [Fermilab, Batavia, Illinois, USA] ","Nature of Quality Factor Degradation in SRF Cavities due to Quench",41 47,
moba06,"A. Grassellino [Fermilab, Batavia, Illinois, USA] ","N Doping: Progress in Development and Understanding",48 54,
moba08,"M. Liepe, B. Clasby, R.G. Eichhorn, B. Elmore, F. Furuta, G.M. Ge, D. Gonnella, T. Gruber, D.L. Hall, G.H. Hoffstaetter, J.J. Kaufman, P.N. Koufalis, J.T. Maniscalco, T.I. O'Connell, P. Quigley, D.M. Sabol, J. Sears, E.N. Smith, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Niobium Impurity-Doping Studies at Cornell and CM Cool-Down Dynamic Effect on Q0",55 60,
mopb001,"G. Ciovati, P. Dhakal, P. Kneisel, G.R. Myneni, J.K. Spradlin [JLab, Newport News, Virginia, USA] ","RF Performance of Ingot Niobium Cavities of Medium-Low Purity",61 65,
mopb002,"G.V. Eremeev, F.E. Hannon [JLab, Newport News, Virginia, USA] ","Observation of High Field Q-Slope in 3 GHz Nb Cavities",66 69,
mopb003,"H. Park, S.U. De Silva, J.R. Delayen [ODU, Norfolk, Virginia, USA] H. Park [JLab, Newport News, Virginia, USA] ","Superconducting Cavity for the Measurements of Frequency, Temperature, RF Field Dependence of the Surface Resistance",70 73,
mopb004,"P.N. Koufalis, D. Gonnella, M. Liepe, J.T. Maniscalco, I. Packtor [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Understanding the Field Dependence of the Surface Resistance in Nitrogen-Doped Cavities",74 76,
mopb005,"J.T. Maniscalco, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Developing a Setup to Measure Field Dependence of BCS Surface Resistance",77 78,
mopb006,"J.T. Maniscalco, D. Gonnella, D.L. Hall, M. Liepe, E.N. Smith [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Hc2 Measurements of Superconductors",79 81,
mopb007,"P. Xu, N.T. Wright [MSU, East Lansing, Michigan, USA] T.R. Bieler [Michigan State University, East Lansing, Michigan, USA] C. Compton [FRIB, East Lansing, Michigan, USA] ","Temperature Excursions in Nb Sheets With Imbedded Delamination Cracks",82 85,
