CT01,"M. Wendt Hamburg, Germany","BPM Read-Out Electronics Based on the Broadband AM/PM Normalization Schema",,"instrumentation, diagnostics, pick-up, closed-orbit"
IT09,"P. Cameron, P. Cerniglia, R. Connolly, J. Cupolo, C. Degen, K.A. Drees, D. Gassner, M. Kesselmann, R. Lee, T. Satogata, R. Sikora Brookhaven National Laboratory, Upton, NY, USA","Overview of RHIC Beam Instrumentation and First Experience from Operation",,"instrumentation, diagnostics, storage-ring, RHIC"
IT10,"M. Castellano, V. Verzilov Laboratori Nazionali di Frascati, Frascati, Italy; L. Catani, A. Cianchi Roma, Italy; G. D'Auria, M. Ferianis, C. Rossi Sincrotrone Trieste, Trieste, Italy","6-D Electron Beam Characterisation Using Optical Transition Radiation and Coherent Diffraction Radiation",,"instrumentation, diagnostics, emittance, linear-collider"
IT11,"R. Jones Geneva, Switzerland","Possible Spin-Offs from LHC Physics Experiments for Beam Instrumentation",,"instrumentation, diagnostics, storage-ring, LHC, collider"
IT12,"M. Hüning III. Physik Institut, Aachen, Germany","Investigations of Longitudinal Charge Distribution in Very Short Electron-Bunches",,"instrumentation, diagnostics, emittance, linear-collider"
PM01,"G. Schmidt, E. Kasel, D. Schirmer, K. Wille University of Dortmund, Germany","Position Monitoring of Accelerator Components as Magnets and Beam Position Monitors",,"instrumentation, diagnostics, DELTA, alignment, pick-up"
PM02,"K. Yanagida, T. Asak, H. Dewa, H. Hanaki, T. Hori, T. Kobayashi, A. Mizuno, S. Sasaki, S. Suzuki, T. Takashima, T. Taniushi, H. Tomizawa Japan Synchrotron Radiation Research Institute, Mikazuki, Hyogo, Japan","Signal Processor for Spring8 Linac BPM",,"instrumentation, diagnostics, linac, pick-up, controls, SPring-8"
PM03,"E. Barbero, B. Dehning, J. Prochnow Geneva, Switzerland; J. Bergoz, K. Unser Bergoz Instrumentation, St. Genis Pouilly, France; J. Matheson Rutherford Appleton Laboratory, Chilton, UK; E. Torrence University of Chicago, IL, USA","Accuracy Of The LEP Spectrometer Beam Orbit Monitors",,"instrumentation, diagnostics, pick-up, closed-orbit, LEP, energy-calibration"
PM04,"P. Evtushenko, A. Büchner, H. Büttig, P. Michel, R. Schurig, B. Wustmann Forschungszentrum Rossendorf, Dresden, Germany; K. Jordan Thomas Jefferson National Accelerator Facility, Newport News, VA, USA","Stripline Beam Position Monitors For \"ELBE\"",,"instrumentation, diagnostics, ELBE, pick-up, linac"
PM05,"J. Chen, C.S. Chen, K.H. Hu, K.T. Hsu, C.H. Kuo, D. Lee, K.K. Lin Synchrotron Radiation Research Center, Hsinchu, Taiwan, ROC","Functionality Enhancement of the Multiplexing BPM System in the Storage of SRRC",,"instrumentation, diagnostics, SRRC, pick-up, closed-orbit, synchrotron"
PM06,"M. Ferianis, R. De Monte Sincrotrone Trieste, Trieste, Italy","The Low Gap BPM System at ELETTRA: Commissioning Results",,"instrumentation, diagnostics, ELETTRA, synchrotron, closed-orbit, pick-up"
PM07,"G. Decker Argonne National Laboratory, Argonne, Illinois, USA","Orbit Control at the Advanced Photon Source",,"instrumentation, diagnostics, controls, closed-orbit, APS, pick-up"
PM08,"R. Lill, G. Decker, O. Singh Argonne National Laboratory, Argonne, Illinois, USA","Advanced Photon Source RF Beam Position Monitor System Upgrade Design and Commissioning",,"instrumentation, diagnostics, controls, closed-orbit, APS, pick-up"
PM09,"A. Young, S.D. Anderson, D. Anderson, J. Nelson, M. Ross, S.R. Anderson, T.J. Smith, H.T. Naito, N. Terunuma, S. Araki Stanford Linear Accelerator, Stanford, CA, USA","Design of a Multi-Bunch BPM for the Next Linear Collider",,"instrumentation, diagnostics, NLC, pick-up, linear-collider"
PM10,"H. Schmickler, G. Vismara Geneva, Switzerland","A Logarithmic Processor for Beam Position Measurements Applied to a Transfer Line at CERN",,"instrumentation, diagnostics, pick-up, closed-orbit, beam-transport, controls"
PM11,"M. Benedikt, Ch. Carli, Ch. Dutriat, A. Jansson, M. Giovannozzi, M. Martini, U. Raich Geneva, Switzerland","Injection Matching Studies Using Turn-By-Turn Beam Profile Measurements in the CERN PS",,"instrumentation, diagnostics, emittance, pick-up, injection, CERN-PS"
PM12,"A. Guerrero, H. Jakob, J.J. Savioz, R. Jones Geneva, Switzerland","The SPS Individual Bunch Measurement System",,"instrumentation, diagnostics, pick-up, CERN-SPS, controls"
PM13,"G. Baribaud, C. Beugnet, A. Cojan, G.P. Ferri, J. Fullerton, A. Manarin, J. Spanggaard Geneva, Switzerland","Control Modules for Scintillation Counters in the SPS Experimental Areas",,"instrumentation, diagnostics, controls, beam-transport, CERN-SPS"
PM14,"A.A. Garcia, B. Dehning, G. Ferioli, E. Gschwendtner Geneva, Switzerland","LHC Beam Loss Monitors",,"instrumentation, diagnostics, beam-losses, LHC, collider, simulation"
PM15,"G. Ferioli, C. Fischer, J. Koopman, M. Sillanoli Geneva, Switzerland","Sensitivity Studies with the SPS Rest Gas Profile Monitor",,"instrumentation, diagnostics, emittance, CERN-SPS"
PM16,"D.J. Adams, K. Tilley, C.M. Warsop Rutherford Appleton Lab., Oxfordshire, UK","The Measurement and Optimisation of Lattice Parameters on the ISIS Synchrotron",,"instrumentation, diagnostics, ISIS, lattice, synchrotron"
