4A001,"Shouxian Fang","BRIEF OVERVIEW OF PARTICLE ACCELERATORS IN CHINA",
4A002,"S.S.Kapoor","ACCELERATOR BASED ACTIVITIES IN INDIA",
4A003,"Azhar Djaloeis, Sudjatmoko","ACTIVITIES ON THE DEVELOPMENT AND APPLICATION OF PARTICLE ACCELERATORS IN INDONESIA",
4A004,"Won Namkung","STATUS OF ACCELERATORS IN KOREA",
4B001,"Makoto Inoue","STATUS OF ACCELERATORS IN JAPAN",
4B002,"S.P. Chia, S.P. Moo, D.A. Bradley","ACCELERATOR-RELATED RESEARCH ACTIVITIES IN MALAYSIA",
4B003,"R.C. Sah, J.R. Chen, C.C. Kuo, and G.H. Luo","STATUS REPORT ON THE SYNCHROTRON RADIATION RESEARCH CENTER",
4B004,"Weerapong Pairsuwan ,Takehiko Ishii","THE SIAM PHOTON PROJECT",
4C001,"A.N.Skrinsky, Yu.M.Shatunov","ACCELERATOR ACTIVITIES AT BUDKER INSTITUTE FOR NUCLEAR",
4C002,"Nguyen Van Do, Tran Duc Thiep","RESEARCH ACTIVITIES BASED ON SMALL ACCELERATORS IN VIETNAM",
4C003,"Z.T.Zhao, S.H.Wang","BEPC AND THE FUTURE PROGRAM AT IHEP",
4C004,"In Soo Ko","STATUS OF POHANG LIGHT SOURCE",
4C005,"Shin-ichi Kurokawa","STATUS OF KEKB PROJECT",
4D001,"K. Hasegawa, H. Oguri, Y. Honda, H. Ino, M. Mizumoto, R. A. Jameson","BEAM DYNAMICS STUDY OF HIGH INTENSITY LINAC FOR THE NEUTRON SCIENCE PROJECT AT JAERI",
4D002,"Y. Honda, K. Hasegawa, N. Ouchi, J. Kusano,M. Mizumoto","A CONCEPTUAL DESIGN STUDY OF SUPERCONDUCTING PROTON LINEAR ACCELERATOR FOR NEUTRON SCIENCE PROJECT",
4D003,"N. Ouchi, J. Kusano, N. Akaoka,B. Fechner, K. Hasegawa, S. Takeuchi ,M. Mizumoto,K. Saito, S. Noguchi, M. Ono, E. Kako ,H. Inoue,K. Mukugi,Y. Honda","R&D ACTIVITIES FOR SUPERCONDUCTING PROTON LINAC AT JAERI",
4D004,"T. Ota, S. Sukenobu, Y. Tanabe, Y. Onishi,E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, Y. Yamazaki","MEASUREMENT OF AN L-BAND THREE-CELL SUPERCONDUCTING CAVITY FABRICATED IN TOSHIBA",
4D005,"E. Chishiro, Y. Touchi, H. Kaneko, J. Kusano, K. Hasegawa ,M. Mizumoto","AN RF POWER SYSTEM FOR NSP HIGH INTENSITY PROTON ACCELERATOR AT JAERI",
4D006,"I.S. Hong, Y.S. Hwang, H.J. Kim, Y.S. Cho, B.H. Choi","DEVELOPMENT OF ION SOURCES FOR KOMAC",
4D007,"J. M. Han, Y. S. Cho,B. H. Choi,Y. S. Bae, S. H. Jin, I. S. Ko, B. S. Kang, B. S. Han","DESIGN OF A 350 MHZ, CW RFQ FOR THE KOMAC PROJECT",
4D008,"Y.S.Cho,J.M.Han,W.S.Park,B.H.Choi,B.S.Han,K.H.Chung","CONCEPTUAL DESIGN STUDY OF KOMAC DTL",
4D009,"T.Y.Song, Y.K.Kim, W.S.Park, Y.S.Cho, B.H.Choi ","THE CHARACTERISTICS OF LEAD AND TUNGSTEN TARGETS USED IN THE ACCELERATOR-DRIVEN SUBCRITICAL REACTOR",
4D010,"T. Kato, Y. Yamazaki","DESIGN OF THE JHF 200-MEV PROTON LINEAR ACCELERATOR",
4D011,"S. Fu, T. Kato","DESIGN OF BEAM-TRANSPORT LINE BETWEEN THE RFQ AND THE DTL FOR JHF 200-MEV PROTON LINAC",
4D012,"Y.Kawase,M.Inoue","NEUTRON FACTORY PROJECT AT KURRI",
