FRAAU02,"V. Bykovsky; I. Meshkov; V. Pavlov; R. Pivin; A. Rudakov; G. Trubnikov; S. Yakovenko; M.K. Eseev","DEVELOPMENT OF THE POSITRON INJECTOR FOR LEPTA FACILITY",
MOCAU02,"Yu.V. Senichev","MAGNETOOPTIC STRUCTURES FOR SYNCHROTRONS WITH NEGATIVE MOMENTUM COMPACTION FACTORS ",
MOCAU03,"E.G. Bessonov; R.M. Feshchenko","STIMULATED RADIATION COOLING",
THAPH03,"B.Yu. Bogdanovich; V.V. Kapin; A.V. Nesterovich; A.N. Puchkov; V.N. Soloviev; V.P. Zubovskiy; V.V. Yanenko","THE OUTPUT BEAM-LINE AND A NOVEL ION SOURCE OF 2-MEV PROTON RFQ LINAC",
THAPH05,"N.I. Aizatsky; A.N. Dovbnya; V.V. Zakutin; N.G. Reshetnyak; N.A. Dovbnya; I.A. Chertishchev","CONTROLLING THE BEAM OF THE MAGNETRON GUN WITH A SECONDARY-EMISSION CATHODE BY MEANS OF A MAGNETIC FIELD OF THE SOLENOID AND PERMANENT RING-SHAPED MAGNETS",
THBAU01,"V. Kiselev; V. Vostrikov; S. Konstantinov; G. Kurkin; E. Levichev; V. Parkhomchuk; Yu. Pupkov; V. Reva; R. Salimov; A. Semenov; S. Sinyatkin; A. Skrinsky","RADIATION THERAPY FACILITY BASED ON CARBON ION COOLER SYNCHROTRON",
THBAU02,"E.M. Syresin","CENTERS OF HADRON THERAPY ON THE BASIS OF CYCLOTRONS",
THBAU03,"S.A. Rastigeev; N.I. Alinovsky; A.D. Goncharov; V.F. Klyuev; S.G. Konstantinov; E.S. Konstantinov; A.M. Kryuchkov; V.V. Parkhomchuk; M.V. Petrichenkov; V.B. Reva","RADIOCARBON MEASUREMENTS AND BACKGROUND INVESTIGATION AT SD RAS ACCELERATOR MASS SPECTROMETER",
THBPH02,"N.I. Ayzatsky; Ye.Z. Biller; R.N. Dronov; V.V. Seleznyov; V.L. Uvarov","TARGET COMPLEX FOR ISOTOPE PRODUCTION ON THE ELECTRON ACCELERATOR",
THBPH04,"I.S. Guk; S.G. Kononenko; F.A. Peev; A.S. Tarasenko","CHANGE OF THE PLAN OF BEAM INJECTION IN RECIRCULATOR SALO",
THBPH05,"A.I. Korchagin; V.V. Cherepkov; S.N. Fadeev; M.G. Golkovskiy; A.V. Lavrukhin; S.P. Bardakhanov; V.I. Lysenko; A.V. Nomoev","PRODUCTION OF NANOPOWDERS USING HIGH POWER ELECTRON ACCELERATOR",
THBPH06,"V.L. Auslender; V.V. Bezuglov; A.A. Bryazgin; M.V. Korobeynikov; A.V. Sidorov; E.A. Shtarklev","ELECTRON BEAM TREATMENT LINE WITH ILU-6 MACHINE FOR MEDICINAL RAW DECONTAMINATION",
THBPH07,"A.A. Bryazgin; S.A. Maximov; V.E. Nekhaev; A.D. Panfilov; V.O. Tkachenko; A.F. Tuvik; L.A. Voronin; V.L. Gorbunov; E. Shtarklev; M.V. Korobeinikov","APPLICATION OF ILU-TYPE ACCELERATORS FOR STERILIZATION PURPOSES",
