fra002,"G.R. Neil, JLAB, Newport News","High Power FELs Driven by RF Superconducting Linacs",593 601,
srf95a10,"I. Ben-Zvi, A. Lipski, J.W. Noé, P. Paul, H. Uto, SUNY SB, Stony Brook, New York","RF Superconductivity Research and Development at Stony Brook",55 56,
srf95a11,"S. Döbert, R. Eichhorn, H. Genz, H.-D. Gräf, R. Hahn, T. Hampel, H. Loos, M. Reichenbach, A. Richter, V. Schlott, E. Spamer, A. Stascheck, M. Thomas, O. Titze, T. Wesp, TH Darmstadt, Darmstadt","S-DALINAC Status Report",57 59,
srf95a12,"C. Chen, R. Geng, J Song, L. Wang, T. Wang, G. Wu, J. Yu, B. Zhang, K. Zhao, IHIP, Beijing","Laboratory Report on RF Superconductivity at Peking University",61 65,
srf95b01,"N. Pupeter, A. Göhl, T. Habermann, A. Kirschner, E. Mahner, G. Müller, H. Piel, University of Wuppertal, Wuppertal","Influence of Surface Roughness and Preparation, Bulk Purity and Heat Treatment on Electron Field Emission from Nb and Nb3Sn",67 77,
srf95b02,"M. Pekeler, T. Fuljahn, P. Schmüser, Universität Hamburg, Hamburg; H. Padamsee, Cornell University, Ithaca, New York; M. Champion, C. Crawford, J. Graber, A. Matheisen, W.-D. Möller, D. Proch, DESY, Hamburg","Thermometric Study of Field Emission in a 1.3 GHz Superconducting Cavity",79 93,
srf95b03,"J. Knobloch, H. Padamsee, Cornell University, Ithaca, New York","Microscopic Investigation of Field Emitters Located by Thermometry in 1.5 GHz Superconducting Niobium Cavities",95 103,
srf95b04,"J. Tan, CEA-Saclay, Gif-sur-Yvette","Field Emission Studies at Saclay and Orsay",105 117,
srf95c01,"J. Tan, B. Bonin, H. Safa, CEA-Saclay, Gif-sur-Yvette","Field Emission and High Voltage Cleaning of Particulate Contaminants on Extended Metallic Surfaces",365 368,
srf95c02,"J. Tan, B. Bonin, H. Safa, CEA-Saclay, Gif-sur-Yvette","Thermal Contact Resistance of a Particle on a Substrate",369 372,
srf95c03,"M. Fouaidy, T. Junquera, S. Bousson, IPN, Orsay","Field Emission Investigation in a 3.6 GHz SRF Cavity using X-Ray Measuring Systems",373 377,
srf95c04,"K. Saito, E. Kako, S. Noguchi, M. Ono, T. Shishido, KEK, Ibaraki; T. Higuchi, T. Suzuki, Nomura Plating Co. Ltd., Kanuma, Tochigi","Water Rinsing of the Contaminated Superconducting RF Cavities",379 383,
srf95c05,"P. Fabbricatore, G. Gemme, R. Musenich, R. Parodi, S. Pittaluga, INFN Genova, Genova","Experimental Evidence of MP. Discharges in Spherical Cavities at 3 GHz",385 388,
srf95c06,"A.I. Ageev, V.M. Efremov, V.A. Kiselev, V. Ya. Pakhomov, S.M. Pesterev, L.M. Sevryukova, IHEP Protvino, Protvino, Moscow Region","Field Emission Properties of the SC Alloy (H2B) N2V",389 395,
srf95c07,"U. Becker, M. Zhang, T. Weiland, TH Darmstadt, Darmstadt","Two and Three Dimensional Simulations of Dark Current on TESLA-Cavities",397 401,
srf95c08,"J. Martignac, B. Bonin, C. Henriot, J.P. Poupeau, CEA-Saclay, Gif-sur-Yvette; I. Koltchakian, D. Kocic, Ch. Herbeaux, J.P. Marx, LURE, Orsay","Particle Contamination in Vacuum Systems",403 407,
srf95c09,"N. Hilleret, J.M. Jimenez, CERN, Geneva; F. Tardif, CEN-Grenoble, Grenoble","Comparative Studies of Three Methods to Avoid Particulate Contamination in Large UHV Devices",409 412,
srf95c10,"H. Safa, CEA-Saclay, Gif-sur-Yvette","An Analytical Approach for Calculating the Quench Field in Superconducting Cavities",413 418,
srf95c11,"K. Asano, T. Furuya, S. Mitsunobu, T. Tajima, T. Takahashi, KEK, Ibaraki","Stable Performance of 508 MHz Superconducting RF Cavities for KEKB",419 423,
srf95c12,"E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, T. Fujino, Y. Funahashi, H. Inoue, KEK, Ibaraki; M. Matsuoka, MHI, Yokohama, Kanagawa-ken; T. Higuchi, T. Suzuki, Nomura Plating Co. Ltd., Kanuma, Tochigi; H. Umezawa, Tokyo Denkai Co. Ltd., Tokyo","Characteristics of the Results of Measurement on 1.3 GHz High Gradient Superconducting Cavities",425 429,
srf95c13,"Q.S. Shu, W.-D. Möller, M. Pekeler, D. Proch, DESY, Hamburg; T. Junquera, M. Fouaidy, IPN, Orsay","Experimental Investigation of Quenches in Superfluid He of TESLA 9-Cell Superconducting Cavities",431 435,
SRF95C14,"T. Hays, H. Padamsee, Cornell University, Ithaca, New York; R.W. Röth, University of Wuppertal, Wuppertal","Determining HRFc for Nb and Nb3Sn through HPP and Transient Q Analysis",437 440,
srf95c15,"T. Hays, P. Barnes, H. Padamsee, J. Sears, Cornell University, Ithaca, New York","Performance of a High RRR Russian Nb 1.3 GHz TESLA Multicell Cavity",441 442,
srf95c16,"P. Kneisel, CEBAF, Newport News","Effect of Cavity Vacuum on Performance of Superconducting Niobium Cavities",443 447,
srf95c17,"P. Kneisel, CEBAF, Newport News; R.W. Röth, H.-G. Kürschner, University of Wuppertal, Wuppertal","Results from a Nearly Defect-Free Niobium Cavity",449 453,
srf95c18,"J. Kuzminski, DESY, Hamburg","First Cold Test of TESLA Superconducting RF Cavity in Horizontal Cryostat (CHECHIA)",455 459,
srf95c19,"K.M. Schirm, E. Chiaveri, B. Thony, W. Weingarten, CERN, Geneva","Analysis of the Coating Success Rate in the Series Production of Nb/Cu Superconducting RF Cavities for LEP2",461 465,
srf95c20,"P. Darriulat, C. Durand, P. Janot, N. Rensing, W. Weingarten, CERN, Geneva; P. Bosland, J. Gobin, J. Martignac, CEA-Saclay, Gif-sur-Yvette","Dependence of the Surface Resistance of Niobium Coated Copper Cavities on the Coating Temperature",467 471,
