FR101,"I. Ben-Zvi, Brookhaven National Laboratory","Electron cooling and electron-ion colliders at BNL",
TUP27,"J. Vines, Y. Xie, H. Padamsee, Cornell University","Systematic Trends for the Medium Field Q-Slope",
TUP28,"A. Schmidt, A. Matheisen, H. Kaiser, W. Menck, G. Weichert, DESY Hamburg","1.3 GHz Cavity Weld to Helium Vessel",
TUP30,"B. vanderHorst, A. Matheisen, B. Petersen, S. Saegebarth, P. Schilling, DESY Hamburg","Update on Cavity Preparation for High Gradient Superconducting Multicell Cavities at DESY",
TUP31,"M. Schmoekel, A. Matheisen, B. Petersen, N. Steinhau-Kuehl, H. Weitkamper, DESY Hamburg","Update on EP Experiences at DESY with the Electro Polishing Process at DESY 1.3 GHz",
TUP33,"N. Steinhau-Kuehl, R. Bandelmann, A. Matheisen, H. MoralesZimmermann, M. Schmoekel, DESY Hamburg; E. Palmieri, V. Rampazzo, INFN","Update on the JRA1 Project Results of Electro-Polishing of Multi-Cell Super Conducting Resonators",
TUP34,"M. Min, P. F. Fischer, Y. -C. Chae, ANL","Wake Fields in 9-Cell TESLA Accelerating Structures: Spectral Element Discontinuous Galerkin (SEDG) Simulations",
TUP35,"J. R. Shi, H. B. Chen, C. X. Tang, S. X. Zheng, Tsinghua University; D. Li, LBNL","Impedance Simulation and Waveguide Damping Study of a Superconducting Deflecting Cavity for ALS at LBNL",
TUP36,"S. M. Gerbick, M. P. Kelly, J. D. Fuerst, ANL","A New Electropolishing System at ANL for Superconducting Quarter-Wave Resonators",
TUP38,"S. Stark, A. M. Porcellato, A. Palmieri, V. Palmieri, P. Favaron, E. Bissiato, F. Stivanello, F. Chiurlotto, G. Dona, D. Giora, M. DeLazzari, INFN-LNL","A Novel Sputtered Medium Beta Cavity for ALPI",
TUP39,"T. Furuya, S. Sakanaka, T. Suwada, T. Takahashi, K. Umemori, KEK; H. Sakai, K. Shinoe, ISSP; M. Sawamura, JAEA","Basic Research on the 1.3 GHZ Superconducting Cavity for the ERL Main Linacs",
TUP40,"W. Anders, J. Knobloch, O. Kugeler, A. Neumann, BESSY","CW Operation of Superconducting TESLA Cavities",
TUP44,"M. Pekeler, S. Bauer, H. Vogel, ACCEL; D. Reschke, J. Ziegler, DESY","Development and RF Test Results of a New HF and H2SO4 Free Electro Polishing Method for Superconducting Niobium Cavities",
TUP45,"J. Delayen, T. Allison, C. Hovater, J. Musson, T. Plawski, Thomas Jefferson National Accelerator Facility","Development of a Digital Self-Excited Loop for Field Control in High-Q Superconducting Cavities",
TUP47,"C. M. Ginsburg, R. Carcagno, M. Champion, N. Dhanaraj, A. Lunin, A. Mukherjee, R. Nehring, D. Orris, J. P. Ozelis, V. Poloubotko, D. A. Sergatskov, Fermilab; W. -D. Moeller, DESY","Diagnostic Instrumentation for the Fermilab Vertical Cavity Test Facility",
TUP48,"D. Reschke, A. Brinkmann, K. Floettmann, D. Klinke, J. Ziegler, DESY; D. Werner, R. Grimme, Ch. Zorn, Fraunhofer IPA","Dry-ICE Cleaning: The Most Effective Cleaning Process for SRF Cavities?",
TUP49,"G. Wu, H. Jiang, T. Khabiboulline, I. Pechenezhskiy, T. Koeth, J. Reid, W. Muranyi, B. Tennis, E. Harms, Y. Terechkine, H. Edwards, D. Mitchell, A. Rowe, C. Boffo, C. Cooper, L. Cooley, R. Schuessler, Fermilab; W. -D. Moeller, DESY Hamburg; C. Antoine, CEA-Saclay; A. Romanenko, Cornell University","ECR Plasma Cleaning: An In-situ Processing Technique for RF Cavities",
TUP51,"M. Bruchon, B. Visentin, F. Eozenou, CEA-Saclay","Electropolishing on Single and MultiI-Cell: COMSOL Modelling",
TUP54,"J. Wu, Q. Z. Xing, J. R. Shi, S. X. Zheng, D. C. Tong, C. X. Tang, Tsinghua University","Field Tuning and HOMs Measurement of the 9-cell ICHIRO Copper Cavity Model",
TUP55,"W. Hartung, J. Bierwagen, S. Bricker, C. Compton, T. Grimm, M. Johnson, D. Meidlinger, J. Popielarski, L. Saxton, R. C. York, Michigan State University; G. W. Foster, I. Gonin, T. Khabiboulline, N. Solyak, R. Wagner, V. Yarba, Fermilab; P. Kneisel, JLab","Fine Grain and Large Grain Niobium Cavity Prototyping for a Proton Linac",
TUP57,"R. Carcagno, J. Branlard, B. Chase, H. Edwards, D. Orris, Y. Pischalnikov, A. Makulski, J. Reid, W. Schappert, Fermilab","First Fermilab Results of SRF Cavity Lorentz Force Detuning Compensation Using a Piezo Tuner",
TUP58,"G. Bisoffi, E. Bissiato, F. Chiurlotto, A. Palmieri, A. M. Porcellato, F. Scarpa, S. Stark, INFN-LNL","First Cold Tests of the Beta=0.12 Ladder Resonator at LNL",
TUP59,"N. R. Lobanov, D. C. Weisser, Nuclear Physics Department,  Research School of Physical Sciences and Engineering,  Australian National University","From Multistub Resonators to Intermodulation Measurements: SRF Activities at ANU in 2005-2007",
TUP60,"E. Kako, H. Hayano, S. Noguchi, T. Shishido, K. Watanabe, Y. Yamamoto, KEK","High Power Input Couplers for the STF Baseline Cavity System at KEK",
TUP62,"C. E. Reece, J. Mammosser, JLab; J. Ortega, Blue Ridge Numerics","Hydrodynamic Thermal Modeling of 9-cell ILC Cavity Electropolishing and Implications for Improving the EP Process",
TUP63,"S. M. Pattalwar, R. Bate, R. K. Buckley, S. R. Buckley, P. A. Corlett, D. M. Dykes, A. R. Goulden, P. A. McIntosh, A. J. Moss, J. F. Orrett, J. H. P. Rogers, STFC Daresbury Laboratory","Initial Experience in Operating the SRF Cryomodules for ERLP",
TUP64,"M. Pellin, J. Elam, J. Moore, J. Norem, ANL; C. Antoine, CEA-Saclay; L. Cooley, Fermilab; T. Prolier, J. Zasadzinski, IIT; R. Rimmer, JLab","Initial Tests of Atomic Layer Deposition (ald) in Superconducting RF Systems",
TUP65,"R. A. Rimmer, R. Bundy, G. Cheng, G. Ciovati, W. Clemens, E. F. Daly, J. Henry, W. R. Hicks, P. Kneisel, S. Manning, R. Manus, F. Marhauser, J. Preble, C. Reece, K. Smith, M. Stirbet, L. Turlington, H. Wang, K. M. Wilson, JLab","JLAB CW Cryomodules for 4th Generation Light Sources",
TUP66,"R. Xiang, D. Janssen, P. Michel, K. Moeller, F. Staufenbiel, J. Teichert, FZD","Low Emittance Polarized Electron Source Based on Superconducting RF Gun",
TUP67,"W. Hartung, J. Bierwagen, S. Bricker, C. Compton, T. Grimm, M. Johnson, F. Marti, J. Popielarski, L. Saxton, R. C. York, Michigan State University; A. Facco, INFN-LNL; E. Zaplatin, FZ Juelich","Niobium Quarter-Wave Resonator Development for a Heavy Ion Re-accelerator",
TUP68,"C. D. Beard, J. W. McKenzie, B. L. Militsyn, B. D. Muratori, STFC Daresbury Laboratory","Optimisation of a 1.5-cell High Average Current Gun for 4GLS",
TUP69,"B. Visentin, Y. Gasser, M. Bruchon, F. Eozenou, J. P. Charrier, CEA-Saclay; D. Reschke, A. Brinkmann, DESY Hamburg","Optimization of Baking Parameters for Electropolished Niobium Superconducting Cavities",
TUP70,"C. Cooper, G. Galasso, A. Rowe, Fermilab; C. Boffo, Babcock Noell GmbH","Optimization of BCP Processing of Elliptical NB SRF Cavities",
TUP71,"F. Eozenou, M. Bruchon, J. Gantier, CEA-Saclay","Parameters Investigation for Niobium Electro-Polishing",
TUP72,"C. Pagani, A. Bosotti, N. Panzeri, R. Paparella, P. Pierini, INFN Milano; C. Albrecht, R. Lange, L. Lilje, DESY Hamburg","Piezo-Assisted Blade Tuner: Cold Test Results",
TUP73,"M. Raskovic, L. Vuskovic, S. Popovic, Old Dominion University; A. -M. Valente-Feliciano, L. Phillips, TJNAF","Plasma Treatment of Bulk Nb Surface in the Ar/Cl2 Discharge",
TUP74,"A. Brinkmann, J. Iversen, D. Reschke, W. Singer, X. Singer, K. Twarowski, J. Ziegler, DESY Hamburg","Progress of the Test Cavity Program for the European XFEL",
TUP75,"J. D. Fuerst, K. W. Shepard, M. P. Kelly, S. M. Gerbick, Z. A. Conway, G. P. Zinkann, ANL","Progress on Cavity Fabrication for the ATLAS Energy Upgrade",
TUP77,"D. Reschke, L. Lilje, DESY","Recent Experience with Nine-cell Cavity Performance at DESY",
TUP78,"G. Olry, S. Blivet, N. Hammoudi, D. Longuevergne, F. Lutton, G. Martinet, G. Michel, H. Saugnac, P. Szott, IPN Orsay; P-E. Bernaudin, P. Bosland, G. Devanz, C. Madec, A. Perolat, CEA-Saclay","Status of the Cryomodules and Cavities Development for the SPIRAL2 Superconducting Linac",
TUP80,"F. Eozenou, M. Bruchon, Y. Gasser, Y. Boudigou, B. Visentin, J. P. Charrier, S. Berry, C. Antoine, CEA-Saclay; D. Reschke, DESY Hamburg","Single Cell Electro-Polishing at CEA Saclay: First Results",
TUP81,"P. Bosland, S. Chel, G. Devanz, Y. Gasser, P. Hardy, J. Plouin, J. -P. Poupeau, D. Roudier, B. Visentin, CEA-Saclay","Stiffened Medium Beta 704 MHZ Elliptical Cavity for a Pulsed Proton Linac",
TUP84,"Z. C. Liu, S. W. Quan, F. Zhu, X. Y. Lu, B. C. Zhang, F. S. He, J. Dai, S. Jin, W. C. Xu, J. K. Hao, K. Zhao, J. E. Chen, IHIP,  Peking University","Introduction of 9-cell Accelerator at Peking University",
TUP85,"F. C. Zhao, H. Sun, J. Gu, M. Q. Ge, H. Shi, W. L. Huang, S. C. Zhao, IHEP,  CAS","Superconducting Elliptical Cavity (beta=0.45) and SRF Test Facility in IHEP",
WE101,"G. Eremeev, H. Padamsee, CLASSE,  Cornell University","emperature Map Studies on Nearly Oxide-Free, Thin-Oxide and Standard-Oxide Cavities",
WE102,"A. Aizaz, N. T. Wright, Michigan State University; T. L. Grimm, Niowave Inc","Thermal Design Studies of Niobium SRF Cavities",
WE103,"W. C. Xu, F. Zhu, S. W. Quan, K. Zhao, IHIP,  Peking University","Study on the 3.5-cell DC-SC Photo-injector",
WE104,"H. Tian, M. J. Kelley, TJNAF and College of William and Mary; S. G. Corcoran, Virginia Tech; C. E. Reece, TJNAF","Novel Characterization of the Electropolishing of Niobium with Sulfuric and Hydrofluoric Acid Mixtures",
WE201,"A. Neumann, W. Anders, J. Knobloch, O. Kugeler, BESSY","Microphonics in CW tesla cavities and their compensation with fast tuners",
WE202,"G. Lanza, V. Palmieri, N. Patron, C. Pira, S. Stark, Laboratori Nazionali di Legnaro,  STITUTO NAZIONALE DI FISICA NUCLEARE; E. Bemporad, F. Carassiti, M. Sebastiani, University of Rome; H. Padamsee, Cornell University","Different sputtering configurations for coating 1.5 GHZ copper cavities",
WE203,"S. M. Deambrosis, N. Patron, A. Rossi, V. Palmieri, INFN-LNL/Padua University; G. Keppel, N. Pretto, V. Rampazzo, S. Stark, F. Stivanello, INFN-LNL; R. G. Sharma, Inter-University Accelerator Centre","The Progress on Nb3Sn and V3Si",
WE204,"N. Patron, S. Deambrosis, S. Stark, V. Palmieri, INFN-LNL; M. Baecker, Fachhochschule Aachen; L. Phillips, TJLNAF","Application of plasma cleaning to cavities processing",
WE205,"Z. A. Conway, J. D. Fuerst, M. P. Kelly, K. W. Shepard, ANL; G. K. Davis, J. Delayen, TJNAF","Electro-mechanical properties of spoke-loaded superconducting cavities",
WE206,"M. Meidlinger, J. Bierwagen, S. Bricker, C. Compton, T. Grimm, W. Hartung, M. Johnson, J. Popielarski, L. Saxton, R. York, National Superconducting Cyclotron Laboratory; P. Kneisel, TJNAF; E. Zaplatin, Forschungszentrum Julich","First test results of half-reentrant single-cell superconducting cavities",
WE302,"M. Kelly, ANL","Status of superconducting spoke cavity development",
WE305,"S. Belomestnykh, CLASSE,  Cornell University","Overview of input power coupler developments,pulsed and CW",
WE306,"J. Sekutowicz, DESY","Superconducting RF Photoinjectors: an Overview",
WEP01,"C. Compton, D. Baars, T. Bieler, J. Bierwagen, S. Bricker, W. Hartung, D. Pendell, R. York, Michigan State University; L. Cooley, H. Jiang, B. Kephart, Fermilab","Studies of alternative techniques for niobium cavity fabrication",
WEP02,"D. Holmes, H. Bluem, B. Abel, A. Favale, E. Peterson, J. Rathke, T. Schultheiss, A. Todd, Advanced Energy Systems,  Inc. ; J. Kewisch, I. Ben-Zvi, A. Burrill, R. Grover, D. Pate, T. Rao, R. Todd, Brookhaven National Laboratory","Superconducting RF Photocathode Gun for Low Emittance Polarized Electron Beams",
WEP04,"H. Tian, M. J. Kelley, TJNAF/College of William and Mary; G. Ribeill, North Carolina State University; C. E. Reece, TJNAF","Surface roughness characterization of niobium subjected to incremental BCP and EP processing steps",
WEP05,"D. Kostin, W. -D. Moeller, A. Goessel, R. Lange, DESY Hamburg","Testing the FLASH superconducting accelerating modules",
WEP06,"T. Cabanel, Y. GomezMartinez, D. Marchand, R. Micoud, F. Pancher, D. Tourres, F. Vezzu, LPSC","SPIRAL 2 coupler preparation and RF conditioning",
WEP08,"D. Zenere, A. Facco, F. Scarpa, INFN-LNL","Upgrade of the low-beta section of the PIAVE-ALPI linac at LNL",
WEP10,"E. Kako, H. Hayano, S. Noguchi, T. Shishido, K. Umemori, K. Watanabe, Y. Yamamoto, KEK; H. Sakai, K. Shinoe, ISSP,  Univ.  of Tokyo; S. I. Moon, POSTECH; Q. J. Xu, IHEP,  CAS","Vertical test results on the STF baseline 9-cell cavities at KEK",
WEP11,"X. M. Shen, W. Bai, Institute of Applied electronics,  CAEP; H. Sun, M. Q. Ge, Superconducting test Lab.  IHEP","Parameter measurement of 2-cell superconducting cavity",
WEP12,"F. Zhu, S. W. Quan, W. C. Xu, J. K. Hao, Z. C. Liu, K. Zhao, B. C. Zhang, IHIP,  Peking University","Design of the compact high average current DC-SC photoinjector at Peking University",
WEP13,"Y. Yamamoto, H. Hayano, E. Kako, S. Noguchi, T. Shishido, K. Umemori, K. Watanabe, KEK; H. Sakai, K. Shinoe, ISSP,  Univ.  of Tokyo; S. I. Moon, POSTECH; Q. J. Xu, IHEP,  CAS","Cavity diagnostic system for the vertical test of the baseline SC cavity in KEK-STF",
WEP14,"R. Carcagno, B. Chase, E. Harms, A. Hocker, P. Prieto, J. Reid, A. Rowe, J. Theilacker, M. Votava, Fermilab","Commissioning and early operating experience with the Fermilab horizontal test facility",
WEP15,"J. P. Ozelis, R. Carcagno, C. M. Ginsburg, Y. Huang, R. Nehring, B. Norris, V. Poloubotko, R. Rabehl, I. Rakhno, C. Reid, T. Peterson, D. A. Sergatskov, C. Sylvester, M. Wong, C. Worel, A. Yuan, Fermilab; C. Grenoble, T. J. Powers, TJNAF","Initial results from Fermilab's vertical test stand for SRF cavities",
WEP16,"Y. Sun, G. W. Wang, W. M. Pan, Z. Q. Li, Q. Ma, H. Y. Lin, S. P. Li, K. He, Y. P. Liu, H. Huang, B. Xu, Q. Y. Wang, T. M. Huang, IHEP,  CAS","Commissioning of BEPCII superconducting RF system",
WEP17,"E. Vogel, M. Dohlus, M. Huening, K. Jensch, A. Matheisen, W. -D. Moeller, A. Schmidt, W. Singer, DESY Hamburg; H. Edwards, E. Harms, T. Khabiboulline, Fermilab","Considerations on the third harmonic RF of the European XFEL",
WEP19,"Y. P. Liu, S. P. Li, K. He, M. J. Sang, R. Ge, C. W. Lv, L. Bian, Z. Zhang, IHEP,  CAS","Cryogenic system for BEPCII superconducting cavities",
WEP20,"Q. S. Shu, J. Susta, G. F. Chen, I. Phipps, F. H. Lu, AMAC Inc; T. Khabiboulline, N. Solyak, Fermilab","325 MHz power couplers of spokes cavities for modular, multiple power levels",
WEP21,"A. Labanc, DESY","Electrical axes of TESLA cavities",
WEP22,"A. Labanc, DESY","Electron activity interlock for XFEL input couplers",
WEP23,"Z. Q. Li, G. W. Wang, W. M. Pan, Y. Sun, S. P. Li, Q. Ma, IHEP,  CAS; T. Furuya, S. Mitsunobu, K. Akai, Y. Yamamoto, KEK; Y. Kijima, M. Arakawa, Y. Okada, MELCO,  Mitsubishi Electric Co. ","Fabrication and test of the 500 MHz SC modules for the BEPCII",
WEP24,"A. Dangwal, G. Mueller, Berg.  Universitat Wuppertal; D. Reschke, X. Singer, DESY","Field emission from single crystal and large grain niobium cathodes",
WEP25,"P. Maesen, E. Ciapala, G. Pechaud, CERN","Final tests and commissioning of the 400MHz LHC superconducting cavities",
WEP26,"V. Veshcherevich, S. Belomestnykh, P. Quigley, J. Reilly, J. Sears, Cornell University","High power tests of input couplers for Cornell ERL injector",
WEP27,"Y. Yamamoto, K. Akai, K. Ebihara, T. Furuya, K. Hara, T. Honma, K. Hosoyama, A. Kabe, Y. Kojima, S. Mitsunobu, Y. Morita, H. Nakai, K. Nakanishi, M. Ono, KEK; H. Hara, K. Sennyu, T. Yanagisawa, MHI Kobe; T. Kanekiyo, HITACHI; T. Nakazato, JASRI","Horizontal tests for crab cavities in KEKB",
WEP28,"R. L. Geng, R. Afanador, A. C. Crawford, G. K. Davis, D. Forehand, C. Dreyfus, C. Grenoble, B. Golden, R. Johnson, P. Kushnick, K. Macha, J. Mammosser, J. Saunders, A. Wu, JLab; D. Bice, D. A. Sergatskov, Fermilab","Latest Results of ILC High-Gradient R&D 9-cell Cavities at JLAB",
WEP30,"K. Watanabe, H. Hayano, S. Noguchi, E. Kako, T. Shishido, KEK","New HOM coupler design for ERL injector at KEK",
WEP31,"C. E. Reece, E. F. Daly, J. Henry, W. R. Hicks, J. Preble, H. Wang, G. Wu, JLab","Optimization of the SRF Cavity Design for the CEBAF 12 GeV Upgrade",
WEP32,"C. E. Reece, E. F. Daly, G. K. Davis, M. Drury, W. R. Hicks, J. Preble, H. Wang, JLab","Performance of the CEBAF prototype cryomodule renascence",
WEP33,"P. A. McIntosh, R. Bate, C. D. Beard, M. Cordwell, D. M. Dykes, S. Pattalwar, J. Strachan, E. Wooldridge, STFC Daresbury Laboratory; S. Belomestnykh, M. Liepe, H. Padamsee, Cornell University; A. Buechner, F. Gabriel, P. Michel, FZR Rossendorf; T. Kimura, T. I. Smith, Stanford University; J. Byrd, J. N. Corlett, D. Li, S. Lidia, LBNL","Realisation of a prototype superconducting CW cavity and cryomodule for energy recovery",
WEP34,"Z. G. Zong, J. Gao, H. Sun, F. C. Zhao, M. Q. Ge, J. Gu, Q. J. Xu, J. Z. Zhai, IHEP,  CAS; L. Zhang, L. Q. Liu, ","Research and development of 1.3 GHz low loss cavities made of China large grain at IHEP",
WEP35,"A. Sun, C. Y. Gao, L. P. Zhang, Y. Z. Tang, Y. M. Li, H. S. Kim, Y. -S. Cho, B. -H. Choi, PEFP,  Korea Atomic Energy Research  Institute","RF superconductivity activities of PEFP",
WEP36,"Q. S. Shu, J. Susta, F. H. Lu, I. Phipps, J. L. Shi, AMAC Inc; R. P. Redwine, F. H. Wang, D. Wang, MIT","High current, large aperture, low HOM, single crystal Nb 2.85GHz superconducting cavity",
WEP37,"Q. S. Shu, J. Susta, G. F. Cheng, I. Phipps, AMAC Inc; R. Selim, J. Mast, Christopher  Newport University; P. Kneisel, G. Myneni, JLab; I. Ben-Zvi, Brookhaven National Lab","Nondistructive testing instrument of dished Nb sheets for SRF cavities based on squid technology",
WEP39,"W. J. Ashmanskas, Fermilab; H. Padamsee, Cornell University","Status of ILC cavity processing and testing at Cornell",
WEP40,"G. Martinet, D. Longuevergne, S. Blivet, S. Bousson, F. Chatelet, N. Hammoudi, C. Joly, T. Junquera, J. Lesrel, G. Olry, H. Saugnac, P. Szott, IPN Orsay","Results of beta=0.12 quarter wave resonator for radioactive beams production at SPIRAL2 Facility",
WEP41,"E. Harms, T. Arkan, L. Bellantoni, H. Carter, H. Edwards, M. Foley, I. Gonin, T. Khabiboulline, D. Mitchell, D. Olis, A. Rowe, N. Solyak, Fermilab","Status of 3.9 GHz superconducting RF cavity technology at Fermilab",
WEP42,"G. Burt, A. Dexter, Cockcroft Institute,  Lancaster University; C. Beard, P. Goudket, P. McIntosh, STFC Daresbury Laboratory; L. Bellantoni, Fermilab; T. Grimm, Niowave,  Inc; Z. Li, L. Xiao, SLAC","Status of the ILC crab cavity development",
WEP44,"G. W. Wang, W. M. Pan, Y. Sun, Z. Q. Li, G. Y. Zhao, H. Y. Lin, Y. F. Xu, H. Huang, Q. Ma, B. Xu, Q. Y. Wang, Y. P. Liu, P. Sha, T. M. Huang, R. Liu, R. H. Zeng, IHEP,  CAS; T. Furuya, S. Mitsunobu, K. Akai,  KEK","The construction of the RF system of BEPC II",
WEP45,"T. Saeki, H. Matsumoto, S. Kazakov, F. Furuta, K. Saito, Y. Higashi, T. Higo, H. Inoue, Y. Morozumi, M. Sato, H. Yamaoka, KEK; J. Hong, PAL; J. Zhai, IHEP,  CAS","The first processing of capacitive-coupling coupler at room temperature in a cryomodule at STF",
WEP47,"A. Rowe, D. Assell, L. Elementi, T. Hamerla, S. Reeves, T. Thode, Fermilab","BCP system for the ANL-FNAL SCPF",
WEP48,"K. Sennyu, H. Hara, MHI Kobe; M. Matsuoka, MHI Hyogo","Design and fabrication of superconducting cavities for industrialization",
WEP49,"V. Bookwalter, B. Madre, C. E. Reece, JLab","Flexible application of the JLab pansophy information system for project reports, process monitoring, and R&D sample tracking",
WEP50,"K. Nakanishi, K. Hara, K. Hosoyama, Y. Kojima, S. Mitsunobu, Y. Yamamoto, KEK; K. Okihira, K. Sennyu, MHI Kobe; T. Tanaka, Broad Wireless Corporation","Input Couplers for KEKB Crab Cavities",
WEP51,"T. M. Huang, Q. Ma, W. M. Pan, G. W. Wang, IHEP,  CAS","Some fabrication issues on the spare high power input coupler for BEPCII superconductor cavities",
WEP52,"M. Pekeler, S. Bauer, M. Peiniger, P. vomStein, H. Vogel, ACCEL","SRF activities at ACCEL instruments",
