FR101,"I. Ben-Zvi, Brookhaven National Laboratory","Electron cooling and electron-ion colliders at BNL",
WEP53,"P. Marchand, H. Dias, M. Diop, M. ElAjjouri, J. Labelle, R. Lopes, M. Louvet, C. Monnot, F. Ribeiro, T. Ruan, R. Sreedharan, K. Tavakoli, SOLEIL,  Gif-sur-Yvette; P. Bosland, P. Bredy, C. Madec, CEA/DSM/DAPNIA,  Gif-sur-Yvette","Operation of the SOLEIL RF system",
WEP54,"A. Bechtold, M. Busch, H. Liebermann, H. Podlech, U. Ratzinger, IAP,  J.  W.  Goethe-Universitaet","A tuner for a superconducting CH-prototype cavity",
WEP55,"Y. Morita, K. Akai, T. Furuya, T. Honma, K. Hosoyama, S. Mitsunobu, Y. Yamamoto, KEK","Beam-induced RF modes and RF power in the crab cavity for KEKB",
WEP56,"A. Neumann, J. Knobloch, BESSY","Cavity and linac RF and detuning control simulations",
WEP57,"K. Akai, K. Ebihara, T. Furuya, K. Hara, T. Honma, K. Hosoyama, A. Kabe, Y. Kojima, S. Mitsunobu, Y. Morita, H. Nakai, K. Nakanishi, M. Ono, Y. Yamamoto, KEK","Commissioning and Beam Operation of KEKB Crab RF System",
WEP58,"O. Kugeler, A. Neumann, J. Knobloch, W. Anders, Bessy","Investigation of passive stabilization- and different tuning systems for TESLA cavities with respect to CW operation",
WEP59,"C. -X. Wang, ANL","Conceptual design considerations of a 5-cell dual-axis SRF cavity for ERLs",
WEP60,"E. Montesinos, CERN","Construction and processing of the variable RF power couplers for the LHC superconducting cavities",
WEP61,"P. Pierini, S. Barbanotti, L. Monaco, N. Panzeri, INFN Milano-LASA","Design of the magnetic shield for TRASCO low beta elliptical cavities",
WEP62,"C. E. Reece, E. F. Daly, G. K. Davis, W. R. Hicks, T. Rothgeb, H. L. Phillips, J. Preble, H. Wang, G. Wu, TJNAF","Diagnosis, analysis, and resolution of thermal stability issues with HOM couplers on prototype CEBAF SRF cavities",
WEP65,"E. D. Wang, T. M. Xin, X. Y. Lu, L. M. Yang, L. Lin, S. Jin, K. Zhao, IHIP,  Peking University","Study on the buffered electropolishing Jacquet layers on niobium cavity",
WEP66,"D. Sertore, M. Fusetti, P. Michelato, C. Pagani, INFN Milano-LASA; T. Higo, J. Hong, K. Saito, KEK; G. Ciovati, T. Rothgeb, JLab; A. Matheisen, N. Krupka, DESY","High pressure rinsing system studies",
WEP67,"Z. A. Conway, M. P. Kelly, S. I. Sharamentov, K. W. Shepard, ANL; G. K. Davis, J. Delayen, TJNAF; L. R. Doolittle, LBNL","Low-level RF control of microphonics in superconducting spoke-loaded cavities",
WEP69,"S. Mitsunobu, S. Inagaki, H. Nakanishi, K. Saito, M. Wake, M. Yoshida, KEK; M. Fukutomi, NIMS","MgB2 thin films on Nb cavity by pulse laser deposition",
WEP70,"L. Catani, A. Cianchi, D. DiGiovenale, J. Lorkiewicz, S. Tazzari, INFN Roma; R. Nietubyc, M. J. Sadowski, The Andrzej Soltan Institute for Nuclear Studies; M. Bruchon, B. Visentin, CEA-Saclay; B. Ruggiero, R. Russo, Istituto di Cibernetica del CNR and INFN-Na","Nb coating of copper cavities by UHV cathodic arc",
WEP74,"K. Zapfe, J. Wojtkiewicz, DESY","Particle free pump down and venting of UHV vacuum systems",
WEP76,"A. K. Mitra, K. Fong, R. E. Laxdal, J. Lu, R. Shanks, TRIUMF","Performance of RF amplifiers for ISAC-II medium beta linac operation",
WEP77,"A. Arnold, H. Buettig, D. Janssen, G. Staats, J. Teichert, FZD","Field reconstruction by passband frequency measurement at the Rossendorf SRF-gun cavity",
WEP78,"Q. J. Xu, J. Y. Zhai, C. H. Li, Y. Sun, Z. L. Hou, J. Gao, IHEP,  CAS; T. X. Zhao, L. Y. Xiong, W. H. Lu, Z. G. Zong, L. Q. Liu, L. Zhang, TIPC,  CAS","Design of a 9-cell cavity ILC test cryomodule in CHINA",
WEP79,"I. Shinton, R. M. Jones, University of Manchester/Cockcroft Institute","Scattering matrix calculation of higher order modes and sensitivity to cavity fabrication errors for the ILC superconducting cavities",
WEP80,"C. J. Glasman, R. M. Jones, I. Shinton, The University of Manchester/Cockcroft Institute of Science and Technology; G. Burt, Lancaster University/Cockcroft Institute of Science and Technology","Simulations of transverse higher order deflecting modes in the main linacs of  ILC",
WEP81,"H. Buettig, A. Arnold, A. Buechner, F. Gabriel, P. Michel, R. Schurig, G. Staats, J. Teichert, J. Voigtlander, A. Winter, Reserch Center Dresden-Rossendorf","Tests of air cooled 1.3 GHz waveguide windows using a RF coupler test bench based on a resonant ring",
WEP82,"L. Bian, S. P. Li, Y. P. Liu, IHEP,  CAS","The measurements of static heat loss and unloaded Q0 on the BEPCII SRF cavities",
WEP83,"S. Barbanotti, N. Panzeri, P. Pierini, INFN Milano-LASA; J. L. Biarrotte, S. Bousson, C. Commeaux, E. Rampnoux, M. Souli, IPN Orsay","The prototype cryomodule for the EUROTRANS program",
WEP84,"M. DiGiacomo, B. Ducoudret, P. Baret, J-C. Deroy, GANIL","The test bench for the power amplifiers of the SPIRAL-2 SC linac",
WEP85,"G. Wu, Fermilab; H. Wang, C. E. Reece, R. A. Rimmer, JLab","Waveguide coupler kick to beam bunch and current dependency on SRF cavities",
WEP86,"S. Jin, L. Lin, L. M. Yang, E. D. Wang, T. M. Xin, X. Y. Lu, K. Zhao, IHIP,  Peking University","Niobium sample surface treatment by buffered electropolishing",
