e-04,"S.A. Cherenshchykov, NSC/KIPT, Kharkov","Novel Modes of Vacuum Discharge in Magnetic Field as the Base for Effective Ion Generation",331 335,
e-05,"A. Galatà, L. Bertazzo, L. Boscagli, S. Contran, A. Dainese, A. Facco, A. Lombardi, D. Maniero, M. Poggi, M. Sattin, F. Scarpa, INFN/LNL, Legnaro; T. Kulevoy, ITEP, Moscow","Upgrade and Commissioning of the PIAVE-ALPI ECR Injector at LNL",336 340,
e-06,"M. Cavenago, M. Comunian, E. Fagotti, INFN/LNL, Legnaro; T. Kulevoy, S. Petrenko, ITEP, Moscow; M. Poggi, INFN/LNL, Legnaro","High Current Ion Sources, Beam Diagnostics and Emittance Measurement",341 345,
f-01,"F. Osswald, A. Khouaja, M. Rousseau, CNRS/IN2P3, Strasbourg","A Secondary Radioactive Beam Line for the SPIRAL 2 Project: First Step, the Design Study",346 349,
f-02,"V. Variale, V. Valentino, INFN/BA, Bari; M. Batasova, G.I. Kuznetsov, BINP, Novosibirsk; T. Clauser, A.C. Raino', Bari University INFN/BA, Bari","Hollow Cathode E-Gun for EBIS in Charge Breeding Experiment",350 353,
f-04,"G. Tabacaru, D.P. May, Texas A&M University, College Station; J. Arje, JYFL, Jyväskylä","The Light Ion Guide CB-ECRIS Project at the Texas A&M University Cyclotron Institute",354 356,
fr-01,"L. Dahl, GSI, Darmstadt","The GSI UNILAC Upgrade Program to Meet FAIR Requirements",193 197,
fr-02,"O. Kester, MSU/NSCL, East Lansing; W. Barth, G. Clemente, L. Dahl, P. Gerhard, F. Herfurth, M. Kaiser, H.-J. Kluge, S. Koszudowski, C. Kozhuharov, G. Maero, W. Quint, A. Sokolov, Th. Stöhlker, W. Vinzenz, G. Vorobjev, D. F. A. Winters, GSI, Darmstadt; J. Pfister, U. Ratzinger, A.C. Sauer, A. Schempp, Goethe Universität/IAP, Frankfurt","Status of Construction and Commissioning of the GSI HITRAP Decelerator",198 202,
fr-03,"A.M. Porcellato, L. Boscagli, F. Chiurlotto, M. De Lazzari, D. Giora, S. Stark, F. Stivanello, INFN/LNL, Legnaro","Improved on line performance of the installed ALPI Nb sputtered QWRs",203 207,
fr-04,"E. Fagotti, G. Bassato, A. Battistella, G. Bisoffi, L. Boscagli, S. Canella, D. Carlucci, M. Cavenago, F. Chiurlotto, M. Comunian, A. Facco, M. De Lazzari, A. Galatà, A. Lombardi, P. Modanese, F. Moisio, A. Pisent, M. Poggi, A.M. Porcellato, P. A. Posocco, C. Roncolato, M. Sattin, F. Scarpa, S. Stark, INFN/LNL, Legnaro","Operational Experience in PIAVE-ALPI Complex",208 212,
fr-06,"I. Hofmann, A. Orzhekhovskaya, S. Yaramyshev, GSI, Darmstadt; I. Alber, K. Harres, M. Roth, TU Darmstadt, Darmstadt","Laser Accelerated Ions and Their Potential Use for Therapy Accelerators",213 217,
g-01,"J. L. Baelde, C. Berthe, F. Chautard, F. Lemaire, S. Perret-Gatel, E. Petit, E. Pichot, B. Rannou, J. F. Rozé, G. Sénécal, GANIL, Caen","A New Unit Access Control for GANIL and SPIRAL 2",357 359,
g-02,"L. Perrot, IPNO/IN2P3/CNRS, Orsay; S. Grévy, C. Houarner, R. Hue, C. Marry, GANIL, Caen; S.M. Lukyanov, Yu. Penionzhkevich, JINR, Dubna","Status of the Caviar Detector at LISE-GANIL",360 364,
g-03,"L. Perrot, IPNO/IN2P3/CNRS, Orsay; P. Bertrand, G. Normand, GANIL, Caen; J.L. Biarrotte, IPNO/IN2P3/CNRS, Orsay; D. Uriot, SACM/IRFU/DSM/CEA, Gif-sur-Yvette","HEBT Lines for the SPIRAL2 Facility",365 369,
g-04,"T. Furukawa, T. Inaniwa, S. Sato, N. Saotome, S. Fukuda, T. Shirai, Y. Takei, Y. Iwata, A. Nagano, S. Mori, S. Minohara, T. Murakami, E. Takada, K. Noda, NIRS, Chiba-shi; Y. Iseki, K. Hanawa, N. Kakutani, C. Yamazaki, Y. Kanai, Toshiba, Tokyo; H. Izumiya, Y. Sano, Accelerator Engineering Corp., Chiba","Development of Raster Scanning at NIRS-HIMAC",370 373,
g-05,"G. Zschornack, TU Dresden, Dresden; F. Grossmann, V.P. Ovsyannikov, A. Schwan, F. Ullmann, DREEBIT, Dresden; E. Tanke, P. Urschütz, Siemens AG, Erlangen","Status of Electron Beam Ion Sources for Particle Therapy",374 377,
g-06,"T. Inaniwa, T. Furukawa, S. Sato, S. Mori, N. Kanematsu, K. Noda, NIRS, Chiba; T. Kanai, Gunma University, Maebashi","Developement of Treatment Planning Software for Carbon-Ion Scanning at HIMAC",378 380,
g-07,"H.-T. Shen, X.-G. Wang, S. Jiang, M. He, K.-J. Dong, C.-L. Li, G.-Z. He, S.-L. Wu, J. Gong, L.-Y. Lu, S.-Y. Wu, CIAE, Beijing; S.-Z. Li, D.-W. Zhang, S. Jiang, G.-Z. Shi, C.-T. Huang, Guangxi University, Nanning","Research on Measurement of 126Sn by AMS",381 383,
g-08,"X. Wang, H. Shen, S. Jiang, M. He, K. Dong, C. Li, W. Wang, S. Wu, Y. Bao, X. Guan, Y. Hu, Q. You, CIAE, Beijing; D. Zhang, G. Shi, C. Huang, Guangxi University, Nanning","Accelerator Mass Spectrometry for Long-Lived Heavy Ion 236U at CIAE",384 388,
mo-03,"A. Osa, S. Abe, T. Asozu, S. Hanashima, T. Ishii, N. Ishizaki, H. Kabumoto, K. Kutsukake, M. Matsuda, M. Nakamura, T. Nakanoya, Y. Otokawa, H. Tayama, Y. Tsukihashi, JAEA, Ibaraki; S. Arai, Y. Fuchi, Y. Hirayama, N. Imai, H. Ishiyama, S.C. Jeong, H. Miyatake, K. Niki, M. Okada, M. Oyaizu, Y.X. Watanabe, KEK, Tsukuba","The RI Beams from the Tokai Radioactive Ion Accelerator Complex (TRIAC)",99 98,
mo-06,"D. Rifuggiato, L. Calabretta, L. Celona, F. Chines, L. Cosentino, G. Cuttone, P. Finocchiaro, A. Pappalardo, M. Re, A. Rovelli, INFN/LNS, Catania","Operational Experience with the EXCYT Facility",5 8,
mo-07,"G. Prete, A. Andrighetto, L. Biasetto, F. Gramegna, A. Lombardi, M. Manzolaro, INFN/LNL, Legnaro; L. Calabretta, INFN/LNS, Catania","The SPES project: an ISOL facility for exotic beams",9 11,
mo-08,"M. Manzolaro, A. Andrighetto, L. Biasetto, S. Carturan, M. Libralato, G. Prete, D. Scarpa, INFN/LNL, Legnaro; P. Colombo, G. Meneghetti, Padova University/Dept. Mech. Eng., Padova; P. Zanonato, Padova University/Dept. Chem., Padova; P. Benetti, Pavia University/Dept. Chem., Pavia; I. Cristofolini, B. Monelli, Trento University/Dept. Mech. Eng., Trento; M. Guerzoni, INFN/BO, Bologna","The SPES project: Research and Development for the Multi-Foil Direct Target",12 15,
mo-10,"K. Yamada, T. Dantsuka, M. Fujimaki, T. Fujinawa, N. Fukunishi, A. Goto, H. Hasebe, Y. Higurashi, E. Ikezawa, O. Kamigaito, M. Kase, M. Kobayashi Komiyama, H. Kuboki, K. Kumagai, T. Maie, M. Nagase, T. Nakagawa, J. Ohnishi, H. Okuno, N. Sakamoto, Y. Sato, K. Suda, M. Wakasugi, H. Watanabe, T. Watanabe, Y. Watanabe, Y. Yano, S. Yokouchi, RIKEN, Wako, Saitama","Progress on the Commissioning of Radioactive Isotope Beam Factory at RIKEN Nishina Center",16 20,
