FR101,"Simon Yu (LBNL)","Overview of International Heavy Ion Fusion Experiments",,"heavy-ion, space-charge-dominated-beams, experiments"
MO421,"R. W. Garnett, F. L. Krawczyk, R. L. Wood, and D. L. Schrage (LANL)","RF-Focused Spoke Resonator",,"acceleration, rf-structure, superconducting-rf"
MO422,"Dong-o Jeon, S. Assadi (ORNL), J. Stovall (LANL)","A Technique to Transversely Match High Intensity Linac Using Only RMS Beam Size from Wire-Scanners",,"transverse-match, wire-scanners, space-charge, high-intensity-linac"
MO423,"M. Okamura, T. Takeuchi, T. Katayama, R. A. Jameson (RIKEN), T. Hattori, H. Kashiwagi (TITech)","Direct Injection Scheme for RFQ Linac",,"plasma, space-charge, radio-frequency-quadrupole, laser, injection"
MO427,"L. Rinolfi (CERN), T. Kamitani (KEK)","The CLIC Positron Production Scheme",,"beam-dynamics, positron, target"
MO428,"F. Le Pimpec, S. Adiga, F. Asiri, G. Bowden, D. Dell'Orco, E. Doyle, B. McKee, A. Seryi (SLAC)","Vibrational Stability of NLC Linac and Final Focus Components",,"vibration, cooling-water, NLC, rf-structure"
MO429,"Yujong Kim, T. Shintake, H. Kitamura (RIKEN/SPring-8), H. Matsumoto (KEK)","Bunch Compressor for SPring-8 Compact SASE Source",,"bunch-compressor, SASE-FEL, coherent-synchrotron-radiation, microbunching, SCSS"
MO430,"Yujong Kim, T. Shintake, K. Togawa, H. Kitamura (RIKEN), H. Matsumoto (KEK), K. Swada (SHI), K. Floettmann (DESY)","Injector Layout Optimization for The Phase-I Stage of The SPring-8 Compact SASE Source (SCSS) Project",,"space-charge, injector-system, SASE-FEL, SCSS, ASTRA, PARMELA"
MO432,"A. K. Mitra, P. J. Bricault, I. V. Bylinskii, K. Fong, G. Dutto, R. E. Laxdal, and R. L. Poirier (TRIUMF)","RF Test and Commissioning of The Radio Frequency Structures of The TRIUMF ISAC I Facility",,"rf-structure, radio-frequncy-quadrupole, DTL, cw-mode, linac"
MO433,"K. Hanke, A. Lombardi (CERN)","Design of A High-Intensity RFQ for A Possible LHC Laser Ion Source",,"radio-frequency-quadrupole, longitudinal-dynamics, space-charge, heavy-ion"
MO434,"R. Corsini, D. Schulte (CERN)","Beam Transverse Stability in The CLIC Combiner Rings",,"rf-structure, wakefield, lattice, linear-collider, transverse-dynamics"
MO435,"A. Novikov-Borodin (INR)","Nanosecond Microstructure Creation of The Low Energy Negative Ion Beam",,"bunching/chopping, space-charge"
