FROA001,"P.H. Bucksbaum, Michigan University, Ann Arbor, Michigan","What to Do with Femtosecond Pulses?",
MOPP008,"A. Meseck, J. Bahrdt, BESSY GmbH, Berlin","Tolerance Studies of a Seeded REVOLVER-Undulator FEL",
MOPP010,"E. Saldin, E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","Properties of the Third Harmonic of the SASE FEL Radiation",
MOPP011,"M.-E. Couprie, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; B. Carre, CEA/Saclay, Gif-sur-Yvette; O.V. Chubar, SOLEIL, Gif-sur-Yvette; D. Garzella, CEA/Saclay, Gif-sur-Yvette; M. Jablonka, CEA/DSM/DAPNIA, Gif-sur-Yvette; M. LABAT, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; G. Lambert, CEA/Saclay, Gif-sur-Yvette; A. Loulergue, SOLEIL, Gif-sur-Yvette; J.-R. Marques, LULI, Palaiseaux; F. Meot, CEA/DSM/DAPNIA, Gif-sur-Yvette; P. Monot, CEA/DSM, Gif-sur-Yvette; A. Mosnier, CEA/DSM/DAPNIA, Gif-sur-Yvette; L. Nahon, SOLEIL, Gif-sur-Yvette; J.-M. Ortega, LURE, Orsay; A. Rousse, LOA, Palaiseau","The ARC-EN-CIEL FEL Proposal",
MOPP012,"G. Lambert, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette","Seeding the FEL of the SCSS Phase 1 Facility with the 13th Laser Harmonic of a Ti:Sa Laser Produced in Xe Gas",
MOPP013,"G. De Ninno, ELETTRA, Basovizza, Trieste; W.M. Fawley, LBNL, Berkeley, California; W. Graves, MIT, Middleton, Massachusetts","Optimization Studies of the FERMI at ELETTRA FEL Design",
MOPP014,"L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); D. Alesini, M.E. Biagini, INFN/LNF, Frascati (Roma); M. Bougeard, CEA/Saclay, Gif-sur-Yvette; M.C. Carpanese, ENEA C.R. Frascati, Frascati (Roma); B. Carre, CEA/Saclay, Gif-sur-Yvette; F. Ciocci, ENEA C.R. Frascati, Frascati (Roma); M.-E. Couprie, CEA/Saclay, Gif-sur-Yvette; G. Dattoli, A. Dipace, A. Doria, ENEA C.R. Frascati, Frascati (Roma); A. Drago, M. Ferrario, V. Fusco, INFN/LNF, Frascati (Roma); G.P. Gallerano, ENEA C.R. Frascati, Frascati (Roma); D. Garzella, CEA/Saclay, Gif-sur-Yvette; A. Ghigo, INFN/LNF, Frascati (Roma); E. Giovenale, ENEA C.R. Frascati, Frascati (Roma); M. LABAT, G. Lambert, CEA/Saclay, Gif-sur-Yvette; M. Mattioli, Universita di Roma I La Sapienza, Roma; H. Merdji, CEA/Saclay, Gif-sur-Yvette; M. Migliorati, Rome University La Sapienza, Roma; P. Musumeci, Universita di Roma I La Sapienza, Roma; M. Nisoli, Politecnico/Milano, Milano; L. Palumbo, Rome University La Sapienza, Roma; G. Parisi, ENEA C.R. Frascati, Frascati (Roma); M. Petrarca, Universita di Roma I La Sapienza, Roma; L. P. Poletto, Univ. degli Studi di Padova, Padova; M. Quattromini, A. Renieri, C. Ronsivalle, E. Sabia, ENEA C.R. Frascati, Frascati (Roma); P. Salieres, CEA/Saclay, Gif-sur-Yvette; S. Spampinati, I.P. Spassovsky, ENEA C.R. Frascati, Frascati (Roma); B. Spataro, INFN/LNF, Frascati (Roma); S. Stagira, Politecnico/Milano, Milano; G. T. Tondello, Univ. degli Studi di Padova, Padova; C. Vaccarezza, C. Vicario, INFN/LNF, Frascati (Roma); S. de Silvestri, Politecnico/Milano, Milano","Status of the Seeding Experiment at SPARC",
MOPP015,"M. Boscolo, M. Ferrario, V. Fusco, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); M. Migliorati, L. Palumbo, Rome University La Sapienza, Roma; M. Quattromini, C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); L. Serafini, INFN-Milano, Milano; B. Spataro, C. Vaccarezza, INFN/LNF, Frascati (Roma)","Beam Dynamics Studies for the SPARXINO Linac",
MOPP016,"R. Bonifacio, R. Bonifacio, Universidade Federal de Alagoas, Maceio; M. Ferrario, INFN/LNF, Frascati (Roma); N. Piovella, Universita' degli Studi di Milano, MILANO; G.R.M. Robb, Strathclyde University, Glasgow; A. Schiavi, Rome University La Sapienza, Roma; L. Serafini, INFN-Milano, Milano","Quantum SASE FEL with a Laser Wiggler",
MOPP017,"A. Gover, E. Dyunin, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv","Velocity Shot-Noise Contribution and Collective Effects in SASE-FEL Radiation",
MOPP018,"T. Tanaka, RIKEN Spring-8, Hyogo; Y. Asano, JAEA, Ibaraki-ken; H. Baba, T. Bizen, Z. Chao, H. Ego, S. Eguchi, JASRI/SPring-8, Hyogo; T. Fukui, Kyoto IAE, Kyoto; S. Goto, JASRI/SPring-8, Hyogo; T. Hara, RIKEN Spring-8 Harima, Hyogo; T. Inagaki, S. Inoue, JASRI/SPring-8, Hyogo; T. Ishikawa, RIKEN Spring-8 Harima, Hyogo; D. Iwaki, K. Kase, Y. Kawashima, H. Kimura, JASRI/SPring-8, Hyogo; H. Kitamura, RIKEN Spring-8 Harima, Hyogo; S. Kojima, T. Kudo, N. Kumagai, X. Marechal, S. Matsui, JASRI/SPring-8, Hyogo; H. Matsumoto, KEK, Ibaraki; T. Ohata, K. Onoe, Y. Otake, T. Seike, JASRI/SPring-8, Hyogo; T. Shintake, RIKEN Spring-8 Harima, Hyogo; K. Shirasawa, N. Shusuke, T. Takagi, JASRI/SPring-8, Hyogo; S. Takahashi, LNS, Sendai; T. Takashima, K. Tamasaku, R. Tanaka, K. Togawa, R. Tsuru, S. Wu, M. Yabashi, S. Yoshihiro, JASRI/SPring-8, Hyogo","Status of Ramp;D for SCSS Project",
