FROA001,"P.H. Bucksbaum, Michigan University, Ann Arbor, Michigan","What to Do with Femtosecond Pulses?",
THOA003,"S. Reiche, C. Joshi, C. Pellegrini, J.B. Rosenzweig, UCLA, Los Angeles, California; G. Shvets, The University of Texas at Austin, Austin, Texas; S. Tochitsky, UCLA, Los Angeles, California","Feasibility Study of a Beat-Wave Seeded THz FEL at the Neptune Laboratory",
THOA004,"B.W. Adams, ANL, Argonne, Illinois","Femtosecond Synchronism of X-Rays to Visible Light in an XFEL",
THOA005,"B.W.J. McNeil, Strathclyde University, Glasgow; M.W. Poole, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; G.R.M. Robb, Strathclyde University, Glasgow; N. Thompson, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Harmonic Lasing in an FEL Amplifier",
THOA006,"C. Pellegrini, UCLA, Los Angeles, California; V.A. Dolgashev, C.D. Nantista, SLAC, Menlo Park, California; J.B. Rosenzweig, UCLA, Los Angeles, California; S.G. Tantawi, SLAC, Menlo Park, California; G. Travish, UCLA, Los Angeles, California","A Coherent Compton Backscattering High Gain FEL using an X-Band Microwave Undulator",
THOB001,"G. Dattoli, A. Renieri, ENEA C.R. Frascati, Frascati (Roma)","Review of Existing Soft and Hard X-Ray FEL Projects",
THOB002,"D.A. Reis, Michigan University, Ann Arbor, Michigan","Recent Results from SPPS, Including Pump-Probe Timing Measurements",
THOB003,"R.M. Bionta, LLNL, Livermore, California","Characterization of X-Ray FEL Radiation",
THOC001,"Z. Huang, SLAC, Menlo Park, California","Recent Progress in High-Gain FEL Theory",
THOC002,"R. Bonifacio, R. Bonifacio, Universidade Federal de Alagoas, Maceio; N. Piovella, Universita' degli Studi di Milano, MILANO; G.R.M. Robb, Strathclyde University, Glasgow","Quantum Theory of SASE-FEL with Propagation Effects",
THOC003,"A. Gover, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv","Schemes of Superradiant Emission from Electron Beams and quot;Spin-Flip Emission of Radiationquot;",
THOC004,"C.A. Brau, H.L. Andrews, C.H. Boulware, J.D. Jarvis, Vanderbilt University, Nashville, Tennessee","Effect of Losses on the Gain and Start Current in Smith-Purcell Free-Electron Lasers",
THOC005,"G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); P.L. Ottaviani, S. Pagnutti, ENEA-Bologna, Bologna; A. Renieri, ENEA C.R. Frascati, Frascati (Roma)","High Gain FEL Oscillators: Inclusion of Pulse Propagation Effects",
THPP001,"D. Garzella, CEA/Saclay, Gif-sur-Yvette; C. Bruni, PhLAM/CERCLA, Villeneuve d'Ascq Cedex; M.-E. Couprie, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; G. De Ninno, B. Diviacco, M. Marsi, M. Trovo, ELETTRA, Basovizza, Trieste","SRFEL Linewidth Narrowing in the Ultraviolet",
THPP002,"M. LABAT, M.-E. Couprie, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; M. Hosaka, M. Katoh, A. Mochihashi, UVSOR, Okazaki; Y. Takashima, Nagoya University Graduate School of Engineering, Nagoya","Detuning Curve Analysis on the UVSOR2 Free-Electron Laser",
THPP004,"S. Bielawski, PhLAM/CERCLA, Villeneuve d'Ascq Cedex; M.-E. Couprie, CEA/Saclay, Gif-sur-Yvette; M. Hosaka, M. Katoh, UVSOR, Okazaki; M. LABAT, G. Lambert, CEA/Saclay, Gif-sur-Yvette; A. Mochihashi, UVSOR, Okazaki; C. Szwaj, PhLAM/CERCLA, Villeneuve d'Ascq Cedex; Y. Takashima, Nagoya University Graduate School of Engineering, Nagoya","Remaining Dynamics in SR-FELs Stabilized by Feedback Control: Modeling of the Field Evolution and Experiments at UVSOR",
THPP005,"E. Allaria, ELETTRA, Basovizza, Trieste; A. Antoniazzi, Universita di Firenze, Florence; F.T. Arecchi, UNIFI, Sesto Fiorentino (FI); G. De Ninno, ELETTRA, Basovizza, Trieste; D. Fanelli, Universita di Firenze, Florence; R. Meucci, INOA, Firenze","Stabilization of the Elettra Storage-Ring Free-Electron Laser through a Delayed Feedback Control Method",
THPP006,"F. Curbis, F. Curbis, Universita degli Studi di Trieste, Trieste; G. De Ninno, ELETTRA, Basovizza, Trieste","Coherent Harmonic Generation using the Elettra Storage-Ring Optical Klystron: A Numerical Analysis",
THPP007,"G. De Ninno, ELETTRA, Basovizza, Trieste; A. Antoniazzi, Universita di Firenze, Florence; B. Diviacco, ELETTRA, Basovizza, Trieste; D. Fanelli, Universita di Firenze, Florence; R. Meucci, INOA, Firenze; M. Trovo, ELETTRA, Basovizza, Trieste","Stabilization of the Elettra Storage-Ring Free-Electron Laser using a Derivative Feedback",
THPP008,"K. Hayakawa, Y. Hayakawa, K. Nakao, K. Nogami, T. Sakai, I. Sato, T. Tanaka, LEBRA, Funabashi","Power Intensification of LEBRA FEL by RF Phase Modulation",
THPP009,"M. Hosaka, UVSOR, Okazaki; S. Bielawski, PhLAM/CERCLA, Villeneuve d'Ascq Cedex; M.-E. Couprie, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; M. Katoh, A. Mochihashi, UVSOR, Okazaki; C. Szwaj, PhLAM/CERCLA, Villeneuve d'Ascq Cedex; Y. Takashima, Nagoya University Graduate School of Engineering, Nagoya","Recent Research Activities of the UVSOR-FEL",
THPP010,"H. Yamada, SLLS, Shiga","On the Exact Circular Tabletop Synchrotron for the Photon Storage Ring",
THPP011,"H. Ogawa, N. Sei, K.W. Watanabe, K. Y. Yamada, M.Y. Yasumoto, AIST, Tsukuba, Ibaraki","Real-Time Observation of Surface Chemical Reactions with FEL-Induced Photoelectron Emission Microscopy",
THPP012,"N. Sei, H. Ogawa, K.W. Watanabe, K. Y. Yamada, M.Y. Yasumoto, AIST, Tsukuba, Ibaraki","Recent Progress of the NIJI-IV VUV/IR FEL",
THPP013,"G. De Ninno, E. Allaria, ELETTRA, Basovizza, Trieste; M. Coreno, CNR - IMIP, Trieste; F. Curbis, M.B. Danailov, B. Diviacco, ELETTRA, Basovizza, Trieste; S. Günster, Laser Zentrum Hannover, Hannover; M. Marsi, ELETTRA, Basovizza, Trieste; D. Ristau, Laser Zentrum Hannover, Hannover; M. Trovo, ELETTRA, Basovizza, Trieste","Operation of the European FEL at ELETTRA Below 190 nm: A Tunable Laser Source for VUV Spectroscopy",
THPP014,"A.A. Shcherbakov, NSC/KIPT, Kharkov; A. Agafonov, LPI, Moscow; V.P. Androsov, NSC/KIPT, Kharkov; J.I.M. Botman, TUE, Eindhoven; E.V. Bulyak, A. Dovbnya, I.V. Drebot, P. Gladkikh, V.A. Grevtsev, Yu.N. Grigor'ev, A. Gvozd, V.A. Ivashchenko, I.M. Karnaukhov, V.P. Kozin, V. Lapshin, NSC/KIPT, Kharkov; A.N. Lebedev, LPI, Moscow; V.P. Lyashchenko, V. Markov, N.I. Mocheshnikov, V.B. Molodkin, A. Mytsykov, I.M. Necklyudov, F.A. Peev, A.V. Rezaev, A. Shpak, V.L. Skirda, V. Skomorokhov, NSC/KIPT, Kharkov; R. Tatchyn, SLAC, Menlo Park, California; Y.N. Telegin, V.I. Trotsenko, A.Y. Zelinsky, O.D. Zvonarjova, N. kovalyova, NSC/KIPT, Kharkov","Progress in Development of Kharkov X-Ray Generator Nestor",
THPP015,"P.P. Crooker, R.L. Armstead, J. Blau, O.E. Bowlin, W.B. Colson, R. Vigil, T. Voughs, B.W. Williams, NPS, Monterey, California","Vibration Effects in Short-Rayleigh Length FELs",
THPP016,"K.S.B. Li, A. Adelmann, A. Anghel, R.J. Bakker, M. Boge, A.E. Candel, M. Dehler, R. Ganter, C. Gough, G. Ingold, S.C. Leemann, M. Pedrozzi, J.-Y. Raguin, L. Rivkin, V. Schlott, A. Streun, A. Wrulich, PSI, Villigen","Low Emittance X-FEL Development",
THPP018,"M.B. Danailov, ELETTRA, Basovizza, Trieste; F.O. Ilday, F.X. Kaertner, MIT, Cambridge, Massachusetts","Integrated Design of Laser Systems for a FEL User Facility",
THPP019,"L. Palumbo, Rome University La Sapienza, Roma; D. Alesini, INFN/LNF, Frascati (Roma); F. Alessandria, A. Bacci, INFN/LASA, Segrate (MI); M. Bellaveglia, S. Bertolucci, M.E. Biagini, R. Boni, M. Boscolo, INFN/LNF, Frascati (Roma); F. Broggi, INFN-Milano, Milano; M. Castellano, INFN/LNF, Frascati (Roma); L. Catani, E. Chiadroni, INFN-Roma II, Roma; S. Cialdi, INFN-Milano, Milano; A. Cianchi, INFN-Roma II, Roma; F. Ciocci, ENEA C.R. Frascati, Frascati (Roma); A. Clozza, INFN/LNF, Frascati (Roma); G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); C. De Martinis, INFN-Milano, Milano; G. Di Pirro, INFN/LNF, Frascati (Roma); A. Doria, ENEA C.R. Frascati, Frascati (Roma); A. Drago, INFN/LNF, Frascati (Roma); P. Emma, SLAC, Menlo Park, California; A. Esposito, M. Ferrario, D. Filippetto, INFN/LNF, Frascati (Roma); F. Flora, ENEA C.R. Frascati, Frascati (Roma); V. Fusco, INFN/LNF, Frascati (Roma); G.P. Gallerano, ENEA C.R. Frascati, Frascati (Roma); A. Gallo, A. Ghigo, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); D. Giove, INFN-Milano, Milano; E. Giovenale, ENEA C.R. Frascati, Frascati (Roma); S. Guiducci, INFN/LNF, Frascati (Roma); C. Maroli, INFN-Milano, Milano; M. Mattioli, Universita di Roma I La Sapienza, Roma; M. Mauri, INFN-Milano, Milano; G. Messina, ENEA C.R. Frascati, Frascati (Roma); M. Migliorati, A. Mostacci, INFN/LNF, Frascati (Roma); P. Musumeci, INFN-Roma, Roma; P.L. Ottaviani, G. Parisi, ENEA C.R. Frascati, Frascati (Roma); L. Pellegrino, INFN/LNF, Frascati (Roma); V. Petrillo, INFN-Milano, Milano; L. Picardi, ENEA C.R. Frascati, Frascati (Roma); M.A. Preger, INFN/LNF, Frascati (Roma); M. Quattromini, ENEA C.R. Frascati, Frascati (Roma); S. Reiche, UCLA, Los Angeles, California; A. Renieri, ENEA C.R. Frascati, Frascati (Roma); M. Rome, INFN-Milano, Milano; C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); J.B. Rosenzweig, UCLA, Los Angeles, California; C. Sanelli, INFN/LNF, Frascati (Roma); C. Schaerf, INFN-Roma II, Roma; L. Serafini, INFN-Milano, Milano; M. Serio, F. Sgamma, B. Spataro, A. Stella, F. Tazzioli, C. Vaccarezza, M. Vescovi, C. Vicario, INFN/LNF, Frascati (Roma)","Status of the SPARX FEL Project",
THPP020,"S.-H. Park, Y. Cha, Y.U. Jeong, B.C. Lee, K. Lee, KAERI, Daejon; S.V. Miginsky, BINP SB RAS, Novosibirsk","Compton X-Ray Generation at the KAERI SC RF LINAC",
THPP021,"H.-S. Kang, J. Choi, T.-Y. Lee, PAL, Pohang, Kyungbuk","Issue of Energy Spread and Transverse Coherency of PAL-XFEL",
THPP022,"E.-S. Kim, PAL, Pohang, Kyungbuk","Control of Emittance and Energy Spread in the PAL-XFEL",
THPP023,"E.-S. Kim, Y.J. Han, J.Y. Huang, S.J. Park, PAL, Pohang, Kyungbuk","Effects of Longitudinal Space Charge Wake at PAL-XFEL",
THPP024,"T.-Y. Lee, J. Choi, H.-S. Kang, PAL, Pohang, Kyungbuk","Study of PAL-XFEL Wake Field Effects with the Genesis Code",
THPP025,"B.W.J. McNeil, Strathclyde University, Glasgow; C. Gerth, DESY, Hamburg; J.K. Jones, M.W. Poole, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; G.R.M. Robb, Strathclyde University, Glasgow; N. Thompson, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Design Considerations for the 4GLS XUV-FEL",
THPP026,"A.E. Charman, UCB, Berkeley, California; G. Penn, LBNL, Berkeley, California; J.S. Wurtele, UCB, Berkeley, California","A Variational Principle for Spontaneous Wiggler Radiation with Applications to Harmonic-Cascade Radiation",
THPP027,"K.L.F. Bane, P. Emma, SLAC, Menlo Park, California; W.M. Fawley, LBNL, Berkeley, California; Z. Huang, H.-D. Nuhn, SLAC, Menlo Park, California; S. Reiche, UCLA, Los Angeles, California; G.V. Stupakov, SLAC, Menlo Park, California","LCLS X-Ray FEL Output Performance in the Presence of Highly Time-Dependent Undulator Wakefields",
THPP028,"J. Wu, Z. Huang, SLAC, Menlo Park, California","Feasibility Study of an HGHG X-Ray FEL at the LCLS",
THPP029,"H. Delsim-Hashemi, O. Grimm, J. Rossbach, H. Schlarb, B. Schmidt, P. Schmuser, DESY, Hamburg; A.F.G. van der Meer, FOM Rijnhuizen, Nieuwegein","Broadband Single Shot Spectrometer",
THPP030,"Y. Kim, K. Floettmann, S. Schreiber, DESY, Hamburg; D. Son, CHEP, Daegu","Commissioning of TTF2 Bunch Compressors for Generation of 20 Femtosecond SASE Source",
THPP031,"K. Lee, Y. Cha, Y.U. Jeong, B.C. Lee, S.-H. Park, KAERI, Daejon","Generation of Attosecond X-Ray Pulse through Coherent Relativistic Nonlinear Thomson Scattering",
THPP032,"T. Watanabe, BNL, Upton, Long Island, New York; L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); D.F.L. Liu, J.B. Murphy, BNL, Upton, Long Island, New York; P. Musumeci, Universita di Roma I La Sapienza, Roma; S. Reiche, UCLA, Los Angeles, California; J. Rose, T.V. Shaftan, Y. Shen, BNL, Upton, Long Island, New York; S. Spampinati, ENEA C.R. Frascati, Frascati (Roma); T. Tsang, X.J. Wang, L.-H. Yu, BNL, Upton, Long Island, New York","An Experimental Test of Superradiance in a Single Pass Seeded FEL",
THPP033,"T. Kamps, V. Duerr, BESSY GmbH, Berlin; P. Evtushenko, Jefferson Lab, Newport News, Virginia; K. Goldammer, D. Kraemer, P. Kuske, J. Kuszynski, BESSY GmbH, Berlin; U. Lehnert, FZR, Dresden; D. Lipka, F. Marhauser, BESSY GmbH, Berlin; P. Michel, FZR, Dresden; T. Quast, R. Richter, BESSY GmbH, Berlin; J. Teichert, FZR, Dresden; I. Will, MBI, Berlin","Diagnostics Beamline for the SRF Gun Project",
THPP034,"J. Teichert, A. Arnold, H. Buettig, D. Janssen, FZR, Dresden; T. Kamps, BESSY GmbH, Berlin; W.-D. Lehmann, IfE, Dresden; U. Lehnert, FZR, Dresden; D. Lipka, F. Marhauser, BESSY GmbH, Berlin; P. Michel, K. Moeller, P. Murcek, Ch. Schneider, R. Schurig, F. Staufenbiel, FZR, Dresden; J. Stephan, IKST, Drsden; V. Volkov, BINP SB RAS, Novosibirsk; I. Will, MBI, Berlin; R. Xiang, FZR, Dresden","Progress of the Rossendorf SRF Gun Project",
THPP035,"M. Huening, A. Bolzmann, DESY, Hamburg; J.C. Frisch, D.J. McCormick, M.C. Ross, SLAC, Menlo Park, California; J. Rossbach, Uni HH, Hamburg; H. Schlarb, DESY, Hamburg; T.J. Smith, SLAC, Menlo Park, California","Observation of Femtosecond Bunch Length Using a Transverse Deflecting Structure",
THPP036,"M. Roehrs, A. Bolzmann, DESY, Hamburg; K. Honkavaara, Uni HH, Hamburg; M. Huening, H. Schlarb, DESY, Hamburg","Measurement of Slice-Emmittance using Transverse Deflecting Structure",
THPP037,"Y. Kim, K. Floettmann, S. Schreiber, DESY, Hamburg","First Experimental Demonstration of Ferrario's Matching Principle in TTF2 Booster Linac",
THPP038,"S. Schreiber, DESY, Hamburg","The Injector of the VUV-FEL at DESY",
THPP039,"B. Steffen, S. Casalbuoni, E.-A. Knabbe, B. Schmidt, DESY, Hamburg; P. Schmuser, A. Winter, Uni HH, Hamburg","Spectral Decoding Electro Optic Bunch Length and Arrival Time Jitter Measurements at the DESY VUV-FEL",
THPP040,"J.R. Roensch, Uni HH, Hamburg; K. Abrahamyan, G. Asova, J.W. Baehr, G. Dimitrov, H.-J. Grabosch, J.H. Han, DESY Zeuthen, Zeuthen; M.V. Hartrott, BESSY GmbH, Berlin; S. Khodyachykh, M. Krasilnikov, DESY Zeuthen, Zeuthen; D. Lipka, BESSY GmbH, Berlin; S. Liu, V. Miltchev, A. Oppelt, B. Petrosyan, S. Riemann, DESY Zeuthen, Zeuthen; J. Rossbach, Uni HH, Hamburg; L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Longitudinal Phase Space Studies at PITZ",
THPP041,"V. Miltchev, DESY Zeuthen, Zeuthen","Modelling the Transverse Phase Space and Core Emittance Studies at PITZ",
THPP042,"V. Miltchev, J.W. Baehr, H.-J. Grabosch, J.H. Han, DESY Zeuthen, Zeuthen; M.V. Hartrott, BESSY GmbH, Berlin; M. Krasilnikov, A. Oppelt, B. Petrosyan, L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Measurements of Thermal Emittance for Cesium Telluride Photocathodes at PITZ",
THPP043,"A. Oppelt, K. Abrahamyan, DESY Zeuthen, Zeuthen; W. Ackermann, TEMF, Darmstadt; D. Alesini, INFN/LNF, Frascati (Roma); G. Asova, J.W. Baehr, DESY Zeuthen, Zeuthen; V. Boccone, Humboldt Universitaet zu Berlin, Berlin; M. Boscolo, INFN/LNF, Frascati (Roma); L. Catani, E. Chiadroni, A. Cianchi, INFN-Roma II, Roma; G. Di Pirro, INFN/LNF, Frascati (Roma); G. Dimitrov, DESY Zeuthen, Zeuthen; M. Ferrario, D. Filippetto, INFN/LNF, Frascati (Roma); K. Floettmann, DESY, Hamburg; T. Garvey, LAL, Orsay; U. Gensch, H.-J. Grabosch, J.H. Han, DESY Zeuthen, Zeuthen; M.V. Hartrott, E. Jaeschke, BESSY GmbH, Berlin; S. Khodyachykh, G. Klemz, DESY Zeuthen, Zeuthen; D. Kraemer, BESSY GmbH, Berlin; M. Krasilnikov, DESY Zeuthen, Zeuthen; D. Lipka, BESSY GmbH, Berlin; S. Liu, DESY Zeuthen, Zeuthen; F. Marhauser, BESSY GmbH, Berlin; P. Michelato, INFN/LASA, Segrate (MI); V. Miltchev, DESY Zeuthen, Zeuthen; L. Monaco, INFN/LASA, Segrate (MI); W.F.O. Muller, TEMF, Darmstadt; C. Pagani, INFN/LASA, Segrate (MI); L. Palumbo, INFN/LNF, Frascati (Roma); V.V. Paramonov, RAS/INR, Moscow; N. Pavel, Humboldt University Berlin, Institut fuer Physik, Berlin; B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Riemann, DESY Zeuthen, Zeuthen; J.R. Roensch, J. Rossbach, Uni HH, Hamburg; W. Sandner, MBI, Berlin; S. Schnepp, TEMF, Darmstadt; S. Schreiber, DESY, Hamburg; D. Sertore, INFN/LASA, Segrate (MI); L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen; I. Tsakov, INRNE, Sofia; C. Vicario, INFN/LNF, Frascati (Roma); T. Weiland, TEMF, Darmstadt; I. Will, MBI, Berlin","Status and First Results from the Upgraded PITZ Facility",
THPP044,"P. Craievich, S. Di Mitri, ELETTRA, Basovizza, Trieste","Emittance Growth due to Short-Range Transverse Wakefields in the FERMI Linac",
THPP045,"J.P. Dai, IHEP, Beijing","Design Study of Beijing XFEL Test Facility",
THPP046,"F. Banfi, Universita Cattolica-Brescia, Brescia; J.N. Corlett, LBNL, Berkeley, California; G. Ferrini, P.G. Galimberti, C. Giannetti, Universita Cattolica-Brescia, Brescia; S.M. Lidia, LBNL, Berkeley, California; S. Pagliara, F. Parmigiani, E. Pedersoli, Universita Cattolica-Brescia, Brescia; B. Ressel, ELETTRA, Basovizza, Trieste","Monte Carlo Transverse Emittance Study on Cs2Te",
THPP047,"F. Banfi, Universita Cattolica-Brescia, Brescia; J.N. Corlett, LBNL, Berkeley, California; G. Ferrini, P.G. Galimberti, C. Giannetti, Universita Cattolica-Brescia, Brescia; S.M. Lidia, LBNL, Berkeley, California; S. Pagliara, F. Parmigiani, E. Pedersoli, Universita Cattolica-Brescia, Brescia; B. Ressel, ELETTRA, Basovizza, Trieste","Quantum Efficiency Measurements of Femtosecond Vectorial Photoemission on Cu Photocathodes",
THPP048,"G.L. Orlandi, ENEA C.R. Frascati, Frascati (Roma)","Spatial Coherence Effects in the Transition Radiation Spectrum for Relativistic Charged Beams: Theoretical Results and Beam Diagnostics Implications",
THPP049,"V. Petrillo, Universita' degli Studi di Milano, MILANO; A. Bacci, INFN-Milano, Milano; M. Ferrario, INFN/LNF, Frascati (Roma); C. Maroli, Universita' degli Studi di Milano, MILANO; L. Serafini, INFN-Milano, Milano","Collective Effects in the Thomson Back-Scattering between a Laser Pulse and a Relativistic Electron Beam",
THPP050,"T. Kii, T. Fukui, K. Kusukame, K. Masuda, Y. Nakai, H. Ohgaki, T. Yamazaki, K. Yoshikawa, H. Zen, Kyoto IAE, Kyoto","Electron Beam Energy Compensation by Controlling RF Pulse Shape",
THPP051,"K. Kusukame, T. Fukui, T. Kii, K. Masuda, Y. Nakai, H. Ohgaki, T. Yamazaki, K. Yoshikawa, H. Zen, Kyoto IAE, Kyoto","Particle Simulations of a Thermionic RF Gun with Gridded Triode Structure for Reduction of Back-Bombardment",
THPP052,"H. Zen, T. Fukui, T. Kii, K. Kusukame, K. Masuda, Y. Nakai, H. Ohgaki, T. Yamazaki, K. Yoshikawa, Kyoto IAE, Kyoto","Quantitative Evaluation of Transverse Phase Space Tomography",
THPP053,"R. Kuroda, AIST, Tsukuba, Ibaraki; H. Hayano, KEK, Ibaraki; K. Hidume, RISE, Tokyo; S. Kashiwagi, ISIR, Osaka; M. Kawaguchi, S. Minamiguchi, R. Moriyama, T. Saito, K. Sakaue, RISE, Tokyo; J.U. Urakawa, KEK, Ibaraki; M. Washio, RISE, Tokyo","Beam Diagnostics for Laser Undulator Based on Compton Backward Scattering",
THPP054,"S.J. Park, J.Y. Huang, PAL, Pohang, Kyungbuk; C. Kim, POSTECH, Pohang, Kyungbuk; I.S. Ko, J.-S. Oh, Y.W. Parc, P.C.D. Park, J.H. Park, PAL, Pohang, Kyungbuk; X.J. Wang, BNL, Upton, Long Island, New York; D. Xiang, TUB, Beijing","Physics and Engineering Issues of PPI (Pohang Photo-Injector) for PAL XFEL",
THPP055,"A.H. Lumpkin, W. Berg, ANL, Argonne, Illinois; D.W. Rule, NSWC, West Bethesda, Maryland; N. Sereno, B.X. Yang, C. Yao, ANL, Argonne, Illinois","Nonintercepting Electron Beam Diagnostics Based on Optical Diffraction Radiation for X-Ray FELs",
THPP056,"A.H. Lumpkin, W. Berg, M. Borland, N. Sereno, ANL, Argonne, Illinois","Initial Measurements of CSR from a Bunch-Compressed Beam at APS",
THPP057,"S. Biedron, J.W. Lewellen, M. Virgo, ANL, Argonne, Illinois","High-Average, High-Peak Current Injector Design",
THPP058,"J.W. Lewellen, J. Noonan, ANL, Argonne, Illinois","Planar-Focusing Cathodes",
THPP059,"M. Trovo, M.B. Danailov, ELETTRA, Basovizza, Trieste; W. Graves, MIT, Middleton, Massachusetts; S.M. Lidia, LBNL, Berkeley, California; G. Penco, ELETTRA, Basovizza, Trieste","Frequency Modulation Effects in the Photoinjector for the FERMI @ Elettra FEL",
THPP060,"G. Penco, ELETTRA, Basovizza, Trieste; S.M. Lidia, LBNL, Berkeley, California; M. Trovo, ELETTRA, Basovizza, Trieste","The RF Injector for the FERMI @ Elettra Seeded X-Ray FEL",
THPP061,"D.R. Gillingham, T. M. Antonsen, IREAP, College Park, Maryland","Self-Consistent Simulation of a Bunched Electron Beam Including Radiation, Space-Charge and Boundary Conditions",
THPP062,"J.R. Harris, University of Maryland, College Park, Maryland; J.G. Neumann, IREAP, College Park, Maryland; P.G. O'Shea, University Maryland, College Park, Maryland","Modulation of Intense Beams in the University of Maryland Electron Ring",
THPP063,"S. Roychowdhury, Duke University, Durham, North Carolina; M. Babzien, V. Litvinenko, V. Yakimenko, BNL, Upton, Long Island, New York","Transverse Laser Beam Shaping in High Brightness Electron Gun at ATF",
THPP064,"H. Loos, J. Castro, D. Dowell, S.M. Gierman, J.F. Schmerge, SLAC, Menlo Park, California","Reconstruction of the Four Dimensional Horizontal and Longitudinal Phase Space Distribution of an Electron Beam",
THPP065,"H. Loos, P.R. Bolton, J.E. Clendenin, D. Dowell, S.M. Gierman, C. Limborg-Deprey, J.F. Schmerge, SLAC, Menlo Park, California","Measurements of Transverse and Longitudinal Electron Beam Phase Space Distributions at the Gun Test Facility",
THPP066,"H. Loos, SLAC, Menlo Park, California; M. Boscolo, INFN/LNF, Frascati (Roma); D. Dowell, SLAC, Menlo Park, California; M. Ferrario, INFN/LNF, Frascati (Roma); M. Petrarca, INFN-Roma, Roma; L. Serafini, INFN-Milano, Milano; B. Sheehy, Y. Shen, T. Tsang, BNL, Upton, Long Island, New York; C. Vicario, INFN/LNF, Frascati (Roma); X.J. Wang, BNL, Upton, Long Island, New York","Experimental Studies of Temporal Electron Beam Shaping at the DUV-FEL Accelerator",
THPP067,"J. Wu, P. Emma, Z. Huang, SLAC, Menlo Park, California","Analysis of Longitudinal Space Charge Effects With Radial Dependence",
THPP068,"W. Graves, MIT, Middleton, Massachusetts; M.B. Danailov, B. Diviacco, M. Ferianis, ELETTRA, Basovizza, Trieste; Z. Huang, SLAC, Menlo Park, California; F.O. Ilday, F.X. Kaertner, MIT, Cambridge, Massachusetts; S.M. Lidia, LBNL, Berkeley, California; M. Marsi, ELETTRA, Basovizza, Trieste; T. Zwart, MIT, Middleton, Massachusetts","Electron Beam Diagnostic Based on a Short Seeded FEL",
THPP069,"J.L. Coleman, S.V. Benson, R. Evans, A.G. Grippo, K. Jordan, Jefferson Lab, Newport News, Virginia","Laser Safety System for the IR Upgrade FEL at Jefferson Lab",
THPP070,"S. Zhang, S.V. Benson, D. Douglas, D. Hardy, C. Hernandez-Garcia, K. Jordan, G. Neil, M.D. Shinn, Jefferson Lab, Newport News, Virginia","Temporal Characterization of Electron Beam Bunches with a Fast Streak Camera at the JLab FEL Facility",
THPP071,"D. Kayran, V. Litvinenko, BNL, Upton, Long Island, New York","A Method of Emittance Preservation in ERL Merging System",
THPP072,"D. Suetterlin, PSI, Villigen; D. Erni, H. Jäckel, ETH, Zurich; A. Murk, University of Berne, Institute of Applied Physics, Berne; V. Schlott, H. Sigg, PSI, Villigen","Single-Shot Electron Bunch Length Measurements Using a Spatial Auto-Correlation Interferometer",
THPP073,"L. Catani, INFN-Roma II, Roma; M. Castellano, INFN/LNF, Frascati (Roma); E. Chiadroni, A. Cianchi, INFN-Roma II, Roma; G. Di Pirro, D. Filippetto, INFN/LNF, Frascati (Roma); M.V. Hartrott, BESSY GmbH, Berlin; M. Krasilnikov, A. Oppelt, F. Stephan, DESY Zeuthen, Zeuthen; C. Vicario, INFN/LNF, Frascati (Roma)","Commissioning of the SPARC Movable Emittance Meter and Its First Operation at PITZ",
TUOA001,"S.V. Benson, Jefferson Lab, Newport News, Virginia","Design Challenges in High Power Free-Electron Laser Oscillators",
TUOA002,"I. Ben-Zvi, D. Kayran, V. Litvinenko, BNL, Upton, Long Island, New York","High Average Power Optical FEL Amplifiers",
TUOA003,"N.S. Ginzburg, V.I. Belousov, G.G. Denisov, IAP/RAS, Nizhny Novgorod; A.G. Reutova, RAS/IEP, Ekaterinburg; R.M. Rozental, A. Sergeev, IAP/RAS, Nizhny Novgorod; K.A. Sharypov, V.G. Shpak, S.A. Shunailov, M.R. Ulmaskulov, M.I. Yalandin, RAS/IEP, Ekaterinburg; I.V. Zotova, IAP/RAS, Nizhny Novgorod","Experimental Observation of Generation of Superradiance Pulses in the Process of Backscattering of Pump Wave on the Intense Electron Bunch",
TUOA004,"Y.-C. Huang, Y.-Y. Lin, NTHU, Hsinchu","Theory of Coherent Radiation from a Grating-Waveguide Free-Electron Laser",
