mopo009,"M. Leitner, J. Bierwagen, J. Binkowski, S. Bricker, C. Compton, J.L. Crisp, L.J. Dubbs, K. Elliott, A. Facco, A. Fila, R. Fontus, A.D. Fox, P.E. Gibson, P. Guetschow, L.L. Harle, M. Hodek, J.P. Holzbauer, M.J. Johnson, S. Jones, T. Kole, B.R. Lang, D. Leitner, I.M. Malloch, F. Marti, D. R. Miller, S.J. Miller, T. Nellis, D. Norton, R. Oweiss, J. Popielarski, L. Popielarski, X. Rao, G.J. Velianoff, N. Verhanovitz, J. Wei, J. Weisend, M. Williams, K. Witgen, J. Wlodarczak, Y. Xu, Y. Zhang [FRIB, East Lansing, Michigan, USA] ","Design Status of the SRF Linac Systems for the Facility for Rare Isotope Beams",56 64,
mopo010,"D. Kostin, A. Goessel (Gössel), K. Jensch, W.-D. Moeller (Möller), A.A. Sulimov [DESY, Hamburg, Germany] ","Update on Module Measurements for the XFEL Prototype Modules",65 68,
mopo011,"A. Perry, Y. Ben Aliz, B. Kaizer, A. Kreisel, J. Rodnizki, L. Weissman [Soreq NRC, Yavne, Israel] ","Status of SARAF Superconducting Acceleration Module",69 73,
mopo012,"R.L. Geng [JLAB, Newport News, Virginia, USA] ","Overview of ILC High Gradient Cavity R&D at Jefferson Lab",74 78,
mopo013,"E.R. Harms, J. Branlard, K. Carlson, B. Chase, E. Cullerton, A. Hocker, C.C. Jensen, P.W. Joireman, A.L. Klebaner, T. Kubicki, M.J. Kucera, A.M. Legan, J.R. Leibfritz, A. Martinez, M.W. McGee, S. Nagaitsev, O.A. Nezhevenko, D.J. Nicklaus, H. Pfeffer, Y.M. Pischalnikov, P.S. Prieto, J. Reid, W. Schappert, V. Tupikov, P. Varghese [Fermilab, Batavia, USA] ","RF Test Results from Cryomodule 1 at the Fermilab SRF Beam Test Facility",79 82,
mopo014,"T. Xin [Stony Brook University, Stony Brook, USA] S.A. Belomestnykh, I. Ben-Zvi, X. Chang, X. Liang, T. Rao, J. Skaritka, E. Wang, Q. Wu [BNL, Upton, Long Island, New York, USA] ","Design of the Fundamental Power Coupler and Photocathode Inserts for the 112 MHz Superconducting Electron Gun",83 86,
mopo015,"J. Gao, Y.L. Chi, J.P. Dai, H.S. Guo, T.M. Huang, H.Y. Lin, C. H. Li, D.Z. Li, S.P. Li, Z.Q. Li, Z.C. Liu, Q. Ma, W.M. Pan, F. Qiu, Y. Sun, G.W. Wang, Q.Y. Wang, J.Y. Zhai, T.X. Zhao [IHEP Beijing, Beijing, People's Republic of China] R. Ge [IHEP Beijng, Beijing, People's Republic of China] ","IHEP 1.3GHz SRF Technology R&D Status",87 89,
mopo016,"M. Liepe, Y. He, G.H. Hoffstaetter, S. Posen, J. Sears, V.D. Shemelin, M. Tigner, N.R.A. Valles, V. Veshcherevich [CLASSE, Ithaca, New York, USA] ","Superconducting RF for the Cornell Energy-Recovery Linac Main Linac",90 96,
mopo017,"D. Longuevergne, A. Grassellino, P. Kolb, R.E. Laxdal, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Performance Limitation Studies on ISAC-II QWR's and e-Linac Elliptical Cavities at TRIUMF",97 99,
mopo018,"R. Eichhorn, J. Conrad, F. Hug, M. Kleinmann, T. Kuerzeder (Kürzeder), S.T. Sievers [TU Darmstadt, Darmstadt, Germany] ","The Upgraded Injector Cryostat-Module and Upcoming Improvements at the S-DALINAC",100 102,
mopo019,"S. Posen, M. Liepe [CLASSE, Ithaca, New York, USA] ","Minimizing Microphonics Detuning by Optimization of Stiffening Rings",103 106,
mopo020,"V. Zvyagintsev, C.D. Beard, A. Grassellino, D. Kaltchev, P. Kolb, R.E. Laxdal, D. Longuevergne, B.S. Waraich [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] M. Ahammed [DAE/VECC, Calcutta, India] R.O. Bolgov, N.P. Sobenin [MEPhI, Moscow, Russia] R. Edinger [PAVAC, Richmond, B.C., Canada] ","Nine-cell Elliptical Cavity Development at TRIUMF",107 109,
mopo021,"H. Gassot, F.B. Bouly, G. Olry, S. Rousselot [IPN, Orsay, France] ","Electromechanical Design of 704MHz  0.65 SC Proton Cavity",110 113,
mopo022,"C.S. Hopper [ODU, Norfolk, Virginia, USA] J.R. Delayen [JLAB, Newport News, Virginia, USA] R.G. Olave [Old Dominion University, Norfolk, Virginia, USA] ","Higher Order Mode Properties of Superconducting Two-Spoke Cavities",114 116,
mopo023,"H.S. Kim, Y.-S. Cho, H.-J. Kwon [KAERI, Daejon, Republic of Korea] ","Low Temperature Test of a Low-Beta Elliptical Cavity for PEFP Linac Extension",117 121,
mopo024,"L. Ristori, S. Barbanotti, P. Berrutti, M.S. Champion, M.H. Foley, C.M. Ginsburg, I.G. Gonin, C.J. Grimm, T.N. Khabiboulline, D. Passarelli, N. Solyak, A. Vostrikov, V.P. Yakovlev [Fermilab, Batavia, USA] ","Design of Single Spoke Resonators for Project X",122 126,
mopo025,"E.N. Zaplatin [FZJ, Jülich, Germany] A. Kanareykin [Euclid TechLabs, LLC, Solon, Ohio, USA] ","High-Frequency and Mechanical Basic Analysis of Conical Half-Wave Resonator",127 131,
mopo026,"P.N. Ostroumov, Z.A. Conway, R.L. Fischer, S.M. Gerbick, M.P. Kelly, A. Kolomiets, B. Mustapha, A. Ortega Bergado [ANL, Argonne, USA] "," = 0.285 Half-Wave Resonator for FRIB",132 134,
mopo027,"S.U. De Silva [ODU, Norfolk, Virginia, USA] S.U. De Silva, J.R. Delayen [JLAB, Newport News, Virginia, USA] ","Analysis of HOM Properties of Superconducting Parallel-Bar Deflecting/Crabbing Cavities",135 137,
mopo028,"L. Lu [RIKEN, Saitama, Japan] O. Kamigaito, N. Sakamoto, K. Suda, K. Yamada [RIKEN Nishina Center, Wako, Japan] ","Design of CW Superconducting Buncher for RIKEN RI-Beam Factory",138 140,
mopo029,"F.S. He, K. Zhao [PKU/IHIP, Beijing, People's Republic of China] R.A. Rimmer, H. Wang [JLAB, Newport News, Virginia, USA] ","Some Design Analysis on the Low-Beta Multi-Spoke Cavities",141 143,
mopo030,"V. Gettmann, M. Amberg, S. Jacke [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","The sc cw -LINAC Demonstrator - First section of a sc cw -LINAC",144 146,
mopo031,"C. Zhang, W. Chang, Y. He, S.H. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","Electro-Magnetic Optimization and Analyses of Etching for HIRFL Quarter-Wave Resonators",147 150,
mopo032,"R.A. Legg [JLAB, Newport News, Virginia, USA] M.V. Fisher, K.J. Kleman [UW-Madison/SRC, Madison, Wisconsin, USA] T.L. Grimm, R. Jecks, B. Kuhlman [Niowave, Inc., Lansing, Michigan, USA] ","Development of a Frequency Map for the WiFEL SRF Gun",151 153,
mopo033,"C.S. Hopper [ODU, Norfolk, Virginia, USA] J.R. Delayen [JLAB, Newport News, Virginia, USA] ","Design of Superconducting Multi-Spoke Cavities for High-Velocity Applications",154 156,
mopo034,"J. Plouin [CEA/IRFU, Gif-sur-Yvette, France] S. Chel, G. Devanz [CEA/DSM/IRFU, France] ","Optimized RF Design of 704 MHz =1 Cavity for Pulsed Proton Drivers",157 161,
mopo035,"M. Amberg [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] W.A. Barth, S. Mickat [GSI, Darmstadt, Germany] M. Busch, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","Structural Mechanical Analysis of Superconducting CH-Cavities",162 164,
