MOPPH033,"H. J. Cha, KAERI, Daejon; V. S. Cherkassky, NSU, Novosibirsk; A. V. Fanova, BINP SB RAS, Novosibirsk; Y. U. Jeong, KAERI, Daejon; B. A. Knyazev, G. N. Kulipanov, BINP SB RAS, Novosibirsk; L. A. Merzhievsky, NSU, Novosibirsk; N. Vinokurov, BINP SB RAS, Novosibirsk; S. A. Zhigach, NSU, Novosibirsk; I. A. Polskikh, BINP SB RAS, Novosibirsk","Diffraction Optical Elements and Optical Systems with a High Power Monochromatic Terahertz Source",93 94,
MOPPH034,"R. Tikhoplav, UCLA, Los Angeles, California","Diagnostics of an Electron Beam using Coherent Cherenkov Radiation",95 96,
MOPPH036,"P. Michel, W. Seidel, G. Staats, J. Teichert, R. Wuensch, U. Lehnert, FZD, Dresden","First Experiences with the FIR-FEL at ELBE",97 100,
MOPPH040,"J. Y. Huang, C. Kim, I. S. Ko, Y. W. Parc, PAL, Pohang, Kyungbuk","A Study of Detection Schemes in Electro-Optic Sampling Technique",101 103,
MOPPH041,"J. Y. Huang, C. Kim, I. S. Ko, Y. W. Parc, PAL, Pohang, Kyungbuk","Comparative Study of Electro-Optic Effect between Simulation and Measurement",104 106,
MOPPH042,"V. V. Kubarev, BINP SB RAS, Novosibirsk","Losses in Optical Resonator of Novosibirsk Terahertz Free Electron Laser: Theory and Experiment",107 110,
MOPPH043,"V. V. Kubarev, E. V. Makashov, K. S. Palagin, S. S. Serednyakov, BINP SB RAS, Novosibirsk","Control and Diagnostic System of Novosibirsk FEL Radiation",111 113,
MOPPH046,"A. Enomoto, S. Fukuda, K. Furukawa, KEK, Ibaraki; Y. Hayakawa, LEBRA, Funabashi; M. Inagaki, T. Kuwada, Nihon University, ; S. Michizono, KEK, Ibaraki; K. Nakao, K. Nogami, LEBRA, Funabashi; S. Ohsawa, KEK, Ibaraki; T. Sakai, I. Sato, Nihon University, ; T. Tanaka, K. Hayakawa, LEBRA, Funabashi","Operation of Near-infrared FEL at Nihon University",114 117,
MOPPH048,"M.-E. Couprie, A. Loulergue, C. Bruni, SOLEIL, Gif-sur-Yvette","ARC-EN-CIEL Project Electron Beam Dynamics",118 121,
MOPPH050,"M. Brandin, MAX-lab, Lund; W. Frentrup, A. Gaupp, K. Goldammer, K. Holldack, BESSY GmbH, Berlin; F. Lindau, D. Pugachov, MAX-lab, Lund; M. Scheer, BESSY GmbH, Berlin; S. Thorin, S. Werin, MAX-lab, Lund; J. Bahrdt, BESSY GmbH, Berlin","Status of the Undulator System of the Seeded HGHG-FEL Test Bench at MAX-lab",122 125,
MOPPH051,"K. Goldammer, BESSY GmbH, Berlin","Nonlinear Harmonic Generation in the BESSY Soft X-Ray FEL",126 129,
