mope26,"G.R. Henneberg, M.J.P. Adam, G.R. Barkway [CLS, Saskatoon, Saskatchewan, Canada] ","Front End Photon Shutter Water Leak to Vacuum at the Canadian Light Source",60 62,
mope27,"S. Vilcins, M. Holz, M. Lemke, D. Noelle (D. Nölle), Ch. Wiebers [DESY, Hamburg, Germany] ","The Influences of Material Properties to Micro Damages on Vacuum Chamber CF Flanges",63 70,
mope28,"M.A. Al-Najdawi, H. Al-Mohammad, E. Huttel, F. Makahleh, M.M. Shehab [SESAME, Allan, Jordan] ","Vacuum System of SESAME Storage Ring",71 73,
mope29,"Y. Wang, L. Fan, Y.Z. Hong, X.T. Pei, W. Wei, B. Zhang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Vacuum System of HLS-II Storage Ring",74 76,
mope30,"I.C. Sheng, C.K. Chan, C.-C. Chang, C. Shueh, L.H. Wu [NSRRC, Hsinchu, Taiwan] S.K. Sharma [BNL, Upton, Long Island, New York, USA] ","The Development of CuCrZr High Heat Load Absorber in TPS",77 79,
mope31,"F. Gao, R.B. Deng, Y.X. Dong, X. Hu, Z. Jiang, S. Sun, L. Wang, Y.M. Wen [SINAP, Shanghai, People's Republic of China] ","Dynamic Performance of a Support System for BBA Components in SXFEL",80 82,
mope32,"J. Nudell, H. Cease, J.T. Collins, Z. Liu, C.A. Preissner [ANL, Argonne, Illinois, USA] ","Preliminary Design and Analysis of the FODO Module Support System for the APS-U Storage Ring",83 86,
mope34,"J.T. Collins, H. Cease, S.J. Izzo, Z. Liu, J. Nudell, C.A. Preissner [ANL, Argonne, Illinois, USA] ","Preliminary Design of the Magnet Support and Alignment Systems for the Aps-U Storage Ring",87 89,
mope37,"J. Kay, N.P. Hammond [DLS, Oxfordshire, United Kingdom] ","Diamond Multi-Bend Achromats for Low Emittance and New Insertion Devices",90 92,
mope38,"J. Divitcos, M. De Jonge, D. Howard, J. McKinlay [ANSTO, Menai, New South Wales, Australia] ","Milliprobe Scanner Station",93 95,
