mocpl03,"R.K. Mastyna, E. Blanco Vinuela (E. Blanco Viñuela), J. Casas, N. Trikoupis [CERN, Geneva, Switzerland] M. Felser [BFH, Bern, Switzerland] ","PROFINET Communication Card for the CERN Cryogenics Crate Electronics Instrumentation",59 63,
mocpl04,"R. Ferreira, S. Blanchard, P. Gomes, G. Pigny [CERN, Geneva, Switzerland] T.R. Fernandes [ESTGL, Leiria, Portugal] ","LTE/3G Based Wireless Communications for Remote Control and Monitoring of PLC-Controlled Vacuum Mobile Devices",64 70,
mocpl05,"T. Gahl, D.P. Brodrick, T. BÃ¶gershausen, O. Kirstein, T. Korhonen, D.P. Piso, A. SandstrÃ¶m [ESS, Lund, Sweden] ","ECMC, the Open Source Motion Control Package for EtherCAT Hardware at the ESS",71 75,
mocpl06,"A. Dehne, T. Hermes, N. Moeller [hs21, Buxtehude, Germany] R. Bacher [DESY, Hamburg, Germany] ","MARWIN: A Mobile Autonomous Robot for Maintenance and Inspection",76 80,
mocpl07,"A. Caproni, E. Schmid [ESO, Garching bei Muenchen, Germany] ","The Integrated Alarm System of the Alma Observatory",81 87,
modpl01,"E. Bjorklund (E. Björklund) [LANL, Los Alamos, New Mexico, USA] ","Replacing The Engine In Your Car While You Are Still Driving It - Part II",88 91,
modpl02,"W. Booth, E. Blanco Vinuela (E. Blanco Viñuela), B. Bradu, S. Sourisseau [CERN, Geneva, Switzerland] ","Virtual Control Commissioning for a Large Critical Ventilation System: The CMS Cavern Use Case",92 98,
modpl03,"A.J. Nunez, I. Arriagada, T.D. Gaggstatter, P.E. Gigoux, R. Rojas, M. Westfall [Gemini Observatory, Southern Operations Center, La Serena, Chile] R. Cardenes, M.J. Rippa [Gemini Observatory, Northern Operations Center, Hilo, USA] ","Experience Upgrading Control Systems at the Gemini Telescopes",99 106,
modpl04,"Ms. Ye, Z.G. Han [IHEP, Bejing, People's Republic of China] ","Framework Upgrade of the Detector Control System for JUNO",107 109,
modpl05,"B.P. Bielawski [CERN, Geneva, Switzerland] ","Lightweight Acquisition System for Analogue Signals",110 113,
modpl07,"O. Pinazza [INFN-Bologna, Bologna, Italy] A. Augustinus, P.M. Bond, P.Ch. Chochula, A.N. Kurepin, M. Lechman, J.L. LÃ¥ng, O. Pinazza [CERN, Geneva, Switzerland] A.N. Kurepin [RAS/INR, Moscow, Russia] ","How Low-Cost Devices Can Help on the Way to ALICE Upgrade",114 117,
thapl01,"A. Uchiyama, N. Fukunishi, M. Komiyama [RIKEN Nishina Center, Wako, Japan] ","Implementation of Web-based Operational Log System at RIBF",1073 1077,
thapl02,"G. Kruk, O. Da Silva Alves, L. Molinari, E. Roux [CERN, Geneva, Switzerland] ","Best Practices for Efficient Development of JavaFX Applications",1078 1083,
thapl03,"V. Alberti [INAF-OAT, Trieste, Italy] G. Brajnik [IDS, Udine, Italy] ","Usability Recommendations for the SKA Control Room Obtained by a User-Centred Design Approach",1084 1090,
thapl04,"G.S. Fedel, D.B. Beniz, L.P. Do Carmo, J.R. Piton [LNLS, Campinas, Brazil] ","Python for User Interfaces at Sirius",1091 1097,
thapl05,"Y. Le Goc, F. Cecillon, P. Mutti [ILL, Grenoble, France] ","Nomad 3D: Augmented Reality in Instrument Control",1098 1102,
thbpa01,"S. Perez [CEA, Arpajon, France] ","Cyber Threats, the World Is No Longer What We Knew…",1137 1141,
thbpa02,"L. Mekinda, V. Bondar, S. Brockhauser, C. Danilevski, W. Ehsan, S.G. Esenov, H. Fangohr, G. Flucke, G. Giovanetti, S. Hauf, D.G. Hickin, A. Klimovskaia, L.G. Maia, T. Michelat, A. Muennich, A. Parenti, H. Santos, K. Weger, C. Xu [XFEL.EU, Schenefeld, Germany] ","Securing Light Source SCADA Systems",1142 1148,
thbpa03,"H.D. de Almeida, D. P. Magalhaes, M.A.L. Moraes, J.M. Polli [LNLS, Campinas, Brazil] ","The Back-End Computer System for the Medipix Based PI-MEGA X-Ray Camera",1149 1151,
thbpa04,"A.F. Joubert, B. Merry [SKA South Africa, National Research Foundation of South Africa, Cape Town, South Africa] ","Orchestrating MeerKAT's Distributed Science Data Processing Pipelines",1152 1157,
thbpa05,"M. Ostoja-Gajewski [Solaris National Synchrotron Radiation Centre, Jagiellonian University, Krakow, Poland] ","IT Infrastructure Tips and Tricks for Control System and PLC",1158 1161,
thbpa06,"L. Schrettner, B. BagÃ³, B. Erdohelyi, T.M. Gaizer, A. Heidrich, G. Nyiri [ELI-ALPS, Szeged, Hungary] ","Configuration Management for the Integrated Control System Software of ELI-ALPS",1162 1167,
thbpl01,"B. Copy, M. BrÃ¤ger, F. Ehm, A. Lossent, E. Mandilara [CERN, Geneva, Switzerland] ","C2MON SCADA Deployment on CERN Cloud Infrastructure",1103 1108,
thbpl02,"L. Andolfato, M. Comin, S. Feyrin, M. Kiekebusch, J. Knudstrup, F. Pellegrin, D. Popovic, C. Rosenquist, R. Schmutzer [ESO, Garching bei Muenchen, Germany] ","Behavioural Models for Device Control",1109 1115,
thbpl03,"M.A. Araya, R.S. Castillo, M.I. Jara, L. Pizarro, H.H. von Brand [UTFSM, ValparaÃ­so, Chile] E. Lyard [University of Geneva, Geneva, Switzerland] I. Oya [DESY Zeuthen, Zeuthen, Germany] I. Oya [Humboldt University Berlin, Institut fuer Physik, Berlin, Germany] ","A New ACS Bulk Data Transfer Service for CTA",1116 1120,
thbpl04,"Z. Ni, J. Liu, J. Luo, X. Zhou [CAEP, Sichuan, People's Republic of China] ","The Design of Tango Based Centralized Management Platform for Software Devices",1121 1124,
thbpl05,"F. Pellegrin, C. Rosenquist [ESO, Garching bei Muenchen, Germany] ","The ELT Linux Development Environment",1125 1130,
thbpl06,"W. Mansour, P. Fajardo, N. Janvier [ESRF, Grenoble, France] ","High Performance RDMA-Based Daq Platform Over PCIe Routable Network",1131 1136,
