fra01,"P. Mandrillon, M. Conjat [AIMA, Nice, France] ","Single Stage Cyclotron for an ADS Demonstrator",387 393,
tup19,"Y.B. Kong, M.G. Hur, E.J. Lee, J.H. Park, S.D. Yang [KAERI, Jeongeup-si, Republic of Korea] Y.D. Park [Advanced Radiation Technology Institute, Korea Atomic Energy Research Institute, Jeongup-si, Jeollabuk-do, Republic of Korea] ","Neural Network Based Generalized Predictive Control for RFT-30 Cyclotron System",212 214,
tup22,"H.S. Kim, J.-S. Chai, M. Ghergherehchi, D.H. Ha, J.C. Lee, S.C. Mun, H. Namgoong [SKKU, Suwon, Republic of Korea] ","PLC Control System for Vacuum and 20 Kw RF Amplifier",215 217,
tup23,"H. Namgoong, J.-S. Chai, H.J. Choi, M. Ghergherehchi, D.H. Ha, W.J. Jun, H.S. Kim, J.C. Lee, S.C. Mun [SKKU, Suwon, Republic of Korea] ","Development of Magnetic Field Measurement Instrumentation for 10 MeV Cyclotron",218 220,
tup25,"I.A. Ivanenko [JINR, Dubna, Moscow Region, Russia] ","The Methods of Compensation of the Beam Vertical Divergence at the Exit of Spiral Inflector in Cyclotrons",221 223,
tup26,"N.Yu. Kazarinov, I.A. Ivanenko [JINR, Dubna, Moscow Region, Russia] F.R. Osswald [IPHC, Strasbourg Cedex 2, France] ","Axial Injection Channel of IPHC Cyclotron TR24 and Possibility of Ion Beam Bunching",224 226,
tup27,"X.W. Wang, F. Yong, R. Zhang [IMP/CAS, Lanzhou, People's Republic of China] ","The Design of the Medical Cyclotron RF Cavity",227 228,
wea01,"W.J.G.M. Kleeven [IBA, Louvain-la-Neuve, Belgium] ","Some Examples of Recent Progress of Beam-Dynamics Studies for Cyclotrons",244 250,
wea02,"N.Yu. Kazarinov, I.A. Ivanenko [JINR, Dubna, Moscow Region, Russia] ","Simulation of the Beam Dynamics in the Axial Injection Beam Line of FLNR JINR DC280 Cyclotron",251 253,
wea03,"T. Planche, R.A. Baartman, I.V. Bylinskii, Y.-N. Rao [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Space-charge Simulation of TRIUMF 500 MeV Cyclotron",254 257,
web01,"W. Duckitt, J. Abraham, J.L. Conradie, M.J. Van Niekerk [iThemba LABS, Somerset West, South Africa] T.R. Niesler [Stellenbosch University, Matieland, South Africa] ","A New Digital Low-level RF Control System for Cyclotrons",258 262,
web02,"A.C. Caruso, F. Caruso, A. Longhitano, A. SpartÃ  [INFN/LNS, Catania, Italy] G. Primadei [CERN, Geneva, Switzerland] J. Sura [Warsaw University, Warsaw, Poland] ","Hybrid Configuration, Solid State-Tube, Revamps an Obsolete Tube Amplifier for the INFB K-800 Superconducting Cyclotron",263 266,
web03,"M. Mousavinia, H. Afarideh [AUT, Tehran, Iran] M. Ghergherehchi [SKKU, Suwon, Republic of Korea] ","Design and Simulation of Cavity for 18 MeV Cyclotron",267 269,
web04,"V.L. Smirnov, S.B. Vorozhtsov [JINR, Dubna, Moscow Region, Russia] ","A Coupled Cyclotron Solution for Carbon Ions Acceleration",270 273,
