fra01,"P. Mandrillon, M. Conjat [AIMA, Nice, France] ","Single Stage Cyclotron for an ADS Demonstrator",387 393,
mop10,"J.G. De Villiers, J.I. Broodryk, J.L. Conradie, F. Nemulodi, R.W. Thomae [iThemba LABS, Somerset West, South Africa] J.J. Yang, T.J. Zhang [CIAE, Beijing, People's Republic of China] ","Numerical Orbit Tracking in 3D Through the Injector Cyclotron for Heavy Ions at iThemba LABS",71 74,
mop11,"F. Nemulodi, J.I. Broodryk, J.L. Conradie, J.G. De Villiers, W. Duckitt, D.T. Fourie, J. Mira, R.W. Thomae, M.J. Van Niekerk [iThemba LABS, Somerset West, South Africa] J.J. Yang, T.J. Zhang [CIAE, Beijing, People's Republic of China] ","Injection Line Studies for the SPC2 Cyclotron at iThemba LABS",75 78,
mop12,"B. Qin, Q.S. Chen, K. Fan, M. Fan, K.F. Liu, P. Tan [HUST, Wuhan, People's Republic of China] W. Chen, Z.K. Liang, X. Liu, T. Yu [Huazhong University of Science and Technology, State Key Laboratory of Advanced Electromagnetic Engineering and Technology,, Hubei, People's Republic of China] ","Fast Scanning Beamline Design Applied to Proton Therapy System Based on Superconducting Cyclotrons",79 82,
mop13,"I. Kambali, M. Marlina, P. Parwanto, R. Rajiman, H. Suryanto [BATAN, South Tangerang, Indonesia] H. Astarina, N. Huda, R.R. Ismuha, K. Kardinah, F.D. Listiawadi [Dharmais Cancer Hospital, Jakarta, Indonesia] ","Production of F-18 and Tc-99m Radionuclides using an 11 MeV Proton Accelerating Cyclotron",83 86,
mop14,"K.Z. Ding, Y.F. Bi, G. Chen, Y. Chen, Sh. Du, H. Feng, J. Ge, J. Li, Y. Song, Y.H. Xie, J. Zheng [ASIPP, Hefei, People's Republic of China] O. Karamyshev, G.A. Karamysheva, N.A. Morozov, E.V. Samsonov, G. Shirkov [JINR, Dubna, Moscow Region, Russia] ","Study of the Beam Extraction from Superconducting Cyclotron SC200",87 90,
mop15,"M. Ballan, A. Andrighetto, F. Borgna, S. Corradetti [INFN/LNL, Legnaro (PD), Italy] M. Ballan [UNIFE, Ferrara, Italy] F. Borgna, N. Realdon [UniversitÃ  degli Studi di Padova, Padova, Italy] A. Duatti [UniversitÃ  degli Studi di Ferrara, Ferrara, Italy] ","The ISOLPHARM Project for the Production of High Specific Activity Radionuclides for Medical Applications",91 94,
mop16,"H. Zhang, J. Grillenberger, M. Seidel [PSI, Villigen PSI, Switzerland] ","Beam Optics Considerations for Isotope Production at the PSI Cyclotron Facility",95 97,
mop18,"O. Felden, M. Bai, R. Gebel, R. Hecker [FZJ, JÃ¼lich, Germany] ","Activities for Isotope Sample Production and Radiation Effect Tests at JULIC/COSY Jülich",98 101,
mop19,"J. van de Walle, S. Henrotin, Y. Paradis, I.C. Tkint [IBA, Louvain-la-Neuve, Belgium] ","A Diamond Detector Test Bench to Assess the S2C2 Beam Characteristics",102 104,
mop20,"S.C. Mun, J.-S. Chai, M. Ghergherehchi, D.H. Ha, H.S. Kim, J.C. Lee, H. Namgoong [SKKU, Suwon, Republic of Korea] ","Study of Geant4 Simulation for Cyclotron Radioisotope Production in Various Target Size",105 107,
mop21,"E.J. Lee, M.G. Hur, Y.B. Kong [KAERI, Daejon, Republic of Korea] ","Test Production of Ti-44 using RFT-30 Cyclotron",108 109,
mop22,"S. Azizpourian, H. Afarideh, M. Afkhami Karaei, M. Mousavinia [AUT, Tehran, Iran] F. Abbasi Davani [Shahid Beheshti University, Tehran, Iran] ","Simulation of Optimum Thickness and Configuration of 10 MeV Cyclotron Shield",110 113,
tha02,"J.L. Conradie, L.S. Anthony, S. Baard, R.A. Bark, A.H. Barnard, J.I. Broodryk, J.C. Cornell, J.G. De Villiers, H. Du Plessis, W. Duckitt, D.T. Fourie, P.G. Gardiner, M.E. Hogan, I.H. Kohler, C. Lussi, R.H. McAlister, J. Mira, H.W. Mostert, F. Nemulodi, G. Pfeiffer, M. Sakildien, G.F. Steyn, N. Stodart, R.W. Thomae, M.J. Van Niekerk, P.A. van Schalkwyk [iThemba LABS, Somerset West, South Africa] A. Andrighetto, A. Monetti, G.P. Prete, M. Rossignoli [INFN/LNL, Legnaro (PD), Italy] ","New Developments at iThemba LABS",274 277,
tha03,"B. Gikal, S.L. Bogomolov, S.N. Dmitriev, G.G. Gulbekyan, I.A. Ivanenko, I.V. Kalagin, N.Yu. Kazarinov, Y.T. Oganessian, N.F. Osipov, S.V. Pashchenko [JINR, Dubna, Moscow Region, Russia] ","Development of FLNR JINR Heavy Ions Accelerator Complex (DRIBs III)",278 280,
tha04,"D.P. May, J. Arje, L.N. Gathings, B.T. Roeder, A. Saastamoinen [Texas Aamp;M University Cyclotron Institute, College Station, Texas, USA] F.P. Abegglen, G. Chubaryan, H.L. Clark, G.J. Kim, G. Tabacaru [Texas Aamp;M University, Cyclotron Institute, College Station, Texas, USA] ","Status of the Texas A&M University Cyclotron Institute",281 284,
thb01,"J. van de Walle, M. Abs, E. Forton, S. Henrotin, Y. Jongen, W.J.G.M. Kleeven, P. Verbruggen [IBA, Louvain-la-Neuve, Belgium] M. Conjat, J. Mandrillon, P. Mandrillon [AIMA, Nice, France] ","The S2C2: From Source to Extraction",285 289,
thb02,"J.J. Vincent, G.F. Blosser, G.S. Horner, K. Stevens, N.R. Usher, X. Wu [Ionetix, Lansing, Michigan, USA] V.L. Smirnov, S.B. Vorozhtsov [JINR, Dubna, Moscow Region, Russia] ","The Ionetix ION-12SC Compact Superconducting Cyclotron for Production of Medical Isotopes",290 293,
thb03,"K. Hatanaka, M. Fukuda, S. Hara, K. Kamakura, K. Shimada, Y. Yasuda, T. Yorita [RCNP, Osaka, Japan] H. Ueda [Okayama University, Okayama, Japan] ","Development of HTS Magnets for Accelerators",294 296,
thb04,"S.X. Peng, J.E. Chen, Z.Y. Guo, H.T. Ren, J.M. Wen, W.B. Wu, Y. Xu, A.L. Zhang, J.F. Zhang, T. Zhang [PKU, Beijing, People's Republic of China] A.L. Zhang [University of Chinese Academy of Sciences, Beijing, People's Republic of China] ","Status of Hydrogen Ion Sources at PKU",297 300,
thc01,"Y. Ishi, Y. Kuriyama, Y. Mori, M. Sakamoto, T. Uesugi [Kyoto University, Research Reactor Institute, Osaka, Japan] ","KURRI FFAG's Future Project as ADSR Proton Driver",366 370,
thc03,"G.A. Karamysheva, S. Gurskiy, O. Karamyshev, N.A. Morozov, E.V. Samsonov, G. Shirkov, S.G. Shirkov, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] Y.F. Bi, G. Chen, Y. Chen, K.Z. Ding, H. Feng, J. Li, Y. Song, Y.H. Xie, Q. Yang, J. Zheng [ASIPP, Hefei, People's Republic of China] D.V. Popov [JINR/DLNP, Dubna, Moscow region, Russia] ","Compact Superconducting Cyclotron SC200 for Proton Therapy",371 373,
thd01,"S.L. Sheehy [JAI, Oxford, United Kingdom] ","High Intensity and Other World Wide Developments in FFAG",374 379,
thd02,"S. Sabounchi, H. Afarideh, R. Solhju, F. Zakerhosseini [AUT, Tehran, Iran] M. Ghergherehchi [SKKU, Suwon, Republic of Korea] ","Heat Transfer Studies of the IRANCYC-10 Magnet and its Effects on the Isochronous Magnetic Field",380 382,
