fra1co03,"A. D'Audney, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","An Ultra-High Resolution Pulsed-Wire Magnet Measurement System",1268 1270,
thb3co03,"S.K. Patch, Y.M. Qadadha [UWM, Milwaukee, Wisconsin, USA] R. Albright, P. Bloemhard, K. Campbell, A.P. Donoghue, T.L. Gimpel, A. Jackson, M.B. Johnson, M. Kireeff Covo, B. Ninemire, L. Phair, C.R. Siero, S.M. Small [LBNL, Berkeley, California, USA] ","Thermoacoustic Range Verification for Ion Therapy",1265 1267,
thb3io01,"B. Rusnak, S.G. Anderson, D.L. Bleuel, M.L. Crank, P. Fitsos, D.J. Gibson, M. Hall, M.S. Johnson, R.A. Marsh, J.D. Sain, R. Souza, A. Wiedrick [LLNL, Livermore, California, USA] ","Development of a High Brightness Source for Fast Neutron Imaging*",1260 1264,
thpoa04,"S. Di Mitri [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Maximum Brightness of Linac-Driven Electron Beams in the Presence of Collective Effects",1101 1103,
thpoa05,"S. Di Mitri [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Intrabeam Scattering in High Brightness Electron Linacs",1104 1107,
thpoa06,"S. Di Mitri, M. Cornacchia [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","CSR-Immune Arc Compressors for Recirculating Accelerators Driving High Brightness Electron Beams",1108 1111,
thpoa07,"K.G. Sonnad [KEK, Ibaraki, Japan] J.A. Crittenden, K.G. Sonnad [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Probablistic Estimation of Low Energy Electron Trapping in Quadrupoles",1112 1114,
thpoa08,"Q. Gao, H.B. Chen, J. Shi [TUB, Beijing, People's Republic of China] S.P. Antipov [Euclid Beamlabs LLC, Bolingbrook, USA] M.E. Conde, D.S. Doran, W. Gai, W. Liu, J.G. Power, C. Whiteford, E.E. Wisniewski [ANL, Argonne, Illinois, USA] C.-J. Jing [Euclid TechLabs, LLC, Solon, Ohio, USA] ","Transformer Ratio Enhancement Experiment Based on Emittance Exchanger in Argonne Wakefield Accelerator",1115 1118,
thpoa13,"M. Borland, R.R. Lindberg [ANL, Argonne, Illinois, USA] ","Modeling of Dipole and Quadrupole Fringe-Field Effects for the Advanced Photon Source Upgrade Lattice",1119 1122,
thpoa14,"J.R. Calvey, K.C. Harkay, C. Yao [ANL, Argonne, Illinois, USA] ","Ion Effects in the APS Particle Accumulator Ring",1123 1125,
thpoa15,"Y.I. Alexahin, V.V. Kapin, A. Valishev [Fermilab, Batavia, Illinois, USA] F. Schmidt, R. Wasef [CERN, Geneva, Switzerland] ","Adaptive Space Charge Calculations in MADX-SC",1126 1128,
thpoa16,"Y.I. Alexahin [Fermilab, Batavia, Illinois, USA] ","Gaseous H2-Filled Helical FOFO Snake for Initial 6D Ionization Cooling of Muons",1129 1131,
thpoa17,"Y.I. Alexahin [Fermilab, Batavia, Illinois, USA] ","Computing Eigen-Emittances from Tracking Data",1132 1134,
thpoa18,"E.G. Stern, R. Ainsworth, J.F. Amundson, Q. Lu [Fermilab, Batavia, Illinois, USA] ","Simulating Batch-on-Batch Slip-Stacking in the Fermilab Recycler Using a New Multiple Interacting Bunch Capability in Synergia",1135 1137,
thpoa19,"J.S. Eldred, A. Valishev [Fermilab, Batavia, Illinois, USA] ","Design Considerations for Proposed Fermilab Integrable RCS",1138 1141,
thpoa20,"G.V. Romanov [Fermilab, Batavia, Illinois, USA] ","Simulation of Multipacting with Space Charge Effect in PIP-II 650 MHz Cavities",1142 1145,
thpoa21,"G.V. Romanov, T.N. Khabiboulline, A. Lunin [Fermilab, Batavia, Illinois, USA] ","Multipacting in HOM Coupler of LCLS-II 1.3 GHz SC Cavity",1146 1148,
thpoa22,"A.L. Romanov, D.R. Edstrom [Fermilab, Batavia, Illinois, USA] A. Halavanau [Northern Illinois University, DeKalb, Illinois, USA] ","Linear Lattice and Trajectory Reconstruction and Correction at FAST Linear Accelerator",1149 1151,
thpoa23,"A.L. Romanov, A. Valishev [Fermilab, Batavia, Illinois, USA] D.L. Bruhwiler, N.M. Cook, C.C. Hall [RadiaSoft LLC, Boulder, Colorado, USA] ","Adaptive Matching of the IOTA Ring Linear Optics for Space Charge Compensation",1152 1154,
thpoa24,"A.L. Romanov [Fermilab, Batavia, Illinois, USA] ","Testing of Advanced Technique for Linear Lattice and Closed Orbit Correction by Modeling Its Application for IOTA Ring at Fermilab",1155 1157,
thpoa26,"D. Stratakis, K.E. Badgley, M.E. Convery, J.P. Morgan, M.J. Syphers, J.C.T. Thangaraj [Fermilab, Batavia, Illinois, USA] J.D. Crnkovic, W. Morse [BNL, Upton, Long Island, New York, USA] M.J. Syphers [Northern Illinois University, DeKalb, Illinois, USA] ","Analysis of the Transport of Muon Polarization for the Fermilab G-2 Muon Experiment",1158 1160,
thpoa29,"A. Vivoli [Fermilab, Batavia, Illinois, USA] ","PIP-II Transfer Lines Design",1161 1163,
thpoa30,"T. Zolkin, A.V. Burov [Fermilab, Batavia, Illinois, USA] ","SCHARGEV 1.0 - Strong Space Charge Vlasov Solver",1164 1166,
thpoa31,"T. Zolkin [Fermilab, Batavia, Illinois, USA] ","Sector Magnets or Transverse Electromagnetic Fields in Cylindrical Coordinates",1167 1170,
thpoa32,"C.E. Mitchell, J. Qiang, M. Venturini [LBNL, Berkeley, California, USA] P. Emma [SLAC, Menlo Park, California, USA] ","Sensitivity of the Microbunching Instability to Irregularities in Cathode Current in the LCLS-II Beam Delivery System",1171 1173,
thpoa33,"S. Persichelli, J.M. Byrd, S. De Santis, D. Li, T.H. Luo, J.R. Osborn, C.A. Swenson, M. Venturini, Y. Yang [LBNL, Berkeley, California, USA] ","A Preliminary Beam Impedance Model of the Advanced Light Source Upgrade at LBL",1174 1176,
thpoa35,"C.-Y. Tsai [Virginia Polytechnic Institute and State University, Blacksburg, Virginia, USA] R. Li [JLab, Newport News, Virginia, USA] ","Analysis of Microbunching Structures in Transverse and Longitudinal Phase Spaces",1177 1180,
thpoa37,"C.C. Hall [RadiaSoft LLC, Boulder, Colorado, USA] S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","Study of 2D CSR Effects in a Compression Chicane",1181 1183,
thpoa41,"G.I. Bell, D.A. Dimitrov, C.D. Zhou [Tech-X, Boulder, Colorado, USA] I. Ben-Zvi, M. Gaowei, T. Rao, J. Smedley [BNL, Upton, Long Island, New York, USA] E.M. Muller [SBU, Stony Brook, New York, USA] ","Simulations of Hole Injection in Diamond Detectors",1184 1186,
thpoa42,"D.A. Dimitrov, G.I. Bell, D.N. Smithe, C.D. Zhou [Tech-X, Boulder, Colorado, USA] I. Ben-Zvi, J. Smedley [BNL, Upton, Long Island, New York, USA] S.S. Karkare, H.A. Padmore [LBNL, Berkeley, California, USA] ","3D Modeling and Simulations of Electron Emission From Photocathodes With Controlled Rough Surfaces",1187 1189,
thpoa45,"Y. Ji [IIT, Chicago, Illinois, USA] L.K. Spentzouris [Illinois Institute of Technology, Chicago, Illinois, USA] R.M. Zwaska [Fermilab, Batavia, Illinois, USA] ","Update of the SEY Measurement at Fermilab Main Injector",1190 1193,
thpoa46,"N.R. Neveu [IIT, Chicago, Illinois, USA] A. Adelmann [PSI, Villigen PSI, Switzerland] G. Ha [POSTECH, Pohang, Kyungbuk, Republic of Korea] C.J. Metzger-Kraus [HZB, Berlin, Germany] N.R. Neveu, J.G. Power [ANL, Argonne, Illinois, USA] P. Piot [Fermilab, Batavia, Illinois, USA] P. Piot [Northern Illinois University, DeKalb, Illinois, USA] S.J. Russell [LANL, Los Alamos, New Mexico, USA] L.K. Spentzouris [Illinois Institute of Technology, Chicago, Illinois, USA] ","Benchmark of RF Photoinjector and Dipole Using ASTRA, GPT, and OPAL",1194 1196,
thpoa48,"S. A. Antipov [University of Chicago, Chicago, Illinois, USA] A.V. Burov, S. Nagaitsev [Fermilab, Batavia, Illinois, USA] ","Model of Electron Cloud Instability in Fermilab Recycler",1197 1199,
thpoa49,"S. A. Antipov [University of Chicago, Chicago, Illinois, USA] S. Nagaitsev [Fermilab, Batavia, Illinois, USA] ","Electron Cloud Trapping in Recycler Combined Function Dipole Magnets",1200 1203,
thpoa50,"T. Akagi, S. Araki, Y. Honda, A. Kosuge, N. Terunuma, J. Urakawa [KEK, Ibaraki, Japan] R. Hajima, M. Mori, R. Nagai, T. Shizuma [QST, Tokai, Japan] ","Development of an Optical Cavity for LCS Sources at the Compact ERL",1204 1206,
thpoa51,"M.K. Fukuda, S. Araki, Y. Honda, Y. Sumitomo, N. Terunuma, J. Urakawa [KEK, Ibaraki, Japan] K. Sakaue [Waseda University, Waseda Institute for Advanced Study, Tokyo, Japan] M. Washio [RISE, Tokyo, Japan] ","Improvement of X-Ray Generation by Using Laser Compton Scattering in Laser Undulator Compact X-Ray Source(LUCX)",1207 1209,
thpoa52,"Y. Sumitomo, S. Araki, A. Aryshev, M.K. Fukuda, M. Shevelev, N. Terunuma, J. Urakawa [KEK, Ibaraki, Japan] A. Deshpande [SAMEER, Mumbai, India] N. Terunuma [Sokendai, Ibaraki, Japan] ","A Simulation for Bright THz Light Source from Wiggler Radiation at KEK LUCX",1210 1212,
thpoa53,"Y. Koshiba, D. Igarashi, S. Ota, T. Takahashi, M. Washio [RISE, Tokyo, Japan] K. Sakaue [Waseda University, Waseda Institute for Advanced Study, Tokyo, Japan] J. Urakawa [KEK, Ibaraki, Japan] ","Luminosity Increase in Laser-Compton Scattering by Crab Crossing Method",1213 1215,
thpoa56,"R. Huang, Q.K. Jia [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Primary Study of the Photocathode Electron Gun With a Cone Cathode and Radial Polarization Laser",1216 1219,
thpoa58,"W.W. Gao [Fujian University of Technology, Fuzhou, People's Republic of China] W. Li, L. Wang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Multiple Bunch Length Operation Mode Design at HLS-II Storage Ring",1220 1222,
thpoa60,"T.-Y. Lee [PAL, Pohang, Kyungbuk, Republic of Korea] ","Status of PLSII Operation",1223 1225,
thpoa61,"T.-Y. Lee [PAL, Pohang, Kyungbuk, Republic of Korea] ","A Possible Emittance Reduction Scheme for PLSII",1226 1227,
thpoa62,"M. Abliz, J.H. Grimmer, Y. Jaski, M. Ramanathan, F. Westferro [ANL, Argonne, Illinois, USA] ","Clearing Magnet Design for APS-U",1228 1230,
thpoa63,"M. Abliz, M. Borland, H. Cease, G. Decker, M.S. Jaski, J.S. Kerby, U. Wienands, A. Xiao [ANL, Argonne, Illinois, USA] ","Septum Magnet Design for APS-U",1231 1233,
thpoa64,"K. Åhnberg, M.A.G. Johansson, P.F. Tavares, L. Th¿nell (L. Thånell) [MAX IV Laboratory, Lund University, Lund, Sweden] ","MAX IV Storage Ring Magnet Installation Procedure",1234 1236,
thpoa65,"A. Alekou, R. Bartolini [Oxford University, Physics Department, Oxford, Oxon, United Kingdom] A. Alekou, R. Bartolini [JAI, Oxford, United Kingdom] A. Alekou, R. Bartolini, T. Pulampong, R.P. Walker [DLS, Oxfordshire, United Kingdom] N. Carmignani, S.M. Liuzzo, P. Raimondi [ESRF, Grenoble, France] ","Double Triple Bend Achromat for Next Generation 3 GeV Light Sources",1237 1240,
thpoa68,"S. Abeyratne, B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] ","The First Particle-Based Proof of Principle Numerical Simulation of Electron Cooling",1241 1244,
thpoa69,"E. Trakhtenberg, Y. Ivanyushenkov, M. Kasa [ANL, Argonne, Illinois, USA] ","Evolution of the Design of the Magnet Structure for the APS Planar Superconducting Undulators",1245 1247,
tua1co04,"P.M. McIntyre, J. Gerity, A. Sattarov [Texas Aamp;M University, College Station, USA] S. Assadi [HiTek ESE LLC, Madison, USA] K.E. Badgley [Fermilab, Batavia, Illinois, USA] N. Pogue [LLNL, Livermore, California, USA] ","Simulation of Beam Dynamics in a Strong Focusing Cyclotron",251 254,
tua1co05,"A.N. Pham, R. Ready, C.Y. Wong [NSCL, East Lansing, Michigan, USA] S.M. Lund [FRIB, East Lansing, USA] M.J. Syphers [Northern Illinois University, DeKalb, Illinois, USA] ","Conceptual Design of a Ring for Pulse Structure Manipulation of Heavy Ion Beams at the MSU NSCL",255 258,
tua1io02,"E. Petit [GANIL, Caen, France] ","Status Report on the SPIRAL2 Facility at GANIL",240 245,
tua1io03,"K.W. Jones [ORNL, Oak Ridge, Tennessee, USA] ","Technological Challenges in the Path to 3.0 MW at the SNS Accelerator",246 250,
tua2co03,"G.M. Kazakevich, R.P. Johnson, M.L. Neubauer [Muons, Inc, Illinois, USA] V.A. Lebedev, W. Schappert, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","A Novel Technique of Power Control in Magnetron Transmitters for Intense Accelerators",271 274,
tua2co04,"S.C. Schaub [MIT, Cambridge, Massachusetts, USA] M.A. Shapiro, R.J. Temkin [MIT/PSFC, Cambridge, Massachusetts, USA] ","Vacuum Breakdown at 110 GHz",275 277,
tua2io01,"A. Caldwell [MPI-P, München, Germany] ","AWAKE - A Proton Driven Plasma Wakefield Acceleration Experiment at CERN",266 270,
tua3co03,"M. Turner [CERN, Geneva, Switzerland] J.R. Cheatam, A.L. Edelen [CSU, Fort Collins, Colorado, USA] J. Gerity [Texas Aamp;M University, College Station, USA] A. Lajoie, C.Y. Wong [NSCL, East Lansing, Michigan, USA] G. Lawler [UCLA, Los Angeles, California, USA] O. Lishilin [DESY Zeuthen, Zeuthen, Germany] K. Moon [UNIST, Ulsan, Republic of Korea] A. A. Sahai, A. Seryi [JAI, London, United Kingdom] K. Shih [SBU, Stony Brook, New York, USA] B. Zerbe [MSU, East Lansing, Michigan, USA] ","Compact Ring-Based X-Ray Source With on-Orbit and on-Energy Laser-Plasma Injection",435 438,
tua4co03,"V.K.B. Olsen, E. Adli [University of Oslo, Oslo, Norway] P. Muggli [MPI-P, München, Germany] J. Vieira [Instituto Superior Tecnico, Lisbon, Portugal] ","Loading of Wakefields in a Plasma Accelerator Section Driven by a Self-Modulated Proton Beam",457 459,
tua4co04,"C.M. Miao, T.M. Antonsen [UMD, College Park, Maryland, USA] J. Palastro [NRL, Washington,, USA] ","Simulation of High-Power Tunable THz Generation in Corrugated Plasma Waveguides",460 463,
tub1co02,"S. Di Mitri, M. Cornacchia [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Operating Synchrotron Light Sources with a High Gain Free Electron Laser",259 262,
tub1co03,"C. Steier, A. Anders, J.M. Byrd, K. Chow, S. De Santis, R.M. Duarte, J.-Y. Jung, T.H. Luo, H. Nishimura, T. Oliver, J.R. Osborn, H.A. Padmore, G.C. Pappas, S. Persichelli, D. Robin, F. Sannibale, D. Schlueter, C. Sun, C.A. Swenson, M. Venturini, W.L. Waldron, E.J. Wallén, W. Wan, Y.C. Yang [LBNL, Berkeley, California, USA] ","ALS-U: A Soft X-Ray Diffraction Limited Light Source",263 265,
tub2co03,"R.R. Lindberg [ANL, Argonne, Illinois, USA] ","Fokker-Planck Analysis of Transverse Collective Instabilities in Electron Storage Rings",290 292,
tub2co04,"I. Zagorodnov, G. Feng, T. Limberg [DESY, Hamburg, Germany] ","Corrugated Structure Insertion to Extend SASE Bandwidth Up to 3% at the European XFEL",293 295,
tub2io01,"M. Borland [ANL, Argonne, Illinois, USA] R.O. Hettel [SLAC, Menlo Park, California, USA] S.C. Leemann [MAX IV Laboratory, Lund University, Lund, Sweden] D. Robin [LBNL, Berkeley, California, USA] ","Accelerator Physics Challenges in the Design of Multi Bend Achromat Based Storage Rings",278 283,
tub2io02,"E. Ferrari, E. Allaria [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Advanced Concepts for Seeded FELs",284 289,
tub3co03,"C. Emma, C. Pellegrini [UCLA, Los Angeles, USA] M.W. Guetg, A.A. Lutman, A. Marinelli, J. Wu [SLAC, Menlo Park, California, USA] ","Demonstration of fresh slice self seeding in a hard X-ray free electron laser",450 452,
tub3co04,"S.V. Kutsaev, A.Y. Murokh, E.A. Savin, A.Yu. Smirnov, A.V. Smirnov [RadiaBeam Systems, Santa Monica, California, USA] R.B. Agustsson, J.J. Hartzell, A. Verma [RadiaBeam, Santa Monica, California, USA] A. Nassiri, Y. Sun, G.J. Waldschmidt, A. Zholents [ANL, Argonne, Illinois, USA] E.A. Savin [MEPhI, Moscow, Russia] ","A New Thermionic RF Electron Gun for Synchrotron Light Sources",453 456,
tub3io01,"P.F. Tavares, E. Al-Dmour, Å. Andersson, M. Eriksson, M.J. Grabski, M.A.G. Johansson, S.C. Leemann, L. Malmgren, M. Sjöström, S. Thorin [MAX IV Laboratory, Lund University, Lund, Sweden] ","Commissioning of the Max IV Light Source",439 444,
tub3io02,"F. Sannibale [LBNL, Berkeley, California, USA] ","Overview of Electron Source Development for High Repetition Rate FEL Facilities",445 449,
tub4co03,"A. Malyzhenkov, N.A. Yampolsky [LANL, Los Alamos, New Mexico, USA] ","Optimization of Compton Source Performance Through Electron Beam Shaping",474 476,
tub4co04,"M. Kasa, C.L. Doose, J.D. Fuerst, E. Gluskin, Y. Ivanyushenkov [ANL, Argonne, Illinois, USA] ","Progress on the Magnetic Performance of Planar Superconducting Undulators",477 479,
tub4io01,"J.L. Erickson, R.W. Garnett [LANL, Los Alamos, New Mexico, USA] ","Status of the Los Alamos Multi-Probe Facility for Matter-Radiation Interactions in Extremes",464 468,
tub4io02,"R. Wichmann [DESY, Hamburg, Germany] ","Accelerator Technical Progress and First Commissioning Results from the European XFEL",469 473,
tupoa04,"M. Nishida, M. Brameld, M. Washio [Waseda University, Tokyo, Japan] R. Kuroda, Y. Taira [AIST, Tsukuba, Ibaraki, Japan] K. Sakaue [Waseda University, Waseda Institute for Advanced Study, Tokyo, Japan] ","Study on THz Imaging by Using the Coherent Cherenkov Radiation",296 298,
tupoa05,"Y. Saito, S.Y. Soeta, M. Washio [Waseda University, Tokyo, Japan] Y. Hosaka, K. Sakaue [RISE, Tokyo, Japan] ","Development of a Fiber Laser for Improving the Pulse Radiolysis System",299 301,
tupoa07,"C.H. Wang, L.F. Li, X.L. Wang [IHEP, Beijing, People's Republic of China] C.P. Chu [MSU, East Lansing, Michigan, USA] ","IoT Application in the Control System of the BEPCII Power Supplies",302 304,
tupoa10,"T.-Y. Lee, J. Lee, S. Shin [PAL, Pohang, Kyungbuk, Republic of Korea] C.U. Choi, M. Chung [UNIST, Ulsan, Republic of Korea] ","Cyclotrons for Accelerator-Driven Systems",305 307,
tupoa12,"C.Y. Wu, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, K.H. Hu, D. Lee, C.Y. Liao [NSRRC, Hsinchu, Taiwan] ","An Updated LLRF Control System for the TLS Linac",308 310,
tupoa13,"Y.R. Wang [AAI/ANL, Argonne, Illinois, USA] S. Cao, X.K. Shen, Z.M. Zhang, Q.T. Zhao [IMP/CAS, Lanzhou, People's Republic of China] M.E. Conde, D.S. Doran, W. Gai, W. Liu, J.G. Power, J.Q. Qiu, C. Whiteford, E.E. Wisniewski [ANL, Argonne, Illinois, USA] ","First Test Run for High Density Material Imaging Experiment Using Relativistic Electron Beam at the Argonne Wakefield Accelerator",311 313,
tupoa14,"H. Ma, A. Nassiri, T.L. Smith, Y. Sun [ANL, Argonne, Illinois, USA] L.R. Doolittle, A. Ratti [LBNL, Berkeley, California, USA] ","An Internet Rack Monitor-Controller for APS LINAC RF Electronics Upgrade",314 316,
tupoa16,"J.S. Diamond, A. Ibrahim, N. Liu, E.S.M. McCrory, A. Semenov [Fermilab, Batavia, Illinois, USA] ","A VME and FPGA Based Data Acquisition System for Intensity Monitors",317 319,
tupoa17,"N. Eddy, W. Pellico, A. Semenov, D.C. Voy, A.M. Waller [Fermilab, Batavia, Illinois, USA] ","A Longitudinal Digital Mode Damper System for the Fermilab Booster",320 322,
tupoa18,"J.P. Edelen, B.E. Chase, E. Cullerton, J. Einstein, P. Varghese [Fermilab, Batavia, Illinois, USA] ","Low Level RF Control for the PIP-II Injector Test RFQ",323 325,
tupoa19,"D.R. Edstrom, C.M. Baffes, C.I. Briegel, D.R. Broemmelsiek, K. Carlson, B.E. Chase, D.J. Crawford, E. Cullerton, J.S. Diamond, N. Eddy, B.J. Fellenz, E.R. Harms, M.J. Kucera, J.R. Leibfritz, A.H. Lumpkin, D.J. Nicklaus, E. Prebys, P.S. Prieto, J. Reid, A.L. Romanov, J. Ruan, J.K. Santucci, T. Sen, V.D. Shiltsev, Y.-M. Shin, G. Stancari, J.C.T. Thangaraj, R.M. Thurman-Keup, A. Valishev, A. Warner, S.J. Wesseln [Fermilab, Batavia, Illinois, USA] A.T. Green [Northern Illinois Univerity, DeKalb, Illinois, USA] A. Halavanau, D. Mihalcea, P. Piot [Northern Illinois University, DeKalb, Illinois, USA] J. Hyun [Sokendai, Ibaraki, Japan] P. Kobak [BYU-I, Rexburg, USA] W.D. Rush [KU, Lawrence, Kansas, USA] ","50-MeV Run of the IOTA/FAST Electron Accelerator",326 329,
tupoa24,"N. Liu, J.S. Diamond, N. Eddy, A. Ibrahim, N. Patel, A. Semenov [Fermilab, Batavia, Illinois, USA] ","Beam Intensity Monitoring System for the PIP-II Injector Test Accelerator",330 332,
tupoa25,"A.H. Lumpkin, D.R. Edstrom, J. Ruan [Fermilab, Batavia, Illinois, USA] ","Initial Demonstration of 9-MHz Framing Camera Rates on the FAST Drive Laser Pulse Trains*",333 336,
tupoa26,"A.H. Lumpkin, D.R. Edstrom, J. Ruan, J.K. Santucci, R.M. Thurman-Keup [Fermilab, Batavia, Illinois, USA] ","Initial Observations of Micropulse Elongation of Electron Beams in a SCRF Accelerator*",337 340,
tupoa27,"A.H. Lumpkin [Fermilab, Batavia, Illinois, USA] M.A. Anastasio, A.B. Garson [Washington University in St. Louis, St. Louis, Missouri, USA] ","From Relativistic Electrons to X-ray Phase Contrast Imaging",341 344,
tupoa28,"A.H. Lumpkin [Fermilab, Batavia, Illinois, USA] M. Downer [The University of Texas at Austin, Austin, Texas, USA] D.W. Rule [Private Address, Silver Spring, USA] ","Feasibility of OTR Imaging for Laser-Driven Plasma Accelerator Electron-Beam Diagnostics",345 348,
tupoa29,"N. Patel, C.I. Briegel, J.S. Diamond, N. Eddy, B.J. Fellenz, J. Fitzgerald, V.E. Scarpine [Fermilab, Batavia, Illinois, USA] ","Beam Position Monitoring System for the PIP-II Injector Test Accelerator",349 351,
tupoa30,"T.B. Petersen, J.S. Diamond, N. Liu, P.S. Prieto, D. Slimmer, A.C. Watts [Fermilab, Batavia, Illinois, USA] ","Fermilab Switchyard Resonant Beam Position Monitor Electronics Upgrade Results",352 354,
tupoa31,"T.B. Petersen, J.S. Diamond, D. McDowell, D.J. Nicklaus, P.S. Prieto, A. Semenov [Fermilab, Batavia, Illinois, USA] ","Fermilab Cryomodule Test Stand RF Interlock System",355 357,
tupoa36,"A.C. Watts, C. Johnstone, J.A. Johnstone [Fermilab, Batavia, Illinois, USA] ","Computed Tomography of Transverse Phase Space",358 360,
tupoa38,"P.E. Maggi, H.R. Hogstrom, K.L. Matthews II [LSU, Baton Rouge, USA] R.L. Carver [Mary Bird Perkins Cancer Center, Our Lady of the Lake, Baton Rouge, USA] ","Real-Time Magnetic Electron Energy Spectrometer for Use With Medical Linear Acceletors",361 363,
tupoa40,"G. Huang, L.R. Doolittle, Y.L. Xu, J. Yang [LBNL, Berkeley, California, USA] Y.L. Xu, J. Yang [TUB, Beijing, People's Republic of China] ","Low Noise Digitizer Design for LCLS-II LLRF",364 366,
tupoa41,"Y.L. Xu, J.M. Byrd, L.R. Doolittle, Q. Du, G. Huang, W. Leemans, R.B. Wilcox, Y. Yang [LBNL, Berkeley, California, USA] J. Dawson [LLNL, Livermore, California, USA] A. Galvanauskas, J.M. Ruppe [University of Michigan, Ann Arbor, Michigan, USA] ","FPGA Control of Coherent Pulse Stacking",367 369,
tupoa42,"Y. Yang, J.M. Byrd, L.R. Doolittle, G. Huang, W. Leemans, Q. Qiang, R.B. Wilcox [LBNL, Berkeley, California, USA] J. Dawson [LLNL, Livermore, California, USA] A. Galvanauskas, J.M. Ruppe [University of Michigan, Ann Arbor, Michigan, USA] Y.L. Xu [TUB, Beijing, People's Republic of China] ","Multicavity Coherent Pulse Stacking Using Herriott Cells",370 372,
tupoa44,"Q. Liu [Case Western Reserve University, Cleveland, USA] M. Backfish, A. Moretti, V. Papadimitriou, A.V. Tollestrup, K. Yonehara, R.M. Zwaska [Fermilab, Batavia, Illinois, USA] M.A. Cummings, R.P. Johnson, G.M. Kazakevich [Muons, Inc, Illinois, USA] B.T. Freemire [IIT, Chicago, Illinois, USA] ","Future Prospects of RF Hadron Beam Profile Monitors for Intense Neutrino Beam",373 375,
tupoa46,"A.T. Green [Northern Illinois Univerity, DeKalb, Illinois, USA] Y.-M. Shin [Fermilab, Batavia, Illinois, USA] Y.-M. Shin [Northern Illinois University, DeKalb, Illinois, USA] ","Development of a Python-Based Emittance Calculator at Fermilab Science & Technology (FAST) Facility",376 379,
tupoa47,"P. Piot [Fermilab, Batavia, Illinois, USA] M.B. Andorf, G. Fagerberg, M. Figora [Northern Illinois University, DeKalb, Illinois, USA] ","Development of Short Undulators for Electron-Beam-Radiation Interaction Studies",380 382,
tupoa48,"P. Piot [Fermilab, Batavia, Illinois, USA] A. Halavanau [Northern Illinois University, DeKalb, Illinois, USA] ","A High-Level Python Interface to the Fermilab ACNET Control System",383 386,
tupoa49,"J. Norem [Nano Synergy, Inc., Downers Grove, Illinois, USA] Z. Insepov [Purdue University, West Lafayette, Indiana, USA] ","A General Model of Vacuum Arcs in Linacs",387 389,
tupoa51,"A.L. Edelen, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] J.P. Edelen [Fermilab, Batavia, Illinois, USA] ","First Steps Toward Incorporating Image Based Diagnostics into Particle Accelerator Control Systems Using Convolutional Neural Networks",390 393,
tupoa52,"J. Einstein, B.E. Chase, E. Cullerton, P. Varghese [Fermilab, Batavia, Illinois, USA] S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] D. Sharma [RRCAT, Indore (M.P.), India] ","Updates to the Low-Level RF Architecture for Fermilab",394 395,
tupoa54,"L.C. Bennett, O.N. Vassiliev [M.D.A.C.C., Houston, Texas, USA] ","Examination of Out-of-Field Dose and Penumbral Width of Flattening Filter Free Beams in Medical Linear Accelerators",396 398,
tupoa57,"W.F. Bergan, M.J. Forster, N.T. Rider, D. L. Rubin, D. Sagan [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] B.A. Schmookler [MIT, Cambridge, Massachusetts, USA] B. Wojtsekhowski [CMU, Pittsburgh, Pennsylvania, USA] ","Using High­ Precision Beam Position Monitors at the Cornell Electron Storage Ring (CESR) to Measure the One­ Way Speed of Light Anisotropy",399 401,
tupoa58,"W.F. Bergan, A.C. Bartnik, I.V. Bazarov, H. He, D. L. Rubin [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] J.P. Sethna [Cornell University, Ithaca, New York, USA] ","Minimization of Emittance at the Cornell Electron Storage Ring With Sloppy Models",402 404,
tupoa59,"K.W. Smolenski, B.M. Dunham [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] D.L. Barth, M. Muehlbauer, S. Wacker [FRIATEC AG, Mannheim, Germany] J.M. Maxson [UCLA, Los Angeles, California, USA] ","Successful Laboratory-Industrial Partnerships: the Cornell-Friatec Segmented Insulator for High Voltage DC Photocathode Guns",405 407,
