fra1co03,"A. D'Audney, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","An Ultra-High Resolution Pulsed-Wire Magnet Measurement System",1268 1270,
mob3co03,"X. Gu, J.G. Alessi, E.N. Beebe, M. Blaskiewicz, J.M. Brennan, K.A. Brown, D. Bruno, J.J. Butler, R. Connolly, T. D'Ottavio, K.A. Drees, W. Fischer, C.J. Gardner, D.M. Gassner, Y. Hao, M. Harvey, T. Hayes, H. Huang, R.L. Hulsart, P.F. Ingrassia, J.P. Jamilkowski, J.S. Laster, V. Litvinenko, C. Liu, Y. Luo, M. Mapes, G.J. Marr, A. Marusic, G.T. McIntyre, K. Mernick, R.J. Michnoff, M.G. Minty, C. Montag, J. Morris, C. Naylor, S. Nemesure, I. Pinayev, V.H. Ranjbar, D. Raparia, G. Robert-Demolaize, T. Roser, P. Sampson, J. Sandberg, V. Schoefer, F. Severino, T.C. Shrey, K.S. Smith, S. Tepikian, R. Than, P. Thieberger, J.E. Tuozzolo, G. Wang, Q. Wu, A. Zaltsman, K. Zeno, S.Y. Zhang, W. Zhang [BNL, Upton, Long Island, New York, USA] ","RHIC Au-Au Operation at 100 GeV in Run16",42 44,
mob3co04,"S.J. Oliveros, J.G. Acosta, L.M. Cremaldi, T.L. Hart, D.J. Summers [UMiss, University, Mississippi, USA] ","High Luminosity 100 TeV Proton-Antiproton Collider",45 48,
mob3io01,"Y. Ohnishi, T. Abe, T. Adachi, K. Akai, Y. Arimoto, K. Egawa, Y. Enomoto, J.W. Flanagan, H. Fukuma, Y. Funakoshi, K. Furukawa, N. Iida, H. Iinuma, H. Ikeda, T. Ishibashi, M. Iwasaki, T. Kageyama, H. Kaji, T. Kamitani, T. Kawamoto, S. Kazama, M. Kikuchi, T. Kobayashi, K. Kodama, H. Koiso, M. Masuzawa, T. Mimashi, T. Miura, F. Miyahara, T. Mori, A. Morita, S. Nakamura, T.T. Nakamura, H. Nakayama, T. Natsui, M. Nishiwaki, K. Ohmi, T. Oki, S. Sasaki, M. Satoh, Y. Seimiya, K. Shibata, M. Suetake, Y. Suetsugu, H. Sugimoto, M. Tanaka, M. Tawada, S. Terui, M. Tobiyama, S. Uehara, S. Uno, X. Wang, K. Watanabe, Y. Yano, S.I. Yoshimoto, R. Zhang, D. Zhou, X. Zhou, Z.G. Zong [KEK, Ibaraki, Japan] M.E. Biagini, M. Boscolo, S. Guiducci [INFN/LNF, Frascati (Roma), Italy] D. El Khechen [LAL, Orsay, France] ","Commissioning of the Phase-I SuperKEKB B-Factory and Update on the Overall Status",32 36,
mob3io02,"G. Papotti, M. Albert, R. Alemany-Fernandez, E. Bravin, G.E. Crockford, K. Fuchsberger, R. Giachino, M. Giovannozzi, G.H. Hemelsoet, W. Höfle, G. Iadarola, D. Jacquet, M. Lamont, D. Nisbet, L. Normann, T. Persson, M. Pojer, L. Ponce, S. Redaelli, B. Salvachua, M. Solfaroli Camillocci, R. Suykerbuyk, J. Wenninger [CERN, Geneva, Switzerland] ","LHC Operation at 6.5 TeV: Status and Beam Physics Issues",37 41,
mob4co03,"Y.I. Alexahin [Fermilab, Batavia, Illinois, USA] ","Design of Muon Collider Lattices",69 72,
mob4co04,"A.S. Plastun, Z.A. Conway, B. Mustapha, P.N. Ostroumov [ANL, Argonne, Illinois, USA] ","Design of the Room-Temperature Front-End for a Multi-Ion Linac Injector",73 75,
mob4io02,"V. Ptitsyn [BNL, Upton, Long Island, New York, USA] ","ERL-Ring and Ring-Ring Designs for the eRHIC Electron-Ion Collider",64 68,
mopob05,"G. Li [ASIPP, Hefei, People's Republic of China] ","Tokamak Accelerator",76 78,
mopob06,"M.A.G. Johansson [MAX IV Laboratory, Lund University, Lund, Sweden] R. Nietubyc (R. Nietubyć) [NCBJ, Swierk/Otwock, Poland] ","MAX IV and Solaris Linac Magnets Production Series Measurement Results",79 81,
mopob07,"J.A. Carter, K.C. Harkay, B.K. Stillwell [ANL, Argonne, Illinois, USA] ","Off-Orbit Ray Tracing Analysis for the APS-Upgrade Storage Ring Vacuum System",82 84,
mopob08,"J.C. Dooling [ANL, Argonne, Illinois, USA] A.H. Lumpkin [Fermilab, Batavia, Illinois, USA] ","Streak Camera Measurements of the APS PC Gun Drive Laser",85 88,
mopob10,"J.E. Lerch, J.A. Carter, P.K. Den Hartog, G.E. Wiemerslage [ANL, Argonne, Illinois, USA] ","Design of the HGVPU Undulator Vacuum Chamber for LCLS-II",89 91,
mopob11,"B.K. Stillwell, B. Brajuskovic, J.A. Carter, H. Cease, R.M. Lill, G. Navrotski, J. R. Noonan, K.J. Suthar, D.R. Walters, G.E. Wiemerslage, J. Zientek [ANL, Argonne, Illinois, USA] M.P. Sangroula [IIT, Chicago, Illinois, USA] ","Research and Development on the Storage Ring Vacuum System for the APS Upgrade Project",92 95,
mopob12,"J. Wang, G.S. Sprau [ANL, Argonne, Illinois, USA] ","A High Bandwidth Bipolar Power Supply for the Fast Correctors in the APS Upgrade",96 98,
mopob13,"K. Ammigan, P. Hurh, V.I. Sidorov, R.M. Zwaska [Fermilab, Batavia, Illinois, USA] D. Asner, A.M. Casella, D.J. Edwards, A.L. Schemer-Kohrn, D.J. Senor [PNNL, Richland, Washington, USA] ","Post Irradiation Examination Results of the NT-02 Graphite Fins Numi Target",99 101,
mopob14,"K. Ammigan, B.D. Hartsell, P. Hurh, R.M. Zwaska [Fermilab, Batavia, Illinois, USA] A.R. Atherton [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] M.E.J. Butcher, M. Calviani, M. Guinchard, R. Losito [CERN, Geneva, Switzerland] O. Caretta, T.R. Davenne, C.J. Densham, M.D. Fitton, P. Loveridge, J. O'Dell [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] V.I. Kuksenko, S.G. Roberts [University of Oxford, Oxford, United Kingdom] S.G. Roberts [CCFE, Abingdon, Oxon, United Kingdom] ","Experimental Results of Beryllium Exposed to Intense High Energy Proton Beam Pulses",102 105,
