mocoak01,"H.W. Zhao, Y. Cao, Y.C. Feng, X.H. Guo, J.Y. Li, W. Lu, L.T. Sun, D. Xie, X.Z. Zhang, H. Zhao [IMP, Lanzhou, People's Republic of China] ","SECRAL Status and First Beam Test at 24GHz",1 3,
mopot010,"G. Tabacaru [Texas Aamp;M University, Cyclotron Institute, College Station, USA] J. Arje (J. Ärje) [JYFL, Jyvaskyla, Finland] D.P. May [Texas Aamp;M University Cyclotron Institute, College Station, Texas, USA] ","The Light Ion Guide CB-ECRIS Project at the Texas A&M University Cyclotron Institute",55 57,
mopot011,"W. Lu, D. Xie, X.Z. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] W. Lu [Graduate School of the Chinese Academy of Sciences, Beijing, People's Republic of China] L. Ruan, F.C. Song, B. Xiong, S. Yu, J. Yuan [IEE, Beijing, People's Republic of China] ","DRAGON: a New 18 GHz RT ECR Ion Source with a Large Plasma Chamber",58 60,
mopot012,"S. Gammino, G. Castro, L. Celona, G. Ciavola, D. Mascali, R. Miracoli [INFN/LNS, Catania, Italy] G. Adroit, O. Delferriere (Delferrière), R. Gobin, F. Senee (Senée) [CEA/DSM/IRFU, France] F. Maimone [GSI, Darmstadt, Germany] ","Tests of the Versatile Ion Source (VIS) for High Power Proton Beam Production",61 63,
mopot013,"M. Dubois, O. Bajeat, C. Barue, C. Canet, M. Dupuis, J.L. Flambard, R. Frigot, P. Jardin, C. Leboucher, N. Lecesne, P. Lecomte, P. Leherissier (Lehérissier), F. Lemagnen, L. Maunoury, O. Osmond, J.Y. Pacquet, A. Pichard [GANIL, Caen, France] ","MONOBOB II : Latest Results of Monocharged Ion Source for SPIRAL2 Project",64 66,
mopot014,"M. Won, B.S. Lee [Korea Basic Science Institute, Busan, Republic of Korea] ","The Design of 28 GHz ECR Ion Source for the Compact Linear Accelerator in Korea",67 67,
mopot015,"B.S. Lee, M. Won [Korea Basic Science Institute, Busan, Republic of Korea] ","The Design Study of Superconducting Magnet System for an Advanced ECR Ion Source",68 68,
mopot016,"D.G. Cole, G. Machicoane, T. Ropponen, L.T. Sun, L. Tobos [NSCL, East Lansing, Michigan, USA] ","A Low Power Survey of Radial-Offset Axial Sputtering and High Intensity Uranium Production from Axial Sputtering in SuSI",69 71,
mopot017,"R.H. Scott, R.C. Pardo, R.C. Vondrasek [ANL, Argonne, USA] ","Tests of a New Axial Sputtering Technique in an ECRIS",72 74,
thcoak01,"P. Spaedtke (P. Spädtke), R. Lang, J. Maeder (Mäder), F. Maimone, J. Rossbach (Roßbach), K. Tinschert [GSI, Darmstadt, Germany] ","A Correction Scheme for the Hexapolar Error of an Ion Beam Extracted from an ECRIS",191 193,
thcoak02,"S.M. Elliott, E.K. White [Thin Film Consulting, Longmont, Colorado, USA] J. Simkin [Vector Fields Ltd., Oxford, United Kingdom] ","Kinetic Plasma Simulation of Ion Beam Extraction from an ECR Ion Source",194 196,
thcoak03,"S. Saminathan, J.P.M. Beijers, S. Brandenburg, V. Mironov, J. Mulder [KVI, Groningen, The Netherlands] ","Dipole Magnet Optimization for High Efficiency Low Energy Beam Transport",197 199,
thcoak04,"M. Stalder [IEAP, Kiel, Germany] ","Modeling ECRIS Using a 1D Multifluid Code",200 200,
thcobk01,"T. Nakagawa [RIKEN Nishina Center, Wako, Japan] ","Concluding Remarks",201 202,
tucoak01,"C. Peaucelle [IN2P3 IPNL, Villeurbanne, France] J. Angot, P. Grandemange, T. Lamy, T. Thuillier [LPSC, Grenoble Cedex, France] J.-L. Biarrotte [IPN, Orsay, France] D. Uriot [CEA/DSM/IRFU, France] ","First A/Q=3 Beams of Phoenix V2 on the Heavy Ions Low Energy Beam Transport Line of SPIRAL2",75 77,
tucoak02,"H.R. Kremers, J.P.M. Beijers, S. Brandenburg, V. Mironov, J. Mulder, S. Saminathan [KVI, Groningen, The Netherlands] ","Trace Space Reconstruction From Pepperpot Data",78 80,
tucoak03,"D. Winklehner, J.Y. Benitez, D. Leitner, M.M. Strohmeier, D.S. Todd [LBNL, Berkeley, California, USA] D.P. Grote [LLNL, Livermore, California, USA] ","Plasma-to-Target WARP Simulations of Uranium Beams Extracted from VENUS Compared to Emittance Measurements and Beam Images",81 83,
tucoak04,"Y. Higurashi, M. Fujimaki, A. Goto, H. Haba, E. Ikezawa, O. Kamigaito, M. Kase, M. Komiyama, T. Nakagawa, J. Ohnishi, Y. Watanabe [RIKEN Nishina Center, Wako, Japan] T. Aihara, M. Tamura, A. Uchiyama [SHI Accelerator Service Ltd., Tokyo, Japan] ","Production of Highly Charged U Ion Beam from RIKEN SC-ECRIS",84 86,
tucobk01,"I. Izotov, V. Sidorov, V. Skalyga, V. Zorin [IAP/RAS, Nizhny Novgorod, Russia] ","Preglow Phenomenon Origins and its Scaling for Ecris",87 89,
tucobk02,"V. Skalyga, I. Izotov, S. Razin, V. Sidorov, V. Zorin [IAP/RAS, Nizhny Novgorod, Russia] T. Lamy, T. Thuillier [LPSC, Grenoble, France] ","``Preglow'' Investigation in ECR Discharge at 37 GHz, 100 kW",90 92,
tucobk03,"O.A. Tarvainen, H. A. Koivisto, T. Ropponen, V.A. Toivanen [JYFL, Jyvaskyla, Finland] Y. Higurashi, T. Nakagawa [RIKEN Nishina Center, Wako, Japan] ","Time Evolution of Plasma Potential in Pulsed Operation of ECRIS",93 95,
tucobk04,"V. Skalyga, S. Golubev, I. Izotov, S. Razin, V. Sidorov, A. Vodopyanov, V. Zorin [IAP/RAS, Nizhny Novgorod, Russia] ","Micropulses Generation in ECR Breakdown Stimulated by Gyrotron Radiation at 37.5 GHz",96 98,
tucock01,"P. Sortais, J. Angot, T. Lamy, J. Medard (Médard) [LPSC, Grenoble Cedex, France] C. Peaucelle [IN2P3 IPNL, Villeurbanne, France] ","Beam, Multi-Beam and Broad Beam Production with COMIC Devices",99 101,
tucock02,"S.X. Peng, J.E. Chen, Z.Y. Guo, P.N. Lu, Y.R. Lu, H.T. Ren, Z.Z. Song, J.X. Yu, Z.X. Yuan, M. Zhang, J. Zhao [PKU/IHIP, Beijing, People's Republic of China] ","Status of the High Current Permanent Magnet 2.45 GHz ECR Ion Source at Peking University",102 104,
tucock03,"B.H. Oh, D.S. Chang, C.K. Hwang, S.R. In, S.H. Jeong, J.T. Jin, K.W. Lee, C.S. Seo [KAERI, Daejon, Republic of Korea] ","Development of 14.5 GHz Electron Cyclotron Resonance Ion Source at KAERI",105 108,
tucock04,"M.A.C. Hotchkis, D. Button [ANSTO, Menai, Australia] ","Mass Spectrometry with an ECR Ion Source",109 109,
tupot001,"R.C. Pardo, F.G. Kondev, S.A. Kondrashev, C. Nair, T. Palchan, E. Rehm, R.H. Scott, R.C. Vondrasek [ANL, Argonne, USA] P. Collon [University of Notre Dame, Notre Dame, USA] G. Imel [ISU, Pocatello, Idaho, USA] C. McGrath, G. Palmotti, M. Salvatores, G. Youinou [Idaho National Laboratory, Idaho, USA] M. Paul [The Hebrew University of Jerusalem, The Racah Institute of Physics, Jerusalem, Israel] ","Plans for Laser Ablation of Actinides into an ECRIS for Accelerator Mass Spectroscopy",110 113,
tupot002,"F. Odorici, M. Cuffiani, L. Malferrari, R. Rizzoli, G.P. Veronese [INFN-Bologna, Bologna, Italy] G. Castro, L. Celona, G. Ciavola, N. Gambino, S. Gammino, D. Mascali, R. Miracoli, F.P. Romano [INFN/LNS, Catania, Italy] T. Serafino [Università di Messina, Messina, Italy] ","Enhancement of ECR Performances by Means of Carbon Nanotubes Based Electron Guns",114 116,
tupot003,"S. Nyckees, Y. Gauthier, C.M. Mateo [CEA/IRFU, Gif-sur-Yvette, France] G. Adroit, O. Delferriere (Delferrière), R.D. Duperrier, R. Gobin, F. Harrault, O. Napoly, B. Pottin, Y. Sauce, F. Senee (Senée), O. Tuske, T.V. Vacher [CEA/DSM/IRFU, France] ","A New BETSI Test Bench at CEA/Saclay",117 119,
tupot004,"G. Gaubert, C. Bieth, W. Bougy, B.N. Brionne, X. Donzel, A. Sineau, O. Tasset, C. Vallerand, A.C.C. Villari [PANTECHNIK, BAYEUX, France] C. Chavez-de-Jesus, T. Gamboni, W. Geerts, G. Giorginis, R. Jaime Tornin, G. Lovestam (Lövestam), W. Mondelaers [JRC/IRMM, Geel, Belgium] ","Microgan ECR Ion Source in a Van de Graaff Accelerator Terminal",120 123,
tupot005,"R. Rácz, S. Biri [ATOMKI, Debrecen, Hungary] J. Palinkas (J. Pálinkás) [DU, Debrecen, Hungary] ","An ECR Table Plasma Generator",124 126,
tupot006,"X. Donzel, W. Bougy, B.N. Brionne, G. Gaubert, A. Sineau, O. Tasset, C. Vallerand, A.C.C. Villari [PANTECHNIK, BAYEUX, France] R. Leroy [GANIL, Caen, France] ","Using Mass-Flow Controllers for Obtaining Extremely Stable ECR Ion Source Beams",127 129,
tupot007,"S. Djekic, I. Bustinduy, D. Cortazar, D. Fernandez-Cañoto, H. Hassanzadegan, J.L. Munoz, D. de Cos [ESS Bilbao, Bilbao, Spain] F.J. Bermejo [Bilbao, Faculty of Science and Technology, Bilbao, Spain] M.A. Carrera, J.H. Galipienzo [AVS, Eibar, Gipuzkoa, Spain] V. Etxebarria, J. Jugo, J. Portilla [University of the Basque Country, Faculty of Science and Technology, Bilbao, Spain] J. Feuchtwanger, I. Rueda [ESS-Bilbao, Zamudio, Spain] J. Lucas [Elytt Energy, Madrid, Spain] ","Preliminary Design of BLISI, an Off Resonance Microwave Proton Source",130 132,
tupot008,"J.Y. Benitez, D. Leitner, C.M. Lyneis [LBNL, Berkeley, California, USA] M.K. Covo [LLNL, Livermore, California, USA] ","Performance of the LBNL AECR-U with a TWTA",133 133,
tupot009,"H. Zhao, Y. Cao, X.X. Li, D. Xie, W.H. Zhang, X.Z. Zhang, H.W. Zhao, Y.H. Zhu [IMP, Lanzhou, People's Republic of China] W. Lu [Graduate School of the Chinese Academy of Sciences, Beijing, People's Republic of China] ","Measurements of Bremsstrahlung Radiation and X-Ray Heat Load to Cryostat on SECRAL",134 136,
tupot010,"V.A. Toivanen, V.P. Aho, J. Arje (Ärje), P. Jones, J.A. Kauppinen, H. A. Koivisto, P. Peura, O.A. Tarvainen [JYFL, Jyvaskyla, Finland] L. Celona, G. Ciavola, S. Gammino [INFN/LNS, Catania, Italy] A. Galatà [INFN/LNL, Legnaro (PD), Italy] D. Mascali [CSFNSM, Catania, Italy] T. Ropponen [NSCL, East Lansing, Michigan, USA] ","Effects of Microwave Frequency Fine Tuning on the Performance of JYFL 14 GHz ECRIS",137 139,
tupot011,"J.D. Noland, J.Y. Benitez, M. Kireeff Covo, D. Leitner, C.M. Lyneis [LBNL, Berkeley, California, USA] O.A. Tarvainen [JYFL, Jyvaskyla, Finland] J. Verboncoeur [UCB, Berkeley, California, USA] ","Measurement of the Diamagnetic Current on the LBNL 6.4 GHz ECR Ion Source",140 142,
tupot012,"F. Maimone, R. Lang, J. Maeder (Mäder), J. Rossbach (Roßbach), P. Spaedtke (Spädtke), K. Tinschert [GSI, Darmstadt, Germany] L. Celona [INFN/LNS, Catania, Italy] F. Maimone [DMFCI, Catania, Italy] ","Microwave Frequency Dependence of the Properties of the Ion Beam Extracted From a Caprice Type ECRIS",143 145,
