FRXBCH01,"K.J. Peach, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Novel Ideas and Ramp;D for High Intensity Neutrino Beams",
MOPLT158,"J.S. Berg, R. Palmer, BNL, Upton, Long Island, New York","Cost Optimization of Non-Scaling FFAG Lattices for Muon Acceleration",
MOPLT159,"J.M. Brennan, M. Blaskiewicz, J. Butler, J. DeLong, W. Fischer, T. Hayes, BNL, Upton, Long Island, New York","RF Techniques for Improved Luminosity at RHIC",
MOPLT162,"K.A. Drees, R.P. Fliller III, W. Fu, R. Michnoff, BNL, Upton, Long Island, New York","Continuous Abort Gap Cleaning at RHIC",
MOPLT163,"K.A. Drees, T. D'Ottavio, BNL, Upton, Long Island, New York","Luminosity Optimization Using Automated IR Steering at RHIC",
MOPLT164,"W. Fischer, U. Iriso, BNL, Upton, Long Island, New York","Bunch Patterns and Pressure Rise in RHIC",
MOPLT165,"W. Fischer, L. Ahrens, J. Alessi, M. Bai, D. Barton, J. Beebe-Wang, M. Blaskiewicz, J.M. Brennan, D. Bruno, J. Butler, R. Calaga, P. Cameron, R. Connolly, T. D'Ottavio, J. DeLong, K.A. Drees, W. Fu, G. Ganetis, J. Glenn, T. Hayes, P. He, H.-C. Hseuh, H. Huang, P. Ingrassia, U. Iriso, R. Lee, Y. Luo, W.W. MacKay, G. Marr, A. Marusic, R. Michnoff, C. Montag, J. Morris, T. Nicoletti, B. Oerter, C. Pearson, S. Peggs, A. Pendzick, F.C. Pilat, V. Ptitsyn, T. Roser, J. Sandberg, T. Satogata, C. Schultheiss, A. Sidi-Yekhlef, L. Smart, S. Tepikian, R. Tomas, D. Trbojevic, N. Tsoupas, J. Tuozzolo, J. Van Zeijts, K. Vetter, K. Yip, A. Zaltsman, S.Y. Zhang, W. Zhang, BNL, Upton, Long Island, New York","Luminosity Increases in Gold-gold Operation in RHIC",
MOPLT167,"H. Huang, M. Bai, J. Beebe-Wang, M. Blaskiewicz, J.M. Brennan, K.A. Drees, W. Fischer, A.U. Luccio, W.W. MacKay, C. Montag, F.C. Pilat, V. Ptitsyn, T. Roser, T. Satogata, S. Tepikian, D. Trbojevic, J. Van Zeijts, A.Y. Zelinsky, S.Y. Zhang, BNL, Upton, Long Island, New York","RHIC Operation with Longitudinally Polarized Protons",
MOPLT170,"V. Ptitsyn, L. Ahrens, M. Bai, BNL, Upton, Long Island, New York; D.P. Barber, DESY, Hamburg; J. Beebe-Wang, I. Ben-Zvi, M. Blaskiewicz, J.M. Brennan, R. Calaga, X. Chang, E.D. Courant, A. Deshpande, BNL, Upton, Long Island, New York; M. Farkhondeh, MIT/BLAC, Middleton, Massachusetts; A.V. Fedotov, W. Fischer, BNL, Upton, Long Island, New York; W. Franklin, W. Graves, MIT/BLAC, Middleton, Massachusetts; H. Hahn, J. Kewisch, V. Litvinenko, W.W. MacKay, BNL, Upton, Long Island, New York; R. Milner, MIT/BLAC, Middleton, Massachusetts; C. Montag, BNL, Upton, Long Island, New York; A.V. Otboev, BINP SB RAS, Novosibirsk; S. Ozaki, B. Parker, S. Peggs, T. Roser, A. Ruggiero, BNL, Upton, Long Island, New York; Y.M. Shatunov, BINP SB RAS, Novosibirsk; B. Surrow, S. Tepikian, D. Trbojevic, BNL, Upton, Long Island, New York; C. Tschalaer, J. Van der Laan, D. Wang, F. Wang, MIT/BLAC, Middleton, Massachusetts; V. Yakimenko, S.Y. Zhang, BNL, Upton, Long Island, New York; A. Zolfaghari, T. Zwart, MIT/BLAC, Middleton, Massachusetts","eRHIC, Future Electron-ion Collider at BNL",
MOPLT171,"A. Ruggiero, BNL, Upton, Long Island, New York; L. Campajola, Naples University Federico II, Mathematical, Physical and Natural Sciences Faculty, Napoli; D. Davino, Universita' degli Studi del Sannio, Benevento; M.R. Masullo, INFN-Napoli, Napoli; V.G. Vaccaro, Naples University Federico II, Mathematical, Physical and Natural Sciences Faculty, Napoli","A Pratical Demonstration of the CRFQ Storage Ring",
MOPLT172,"R. Tomas, M. Bai, W. Fischer, V. Ptitsyn, T. Roser, T. Satogata, BNL, Upton, Long Island, New York","Quest for a New Working Point in RHIC",
MOPLT174,"D. Trbojevic, M. Blaskiewicz, E.D. Courant, J. Kewisch, T. Roser, A. Ruggiero, N. Tsoupas, BNL, Upton, Long Island, New York","Electron Acceleration for e-RHIC with the Non-scaling FFAG",
MOPLT175,"N. Tsoupas, L. Ahrens, K.A. Brown, D. Gassner, J. Glenn, Y.Y. Lee, T. Roser, P. Thieberger, J. Wei, BNL, Upton, Long Island, New York","A Method to Measure the Focusing Properties (RMatrix) of a Magnet",
MOPLT176,"L. Wang, M. Blaskiewicz, BNL, Upton, Long Island, New York; R.J. Macek, LANL/LANSCE, Los Alamos, New Mexico; J. Wei, BNL, Upton, Long Island, New York","Mechanism of Electron Multipacting with a Long Bunch Proton Beam",
MOPLT177,"J. Wei, M. Blaskiewicz, J.M. Brennan, BNL, Upton, Long Island, New York","Stochastic Cooling Power Requirements",
MOPLT178,"S.Y. Zhang, J. Alessi, M. Bai, M. Blaskiewicz, P. Cameron, K.A. Drees, W. Fischer, R.P. Fliller III, D. Gassner, J. Gullotta, P. He, H.-C. Hseuh, H. Huang, U. Iriso, R. Lee, Y. Luo, W.W. MacKay, C. Montag, B. Oerter, S. Peggs, F.C. Pilat, V. Ptitsyn, T. Roser, T. Satogata, L. Smart, P. Thieberger, D. Trbojevic, J. Van Zeijts, L. Wang, J. Wei, K. Zeno, BNL, Upton, Long Island, New York","RHIC Pressure Rise",
MOPLT179,"S.Y. Zhang, W. Fischer, H. Huang, T. Roser, BNL, Upton, Long Island, New York","Beam Scrubbing for RHIC Polarized Proton Opearation",
MOXACH01,"R. Aymar, CERN, Geneva","Worldwide Perspectives in Accelerators and the Rôle of CERN",
MOXBCH01,"P. Lebrun, CERN, Geneva","Industrial Technology for Unprecendented Energy and Luminosity: the Large Hadron Collider",
MOYCH01,"H. Weise, DESY, Hamburg","The TESLA XFEL Project",
MOYCH02,"L. Merminga, Jefferson Lab, Newport News, Virginia","Physics Challenges for ERL Light Sources",
MOYCH03,"P. Marchand, SOLEIL, Gif-sur-Yvette","Superconducting RF Cavities for Synchrotron Light Sources",
MOZCH01,"S.D. Holmes, Fermilab, Batavia, Illinois","Technologies for Electron-positron Linear Colliders",
MOZCH02,"P. Tenenbaum, SLAC, Menlo Park, California; D. Schulte, CERN, Geneva; A. Seryi, SLAC, Menlo Park, California; N.J. Walker, DESY, Hamburg; G.R. White, Queen Mary University of London, London; M. Woodley, SLAC, Menlo Park, California","Start to End Simulations of Low Emittance Tuning and Stabilization",
SHILTSEV,"","EPS-AG Accelerator Prize",
SYNOPTIC,"","EPAC 2004 Programme",
THOACH01,"J.A. Safranek, S. Allison, P. Bellomo, SLAC/SSRL, Menlo Park, California; M.J. Boland, ASP, Melbourne; J.M. Byrd, LBNL/ALS, Berkeley, California; M. Böge, PSI, Villigen; H.-P. Chang, NSRRC, Hsinchu; W.J. Corbett, M. Cornacchia, SLAC/SSRL, Menlo Park, California; W. Decking, DESY, Hamburg; M.G. Fedurin, LSU/CAMD, Baton Rouge, Louisiana; E. Guerra, SLAC/SSRL, Menlo Park, California; K. Harkay, ANL/APS, Argonne, Illinois; R.O. Hettel, SLAC/SSRL, Menlo Park, California; P. Jines, LSU/CAMD, Baton Rouge, Louisiana; D. Keeley, SLAC/SSRL, Menlo Park, California; S. Krinsky, BNL/NSLS, Upton, Long Island, New York; C.-C. Kuo, NSRRC, Hsinchu; N. Kurita, D.J. Martin, P.A. McIntosh, H. Morales, SLAC/SSRL, Menlo Park, California; L.S. Nadolski, SOLEIL, Gif-sur-Yvette; B. Podobedov, BNL/NSLS, Upton, Long Island, New York; G.J. Portmann, F.S. Rafael, H. Rarback, SLAC/SSRL, Menlo Park, California; D. Robin, LBNL/ALS, Berkeley, California; A. Ropert, ESRF, Grenoble; V. Sajaev, ANL/APS, Argonne, Illinois; T. Scarvie, LBNL/ALS, Berkeley, California; J.J. Sebek, SLAC/SSRL, Menlo Park, California; C. Steier, LBNL/ALS, Berkeley, California; T. Straumann, SLAC/SSRL, Menlo Park, California; Y.E. Tan, ASP, Melbourne; A. Terebilo, SLAC/SSRL, Menlo Park, California; H.-J. Tsai, NSRRC, Hsinchu; J. Wachter, C. Wermelskirchen, M. Widmeyer, SLAC/SSRL, Menlo Park, California; M. Yoon, POSTECH, Pohang, Kyungbuk; R. Yotam, SLAC/SSRL, Menlo Park, California","SPEAR3 Commissioning",
THOACH02,"S. Werin, MAX-lab, Lund; B. Anderberg, AMACC, Uppsala; Å. Andersson, M. Bergqvist, M. Brandin, M. Demirkan, M. Eriksson, MAX-lab, Lund; G. Georgsson, Danfysik A/S, Jyllinge; G. LeBlanc, ASP, Melbourne; L.-J. Lindgren, L. Malmgren, H. Tarawneh, E.J. Wallén, MAX-lab, Lund","Commissioning of the 500 MeV Injector for MAX-lab",
THOACH03,"H. Tanaka, JASRI/SPring-8, Hyogo; M. Adachi, SES, Hyogo-pref.; T. Aoki, T. Asaka, S. Daté, K. Fukami, Y. Furukawa, H. Hanaki, N. Hosoda, JASRI/SPring-8, Hyogo; K. Kobayashi, SES, Hyogo-pref.; T. Kobayashi, N. Kumagai, M. Masaki, T. Masuda, S. Matsui, A. Mizuno, T. Nakamura, T. Nakatani, T. Noda, T. Ohata, H. Ohkuma, T. Ohshima, M. Oishi, S. Sasaki, J. Schimizu, M. Shoji, K. Soutome, M. Suzuki, S. Suzuki, S. Takano, M. Takao, T. Takashima, H. Takebe, K. Tamura, R. Tanaka, T. Taniuchi, Y. Taniuchi, K. Tsumaki, A. Yamashita, K. Yanagida, H. Yonehara, T. Yorita, JASRI/SPring-8, Hyogo; M. Yoshioka, SES, Hyogo-pref.","Top-up Operation at SPring-8 - Towards Maximizing the Potential of a 3rd Generation Light Source",
THOALH01,"A. Winter, RWTH, Aachen; S. Casalbuoni, DESY, Hamburg; T. Korhonen, T. Schilcher, V. Schlott, PSI, Villigen; P. Schmüser, DESY, Hamburg; H. Sigg, PSI, Villigen; S. Simrock, B. Steffen, DESY, Hamburg; D. Suetterlin, PSI, Villigen; M. Tonutti, RWTH, Aachen","Bunch Length Measurements at the SLS Linac using Electro-optical Techniques",
THOALH02,"T. Muto, S. Araki, KEK, Ibaraki; R. Hamatsu, TMU, Hatioji-shi,Tokyo; H. Hayano, V. Karataev, KEK, Ibaraki; A. Naumenko, A.P. Potylitsyn, Tomsk Polytechnic University, Physical-Technical Department, Tomsk; N. Terunuma, J. Urakawa, KEK, Ibaraki","Development of the Non-invasive Beam-size Monitor using ODR",
THOALH03,"S. Gurov, P.A. Bak, BINP SB RAS, Novosibirsk; D. Chernousov, ICKC, Novosibirsk; P.V. Logatchev, V. Pavlov, E. Pyata, BINP SB RAS, Novosibirsk","The Measurements of the Longitudinal Beam Profile on the Preinjector VEPP-5",
THOBCH01,"C. Zhang, J.Q. Wang, IHEP Beijing, Beijing","The Beijing Electron-positron Collider and its Second Phase Construction",
THOBCH02,"C. Milardi, D. Alesini, G. Benedetti, M.E. Biagini, C. Biscari, R. Boni, M. Boscolo, A. Clozza, G.O. Delle Monache, G. Di Pirro, A. Drago, A. Gallo, A. Ghigo, S. Guiducci, M. Incurvati, C. Ligi, F. Marcellini, G. Mazzitelli, L. Pellegrino, M.A. Preger, P. Raimondi, R. Ricci, U. Rotundo, C. Sanelli, M. Serio, F. Sgamma, B. Spataro, A. Stecchi, A. Stella, C. Vaccarezza, M. Vescovi, M. Zobov, INFN/LNF, Frascati (Roma)","DAFNE Operation with the FINUDA Experiment",
THOBCH03,"C.M. Bhat, Fermilab, Batavia, Illinois","Barrier RF Systems in Synchrotrons",
THOBLH01,"T. Furukawa, Chiba University, Graduate School of Science and Technology, Chiba; T. Fujimoto, NIRS, Chiba-shi; T. Furukawa, Chiba University, Graduate School of Science and Technology, Chiba; M. Kanazawa, NIRS, Chiba-shi; T. Naruse, Seikei University, Graduate School of Engineering, Tokyo; K. Noda, S. Shibuya, E. Takada, NIRS, Chiba-shi; T.H. Uesugi, Chiba University, Graduate School of Science and Technology, Chiba; S. Yamada, NIRS, Chiba-shi","Recent Improvement of Slow-extraction at HIMAC Synchrotron",
THOBLH02,"F.V. Hartemann, S. Anderson, C.P.J. Barty, S.M. Betts, R. Booth, J. Brown, K. Crane, R.R. Cross, D.N. Fittinghoff, D. Gibson, E.P. Hartouni, J. Kuba, G.P. Le Sage, LLNL, Livermore, California; J. Rosenzweig, UCLA, Los Angeles, California; D.R. Slaughter, P.T. Springer, A. Tremaine, A.J. Wootton, LLNL, Livermore, California","Ultrafast Compton Scattering X-Ray Source Development at LLNL",
THOBLH03,"R. Klein, R. Thornagel, G. Ulm, PTB, Berlin","BESSY II Operated as a Primary Source Standard",
THPKF001,"V.M. Tsakanov, M. Aghasyan, G. Amatuni, V.S. Avagyan, A. Grigoryan, B. Grigoryan, M. Ivanyan, V. Jalalyan, D.K. Kalantaryan, V.G. Khachatryan, E.M. Laziev, Y.L. Martirosyan, R.H. Mikaelyan, S. Minasyan, K.N. Sanosyan, S. Tatikian, S. Tunyan, A. Vardanyan, CANDLE, Yerevan","Status of 3 GeV CANDLE Synchrotron Light Facility Project",
THPKF002,"A. Vardanyan, G. Amatuni, CANDLE, Yerevan","Linac RF Control System for CANDLE. Design and Simulation",
THPKF004,"A. Jackson, ASP, Melbourne","The Australian Synchrotron Project - Update",
THPKF005,"G. LeBlanc, M.J. Boland, Y.E. Tan, ASP, Melbourne","The Australian Synchrotron Project Storage Ring and Injection System Overview",
THPKF006,"N.P. Abreu, P.F. Tavares, LNLS, Campinas","Lifetime Studies in the LNLS Electron Storage Ring",
THPKF007,"L. Dallin, R. Berg, J.C. Bergstrom, X. Shen, R.M. Silzer, J.M. Vogt, M.S. de Jong, CLS, Saskatoon, Saskatchewan","Canadian Light Source Status and Commissioning Results",
THPKF008,"R.M. Silzer, R. Berg, J.C. Bergstrom, L. Dallin, X. Shen, J.M. Vogt, CLS, Saskatoon, Saskatchewan","Injection System for the Canadian Light Source",
THPKF009,"R. Berg, L. Dallin, J.M. Vogt, CLS, Saskatoon, Saskatchewan","Orbit Control for the Canadian Light Source",
THPKF011,"S. Redaelli, R.W. Assmann, CERN, Geneva; M. Böge, PSI, Villigen; W. Coosemans, CERN, Geneva; M. Dehler, L. Rivkin, PSI, Villigen","Vibration Measurements at the Swiss Light Source (SLS)",
THPKF012,"A. Lüdeke, PSI, Villigen","Operation of the Swiss Light Source: Top-up for Highest Performance",
THPKF013,"K. Holldack, S. Khan, R. Mitzner, T. Quast, G. Wustefeld, BESSY GmbH, Berlin","Terahertz Diagnostics for the Femtosecond X-ray Source at BESSY",
THPKF014,"S. Khan, H.-J. Baecker, J. Bahrdt, H.A. Duerr, V. Duerr, W. Eberhardt, A. Gaupp, K. Godehusen, BESSY GmbH, Berlin; I. Hertel, MBI, Berlin; K. Holldack, E. Jaeschke, T. Kachel, D. Krämer, R. Mitzner, M. Neeb, BESSY GmbH, Berlin; F. Noack, MBI, Berlin; W.B. Peatman, T. Quast, G. Reichardt, M.-M. Richter, BESSY GmbH, Berlin; W. Sandner, MBI, Berlin; M. Scheer, O. Schwarzkopf, F. Senf, BESSY GmbH, Berlin; I. Will, MBI, Berlin; G. Wustefeld, BESSY GmbH, Berlin; N. Zhavarnokov, MBI, Berlin","Status of the BESSY II Femtosecond X-ray Source",
THPKF015,"G. Wustefeld, J. Feikes, K. Holldack, P. Kuske, BESSY GmbH, Berlin","Compressed Electron Bunches for THz-Generation - Operating BESSY II in a Dedicated Low Alpha Mode",
THPKF016,"R. Klein, PTB, Berlin; M. Abo-Bakr, P. Budz, K. Bürkmann, D. Krämer, J. Rahn, BESSY GmbH, Berlin; G. Ulm, PTB, Berlin; G. Wustefeld, BESSY GmbH, Berlin","The Metrology Light Source of the Physikalisch-Technische Bundesanstalt in Berlin-Adlershof",
THPKF017,"D. Schirmer, U. Berges, J. Friedl, A. Gasper, M. Grewe, P. Hartmann, R.G. Heine, H. Huck, G. Schmidt, C. Sternemann, M. Tolan, T. Weis, C. Westphal, K. Wille, DELTA, Dortmund","Status of the Synchrotron Light Source DELTA",
THPKF018,"G. Schmidt, M. Benna, U. Berges, J. Friedl, A. Gasper, M. Grewe, P. Hartmann, R.G. Heine, H. Huck, D. Schirmer, S. Strecker, T. Weis, K. Wille, N. Zebralla, DELTA, Dortmund","Study for a Frequent Injection Mode at Delta with Beam Shutters Open",
THPKF019,"K. Balewski, W. Brefeld, W. Decking, Y.L. Li, G.K. Sahoo, R. Wanzenberg, DESY, Hamburg","PETRA III: A New High Brilliance Synchrotron Radiation Source at DESY",
THPKF020,"F. Brinker, O. Kaul, DESY, Hamburg","Improvements of the Orbit Stability at DORIS III",
THPKF021,"R. Wanzenberg, K. Balewski, DESY, Hamburg","Beam Current Limitations in the Synchrotron Light Source PETRA III",
THPKF022,"A.-S. Müller, I. Birkel, E. Huttel, M. Pont, F. Pérez, R. Rossmanith, FZK-ISS-ANKA, Karlsruhe","Energy Calibration of the ANKA Storage Ring",
THPKF023,"F. Pérez, I. Birkel, K. Hertkorn, E. Huttel, A.-S. Müller, M. Pont, FZK-ISS-ANKA, Karlsruhe","Studies using Beam Loss Monitors at ANKA",
THPKF024,"G. Georgsson, N. Hauge, Danfysik A/S, Jyllinge; S.P. Møller, ISA, Aarhus","A STATE-OF-THE-ART 3 GEV BOOSTER FOR ASP",
THPKF025,"G. Georgsson, Danfysik A/S, Jyllinge; L. Dallin, CLS, Saskatoon, Saskatchewan; S.P. Møller, ISA, Aarhus; L. Præstegaard, Århus Sygehus, Århus","Commissioning Report of the CLS Booster Synchrotron",
THPKF026,"D. Einfeld, CELLS, Bellaterra (Cerdanyola del Vallès); M. Attal, G. Vignola, SESAME, Amman","An Update on the SESAME Light Source",
THPKF027,"D. Einfeld, J. Bordas, J. Campmany, S. Ferrer, M. Muñoz, M. Pont, F. Pérez, CELLS, Bellaterra (Cerdanyola del Vallès)","A Concept for the Spanish Light Source CELLS",
THPKF028,"P. Bosland, CEA/DSM, Gif-sur-Yvette; P. Bredy, S. Chel, G. Devanz, CEA/DSM/DAPNIA, Gif-sur-Yvette; R. Losito, CERN, Geneva; P. Marchand, K. Tavakoli, C. Thomas-Madec, SOLEIL, Gif-sur-Yvette","Upgrade of the Cryomodule Prototype before its Implementation in SOLEIL",
THPKF029,"O.V. Chubar, M. Idir, M.-P. Level, A. Loulergue, T. Moreno, A. Nadji, L.S. Nadolski, F. Polack, SOLEIL, Gif-sur-Yvette","Femto-second Electron Beam Slicing Project at SOLEIL",
THPKF030,"J.-M. Filhol, SOLEIL, Gif-sur-Yvette","Progress Report on the construction of SOLEIL",
THPKF031,"P. Marchand, R.L. Lopes, J. Polian, F. Ribeiro, T. Ruan, SOLEIL, Gif-sur-Yvette","High Power (35 KW and 190 KW) 352 MHZ Solid State Amplifiers for Synchrotron SOLEIL",
THPKF032,"E. Plouviez, N. Michel, ESRF, Grenoble","Cleaning of Parastic Bunches in the ESRF Booster Synchrotron for Time Structure Modes of Operation",
THPKF033,"A. Ropert, P. Elleaume, L. Farvacque, Y. Papaphilippou, T. Perron, ESRF, Grenoble","Prospects for Long-term Lattice Upgrade at the ESRF",
THPKF034,"L. Auditore, R.C. Barnà, D. De Pasquale, INFN amp; Messina University, S. Agata, Messina; A. Italiano, INFN - Gruppo Messina, S. Agata, Messina; A. Trifirò, M. Trimarchi, INFN amp; Messina University, S. Agata, Messina","Design of a Photoneutron Source based on a 5 MeV Electron Linac",
THPKF035,"N. Nakamura, ISSP/SRL, Chiba","Design of the Super-SOR Light Source",
THPKF036,"N. Nakamura, M. Fujisawa, ISSP/SRL, Chiba; H. Hayano, KEK, Ibaraki; H. Kudo, ISSP/SRL, Chiba; T. Muto, KEK, Ibaraki; H. Sakai, K. Shinoe, H. Takaki, T. Tanaka, ISSP/SRL, Chiba","Developments of the FZP Beam Profile Monitor",
THPKF037,"Y. Shoji, S.H. Hisao, T. Matsubara, LASTI, Ako-gun, Hyogo","Quasi-isochronus Operation at NewSUBARU",
THPKF038,"K. Tsumaki, S. Matsui, M. Oishi, JASRI/SPring-8, Hyogo; T. Shibata, T. Tateishi, KOBELCO, Hyogo; T. Yorita, JASRI/SPring-8, Hyogo","Radiation Damage of Magnet Coils due to Synchrotron Radiation",
THPKF039,"Y. Yamazaki, JNC/OEC, Ibaraki-ken; S. Araki, KEK, Ibaraki; M.K. Fukuda, NIRS, Chiba-shi; H. Hayano, KEK, Ibaraki; K. Hirano, NIRS, Chiba-shi; M. Kuriki, T. Muto, KEK, Ibaraki; M. Nomura, M. Takano, NIRS, Chiba-shi; N. Terunuma, J. Urakawa, KEK, Ibaraki","Study of Photo-cathode RF Gun for a High Brightness Electron Beam",
THPKF040,"Y. Yoshida, T. Kozawa, S. Tagawa, J. Yang, ISIR, Osaka","Development of a Femtosecond Pulse Radiolysis for Reaction Analysis in Nano-space",
THPKF041,"Z. Zhao, H. Xu, SINR, Jiading, Shanghai","SSRF: A 3.5GeV Synchrotron Light Source for China",
THPKF043,"R.D. Minea, M.M. Brasoveanu, INFLPR, Bucharest - Magurele; E. Mazilu, Hofigal S.A., Bucharest - Magurele; M.R. Nemtanu, C. Oproiu, INFLPR, Bucharest - Magurele; N. Radulescu, Hofigal S.A., Bucharest - Magurele","Accelerators Use for Irradiation of Fresh Medicinal Herbs",
THPKF044,"J.-Y. Hwang, J. Chen, J.-P. Chiou, K.-T. Hsu, S.Y. Hsu, K.H. Hu, T.C. King, C.H. Kuo, K.-K. Lin, NSRRC, Hsinchu; C.T. Pan, NTHU, Hsinchu; C.-J. Wang, Y.-T. Yang, NSRRC, Hsinchu","The Improvement of NSRRC Linac for Top-up Mode Operation",
THPKF045,"C.-C. Kuo, H.-P. Chang, P.J. Chou, K.-T. Hsu, G.-H. Luo, H.-J. Tsai, M.-H. Wang, NSRRC, Hsinchu","Accelerator Physics Issues at NSRRC",
THPKF046,"G.-H. Luo, H.-P. Chang, J. Chen, C.-C. Kuo, K.-B. Liu, R.J. Sheu, H.-J. Tsai, M.-H. Wang, NSRRC, Hsinchu","Feasibility Study of Constant Current Operation at TLS Storage Ring",
THPKF050,"V. Auslender, A.A. Bryazgin, B.L. Faktorovich, E.N. Kokin, I. Makarov, S.A. Maximov, V.E. Nekhaev, A.D. Panfilov, V.M. Radchenko, M.A. Tiunov, V.O. Tkachenko, A.F.A. Tuvik, L.A. Voronin, BINP SB RAS, Novosibirsk","Electron Accelerator for Energy up to 5.0 MeV and Beam Power up to 50 KW with X-ray Converter",
THPKF051,"V. Korchuganov, V. Korchuganov, RRC Kurchatov Institute, Moscow; M.V. Kovalchuk, RAS/A.V.Shubnikov, Moscow; Y.V. Krylov, V.V. Kvardakov, D.G. Odintsov, V. Ushkov, A.G. Valentinov, Y.L. Yupinov, S.I. Zheludeva, RRC Kurchatov Institute, Moscow","The Status-2004 of the KURCHATOV Center of SR",
THPKF052,"M. Petrichenkov, N. Alinovsky, V. Klyuev, E. Konstantinov, S.G. Konstantinov, A. Kozhemyakin, A. Kryuchkov, V.V. Parkhomchuk, A. Popov, S. Rastigeev, V.B. Reva, B. Sukhina, BINP SB RAS, Novosibirsk","The Project of Accelerator Mass-Spectrometer at BINP",
THPKF056,"M. Eriksson, MAX-lab, Lund; B. Anderberg, AMACC, Uppsala; Å. Andersson, M. Bergqvist, MAX-lab, Lund; S. Biedron, ANL, Argonne, Illinois; M. Brandin, M. Demirkan, G. Georgsson, G. LeBlanc, L.-J. Lindgren, L. Malmgren, MAX-lab, Lund; S.V. Milton, ANL, Argonne, Illinois; H. Tarawneh, E.J. Wallén, S. Werin, MAX-lab, Lund","The MAX IV Facility",
THPKF058,"S. Werin, Å. Andersson, M. Bergqvist, M. Brandin, MAX-lab, Lund; G. Georgsson, Danfysik A/S, Jyllinge; L. Malmgren, S. Werin, MAX-lab, Lund","Experimental Experience with a Thermionic RF-gun",
THPKF059,"S. Werin, M. Berglund, M. Brandin, T. Hansen, MAX-lab, Lund","Adaption of an RF-gun from Thermionic to Photo Cathode",
THPKF060,"H.O. Moser, B.D.F. Casse, E.P. Chew, M. Cholewa, C. Diao, S.X.D. Ding, M. Hua, J.R. Kong, Z. Li, S.bin. Mahmood, M.L. Ng, B.T. Saw, S.V.S. Vidyaraj, O. Wilhelmi, J.H.W. Wong, P. Yang, X.J. Yu, SSLS, Singapore","Singapore Synchrotron Light Source-- Helios 2 and Beyond",
THPKF061,"G.F. Popov, V.T. Lazurik, V.M. Lazurik, Y.V. Rogov, KhNU, Kharkov","RT-office for Electron Beam, X-ray, and Gamma-ray Dosimetry",
THPKF062,"G.F. Popov, KhNU, Kharkov; I. Kalushka, Institute of Nuclear Chemistry and Technology, Warsaw; V.T. Lazurik, V.M. Lazurik, Y.V. Rogov, KhNU, Kharkov; Z. Zimek, Institute of Nuclear Chemistry and Technology, Warsaw","Comparison of Dose Distribution Prediction in Targets Irradiated by Electron Beams with Dosimetry",
THPKF063,"E.V. Bulyak, V. Skomorokhov, NSC/KIPT, Kharkov","Parameters of X-ray Radiation Emitted by Compton Sources",
THPKF064,"A.Y. Zelinsky, NSC/KIPT, Kharkov; A. Agafonov, LPI, Moscow; V.P. Androsov, NSC/KIPT, Kharkov; J.I.M. Botman, TUE, Eindhoven; E.V. Bulyak, I.V. Drebot, P. Gladkikh, V.A. Grevtsev, V.A. Ivashchenko, I.M. Karnaukhov, V. Lapshin, NSC/KIPT, Kharkov; A.N. Lebedev, LPI, Moscow; V. Markov, N.I. Mocheshnikov, A. Mytsykov, F.A. Peev, A.V. Rezaev, A.A. Shcherbakov, V.L. Skirda, V.A. Skomorokhov, NSC/KIPT, Kharkov; T.R. Tatchyn, SLAC/SSRL, Menlo Park, California; Y.N. Telegin, V.I. Trotsenko, NSC/KIPT, Kharkov","Status of Kharkov X-ray Generator based on Compton Scattering NESTOR",
THPKF066,"A. Opanasenko, NSC/KIPT, Kharkov","Conception of X-ray Source Based on Compact Wakefield Undulator",
THPKF067,"S.L. Smith, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; R. Bartolini, Diamond, Oxfordshire; D.J. Holder, J.K. Jones, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; I.P.S. Martin, B. Singh, Diamond, Oxfordshire; J.A. Varley, N.G. Wyles, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Progress of the DIAMOND Storage Ring and Injector Design.",
THPKF068,"V.P. Suller, LSU/CAMD, Baton Rouge, Louisiana; D. Einfeld, CELLS, Bellaterra (Cerdanyola del Vallès); M.G. Fedurin, J. Hormes, LSU/CAMD, Baton Rouge, Louisiana; G. Vignola, SESAME, Amman","An Advanced Light Source Proposed for the South Eastern USA",
THPKF069,"V.P. Suller, M.G. Fedurin, P. Jines, D.J. Launey, T.A. Miller, Y. Wang, LSU/CAMD, Baton Rouge, Louisiana","Improvements to, and Current Status of, the CAMD Light Source",
THPKF070,"V.P. Suller, E.J. Anzalone, A.J. Crappell, M.G. Fedurin, T.A. Miller, LSU/CAMD, Baton Rouge, Louisiana","A Beam Based Alignment System at the CAMD Light Source",
THPKF071,"R. Bartolini, Diamond, Oxfordshire; N.G. Wyles, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Linear Coupling and Lifetime Issues in the DIAMOND Storage Ring",
THPKF072,"R.P. Walker, Diamond, Oxfordshire","Progress with the Diamond Light Source",
THPKF073,"J.M. Byrd, S. De Santis, J.-Y. Jung, M.C. Martin, W.R. McKinney, D.V. Munson, H. Nishimura, D. Robin, F. Sannibale, R.D. Schlueter, M. Venturini, W. Wan, M.S. Zolotorev, LBNL, Berkeley, California","CIRCE, the Coherent InfraRed CEnter at the ALS",
