FRXBCH01,"K.J. Peach, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Novel Ideas and Ramp;D for High Intensity Neutrino Beams",
MOPKF022,"S. Schreiber, DESY, Hamburg","Commissioning of the VUV-FEL Injector at TTF",
MOPKF025,"R. Rossmanith, A. Bernhard, FZK-ISS-ANKA, Karlsruhe; D. Dölling, A. Hobl, ACCEL, Bergisch Gladbach; B.K. Kostka, FZK-ISS-ANKA, Karlsruhe; D. Krischel, S. Kubsky, ACCEL, Bergisch Gladbach; U. Schindler, Erlangen University, Erlangen; T. Schneider, FZ Karlsruhe, Karlsruhe; E. Steffens, Erlangen University, Erlangen","Planar and Planar Helical Superconductive Undulators for Storage Rings, State of the Art",
MOPKF026,"J.H. Han, K. Abrahamyan, DESY Zeuthen, Zeuthen; I. Bohnet, DESY, Hamburg; J. Bähr, DESY Zeuthen, Zeuthen; J.-P. Carneiro, K. Floettmann, DESY, Hamburg; H.-J. Grabosch, DESY Zeuthen, Zeuthen; M.V. Hartrott, BESSY GmbH, Berlin; M. Krasilnikov, D. Lipka, DESY Zeuthen, Zeuthen; P. Michelato, INFN/LASA, Segrate (MI); V. Miltchev, DESY Zeuthen, Zeuthen; L. Monaco, INFN/LASA, Segrate (MI); A. Oppelt, B. Petrosyan, D. Pose, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Schreiber, DESY, Hamburg; D. Sertore, INFN/LASA, Segrate (MI); L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Conditioning and High Power Test of the RF Guns at PITZ",
MOPKF027,"M. Krasilnikov, DESY Zeuthen, Zeuthen; K. Abrahamyan, YerPhI, Yerevan; W. Ackermann, TEMF, Darmstadt; G. Asova, INRNE, Sofia; I. Bohnet, DESY, Hamburg; J. Bähr, DESY Zeuthen, Zeuthen; J.-P. Carneiro, DESY, Hamburg; R. Cee, TEMF, Darmstadt; G. Dimitrov, INRNE, Sofia; K. Floettmann, DESY, Hamburg; U. Gensch, H.-J. Grabosch, J.H. Han, DESY Zeuthen, Zeuthen; M.V. Hartrott, E. Jaeschke, D. Krämer, BESSY GmbH, Berlin; D. Lipka, DESY Zeuthen, Zeuthen; P. Michelato, INFN/LASA, Segrate (MI); V. Miltchev, DESY Zeuthen, Zeuthen; L. Monaco, INFN/LASA, Segrate (MI); W.F.O. Müller, TEMF, Darmstadt; A. Oppelt, DESY Zeuthen, Zeuthen; C. Pagani, INFN/LASA, Segrate (MI); B. Petrosyan, D. Pose, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Riemann, DESY, Hamburg; J. Rossbach, Uni HH, Hamburg; W. Sandner, MBI, Berlin; S. Schreiber, DESY, Hamburg; D. Sertore, INFN/LASA, Segrate (MI); S. Setzer, TEMF, Darmstadt; L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen; I. Tsakov, INRNE, Sofia; T. Weiland, TEMF, Darmstadt; I. Will, MBI, Berlin","Optimizing the PITZ Electron Source for the VUV-FEL",
MOPKF029,"G. Lambert, B. Carré, M.-E. Couprie, CEA/Saclay, Gif-sur-Yvette; A. Doria, ENEA C.R. Frascati, Frascati (Roma); D. Garzella, CEA/Saclay, Gif-sur-Yvette; L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); T. Hara, H. Kitamura, T. Shintake, RIKEN Spring-8 Harima, Hyogo","Seeding High Gain Harmonic Generation with Laser Harmonics produced in Gases",
MOPKF030,"M.-E. Couprie, CEA/DSM, Gif-sur-Yvette; O.V. Chubar, SOLEIL, Gif-sur-Yvette; M. Desmons, CEA/DSM/DAPNIA, Gif-sur-Yvette; D. Garzella, B. Gilquin, CEA/DSM, Gif-sur-Yvette; M. Jablonka, CEA/DSM/DAPNIA, Gif-sur-Yvette; A. Loulergue, SOLEIL, Gif-sur-Yvette; J.-R. Marquès, LULI, Palaiseaux; F. Meot, CEA/DSM/DAPNIA, Gif-sur-Yvette; P. Monot, CEA/DSM, Gif-sur-Yvette; A. Mosnier, CEA/DSM/DAPNIA, Gif-sur-Yvette; L. Nahon, CEA/DSM, Gif-sur-Yvette; J.-M. Ortega, LURE, Orsay; A. Rousse, LOA, Palaiseau","quot;ARC-EN-CIELquot; a Proposal for a 4th Generation Light Source in France",
MOPKF031,"O.V. Chubar, C. Benabderrahmane, A. Dael, M.-P. Level, O. Marcouillé, M. Massal, SOLEIL, Gif-sur-Yvette","SOLEIL Insertion Devices: The Progress Report",
MOPKF032,"J. Chavanne, C. Penel, B. Plan, F. Revol, ESRF, Grenoble","Status of the ESRF Insertion Devices",
MOPKF033,"Y. Papaphilippou, P. Elleaume, L. Farvacque, L. Hardy, G.A. Naylor, E. Plouviez, J.-L. Revol, B.K. Scheidt, V. Serriere, ESRF, Grenoble","Operational Improvements in the ESRF Injection Complex",
MOPKF034,"E.J. Wallén, J. Chavanne, P. Elleaume, ESRF, Grenoble","Status of the Development of Superconducting Undulators at the ESRF",
