mooa02,"H. Loos [SLAC, Menlo Park, California, USA] ","Beam Instrumentation for X-ray FELs",99 98,
mopd19,"D. Lipka, B. Lorbeer, D. Noelle (D. Nölle), M. Siemens, S. Vilcins [DESY, Hamburg, Germany] ","Button BPM Development for the European XFEL",83 85,
mopd20,"M. Ruf, P. Quednau, L. Schmidt [U. Erlangen-Nurnberg LHFT, Erlangen, Germany] S. Setzer [Siemens Med, Erlangen, Germany] ","Applicability of the AM-PM Conversion Method to Beam Position Monitoring of Electron Beams accelerated in S-Band Frequency Range",86 88,
mopd21,"D. Belver, I. Arredondo, P. Echevarria, J. Feuchtwanger, H. Hassanzadegan, M. del Campo [ESS-Bilbao, Zamudio, Spain] F.J. Bermejo [Bilbao, Faculty of Science and Technology, Bilbao, Spain] V. Etxebarria, J. Jugo, J. Portilla [University of the Basque Country, Faculty of Science and Technology, Bilbao, Spain] N. Garmendia, L. Muguira [ESS Bilbao, Bilbao, Spain] ","Overview of the BPM System of the ESS-Bilbao",89 91,
mopd22,"M. Tejima, T. Toyama [KEK, Ibaraki, Japan] S. Hatakeyama [JAEA/J-PARC, Tokai-mura, Japan] ","Beam Based Gain Calibration of Beam Position Monitors at J-PARC MR",92 94,
mopd23,"P.C. Chiu, J. Chen, Y.K. Chen, K.T. Hsu, K.H. Hu, C.H. Kuo [NSRRC, Hsinchu, Taiwan] ","Photon BPM Electronics Development at Taiwan Light Source",95 97,
mopd24,"M. Gasior, J. Olexa, R.J. Steinhagen [CERN, Geneva, Switzerland] ","A High-resolution Diode-based Orbit Measurement System – Prototype Results from the LHC",98 100,
mopd25,"H.-W. Glock, H. Ecklebe, T. Flisgen [Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock, Germany] N. Baboi, P. Zhang [DESY, Hamburg, Germany] ","Diode Down-mixing of HOM Coupler Signals for Beam Position Determination in 1.3-GHz- and 3.9-GHz-Cavities at FLASH",101 103,
mopd26,"M. Znidarcic, B.B. Baricevic, R. Hrovatin [I-Tech, Solkan, Slovenia] J.M. Carmona, A. Ibarra, I. Podadera [CIEMAT, Madrid, Spain] ","Testing of New Hadron Beam Phase and Position Monitor at CIEMAT Laboratory",104 106,
mopd27,"F. Nolden, P. Hülsmann, P. Moritz, C. Peschke, P. Petri, M. Steck, H. Weick [GSI, Darmstadt, Germany] Yu.A. Litvinov [MPI-K, Heidelberg, Germany] M.S. Sanjari [IKF, Frankfurt am Main, Germany] J.X. Wu, Y.D. Zang, S.H. Zhang, T.C. Zhao [IMP, Lanzhou, People's Republic of China] ","A Sensitive Resonant Schottky Pick-Up for the ESR Storage Ring at GSI",107 109,
mopd28,"G. Rehm, C. Bloomer, C.A. Thomas [Diamond, Oxfordshire, United Kingdom] ","Loss Factor Measurement using Time Correlated Single Photon Counting of Synchrotron Radiation",110 112,
mopd30,"H.-Ch. Schroeder (H.-C. Schröder), A. Affeldt, H.P. Gausepohl, G. Kube, G. Priebe [DESY, Hamburg, Germany] ","Bunch Length Measurement for PETRA III Light Source Storage Ring",113 115,
mopd31,"M. Kuntzsch, A. Buechner (A. Büchner), T. Kirschke, U. Lehnert, F. Roeser (F. Röser) [HZDR, Dresden, Germany] ","Future Timing and Synchronization Scheme at ELBE",116 118,
mopd32,"C.A. Thomas, I.P.S. Martin, G. Rehm [Diamond, Oxfordshire, United Kingdom] ","Bunch Length Measurement from Power Fluctuation at Diamond",119 121,
mopd33,"A. Angelovski, R. Jakoby, A. Kuhl, A. Penirschke, S. Schnepp [TU Darmstadt, Darmstadt, Germany] M.K. Bock, M. Bousonville, P. Gessler, H. Schlarb [DESY, Hamburg, Germany] J. Roensch-Schulenburg (J. Rönsch-Schulenburg), J. Rossbach (J. Roßbach) [Uni HH, Hamburg, Germany] T. Weiland [TEMF, TU Darmstadt, Darmstadt, Germany] ","Pickup Design for a High Resolution Bunch Arrival Time Monitor for FLASH and XFEL",122 124,
mopd34,"A. Kuhl, A. Angelovski, R. Jakoby, A. Penirschke, S. Schnepp [TU Darmstadt, Darmstadt, Germany] M.K. Bock, M. Bousonville, P. Gessler, H. Schlarb [DESY, Hamburg, Germany] J. Roensch-Schulenburg (J. Rönsch-Schulenburg), J. Rossbach (J. Roßbach) [Uni HH, Hamburg, Germany] T. Weiland [TEMF, TU Darmstadt, Darmstadt, Germany] ","Analysis of New Pickup Designs for the FLASH and XFEL Bunch Arrival Time Monitor System",125 127,
mopd35,"A. Reiter, C.M. Kleffner, B. Schlitt [GSI, Darmstadt, Germany] ","Improved Signal Treatment for Capacitive Linac Pick-Ups",128 130,
mopd36,"F. Zocca [IEM, Madrid, Spain] E. Bravin, M.A. Fraser, D. Voulot, F.J.C. Wenander, F. Zocca [CERN, Geneva, Switzerland] M. Pasini [Instituut voor Kern- en Stralingsfysica, K. U. Leuven, Leuven, Belgium] ","Development of a Silicon Detector Monitor for the Superconducting Upgrade of the REX-ISOLDE Heavy-Ion Linac at CERN",131 133,
mopd37,"R. Appio, P. Craievich, M. Ferianis, M. Veronese [ELETTRA, Basovizza, Italy] ","Simulations of the Coherent Gap Radiation for the Bunch Length Monitor of FERMI@Elettra",134 136,
mopd38,"L. Kotynia, D.R. Makowski, A. Mielczarek, A. Napieralski [TUL-DMCS, Lodz, Poland] C. Gerth, T. Jezynski, H. Schlarb, B. Schmidt, B. Steffen [DESY, Hamburg, Germany] ","1-MHz Line Detector for Intra-bunch-train Multichannel Feedback",137 139,
mopd40,"Yu. A. Rogovsky, D.E. Berkaev, I. Koop, A.N. Kyrpotin, I. Nesterenko, A.L. Romanov, Y.M. Shatunov, D.B. Shwartz [BINP SB RAS, Novosibirsk, Russia] ","Beam Measurements with Visible Synchrotron Light at VEPP-2000 Collider",140 142,
mopd41,"E. Griesmayer, B. Dehning, D. Dobos, E. Effinger, H. Pernegger [CERN, Geneva, Switzerland] ","A Fast CVD Diamond Beam Loss Monitor for LHC",143 145,
mopd42,"J. Marroncle, P. Abbon, J. Egberts [CEA/DSM/IRFU, France] M. Pomorski [CEA/DRT/LIST, Gif-sur-Yvette Cedex, France] ","-loss Detector for IFMIF-EVEDA",146 148,
mopd43,"A. Miura, T. Maruta [JAEA/J-PARC, Tokai-mura, Japan] K. Hasegawa, N. Ouchi, H. Sako [JAEA, Ibaraki-ken, Japan] Z. Igarashi, M. Ikegami, T. Miyao [KEK, Ibaraki, Japan] ","Beam Loss Detected by Scintillation Monitor",149 151,
mopd44,"J. Emery, B. Dehning, E. Effinger, A. Nordt, C. Zamantzas [CERN, Geneva, Switzerland] ","Self Testing Functionality of the LHC BLM System",152 154,
