mooa02,"H. Loos [SLAC, Menlo Park, California, USA] ","Beam Instrumentation for X-ray FELs",99 98,
tupd17,"S. Das, A. Källberg [MSL, Stockholm, Sweden] J. Harasimowicz [The University of Liverpool, Liverpool, United Kingdom] ","Spatial Resolution Test of a BPMS for DESIREE Beam Line Diagnostics",338 340,
tupd18,"T. Miyao, Z. Igarashi, T. Toyama [KEK, Ibaraki, Japan] A. Miura [JAEA/J-PARC, Tokai-mura, Japan] ","Beam Position Monitors for the ACS Section of the J-PARC Linac",341 343,
tupd19,"P. Leban [I-Tech, Solkan, Slovenia] G. Decker [ANL, Argonne, USA] ","Initial Tests of New Electron and Photon Beam Position Monitor Electronics at the Advanced Photon Source",344 346,
tupd20,"P. Kowina, M. Freimuth, K. Guetlich (K. Gütlich), W. Kaufmann, H. Roedl (H. Rödl), J. Wießmann [GSI, Darmstadt, Germany] N. Sobel, F. Völklein [Hochschule RheinMain, Wiesbaden, Germany] ","Pre-amplifier Impedance Matching for Cryogenic BPMs",347 349,
tupd21,"F. Schmidt-Foehre (F. Schmidt-Föhre), G. Kube, J.M. Maass, K. Wittenburg [DESY, Hamburg, Germany] ","Frontend Measurements and Optimizations at Libera Brilliance BPM Electronics during Commissioning of the Petra III Synchrotron Light Source",350 352,
tupd23,"C.H. Kuo, Y.K. Chen, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, K.H. Hu [NSRRC, Hsinchu, Taiwan] ","New Bunch-by-Bunch Feedback System for the TLS",353 355,
tupd24,"C.S. Simon, F. Senee (F. Senée) [CEA/DSM/IRFU, France] G. Clemente, P. Forck, W. Kaufmann, P. Kowina [GSI, Darmstadt, Germany] ","Design Status of Beam Position Monitors for the FAIR Proton Linac",356 358,
tupd25,"M. Shafiee, E. Ebrahimi, S.A.H. Feghhi [Shahid Beheshti University, Evin, Tehran, Iran] ","Design of Magnetic BPM and Error Corrections",359 361,
tupd26,"T.R. Pusch, F. Frommberger, W. Hillert, B. Neff [ELSA, Bonn, Germany] ","Cavity-based Beam Diagnostics at ELSA",362 364,
tupd28,"M.K. Bock, M. Bousonville, M. Felber, P. Gessler, T. Lamb, S. Ruzin, H. Schlarb, B. Schmidt, S. Schulz [DESY, Hamburg, Germany] ","Benchmarking the Performance of the Present Bunch Arrival Time Monitors at FLASH",365 367,
tupd30,"K. Kan, T. Kondoh, T. Kozawa, K. Norizawa, A. Ogata, J. Yang, Y. Yoshida [ISIR, Osaka, Japan] ","Bunch Length Measurement using Coherent Cherenkov Radiation",368 370,
tupd31,"C. Gerth, C. Behrens [DESY, Hamburg, Germany] ","Measurement of the Slice Energy Spread Induced by a Transverse Deflecting RF Structure at FLASH",371 373,
tupd32,"C. Gerth, B. Schmidt, S. Wesch [DESY, Hamburg, Germany] R. Ischebeck, G.L. Orlandi, P. Peier, V. Schlott [PSI, Villigen, Switzerland] ","THz Radiation Diagnostics for Monitoring the Bunch Compression at the SwissFEL Injector Test Facility",374 376,
tupd33,"L.G. Sukhikh, G. Kube [DESY, Hamburg, Germany] A. Potylitsyn [Tomsk Polytechnic University, Tomsk, Russia] V. Schlott [PSI, Villigen, Switzerland] ","Coherent Resonant Diffraction Radiation from Inclined Grating as a Tool for Bunch Length Diagnostics",377 379,
tupd35,"T. Lamb, M.K. Bock, M. Bousonville, M. Felber, P. Gessler, F. Ludwig, S. Ruzin, H. Schlarb, B. Schmidt, S. Schulz [DESY, Hamburg, Germany] ","Development of an Alternative, Photodiode-Based, Femtosecond Stable Detection Principle for the Link Stabilization in the Optical Synchronization Systems at FLASH and XFEL",380 382,
tupd36,"S. Schulz, M.K. Bock, M. Bousonville, M. Felber, P. Gessler, T. Lamb, F. Ludwig, S. Ruzin, H. Schlarb, B. Schmidt [DESY, Hamburg, Germany] ","Progress and Status of the Laser-based Synchronization System at FLASH",383 385,
tupd38,"C. Behrens [DESY, Hamburg, Germany] A.S. Fisher, J.C. Frisch, A. Gilevich, H. Loos, J. Loos [SLAC, Menlo Park, California, USA] ","Design of a Single-Shot Prism Spectrometer in the Near- and Mid-Infrared Wavelength Range for Ultra-Short Bunch Length Diagnostics",386 388,
tupd39,"V. Judin, N. Hiller, A. Hofmann, E. Huttel, B. Kehrer, M. Klein, S. Marsching, A.-S. Mueller (A.-S. Müller), N.J. Smale [KIT, Karlsruhe, Germany] F. Caspers [CERN, Geneva, Switzerland] ","Observation of Synchrotron Radiation Using Low Noise Block (LNB) at ANKA",389 391,
tupd40,"K.H. Hu, Y.-T. Chang, J. Chen, P.C. Chiu, K.T. Hsu, C.H. Kuo, Y.-H. Lin, Y.R. Pan [NSRRC, Hsinchu, Taiwan] ","Analysis of the Post-mortem Events at the TLS",392 394,
tupd41,"A. Ignatenko, N. Baboi, O. Hensler, M. Schmitz, K. Wittenburg [DESY, Hamburg, Germany] H.M. Henschel, W. Lange [DESY Zeuthen, Zeuthen, Germany] A. Ignatenko, W. Lohmann [BTU, Cottbus, Germany] S. Schuwalow [University of Hamburg, Hamburg, Germany] ","The Beam Halo Monitor for FLASH",395 397,
tupd42,"M. Guthoff [CERN, Geneva, Switzerland] ","Design and Experiences with the Beam Condition Monitor as Protection System in the CMS Experiment of the LHC",398 400,
tupd43,"A. Kaukher, I. Krouptchenkov, B. Michalek, D. Noelle (D. Nölle), H. Tiessen [DESY, Hamburg, Germany] ","XFEL Beam Loss Monitor System",401 403,
tupd44,"E. Fadakis, B. Dehning, S. Jackson, C. Zamantzas [CERN, Geneva, Switzerland] ","LHC Beam Loss Monitoring System Verification Applications",404 406,
tupd46,"F. Senee (F. Senée), B. Pottin [CEA/DSM/IRFU, France] G. Adroit, R. Gobin, O. Tuske [CEA/IRFU, Gif-sur-Yvette, France] A. Olivier [IPN, Orsay, France] ","Beam Species Fraction Measurement using Doppler Shift Method with FUJIKURA Fiberscope for IFMIF-EVEDA Injector",407 409,
tupd48,"A. Potylitsyn [TPU, Tomsk, Russia] L.G. Sukhikh [DESY, Hamburg, Germany] ","Transition Radiation from a Cylindrical Target and Transverse Beam Size Diagnostics",410 412,
tupd49,"M. Olvegaard (M. Olvegård), B. Bolzon, E. Bravin, S. Burger, A.E. Dabrowski, T. Lefevre (T. Lefèvre) [CERN, Geneva, Switzerland] C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","Performance of Parabolic and Diffusive OTR Screens at the CLIC Test Facility 3",413 415,
tupd50,"J. Rudolph, M. Abo-Bakr, T. Kamps [HZB, Berlin, Germany] J. Teichert [HZDR, Dresden, Germany] ","Slice-Emittance Measurements at ELBE / SRF-Injector",416 418,
tupd51,"T. Giacomini, P. Forck [GSI, Darmstadt, Germany] J.G. De Villiers [iThemba LABS, Somerset West, South Africa] J. Dietrich [FZJ, Jülich, Germany] D.A. Liakin [ITEP, Moscow, Russia] ","Ionization Profile Monitors - IPM @ GSI",419 421,
tupd52,"C. Wagner, O. Meusel, U. Ratzinger, H. Reichau [IAP, Frankfurt am Main, Germany] ","First Measurements with the Test Stand for Optical Beam Tomography",422 424,
tupd53,"R.B. Wilcox, J.M. Byrd, M.S. Zolotorev [LBNL, Berkeley, California, USA] V.E. Scarpine [Fermilab, Batavia, USA] ","A Low-Power Laser Wire with Fiber Optic Distribution",425 427,
tupd54,"S. Rimjaem, G. Asova, J.W. Baehr (J. Bähr), H.-J. Grabosch, M. Gross, L. Hakobyan, I.I. Isaev, Ye. Ivanisenko, M.A. Khojoyan, G. Klemz, M. Krasilnikov, M. Mahgoub, D. Malyutin, A. Oppelt, M. Otevrel (M. Otevřel), B. Petrosyan, A. Shapovalov, F. Stephan, G. Vashchenko, S. Weidinger [DESY Zeuthen, Zeuthen, Germany] D. Richter [HZB, Berlin, Germany] ","Comparison of Different Radiators used to Measure the Transverse Characteristics of Low Energy Electron Beams at PITZ",428 430,
tupd55,"D. Egger [EPFL, Lausanne, Switzerland] A.E. Dabrowski, M. Divall Csatari, S. Doebert (S. Döbert), D. Egger, T. Lefevre (T. Lefèvre), O. Mete (Ö. Mete), M. Olvegaard (M. Olvegård), M. Petrarca [CERN, Geneva, Switzerland] ","Performance of the Time Resolved Spectrometer for the 5 MeV Photo-Injector PHIN",431 433,
tupd56,"T. Naito, T.M. Mitsuhashi [KEK, Ibaraki, Japan] ","High Resolution SR Profile Monitor at ATF2 Extraction Line",434 436,
tupd58,"C.M. Mateo, G. Adroit, G. Ferrand, A. France, R. Gobin, S. Nyckees, Y. Sauce, F. Senee (F. Senée), O. Tuske [CEA/IRFU, Gif-sur-Yvette, France] ","Non-interceptive Profile Measurements using an Optical-based Tomography Technique",437 439,
tupd59,"M. Yan [Uni HH, Hamburg, Germany] C. Behrens, C. Gerth, G. Kube, B. Schmidt, S. Wesch [DESY, Hamburg, Germany] ","Suppression of Coherent Optical Transition Radiation in Transverse Beam Diagnostics by Utilising a Scintillation Screen with a Fast Gated CCD Camera",440 442,
tupd60,"H. Reichau, O. Meusel, U. Ratzinger, C. Wagner [IAP, Frankfurt am Main, Germany] ","Optical Diagnostics for Frankfurt Neutron Source",443 445,
tupd61,"C. Blanch Gutierrez, J. Alabau-Gonzalvo, A. Faus-Golfe, J.J. Garcia-Garrigos (J.J. García-Garrigós) [IFIC, Valencia, Spain] J. Cruz, D.J. McCormick, G.R. White, M. Woodley [SLAC, Menlo Park, California, USA] ","Multi Optical Transition Radiation System for ATF2",446 448,
tupd63,"S.C. Duarte Pinto, O.R. Jones, L. Ropelewski, J. Spanggaard, G. Tranquille [CERN, Geneva, Switzerland] ","Gas Electron Multipliers for the Antiproton Decelerator",449 451,
tupd64,"M. Koujili, J. De Freitas, B. Dehning, J. Emery, J.F. Herranz Alvarez, D. Ramos, M. Sapinski [CERN, Geneva, Switzerland] Y. Ait Amira [UFC, Besançon, France] A. Djerdir [UTBM, Belfort, France] ","Test Measurements of a 20 m/s Carbon Wire Beam Scanner",452 454,
tupd65,"S.X. Peng, J.E. Chen, Z.Y. Guo, P.N. Lu, Y.R. Lu, Z.X. Yuan, J. Zhao [PKU/IHIP, Beijing, People's Republic of China] H.T. Ren [Graduate University, Chinese Academy of Sciences, Beijing, People's Republic of China] ","Four-Dimensional Transverse Emittance Measurement Unit for High Intensity Ion Beams",455 457,
tupd66,"R. Geithner, W. Vodel [HIJ, Jena, Germany] R. Geithner, R. Neubert, P. Seidel [FSU Jena, Jena, Germany] P. Kowina, F. Kurian, M. Schwickert [GSI, Darmstadt, Germany] R. von Hahn [MPI-K, Heidelberg, Germany] ","Sensor Optimizations for a Cryogenic Current Comparator",458 460,
tupd67,"P.C. Chiu, J. Chen, Y.K. Chen, K.T. Hsu, K.H. Hu, C.H. Kuo [NSRRC, Hsinchu, Taiwan] ","Injection Efficiency Diagnostic at TLS Storage Ring",461 463,
tupd68,"Y. Okayasu, H. Dewa, H. Hanaki, S. Matsubara, A. Mizuno, S. Suzuki, T. Taniuchi, H. Tomizawa, K. Yanagida [JASRI/SPring-8, Hyogo-ken, Japan] T. Ishikawa [RIKEN Spring-8 Harima, Hyogo, Japan] A. Maekawa, M. Uesaka [The University of Tokyo, Nuclear Professional School, Ibaraki-ken, Japan] ","Feasibility Study for a Single-Shot 3D Electron Bunch Charge Distribution Monitor with a Polarized Probe Laser at SPring-8 Photoinjector",464 466,
tupd69,"P. Odier, D. Belohrad, J-J. Gras, M. Ludwig [CERN, Geneva, Switzerland] ","Operational Experience and Improvements of the LHC Beam Current Transformers",467 469,
tupd70,"M. Hansli, R. Jakoby, A. Penirschke [TU Darmstadt, Darmstadt, Germany] W. Ackermann, T. Weiland [TEMF, TU Darmstadt, Darmstadt, Germany] W. Kaufmann [GSI, Darmstadt, Germany] ","Conceptual Design of a High Sensitive Versatile Schottky Sensor for the Collector Ring at FAIR",470 472,
tupd71,"B. Riemann, P. Grete, H. Huck, A. Nowaczyk, T. Weis [DELTA, Dortmund, Germany] ","Combined Approach using Closed-Orbit and Multiturn Data for Model-Independent and Fast Beam Optics Determination in Storage Rings",473 475,
tupd72,"R.J. Steinhagen, M. Gasior, S. Jackson [CERN, Geneva, Switzerland] ","Advancements in the Base-Band-Tune and Chromaticity Instrumentation and Diagnostics Systems during LHC's First Year of Operation",476 478,
tupd73,"T. Obina, K. Harada, R. Takai [KEK, Ibaraki, Japan] ","Fast Orbit Stabilization System for Tandem APPLE-II Undulators at the KEK-PF",479 481,
tupd74,"Y. Kurimoto, Y.H. Chin, T. Obina, M. Tobiyama, T. Toyama [KEK, Ibaraki, Japan] Y. Shobuda [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] ","The Bunch by Bunch Feedback System in J-PARC Main Ring",482 484,
tupd76,"Y.K. Chen, J. Chen, P.C. Chiu, K.T. Hsu, K.H. Hu, C.H. Kuo [NSRRC, Hsinchu, Taiwan] ","Vibration and Beam Motion Diagnostics in TLS",485 487,
tupd78,"N. Hubert, L. Cassinari, J.-C. Denard, P. Lebasque, L.S. Nadolski, D. Pedeau (D. Pédeau) [SOLEIL, Gif-sur-Yvette, France] ","SOLEIL Beam Orbit Stability Improvements",488 490,
tupd79,"C.H. Kuo, J. Chen, P.C. Chiu, K.T. Hsu, K.H. Hu [NSRRC, Hsinchu, Taiwan] ","Preliminary Tune Feedback Study in the Taiwan Light Source",491 493,
tupd81,"J. Klute, K. Balewski, A. Delfs, H.T. Duhme, M. Ebert, Ru. Neumann, F. Obier [DESY, Hamburg, Germany] ","The Petra III Multibunch Feedback System",494 496,
tupd82,"E. Bravin, S. Bart Pedersen, A. Boccardi, S. Burger, C. Dutriat [CERN, Geneva, Switzerland] L.R. Doolittle, H.S. Matis, M. Placidi, A. Ratti, H. Yaver, T. stezelberger [LBNL, Berkeley, California, USA] R. Miyamoto [BNL, Upton, Long Island, New York, USA] ","First Results of the LHC Collision Rate Monitors",497 499,
tupd83,"N.I. Bolibruch, R. Igarashi, J.M. Vogt [CLS, Saskatoon, Saskatchewan, Canada] ","Photodiode Calibration using an Electrical Substitution Radiometer in the Hard X-ray Region",500 502,
tupd85,"J. Yang, K. Kan, T. Kondoh, Y. Yoshida [ISIR, Osaka, Japan] J. Urakawa [KEK, Ibaraki, Japan] ","Photoinjector Based MeV Electron Microscopy",503 505,
tupd86,"C.Y. Wu, Y.-T. Chang, J. Chen, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, K.H. Hu, C.H. Kuo, C.-Y. Liao [NSRRC, Hsinchu, Taiwan] ","RF Reference Distribution and Timing System for the Taiwan Photon Source",506 508,
tupd87,"O.F. Toader [NERS-UM, Ann Arbor, Michigan, USA] ","Fuzzy Logic Controls of a Particle Accelerator",509 511,
tupd88,"A. Pertica, S.J. Payne [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] ","A Micro-Channel Plate Based RFA Electron Cloud Monitor for the ISIS Proton Synchrotron",512 514,
tupd89,"C. Eckardt, P. Bangert, R. Barday, U. Bonnes, R. Eichhorn, J. Enders, C. Ingenhaag, Y. Poltoratska, M. Wagner [TU Darmstadt, Darmstadt, Germany] ","Polarimetry of 0.1 – 130 MeV Electron Beams at the S-DALINAC*",515 517,
tupd90,"J.J. Nebrensky [Brunel University, Middlesex, United Kingdom] P.M. Hanlet [IIT, Chicago, Illinois, USA] ","POMPOMs: Cost-Efficient Polarity Sensors for the MICE Muon Beamline",518 520,
tupd91,"C. Gabor [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] A.P. Letchford [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] D. Reggiani, M. Seidel [PSI, Villigen, Switzerland] ","Comparative Studies of Reconstruction Methods to Achieve Multi-Dimensional Phase Space Information",521 523,
tupd92,"W. Le Coz, T.A. Andre (T. André), C. Doutresssoulles, C. Jamet, S. Loret [GANIL, Caen, France] ","SPIRAL2 Beam Energy Measurement",524 526,
tupd93,"A. Palaia [Uppsala University, Uppsala, Sweden] V.A. Dolgashev, J.R. Lewandowski, S.P. Weathersby [SLAC, Menlo Park, California, USA] ","Diagnostics of RF Breakdowns in High-Gradient Accelerating Structures",527 529,
tupd94,"A.A. Safronava, A.A. Patapenka [JIPNR-Sosny NASB, Minsk, Belarus] V.V. Sotnikov, V.A. Voronko [NSC/KIPT, Kharkov, Ukraine] O. Svoboda [NPI, Rez near Prague, Czech Republic] W. Westmeier [Philipps-Universität, Marburg, Germany] ","Monitoring of GeV Deuteron Beam Parameters in ADS Experiments at the Nuclotron (JINR, Dubna)",530 532,
tupd96,"G. Kiupel, S. Assadi, T.D. Brown, P. Chu, J.L. Crisp, S. Peng, M.W. Stettler, Y. Zhang [FRIB, East Lansing, Michigan, USA] ","Fast and Critical Detection Devices Planned for the Machine Protection System at the Facility for Rare Isotope Beams",533 535,
tupd97,"Z. Nergiz [N.U, Nigde, Turkey] A. Aksoy [Ankara University, Faculty of Engineering, Tandogan, Ankara, Turkey] S. Ceylan, S. Ozkorucuklu (S. Özkorucuklu) [SDU, Isparta, Turkey] C. Kaya [HZDR, Dresden, Germany] ","Diagnostic System of TAC IR FEL Facility",536 538,
weoa01,"S. Wesch, B. Schmidt [DESY, Hamburg, Germany] ","Summary of COTR Effects",539 543,
weoa02,"L.G. Sukhikh, G. Kube [DESY, Hamburg, Germany] D. Krambrich, W. Lauth [IKP, Mainz, Germany] Yu.A. Popov, A. Potylitsyn [Tomsk Polytechnic University, Tomsk, Russia] ","Experimental Investigations of Backward Transition Radiation from Flat Target in Extreme Ultraviolet Region",544 546,
weoa03,"J. Egberts, P. Abbon, F. Jeanneau, J.-Ph. Mols, T. Papaevangelou [CEA, Gif-sur-Yvette, France] F. Becker, P. Forck, B. Walasek-Hoehne (B. Walasek-Höhne) [GSI, Darmstadt, Germany] J. Marroncle [CEA/DSM/IRFU, France] ","Detailed Experimental Characterization of an Ionization Profile Monitor",547 549,
weoa04,"F. Roncarolo, S. Bart Pedersen, A. Boccardi, E. Bravin, A. Guerrero, A. Jeff, T. Lefevre (T. Lefèvre), A. Rabiller [CERN, Geneva, Switzerland] A.S. Fisher [SLAC, Menlo Park, California, USA] ","Synchrotron Radiation Measurements at the CERN LHC",550 552,
weob01,"B. Walasek-Hoehne (B. Walasek-Höhne) [GSI, Darmstadt, Germany] G. Kube [DESY, Hamburg, Germany] ","Scintillating Screen Applications in Beam Diagnostics",553 557,
weob02,"O.I. Meshkov, V.A. Kiselev, D.P. Sukhanov, A.N. Zhuravlev [BINP SB RAS, Novosibirsk, Russia] V.L. Dorokhov, V.V. Smaluk [BINP, Novosibirsk, Russia] E.N. Galashov [Nikolayev Institute of Inorganic Chemistry, Novosibirsk, Russia] ","Experimental Comparison of Performance of Various Fluorescent Screens Applied for Relativistic Electron/Positron Beam Imaging",558 560,
weob03,"J.W. Flanagan, A. Arinaga, H. Fukuma, H. Ikeda, T.M. Mitsuhashi [KEK, Ibaraki, Japan] J.P. Alexander, M.A. Palmer, D.P. Peterson, N.T. Rider [CLASSE, Ithaca, New York, USA] G.S. Varner [UH, Honolulu, HI, USA] ","Single-shot Resolution of X-ray Monitor using Coded Aperture Imaging",561 563,
weoc01,"D. Belohrad [CERN, Geneva, Switzerland] ","Beam Charge Measurements",564 568,
weoc02,"W. Vodel [HIJ, Jena, Germany] R. Geithner, R. Neubert, P. Seidel [FSU Jena, Jena, Germany] K.K. Knaack, K. Wittenburg [DESY, Hamburg, Germany] A. Peters [HIT, Heidelberg, Germany] H. Reeg, M. Schwickert [GSI, Darmstadt, Germany] ","News About the Cryogenic Current Comparator for Beam Diagnostics",569 571,
weoc03,"D. Lipka, W. Kleen, J. Lund-Nielsen, D. Noelle (D. Nölle), S. Vilcins, V. Vogel [DESY, Hamburg, Germany] ","Dark Current Monitor for the European XFEL",572 574,
weod01,"F. Becker [GSI, Darmstadt, Germany] ","Beam Induced Fluorescence Monitors",575 579,
weod02,"J. Wenninger [CERN, Geneva, Switzerland] ","LHC Beam Diagnostics - the Users Point of View",580 584,
