fraauio05,"L. Hatton [Kingston University, Kingston on Thames, United Kingdom] ","High-Integrity Software, Computation and the Scientific Method",1297 1301,
mobaust02,"S. Schlenker, S. Arfaoui, S. Franz, O. Gutzwiller, C.A. Tsarouchas [CERN, Geneva, Switzerland] G. Aielli, F. Marchese [Università di Roma II Tor Vergata, Roma, Italy] G. Arabidze [MSU, East Lansing, Michigan, USA] E. Banas (E. Banaś), Z. Hajduk, J. Olszowska, E. Stanecka [IFJ-PAN, Kraków, Poland] T. Barillari, J. Habring, J. Huber [MPI, Muenchen, Germany] M. Bindi, A. Polini [INFN-Bologna, Bologna, Italy] H. Boterenbrood, R.G.K. Hart [NIKHEF, Amsterdam, The Netherlands] H. Braun, D. Hirschbuehl, S. Kersten, K. Lantzsch [Bergische Universitaet Wuppertal, Wuppertal, Germany] R. Brenner [Uppsala University, Uppsala, Sweden] D. Caforio, C. Sbarra [Bologna University, Bologna, Italy] S. Chekulaev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] S. D'Auria [University of Glasgow, Glasgow, United Kingdom] M. Deliyergiyev, I. Mandić [JSI, Ljubljana, Slovenia] E. Ertel [Johannes Gutenberg University Mainz, Institut fuer Physik, Mainz, Germany] V. Filimonov, V. Khomutnikov, S. Kovalenko [PNPI, Gatchina, Leningrad District, Russia] V. Grassi [SBU, Stony Brook, New York, USA] J. Hartert, S. Zimmermann [Albert-Ludwig Universitaet Freiburg, Freiburg, Germany] D. Hoffmann [CPPM, Marseille, France] G. Iakovidis, K. Karakostas, S. Leontsinis, E. Mountricha [National Technical University of Athens, Athens, Greece] P. Lafarguette [Université Blaise Pascal, Clermont-Ferrand, France] F. Marques Vinagre, G. Ribeiro, H.F. Santos [LIP, Lisboa, Portugal] T. Martin, P.D. Thompson [Birmingham University, Birmingham, United Kingdom] B. Mindur [AGH University of Science and Technology, Krakow, Poland] J. Mitrevski [SCIPP, Santa Cruz, California, USA] K. Nagai [University of Tsukuba, Graduate School of Pure and Applied Sciences,, Tsukuba, Ibaraki, Japan] S. Nemecek [Czech Republic Academy of Sciences, Institute of Physics, Prague, Czech Republic] D. Oliveira Damazio, A. Poblaguev [BNL, Upton, Long Island, New York, USA] P.W. Phillips [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] A. Robichaud-Veronneau [DPNC, Genève, Switzerland] A. Talyshev [BINP, Novosibirsk, Russia] G.F. Tartarelli [Universita' degli Studi di Milano  INFN, Milano, Italy] B.M. Wynne [Edinburgh University, Edinburgh, United Kingdom] ","The ATLAS Detector Control System",5 8,
mobaust03,"J. Gutleber, M. Benedikt [CERN, Geneva, Switzerland] A.B. Brett, A. Fabich, M. Marchhart, R. Moser, M. Thonke, C. Torcato de Matos [EBG MedAustron, Wr. Neustadt, Austria] J. Dedic (J. Dedič) [Cosylab, Ljubljana, Slovenia] ","The MedAustron Accelerator Control System",9 12,
mobaust04,"K.A. Brown, Z. Altinbas, J. Aronson, S. Binello, I.G. Campbell, M.R. Costanzo, T. D'Ottavio, W. Eisele, A. Fernando, B. Frak, W. Fu, C. Ho, L.T. Hoff, J.P. Jamilkowski, P. Kankiya, R.A. Katz, S.A. Kennell, J.S. Laster, R.C. Lee, G.J. Marr, A. Marusic, R.J. Michnoff, J. Morris, S. Nemesure, B. Oerter, R.H. Olsen, J. Piacentino, G. Robert-Demolaize, V. Schoefer, R.F. Schoenfeld, S. Tepikian, C. Theisen, C.M. Zimmer [BNL, Upton, Long Island, New York, USA] ","The RHIC and RHIC Pre-Injectors Controls Systems: Status and Plans",13 16,
mobaust05,"K. Furukawa, A. Akiyama, E. Kadokura, M. Kurashina, K. Mikawa, F. Miyahara, T.T. Nakamura, J.-I. Odagiri, M. Satoh, T. Suwada [KEK, Ibaraki, Japan] T. Kudou, S. Kusano, T. Nakamura, K. Yoshii [MELCO SC, Tsukuba, Japan] T. Okazaki [EJIT, Hitachi, Ibaraki, Japan] ","Control System Achievement at KEKB and Upgrade Design for SuperKEKB",17 19,
mobaust06,"C. Gaspar, F. Alessio, L.G. Cardoso, M. Frank, J.C. Garnier, R. Jacobsson, B. Jost, N. Neufeld, R. Schwemmer, E. van Herwijnen [CERN, Geneva, Switzerland] O. Callot [LAL, Orsay, France] B. Franek [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] ","The LHCb Experiment Control System: on the Path to Full Automation",20 23,
mocauio04,"A. Nadji, S. Abu Ghannam, Z. Qazi, I. Saleh [SESAME, Amman, Jordan] P. Betinelli-Deck, L.S. Nadolski [SOLEIL, Gif-sur-Yvette, France] J.-F. Gournay [CEA/IRFU, Gif-sur-Yvette, France] M.T. Heron [Diamond, Oxfordshire, United Kingdom] H. Hoorani [NCP, Islamabad, Pakistan] B. Kalantari [PSI, Villigen, Switzerland] E. D. Matias, G. Wright [CLS, Saskatoon, Saskatchewan, Canada] ","The SESAME Project",31 35,
mocault01,"K.S. White [ORNL, Oak Ridge, Tennessee, USA] ","Managing Mayhem",24 26,
mocault02,"D.P. Gurd [Private Address, Vancouver, Canada] ","Managing the Development of Plant Subsystems for a Large International Project",27 30,
modault01,"C. Boyer, B.L. Ellerbroek, L. Gilles, L. Wang [TMT, Pasadena, California, USA] S. Browne [The Optical Sciences Company, Anaheim, California, USA] G. Herriot, J.P. Veran [HIA, Victoria, Canada] G.J. Hovey [DRAO, Penticton, British Columbia, Canada] ","Thirty Meter Telescope Adaptive Optics Computing Challenges",36 39,
momau002,"T. D'Ottavio, B. Frak, J. Morris, S. Nemesure [BNL, Upton, Long Island, New York, USA] ","Improving Data Retrieval Rates Using Remote Data Servers",40 43,
