fraauio05,"L. Hatton [Kingston University, Kingston on Thames, United Kingdom] ","High-Integrity Software, Computation and the Scientific Method",1297 1301,
mopmn014,"S. Zimmermann [Albert-Ludwig Universitaet Freiburg, Freiburg, Germany] G. Aielli [Università di Roma II Tor Vergata, Roma, Italy] M. Bindi, A. Polini [INFN-Bologna, Bologna, Italy] S. Bressler, E. Kajomovitz, S. Tarem [Technion, Haifa, Israel] R.G.K. Hart [NIKHEF, Amsterdam, The Netherlands] G. Iakovidis, E. Ikarios, K. Karakostas, S. Leontsinis, E. Mountricha [National Technical University of Athens, Athens, Greece] ","Detector Control System for the ATLAS Muon Spectrometer And Operational Experience After The First Year of LHC Data Taking",267 270,
mopmn015,"K. Shroff, G. Carcassi [BNL, Upton, Long Island, New York, USA] R. Lange [HZB, Berlin, Germany] ","Multi Channel Applications for Control System Studio (CSS)",271 273,
mopmn016,"D.T. Touchard, C. Berthe, P. Gillette, M. Lechartier, E. Lecorche (E. Lécorché), G. Normand [GANIL, Caen, France] Y. Lussignol, D. Uriot [CEA/DSM/IRFU, France] ","The Spiral2 Radiofrequency Command Control",274 276,
mopmn018,"G.J. Müller, X. Buffat, K. Fuchsberger, M. Giovannozzi, S. Redaelli, F. Schmidt [CERN, Geneva, Switzerland] ","Toolchain for Online Modeling of the LHC",277 280,
mopmn019,"R. Schwemmer, C. Gaspar, N. Neufeld, D. Svantesson [CERN, Geneva, Switzerland] ","Controling and Monitoring the Data Flow of the LHCb Read-out and DAQ Network",281 284,
mopmn020,"O. Holme, J.A.R. Arroyo Garcia, P. Golonka, M. Gonzalez-Berges, H. Milcent [CERN, Geneva, Switzerland] O. Holme [ETH, Zurich, Switzerland] ","Integrating Controls Frameworks: Control Systems for NA62 LAV Detector Test Beams",285 288,
mopmn022,"H. Lutz, D. Anicic [Paul Scherrer Institut, 5232 Villigen PSI, Switzerland] ","Database Driven Control System Configuration for the PSI Proton Accelerator Facilities",289 291,
mopmn023,"Y.-S. Cheng, J. Chen, P.C. Chiu, K.T. Hsu, C.H. Kuo, C.Y. Liao, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Preliminary Design and Integration of EPICS Operation Interface for the Taiwan Photon Source",292 295,
mopmn025,"A. Yamashita, R. Fujihara, N. Hosoda, Y. Ishizawa, H. Kimura, T. Masuda, C. Saji, T. Sugimoto, S. Suzuki, M. Takao, R. Tanaka [JASRI/SPring-8, Hyogo-ken, Japan] T. Fukui, Y. Otake [RIKEN/SPring-8, Hyogo, Japan] ","New SPring-8 Control Room: Towards Unified Operation with SACLA and SPring-8 II Era.",296 299,
mopmn027,"R. Alemany-Fernandez, V. Baggiolini, R. Gorbonosov, D. Khasbulatov, M. Lamont, P. Le Roux, C. Roderick [CERN, Geneva, Switzerland] ","The LHC Sequencer",300 303,
mopmn028,"L.G. Cardoso, C. Gaspar, R. Jacobsson [CERN, Geneva, Switzerland] ","Automated Voltage Control in LHCb",304 307,
mopmn029,"P. Gillette, E. Lemaitre (E. Lemaître), G. Normand, L. Philippe [GANIL, Caen, France] ","Spiral2 Control Command: First High-level Java Applications Based on the OPEN-XAL Library",308 311,
mopms001,"S. Blanchard, F. Bellorini, F.B. Bernard, E. Blanco Vinuela, P. Gomes, H. Vestergard, D. Willeman [CERN, Geneva, Switzerland] ","The New Control System for the Vacuum of ISOLDE",312 315,
mopms002,"C. Charrondière, M. Nybo (M. Nybø) [CERN, Geneva, Switzerland] ","LHC Survey Laser Tracker Controls Renovation",316 318,
mopms003,"O. Holme, D.R.S. Di Calafiori, G. Dissertori, W. Lustermann [ETH, Zurich, Switzerland] S. Zelepoukine [UW-Madison/PD, Madison, Wisconsin, USA] ","The Evolution of the Control System for the Electromagnetic Calorimeter of the Compact Muon Solenoid Experiment at the Large Hadron Collider",319 322,
mopms004,"G. Liu, X. Bao, C. Li, J.G. Wang, K. Xuan [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","First Experience with VMware Servers at HLS",323 325,
mopms005,"V. Andreev, V. Isadov, A. Kirichenko, S. Romanov, G.V. Trubnikov, V. Volkov [JINR, Dubna, Moscow Region, Russia] ","The Upgraded Corrector Control Subsystem for the Nuclotron Main Magnetic Field",326 328,
mopms006,"E. Reinfeld, I. Eliyahu, I.G. Gertz, A. Grin, A. Kreisler, A. Perry, L. Weissman [Soreq NRC, Yavne, Israel] ","SARAF Beam Lines Control Systems Design",329 332,
mopms007,"W. Zhang, S. An, G.H. Li, W.F. Liu, W.M. Qiao, Y.P. Wang, F. Yang [IMP, Lanzhou, People's Republic of China] ","Deep-Seated Cancer Treatment Spot-Scanning Control System",333 335,
mopms008,"I. Eliyahu, D. Berkovits, M. Bisyakoev, I.G. Gertz, S. Halfon, N. Hazenshprung, D. Kijel, E. Reinfeld, I. Silverman, L. Weissman [Soreq NRC, Yavne, Israel] ","Control of the SARAF High Intensity CW Protron Beam Target Systems",336 338,
mopms009,"J.C. Calvo, A. Ibarra, A. Salom [CIEMAT, Madrid, Spain] M.A. Patricio [UCM, Colmenarejo, Spain] M.L. Rivers [ANL, Argonne, USA] ","IFMIF LLRF Control System Architecture Based on Epics",339 342,
mopms010,"M. Pieck, D. Baros, C.D. Hatch, P.S. Marroquin, P.D. Olivas, F.E. Shelley, D.S. Warren, W. Winton [LANL, Los Alamos, New Mexico, USA] ","LANSCE Control System Front-End and Infrastructure Hardware Upgrades",343 346,
mopms013,"I.H. Kohler, M.A. Crombie, C. Ellis, M.E. Hogan, H.W. Mostert, M. Mvungi, C. Oliva, J.V. Pilcher, N. Stodart [iThemba LABS, Somerset West, South Africa] ","Progress in the Conversion of the In-house Developed Control System to EPICS and related technologies at iThemba LABS",347 350,
mopms014,"R. Huhmann, G. Froehlich (G. Fröhlich), S. Jülicher, V.RW. Schaa [GSI, Darmstadt, Germany] ","GSI Operation Software: Migration from OpenVMS to Linux",351 353,
mopms016,"P. Gomes, F. Antoniotti, S. Blanchard, M. Boccioli, G. Girardot, H. Vestergard [CERN, Geneva, Switzerland] L. Kopylov, M.S. Mikheev [IHEP Protvino, Protvino, Moscow Region, Russia] ","The Control System of CERN Accelerators Vacuum (Current Status and Recent Improvements)",354 357,
mopms018,"D. Curry [ORNL RAD, Oak Ridge, Tennessee, USA] X.H. Chen, R. Dickson, S.M. Hartman, D.H. Thompson [ORNL, Oak Ridge, Tennessee, USA] J. Dedic (J. Dedič) [Cosylab, Ljubljana, Slovenia] ","New Timing System Development at SNS",358 360,
mopms020,"R.A. Krempaska, A.G. Bertrand, F. Lendzian, H. Lutz [Paul Scherrer Institut, 5232 Villigen PSI, Switzerland] ","High Intensity Proton Accelerator Controls Network Upgrade",361 363,
mopms021,"S. Kersten, P. Kind, K. Lantzsch, P. Maettig, C. Zeitnitz [Bergische Universitaet Wuppertal, Wuppertal, Germany] M. Citterio, C. Meroni [Universita' degli Studi di Milano e INFN, Milano, Italy] F. Gensolen [CPPM, Marseille, France] S. Kovalenko [CERN, Geneva, Switzerland] B. Verlaat [NIKHEF, Amsterdam, The Netherlands] ","Detector Control System of the ATLAS Insertable B-Layer",364 367,
mopms023,"A. Raimondo, O.O. Andreassen, D. Kudryavtsev, S.T. Page, A. Rijllart, E. Zorin [CERN, Geneva, Switzerland] ","LHC Magnet Test Benches Controls Renovation",368 370,
mopms024,"M.A. Power, F.H. Munson [ANL, Argonne, USA] ","Evolution of the Argonne Tandem Linear Accelerator System (ATLAS) Control System",371 373,
mopms025,"B. Farnham, R. Barillere (R. Barillère) [CERN, Geneva, Switzerland] ","Migration from OPC-DA to OPC-UA",374 377,
mopms026,"N. Kamikubota, N. Yamamoto [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] S.F. Fukuta, D. Takahashi [MELCO SC, Tsukuba, Japan] T. Iitsuka, S. Motohashi, M. Takagi, S.Y. Yoshida [Kanto Information Service (KIS), Accelerator Group, Ibaraki, Japan] T. Ishiyama [KEK/JAEA, Ibaraki-Ken, Japan] Y. Ito, H. Sakaki [JAEA, Ibaraki-ken, Japan] Y. Kato, M. Kawase, N. Kikuzawa, H. Sako, K.C. Sato, H. Takahashi, H. Yoshikawa [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] T. Katoh, H. Nakagawa, J.-I. Odagiri, T. Suzuki, S. Yamada [KEK, Ibaraki, Japan] H. Nemoto [ACMOS INC., Tokai-mura, Ibaraki, Japan] ","J-PARC Control toward Future Reliable Operation",378 381,
mopms027,"M. Andersen [CERN, Geneva, Switzerland] ","Fast Beam Current Transformer Software for the CERN Injector Complex",382 385,
mopms028,"G.L. Xu, G. Lei, L. Wang, Y.L. Zhang, P. Zhu [IHEP Beijing, Beijing, People's Republic of China] ","CSNS Timing System Prototype",386 388,
mopms029,"M. Satoh, K. Furukawa, F. Miyahara, T. Suwada [KEK, Ibaraki, Japan] T. Kudou, S. Kusano [MELCO SC, Tsukuba, Japan] ","The BPM DAQ System Upgrade for SuperKEKB Injector Linac",389 392,
mopms030,"K. Höppner, Th. Haberer, J.M. Mosthaf, A. Peters [HIT, Heidelberg, Germany] G. Froehlich (G. Fröhlich), S. Jülicher, V.RW. Schaa, W. Schiebel, S. Steinmetz [GSI, Darmstadt, Germany] M. Thomas, A. Welde [Eckelmann AG, Wiesbaden, Germany] ","Improvement of the Oracle Setup and Database Design at the Heidelberg Ion Therapy Center",393 396,
mopms031,"P.Ch. Chochula, A. Augustinus, L.S. Jirden (L.S. Jirdén), A.N. Kurepin, M. Lechman, P. Rosinsky (P. Rosinský) [CERN, Geneva, Switzerland] G. De Cataldo [INFN-Bari, Bari, Italy] A. Moreno [Universidad Politécnica de Madrid, E.T.S.I Industriales, Madrid, Spain] O. Pinazza [INFN-Bologna, Bologna, Italy] ","Did We Get What We Aimed for 10 Years Ago?",397 400,
mopms032,"T. Masuda, M. Ishii, K. Kawata, T. Matsushita, C. Saji [JASRI/SPring-8, Hyogo-ken, Japan] ","Re-engineering of the SPring-8 Radiation Monitor Data Acquisition System",401 404,
mopms033,"S. Weisse, D. Melkumyan [DESY Zeuthen, Zeuthen, Germany] P. Duval [DESY, Hamburg, Germany] ","Status, Recent Developments and Perspective of TINE-powered Video System, Release 3",405 408,
mopms034,"J. Fullerton, L.K. Jensen, J. Spanggaard [CERN, Geneva, Switzerland] ","Software Renovation of CERN's Experimental Areas",409 411,
mopms035,"G. Bassato, A. Andrighetto, N. Conforto, M.G. Giacchini, J.A. Montano, M. Poggi, J.A. Vasquez [INFN/LNL, Legnaro (PD), Italy] ","A Beam Profiler and Emittance Meter for the SPES Project at INFN-LNL",412 414,
mopms036,"E.V. Gorbachev, N.I. Lebedev, N.V. Pilyar, S. Romanov, T.V. Rukoyatkina, V. Volkov [JINR, Dubna, Moscow Region, Russia] ","Upgrade of the Nuclotron Extracted Beam Diagnostic Subsystem.",415 417,
mopms037,"M. Brightwell, M. Bräger, A. Lang, A. Suwalska [CERN, Geneva, Switzerland] ","A Customizable Platform for High-availability Monitoring, Control and Data Distribution at CERN",418 421,
mopmu001,"S.S. Serednyakov, E.N. Dementyev, A.S. Medvedko, E. Shubin, V.G. Tcheskidov, N. Vinokurov [BINP SB RAS, Novosibirsk, Russia] ","Software and Capabilities of the Beam Position Measurement System for Novosibirsk Free Electron Laser",422 424,
mopmu002,"J. Chen, Y.-T. Chang, Y.K. Chen, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, S.Y. Hsu, K.H. Hu, C.H. Kuo, D. Lee, C.Y. Liao, Y.R. Pan, C.-J. Wang, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Progress of the TPS Control System Development",425 428,
mopmu005,"E. Lecorche (E. Lécorché), P. Gillette, C.H. Haquin, E. Lemaitre (E. Lemaître), L. Philippe, D.T. Touchard [GANIL, Caen, France] J.F. Denis, F. Gougnaud, J.-F. Gournay, Y. Lussignol, P. Mattei [CEA/DSM/IRFU, France] P.G. Graehling, J.H. Hosselet, C. Maazouzi [IPHC, Strasbourg Cedex 2, France] ","Overview of the Spiral2 Control System Progress",429 431,
mopmu006,"D.F.C. Fernandez-Carreiras (D.F.C. Fernández-Carreiras), F. Becheri, S. Blanch, A. Camps, T.M. Coutinho, G. Cuni (G. Cuní), J.V. Gigante, J.J. Jamroz, J. Klora, J. Lidon-Simon (J. Lidón-Simon), O. Matilla, J. Metge, A. Milan (A. Milán), J. Moldes, R. Montano (R. Montaño), M. Niegowski, C. Pascual-Izarra, S. Pusó, Z. Reszela, A. Rubio, S. Rubio-Manrique, A. Ruz [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","The Commissioning of the Control System of the Accelerators and Beamlines at the Alba Synchrotron",432 435,
mopmu007,"M. Eguiraun, I. Arredondo, J. Feuchtwanger, G. Harper, M. del Campo [ESS-Bilbao, Zamudio, Spain] J. Jugo [University of the Basque Country, Faculty of Science and Technology, Bilbao, Spain] S. Varnasseri [ESS Bilbao, LEIOA, Spain] ","ISHN Ion Source Control System Overview",436 438,
mopmu008,"P.P. Goryl, C.J. Bocchetta, K. Królas, M. Mlynarczyk (M. Młynarczyk), R. Nietubyc (R. Nietubyć), M.J. Stankiewicz, P.S. Tracz, Ł. Walczak (Ł. Walczak), A.I. Wawrzyniak [Solaris, Krakow, Poland] K. Larsson, D.P. Spruce [MAX-lab, Lund, Sweden] ","Solaris Project Status and Challenges",439 441,
mopmu009,"M.T. Heron [Diamond, Oxfordshire, United Kingdom] ","The Diamond Control System: Five Years of Operations",442 445,
mopmu011,"J. Zhuang, Y.P. Chu, L.B. Ding, L. Hu, D.P. Jin, J.J. Li, Y.L. Liu, Y.Q. Liu, Y.H. Zhang, Z.Y. Zhang, K.J. Zhu [IHEP Beijing, Beijing, People's Republic of China] ","The Design Status of CSNS Experimental Control System",446 449,
mopmu012,"S. Karabekyan, R. Pannier, J. Pflueger (J. Pflüger) [European XFEL GmbH, Hamburg, Germany] N. Burandt, J. Kuhn [Beckhoff Automation GmbH, Verl, Germany] A. Schoeps (A. Schöps) [DESY, Hamburg, Germany] ","The Local Control System of an Undulator Cell for the European XFEL",450 453,
mopmu013,"E. D. Matias, D. Beauregard, R. Berg, G. Black, M.J. Boots, W. Dolton, D. Hunter, R. Igarashi, D. Liu, D.G. Maxwell, C.D. Miller, T. Wilson, G. Wright [CLS, Saskatoon, Saskatchewan, Canada] ","Phase II and III The Next Generation of CLS Beamline Control and Data Acquisition Systems",454 457,
mopmu014,"K. Datta, C. Datta, D.P. Dutta, T.K. Mandi, H.K. Pandey, D. Sarkar [DAE/VECC, Calcutta, India] R. Anitha, A. Balasubramanian, K. Mourougayane [SAMEER, Chennai, India] ","Development of Distributed Data Acquisition and Control System for Radioactive Ion Beam Facility at Variable Energy Cyclotron Centre, Kolkata.",458 461,
mopmu015,"R. Borghes, V. Chenda, A. Curri, G. Gaio, G. Kourousias, M. Lonza, G. Passos, R. Passuello, L. Pivetta, M. Prica, M. Pugliese, G. Strangolino [ELETTRA, Basovizza, Italy] ","Control and Data Acquisition Systems for the FERMI@Elettra Experimental Stations",462 464,
mopmu017,"J.E. Richards, D. Dale, K. Ezawa, D.B. Morris, K. Negishi, R.B. Nussbaumer, S. Rapaz, E. Tikhomolov, G. Waters, M. Leross [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","TRIUMF's ARIEL Project",465 468,
mopmu018,"M. Mouat, E. Klassen, K.S. Lee, J.J. Pon, P.J. Yogendran [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Update On The Central Control System of TRIUMF's 500 MeV Cyclotron",469 472,
mopmu019,"M. Ishii, T. Masuda, R. Tanaka, A. Yamashita [JASRI/SPring-8, Hyogo-ken, Japan] ","The Gateways of Facility Control for SPring-8 Accelerators",473 476,
mopmu020,"H. Kleines, M. Drochner, L. Fleischhauer-Fuss, T. E. Schrader, F. Suxdorf, M. Wagener, S. van Waasen [FZJ, Jülich, Germany] A. Ostermann [TUM/Physik, Garching bei München, Germany] ","The Control and Data Acquisition System of the Neutron Instrument BIODIFF",477 479,
mopmu021,"S.S. Serednyakov, B.A. Dovzhenko, A.A. Galt, V.R. Kozak, E.A. Kuper, L.E. Medvedev, A.S. Medvedko, Y.M. Velikanov, V.F. Veremeenko, N. Vinokurov [BINP SB RAS, Novosibirsk, Russia] ","Control System for Magnet Power Supplies for Novosibirsk Free Electron Laser",480 482,
mopmu023,"J. Moldes, D.B. Beltran (D.B. Beltrán), D.F.C. Fernandez-Carreiras (D.F.C. Fernández-Carreiras), J.J. Jamroz, J. Klora, O. Matilla, R. Suñé [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","The MRF Timing System. The Complete Control Software Integration in Tango.",483 486,
mopmu024,"T.C. Shen, J.P.A. Ibsen, R.A. Olguin, R. Soto [ALMA, Joint ALMA Observatory, Santiago, Chile] ","Status of ALMA Software",487 490,
mopmu025,"F. Gougnaud, J.F. Denis, J.-F. Gournay, Y. Lussignol, P. Mattei, R. Touzery [CEA/DSM/IRFU, France] P. Gillette, C.H. Haquin [GANIL, Caen, France] J.H. Hosselet, C. Maazouzi [IPHC, Strasbourg Cedex 2, France] ","The Implementation of the Spiral2 Injector Control System",491 493,
mopmu026,"I. Oya, U. Schwanke [Humboldt University Berlin, Institut fuer Physik, Berlin, Germany] B. Behera, D. Melkumyan, T. Schmidt, P. Wegner, S. Wiesand, M. Winde [DESY Zeuthen, Zeuthen, Germany] ","A Readout and Control System for a CTA Prototype Telescope",494 497,
mopmu027,"J.P. Jamilkowski, Z. Altinbas, D.M. Gassner, L.T. Hoff, P. Kankiya, D. Kayran, T.A. Miller, R.H. Olsen, B. Sheehy, W. Xu [BNL, Upton, Long Island, New York, USA] ","Controls System Developments for the ERL Facility",498 501,
mopmu030,"G.A. Fatkin, P.A. Bak, A.M. Batrakov, P.V. Logachev, A. Panov, A.V. Pavlenko, V.Ya. Sazansky [BINP SB RAS, Novosibirsk, Russia] ","Control System for Linear Induction Accelerator LIA-2: the Structure and Hardware",502 505,
mopmu032,"M.G. Abbott, T.M. Cobb [Diamond, Oxfordshire, United Kingdom] ","An EPICS IOC Builder",506 509,
mopmu033,"D.B. Morris [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","ControlView to EPICS Conversion of the TRIUMF TR13 Cyclotron Control System",510 513,
mopmu035,"A. Neto, D. Alves, I.S. Carvalho [IPFN, Lisbon, Portugal] G. De Tommasi, F. Maviglia [CREATE, Napoli, Italy] R.C. Felton, P. McCullen [EFDA-JET, Abingdon, Oxon, United Kingdom] P.J. Lomas, F. G. Rimini, A.V. Stephen, K-D. Zastrow [CCFE, Culham, Abingdon, Oxon, United Kingdom] R. Vitelli [Università di Roma II Tor Vergata, Roma, Italy] ","Shape Controller Upgrades for the JET ITER-like Wall",514 517,
mopmu036,"E. D. Matias, L. Baribeau, S. Hu, C.G. Payne, H. Zhang [CLS, Saskatoon, Saskatchewan, Canada] ","Upgrade of the CLS Accelerator Control and Instrumentation Systems",518 521,
mopmu039,"C.I. Briegel, D. Finstrom, B. Hendricks, CA. King, R. Neswold, D.J. Nicklaus, J.F. Patrick, A.D. Petrov, C.L. Schumann, J.G. Smedinghoff [Fermilab, Batavia, USA] ","ACSys in a Box",522 524,
mopmu040,"D. Corruble, P. Betinelli-Deck, F. Blache, J. Coquet, N. Leclercq, R. Millet, A. Tournieux [SOLEIL, Gif-sur-Yvette, France] ","REVOLUTION at SOLEIL: Review and Prospect for Motion Control",525 528,
thaaust01,"E. Bjorklund (E. Björklund), S.A. Baily [LANL, Los Alamos, New Mexico, USA] ","Tailoring the Hardware to Your Control System",1171 1173,
thaaust02,"W. Pessemier, G. Deconinck, G. Raskin, H. Van Winckel [KU Leuven, Leuven, Belgium] P. Saey [Katholieke Hogeschool Sint-Lieven, Gent, Belgium] ","Suitability Assessment of OPC UA as the Backbone of Ground-based Observatory Control Systems",1174 1177,
thbhauio06,"A. Luedeke (A. Lüdeke) [Paul Scherrer Institut, 5232 Villigen PSI, Switzerland] ","Cognitive Ergonomics of Operational Tools",1196 1200,
thbhaust01,"K.-U. Kasemir, X.H. Chen, E. Danilova, J.D. Purcell [ORNL, Oak Ridge, Tennessee, USA] ","SNS Online Display Technologies for EPICS",1178 1181,
thbhaust02,"A. Augustinus, P.Ch. Chochula, G. De Cataldo, L.S. Jirden (L.S. Jirdén), A.N. Kurepin, M. Lechman, O. Pinazza, P. Rosinsky (P. Rosinský) [CERN, Geneva, Switzerland] A. Moreno [Universidad Politécnica de Madrid, E.T.S.I Industriales, Madrid, Spain] ","The Wonderland of Operating the ALICE Experiment",1182 1185,
thbhaust03,"E. Zimoch, A. Luedeke (A. Lüdeke) [Paul Scherrer Institut, 5232 Villigen PSI, Switzerland] ","Purpose and Benefit of Control System Training for Operators",1186 1188,
thbhaust04,"E. Sombrowski, A. Petrosyan, K. Rehlich, W. Schütte [DESY, Hamburg, Germany] ","jddd, a State-of-the-art Solution for Control Panel Development",1189 1192,
thbhaust05,"Y. Furukawa, K. Hasegawa [JASRI/SPring-8, Hyogo-ken, Japan] G. Ueno [RIKEN Spring-8 Harima, Hyogo, Japan] ","First Operation of the Wide-area Remote Experiment System",1193 1195,
thbhmust01,"P.C. Burkimsher, M. Gonzalez-Berges, S. Klikovits [CERN, Geneva, Switzerland] ","Multi-platform SCADA GUI Regression Testing at CERN.",1201 1204,
thbhmust02,"V.H. Hardion, G. Abeille, A. Buteau, S. Le, N. Leclercq, S. Pierre-Joseph Zephir [SOLEIL, Gif-sur-Yvette, France] ","Assessing Software Quality at Each Step of its Lifecycle to Enhance Reliability of Control Systems",1205 1208,
thbhmust03,"S.M. Hartman [ORNL, Oak Ridge, Tennessee, USA] ","System Design towards Higher Availability for Large Distributed Control Systems",1209 1211,
thbhmust04,"K. Sigerud, V. Baggiolini [CERN, Geneva, Switzerland] ","The Software Improvement Process – Tools and Rules to Encourage Quality",1212 1215,
thchaust02,"R. Stotzka, A. Garcia, V. Hartmann, T. Jejkal, H. Pasic, A. Streit, J. van Wezel [KIT, Karlsruhe, Germany] D. Haas, W. Mexner, T. dos Santos Rolo [Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany] ","Large Scale Data Facility for Data Intensive Synchrotron Beamlines",1216 1219,
thchaust03,"N. Hauser, T.K. Lam, N. Xiong [ANSTO, Menai, Australia] A. Buteau, M. Ounsy, S. Poirier [SOLEIL, Gif-sur-Yvette, France] C. Rodriguez [ALTEN, Boulogne-Billancourt, France] ","Common Data Model ; A Unified Layer to Access Data from Data Analysis Point of View",1220 1223,
thchaust04,"S.G. Azevedo, R.G. Beeler, R.C. Bettenhausen, E.J. Bond, A.D. Casey, H.C. Chandrasekaran, C.B. Foxworthy, M.S. Hutton, J.E. Krammen, J.A. Liebman, A.A. Marsh, T. M. Pannell, D.E. Speck, J.D. Tappero, A.L. Warrick [LLNL, Livermore, California, USA] ","Management of Experiments and Data at the National Ignition Facility",1224 1227,
thchaust05,"J.C. Garnier, L. Brarda, N. Neufeld, F. Nikolaidis [CERN, Geneva, Switzerland] ","LHCb Online Log Analysis and Maintenance System",1228 1231,
thchaust06,"C. Roderick, R. Billen, D.D. Teixeira [CERN, Geneva, Switzerland] ","Instrumentation of the CERN Accelerator Logging Service: Ensuring Performance, Scalability, Maintenance and Diagnostics",1232 1235,
thchmust01,"M.A. Fedorov, O.D. Edwards, E.A. Mapoles, J. Mauvais, T.G. Parham, R.J. Sanchez, J.M. Sater, B.A. Wilson [LLNL, Livermore, California, USA] ","Control System for Cryogenic THD Layering at the National Ignition Facility",1236 1239,
thchmust02,"S. Blanchet, D. Broguiere, P. Chavatte, F. Morel, A. Perrigouard, M. Torres [IRAM, Saint Martin d'Heres, France] ","Control and Test Software for IRAM Widex Correlator",1240 1243,
thchmust03,"M.G. Abbott, G. Rehm, I. Uzun [Diamond, Oxfordshire, United Kingdom] ","A New Fast Data Logger and Viewer at Diamond: the FA Archiver",1244 1247,
thchmust04,"J.D. González Cobas, S. Iglesias Gonsálvez, J.H. Lewis, J. Serrano, M. Vanga [CERN, Geneva, Switzerland] E.G. Cota [Columbia University, NY, USA] A. Rubini, F. Vaga [University of Pavia, Pavia, Italy] ","Free and Open Source Software at CERN: Integration of Drivers in the Linux Kernel",1248 1251,
thchmust05,"W.W. Terpstra [GSI, Darmstadt, Germany] ","The Case for Soft-CPUs in Accelerator Control Systems",1252 1255,
thchmust06,"M. Kreider [GSI, Darmstadt, Germany] M. Kreider [Hochschule Darmstadt, University of Applied Science, Darmstadt, Germany] ","The FAIR Timing Master: A Discussion of Performance Requirements and Architectures for a High-precision Timing System",1256 1259,
thdault01,"T. Korhonen [PSI, Villigen, Switzerland] ","Modern System Architectures in Embedded Systems",1260 1263,
thdault04,"B.K. Huang, R.M. Myers, R.M. Sharples [Durham University, Durham, United Kingdom] G. Cunningham, G.A. Naylor [CCFE, Abingdon, Oxon, United Kingdom] O. Goudard [ESRF, Grenoble, France] J.J. Harrison [Merton College, Oxford, United Kingdom] R.G.L. Vann [York University, Heslington, York, United Kingdom] ","Embedded Linux on FPGA Instruments for Control Interface and Remote Management",1271 1273,
thdault05,"K. Furukawa, K. Akai, T. Kobayashi, S. Michizono, T. Miura, K. Nakanishi, J.-I. Odagiri [KEK, Ibaraki, Japan] H. Deguchi, K. Hayashi, M. Ryoshi [Mitsubishi Electric TOKKI Systems, Amagasaki, Hyogo, Japan] ","Embedded LLRF Controller with Channel Access on MicroTCA Backplane Interconnect",1274 1276,
thdault06,"A. Neto, D. Alves, B. Carvalho, P.J. Carvalho, H. Fernandes, D.F. Valcárcel [IPFN, Lisbon, Portugal] A. Barbalace, G. Manduchi [Consorzio RFX, Associazione Euratom-ENEA sulla Fusione, Padova, Italy] L. Boncagni [ENEA C.R. Frascati, Frascati (Roma), Italy] G. De Tommasi [CREATE, Napoli, Italy] P. McCullen, A.V. Stephen [CCFE, Abingdon, Oxon, United Kingdom] F. Sartori [F4E, Barcelona, Spain] R. Vitelli [Università di Roma II Tor Vergata, Roma, Italy] L. Zabeo [ITER Organization, St. Paul lez Durance, France] ","MARTe Framework: a Middleware for Real-time Applications Development",1277 1280,
thdaust02,"D.J. Nicklaus, C.I. Briegel, J.D. Firebaugh, CA. King, R. Neswold, R. Rechenmacher, J. You [Fermilab, Batavia, USA] ","An Erlang-Based Front End Framework for Accelerator Controls",1264 1266,
thdaust03,"L. Pivetta, G. Gaio, R. Passuello, G. Scalamera [ELETTRA, Basovizza, Italy] ","The FERMI@Elettra Distributed Real-time Framework",1267 1270,
tuaault02,"E.T. Taurel [ESRF, Grenoble, France] ","Tango Collaboration and Kernel Status",533 536,
tuaault03,"J. Bobnar, K. Zagar ( Žagar) [COBIK, Solkan, Slovenia] ","BLED: A Top-down Approach to Accelerator Control System Design",537 539,
tuaault04,"E. De Ley, D. Jacobs [iSencia Belgium, Gent, Belgium] M. Ounsy [SOLEIL, Gif-sur-Yvette, France] ","Web-based Execution of Graphical Workflows : a Modular Platform for Multifunctional Scientific Process Automation",540 543,
tuaaust01,"E.P. Gibbons, M.T. Heron, N.P. Rees [Diamond, Oxfordshire, United Kingdom] ","GDA and EPICS Working in Unison for Science Driven Data Acquisition and Control at Diamond Light Source",529 532,
tubauio05,"R.S. Larsen [SLAC, Menlo Park, California, USA] ","Challenges for Emerging New Electronics Standards for Physics",558 562,
tubault03,"C. Cuevas, D. Abbott, F.J. Barbosa, H. Dong, W. Gu, E. Jastrzembski, S.R. Kaneta, B. Moffit, N. Nganga, B.J. Raydo, A. Somov, W.M. Taylor, J. Wilson [JLAB, Newport News, Virginia, USA] ","The Upgrade Path from Legacy VME to VXS Dual Star Connectivity for Large Scale Data Acquisition and Trigger Systems",550 553,
