FR1001,"E. Esarey, LBNL, Berkeley, California","High-Quality GeV-Level Electron Beams from Laser Plasma Accelerators",,""
THP009,"T. Kobayashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Anami, KEK, Ibaraki; E. Chishiro, JAEA, Ibaraki-ken; S. Michizono, S. Yamaguchi, KEK, Ibaraki","Performance of RF Reference Distribution System for the J-PARC Linac",,"controls, linac, klystron, feedback, injection"
THP010,"T. Matsumoto, S. Fukuda, KEK, Ibaraki; Z. Geng, IHEP Beijing, Beijing; H. Katagiri, S. Michizono, Y. Yano, KEK, Ibaraki","Low-level RF system for STF",,"controls, klystron, feedback, linac, superconducting-RF"
THP011,"C. Hovater, G. K. Davis, H. Dong, A. S. Hofler, K. King, J. Musson, T. E. Plawski, Jefferson Lab, Newport News, Virginia","High Gradient Operation with the CEBAF Upgrade RF Control System",,"controls, resonance, feedback, linac, electron"
THP012,"K. Fong, M. P. Laverty, Q. Zheng, TRIUMF, Vancouver","Adaptive Tuner Control in TRIUMF ISAC 2 Superconducting LINAC using Kalman Filter",,"controls, feedback, linac, superconducting-RF, pick-up"
THP013,"T. Czarski, W. J. Jalmuzna, W. Koprek, K. T. Pozniak, R. S. Romaniuk, Warsaw University of Technology, Institute of Electronic Systems, Warsaw; S. Simrock, DESY, Hamburg","Adaptive Control of a SC Cavity Based on the Physical Parameters Identification",,"controls, klystron, feedback, radio-frequency, resonance"
THP016,"G. Devanz, P. Bosland, M. Desmons, CEA, Gif-sur-Yvette; M. Fouaidy, IPN, Orsay; E. Jacques, M. Luong, B. Visentin, CEA, Gif-sur-Yvette","Active Compensation of Lorentz Force Detuning of a TTF 9-Cell Cavity in CRYHOLAB",,"simulation, klystron, controls, feedback, radiation"
THP017,"R. C. McCrady, R. Keller, LANL, Los Alamos, New Mexico","Magnet Hysteresis Control at LANSCE",,"power-supply, quadrupole, linac, controls, acceleration"
THP018,"D. C. Plostinar, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; M. A. Clarke-Gayther, C. M. Thomas, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Design Progress of the Re-bunching RF Cavities and Hybrid Quadrupoles for the RAL Front-End Test Stand (FETS)",,"quadrupole, linac, impedance, simulation, proton"
THP019,"T. E. Plawski, H. Dong, C. Hovater, K. King, G. E. Lahti, J. Musson, Jefferson Lab, Newport News, Virginia","Commissioning of the Digital LLRF for the CEBAF Injector/Separator",,"controls, feedback, insertion, linac, instrumentation"
THP021,"T. L. Houck, D. A. Goerz, J. B. Javedani, E. J. Lauer, L. K. Tully, G. E. Vogtlin, LLNL, Livermore, California","Study of Vacuum Insulator Flashover for Pulse Lengths of Multi-Microseconds",,"plasma, cathode, vacuum, electron, diagnostics"
THP022,"S. Fukuda, M. Akemoto, H. Hayano, H. Katagiri, S. Kazakov, S. Matsumoto, T. Matsumoto, S. Michizono, H. Nakajima, K. Nakao, T. Shidara, T. Takenaka, Y. Yano, M. Yoshida, KEK, Ibaraki","Status of RF Sources in Super-Conducting RF Test Facility (STF) at KEK",,"klystron, superconducting-RF, controls, acceleration, linac"
THP023,"L. Shang, USTC/NSRL, Hefei, Anhui","Status of and Future Plan for the NSRL Microwave Power System",,"linac, klystron, power-supply, controls, radiation"
THP024,"J. Guo, S. G. Tantawi, SLAC, Menlo Park, California","Development of Ultra-fast Silicon Switches and their Applications on Active X-Band, High-Power RF Compression Systems",,"simulation, coupling, plasma, laser, resonance"
THP025,"H. Matsumoto, KEK, Ibaraki; J.-S. Oh, PAL, Pohang, Kyungbuk","R&D of the Long-Life Thyratron Tube",,"cathode, collider, controls, feedback, pick-up"
THP026,"S. Kazakov, F. Furuta, T. Higo, J. H. Hong, H. Matsumoto, KEK, Ibaraki; R. S. Orr, University of Toronto, Toronto, Ontario; T. Saeki, K. Saito, M. Satoh, KEK, Ibaraki; H. Urakata, TETD, Otawara; Y. Yano, Toshiba, Yokohama; O. Yushiro, Toshiba Electron Tubes &Devices Co., Ltd, Tokyo","HIGH POWER TEST OF COUPLER WITH CAPACITIVE WINDOW",,"vacuum, coupling, linac, linear-collider, collider"
THP027,"S. Matsumoto, M. Akemoto, S. Fukuda, T. Higo, H. Honma, S. Kazakov, N. K. Kudo, H. Nakajima, T. Shidara, M. Yoshida, KEK, Ibaraki","Study of PPM-Focused X-band Pulse Klystron",,"klystron, cathode, linear-collider, simulation, collider"
THP028,"J. Branlard, B. Chase, E. Cullerton, Fermilab, Batavia, Illinois","Master Oscillator for Fermilab ILC Test Accelerator",,"controls, simulation, power-supply, resonance, linear-collider"
THP029,"Y. W. Kang, A. V. Aleksandrov, M. M. Champion, M. S. Champion, M. T. Crofford, P. E. Gibson, ORNL, Oak Ridge, Tennessee; H. L. Haenichen, TU Darmstadt, Darmstadt; T. W. Hardek, P. Ladd, M. P. McCarthy, D. Stout, A. V. Vassioutchenko, ORNL, Oak Ridge, Tennessee","Development of an RFQ Input Power Coupling System",,"rfq, vacuum, coupling, SNS, simulation"
THP030,"Y. W. Kang, ORNL, Oak Ridge, Tennessee; A. E. Fathy, University of Tennessee, Knoxville, Tennessee; J. L. Wilson, ORNL, Oak Ridge, Tennessee","Investigation of Ferroelectrics for High-Power RF Phase Shifters in Accelerator Systems",,"impedance, simulation, vacuum, SNS, klystron"
THP031,"H.-J. Eckoldt, DESY, Hamburg","Pulse Cables For XFEL Modulators",,"klystron, impedance, simulation, pulsed-power, radiation"
THP032,"C. D. Nantista, C. Adolphsen, SLAC, Menlo Park, California","A Variable Directional Coupler for an Alternate ILC High-Power RF Distribution Scheme",,"coupling, polarization, klystron, quadrupole, linac"
THP033,"V. V. Paramonov, RAS/INR, Moscow; K. Floettmann, DESY, Hamburg; A. K. Skasyrskaya, RAS/INR, Moscow; F. Stephan, DESY Zeuthen, Zeuthen","Pulsed RF Heating Particularities in Normal-Conducting L-band Cavities",,"gun, booster, cathode, linac, positron"
THP034,"V. V. Paramonov, RAS/INR, Moscow; S. A. Korepanov, DESY Zeuthen, Zeuthen; L. V. Kravchuk, RAS/INR, Moscow","Effective Standing-Wave RF Structure for Charged-Particle Beam Deflector",,"RF-structure, linac, coupling, simulation, impedance"
THP035,"H. Liu, CIAE, Beijing; S. Fu, IHEP Beijing, Beijing; X. Wang, CIAE, Beijing","Design on Accelerating Tube of High-Power Electron Linac for Irradiation Processing",,"electron, linac, beam-losses, bunching, simulation"
THP036,"M. Akemoto, S. Fukuda, H. Honma, H. Nakajima, T. Shidara, KEK, Ibaraki","Long-Pulse Modulator for the Superconducting RF Test Facility at KEK",,""
THP037,"T. Higo, Y. Higashi, Y. Morozumi, K. Saito, K. Ueno, H. Yamaoka, KEK, Ibaraki","Wide-Range Frequency Compensation by Coaxial Ball-Screw Tuner",,"resonance, acceleration, linear-collider, booster, monitoring"
THP038,"T. Higo, M. Akemoto, S. Fukuda, Y. Higashi, N. K. Kudo, S. Matsumoto, K. Takata, T. T. Takatomi, K. Ueno, K. Yokoyama, KEK, Ibaraki","Normal Conducting High-Gradient Studies at KEK",,"linear-collider, collider, acceleration, extraction, vacuum"
THP039,"M. Di Giacomo, GANIL, Caen; P. De Antoni, CEA, Gif-sur-Yvette; B. Ducoudret, GANIL, Caen; P. Galdemard, M. Luong, O. Piquet, CEA, Gif-sur-Yvette; M. Tripon, GANIL, Caen","Status of the RF Systems for the SPIRAL2 Linac at the Beginning of the Construction Phase",,"controls, rfq, ion, linac, diagnostics"
THP040,"M. Yoshida, KEK, Ibaraki","New Concept of Small Delay Line Type RF Pulse Compressor Using Coupled Cavities",,"beam-loading, klystron, simulation, linac, coupling"
THP041,"Y. R. Lu, J.-E. Chen, J. X. Fang, Z. Y. Guo, W. G. Li, PKU/IHIP, Beijing; W. Li, M. Qian, New Affiliation Request Pending, -TBS-; X. B. Wang, X. Q. Yan, K. Zhu, PKU/IHIP, Beijing","400-kW RF Amplifier for a 201.5-MHz Deuteron RFQ Accelerator",,"rfq, linac, power-supply, proton, klystron"
THP042,"Z. Y. Guo, J.-E. Chen, J. X. Fang, S. L. Gao, J. F. Guo, W. G. Li, J.-Q. Lu, Y. R. Lu, S. X. Peng, F. Qian, Z. Z. Song, R. Xu, X. Q. Yan, J. X. Yu, PKU/IHIP, Beijing; C. Zhang, IAP, Frankfurt-am-Main; K. Zhu, PKU/IHIP, Beijing","Development of High-Current 201.5-MHz Deuteron RFQ Accelerator",,"rfq, simulation, linac, ion-source, ion"
THP043,"R. Boni, D. Alesini, M. Bellaveglia, A. Clozza, G. Di Pirro, A. Gallo, L. Palumbo, B. Spataro, F. Tazzioli, C. Vaccarezza, M. Vescovi, INFN/LNF, Frascati (Roma)","The RF System of the Sparc Photo-Injector @ LNF",,"klystron, gun, linac, vacuum, controls"
THP044,"M. Vretenar, N. Alharbi, F. Gerigk, M. Pasini, R. Wegner, CERN, Geneva","Design and Development of RF Structures for Linac4",,"linac, klystron, coupling, booster, quadrupole"
THP046,"L. Bellantoni, Fermilab, Batavia, Illinois; C. Adolphsen, SLAC, Menlo Park, California; G. Burt, A. C. Dexter, Cockcroft Institute, Lancaster University, Lancaster; H. Edwards, M. Foley, Fermilab, Batavia, Illinois; P. Goudket, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; T. K. Khabiboulline, Fermilab, Batavia, Illinois; T. W. Koeth, Rutgers University, The State University of New Jersey, Piscataway, New Jersey; D. V. Mitchell, A. M. Rowe, N. Solyak, Fermilab, Batavia, Illinois","Status of 3.9-GHz Deflecting-Mode (CRAB) Cavity R&D",,"dipole, luminosity, simulation, beam-loading, positron"
THP047,"M. S. Meidlinger, J. Bierwagen, S. Bricker, C. Compton, T. L. Grimm, W. Hartung, M. J. Johnson, J. Popielarski, L. Saxton, R. C. York, NSCL, East Lansing, Michigan; E. Zaplatin, FZJ, Jülich","Prototyping of a Single-Cell Half-Reentrant Superconducting Cavity",,"simulation, superconductivity, vacuum, resonance, coupling"
THP048,"D. Yu, A. Smirnov, R. Yi, DULY Research Inc., Rancho Palos Verdes, California","Band Gap Structures of PBG and Rod-loaded Cavities",,"dipole, damping, lattice, klystron, quadrupole"
THP049,"G. O. Bolme, S. Archuletta, J. Davis, L. Lopez, J. T.M. Lyles, D. J. Vigil, LANL, Los Alamos, New Mexico","LANSCE DTL Longitudinal Field Measurements at High Power",,"insertion, resonance, linac, proton, acceleration"
THP050,"N. Hayashizaki, T. Hattori, RLNR, Tokyo","Study of HOM-IH Linac",,""
THP051,"H. Edwards, T. T. Arkan, H. Carter, C. A. Cooper, M. Foley, E. R. Harms, T. K. Khabiboulline, D. V. Mitchell, D. O. Olis, A. M. Rowe, N. Solyak, S. Tariq, Fermilab, Batavia, Illinois","Status of 3.9-GHz Superconducting RF Cavity Technology at Fermilab",,"superconducting-RF, vacuum, controls, linac, higher-order-mode"
THP052,"G. Olry, S. Blivet, S. Bousson, T. Junquera, J. Lesrel, fl. Lutton, G. Martinet, H. Saugnac, IPN, Orsay","Tests Results of Beta 0.12 Quarter-Wave Resonator for the SPIRAL2 Superconducting Linac",,"linac, cryogenics, controls, heavy-ion, vacuum"
THP053,"J. Li, I. G. Gonin, T. K. Khabiboulline, D. O. Olis, N. Solyak, Fermilab, Batavia, Illinois; T. Wong, Illinois Institute of Technology, Chicago, Illinois","Simulations and Optimizations of a New Power Coupler for 3.9-GHz Superconducting Cavities at Fermilab",,"simulation, electron, coupling, impedance, cryogenics"
THP054,"S. Bousson, J.-L. Biarrotte, fl. Lutton, G. Olry, H. Saugnac, P. Szott, IPN, Orsay","Spoke Cavity Developments for the EURISOL Driver",,"vacuum, proton, cryogenics, linac, diagnostics"
THP056,"I. G. Gonin, G. Apollinari, T. K. Khabiboulline, G. Lanfranco, G. Romanov, Fermilab, Batavia, Illinois","Design of 325-MHz Single and Triple Spoke Resonators at FNAL",,"linac, proton, vacuum, pulsed-power, target"
THP057,"L. Ristori, I. G. Gonin, T. K. Khabiboulline, G. Romanov, Fermilab, Batavia, Illinois","Design of Normal Conducting 325-MHz Crossbar H-Type Resonators at Femirlab",,"linac, lattice, focusing, vacuum, impedance"
THP058,"T. A. Butler, E. Cullerton, V. Tupikov, Fermilab, Batavia, Illinois","Proposed LLRF Improvements for Fermilab 201.25 MHz Linac",,"linac, beam-loading, feedback, coupling, pick-up"
THP059,"P. Kneisel, G. Ciovati, Jefferson Lab, Newport News, Virginia; J. S. Sekutowicz, DESY, Hamburg","Coaxial HOM Coupler Designs Tested on a Single-Cell Niobium Cavity",,"coupling, pick-up, vacuum, simulation, damping"
THP060,"T. W. Koeth, Rutgers University, The State University of New Jersey, Piscataway, New Jersey; J. Branlard, R. H. Carcagno, B. Chase, P. Czarapata, H. Edwards, R. P. Fliller, C. M. Ginsburg, B. M. Hanna, A. Hocker, A. Klebaner, M. J. Kucera, M. McGee, D. F. Orris, P. S. Prieto, J. Reid, J. K. Santucci, W. M. Soyars, C.-Y. Tan, Fermilab, Batavia, Illinois","Capture Cavity II at Fermilab",,"vacuum, klystron, resonance, instrumentation, cryogenics"
THP061,"N. Solyak, H. Edwards, M. Foley, I. G. Gonin, T. K. Khabiboulline, D. V. Mitchell, A. M. Rowe, Fermilab, Batavia, Illinois","High Field Test Results of Superconducting 3.9-GHz Accelerating Cavities at FNAL",,"simulation, resonance, pick-up, linac, pulsed-power"
THP063,"H. Ao, K. Hasegawa, K. Hirano, JAEA/LINAC, Ibaraki-ken; M. Ikegami, KEK, Ibaraki; T. Morishita, JAEA/LINAC, Ibaraki-ken; V. V. Paramonov, RAS/INR, Moscow; A. Ueno, JAEA/LINAC, Ibaraki-ken; Y. Yamazaki, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","First High-Power ACS Module for J-PARC Linac",,"linac, vacuum, pick-up, ion, resonance"
THP064,"P. Fischer, A. Schempp, IAP, Frankfurt-am-Main","Tuning a CW 4-Rod RFQ",,"rfq, resonance, acceleration, pick-up, vacuum"
THP065,"M. E. Conde, S. P. Antipov, F. J. Franchini, W. Gai, F. Gao, C.-J. Jing, R. Konecny, W. Liu, J. G. Power, H. Wang, Z. M. Yusof, ANL, Argonne, Illinois","High-Gradient Generation in Dielectric-Loaded Wakefield Structures",,"electron, simulation, laser, gun, klystron"
THP066,"E. Zaplatin, FZJ, Jülich; T. L. Grimm, W. Hartung, M. J. Johnson, M. S. Meidlinger, J. Popielarski, R. C. York, NSCL, East Lansing, Michigan","Lorentz-Force Detuning Analysis for Low-Loss, Re-entrant and Half-Reentrant Superconducting RF Cavities",,"simulation, coupling, linear-collider, collider, superconducting-RF"
THP067,"C. Commenda, IAP, Frankfurt-am-Main; K. Dermati, GSI, Darmstadt; H. Liebermann, H. Podlech, U. Ratzinger, A. C. Sauer, IAP, Frankfurt-am-Main","Status of the Tuner for the 19-Cell Superconducting CH Prototype Cavity",,"simulation, cryogenics, radio-frequency, vacuum, linac"
THP068,"T. Ito, H. Asano, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; T. Kato, KEK, Ibaraki; T. Morishita, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; F. Naito, E. Takasaki, H. Tanaka, KEK, Ibaraki","RF Characteristics of the SDTL for the J-PARC",,"linac, insertion, proton, synchrotron, target"
THP069,"F. Naito, KEK, Ibaraki; H. Asano, T. Ito, T. Morishita, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; E. Takasaki, H. Tanaka, KEK, Ibaraki","DTL and SDTL Installation for the J-PARC",,"alignment, linac, quadrupole, proton, synchrotron"
THP070,"H. F. Ouyang, S. Fu, IHEP Beijing, Beijing","Study of BSNS RFQ Design",,"rfq, coupling, simulation, dipole, quadrupole"
THP072,"Y. Kondo, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; K. Hasegawa, JAEA, Ibaraki-ken; A. Ueno, JAEA/LINAC, Ibaraki-ken","Fabrication and Low-Power Measurements of the J-PARC 50-mA RFQ Prototype",,"rfq, laser, linac, vacuum, pick-up"
THP073,"D. Meidlinger, J. Bierwagen, S. Bricker, C. Compton, T. L. Grimm, W. Hartung, M. J. Johnson, J. Popielarski, L. Saxton, NSCL, East Lansing, Michigan","High-Current Elliptical Cavity Design and Prototyping",,"pick-up, vacuum, simulation, linac, injection"
THP075,"W. Hartung, J. Bierwagen, S. Bricker, C. Compton, T. L. Grimm, M. J. Johnson, D. Meidlinger, D. Pendell, J. Popielarski, L. Saxton, R. C. York, NSCL, East Lansing, Michigan","RF Performance of a Superconducting S-Band Cavity Filled with Liquid Helium",,"vacuum, pick-up, superconductivity, radiation, controls"
THP076,"W. Hartung, J. Bierwagen, S. Bricker, C. Compton, NSCL, East Lansing, Michigan; G. W. Foster, I. G. Gonin, Fermilab, Batavia, Illinois; T. L. Grimm, M. J. Johnson, NSCL, East Lansing, Michigan; T. K. Khabiboulline, Fermilab, Batavia, Illinois; P. Kneisel, Jefferson Lab, Newport News, Virginia; D. Meidlinger, J. Popielarski, L. Saxton, NSCL, East Lansing, Michigan; N. Solyak, R. Wagner, V. Yarba, Fermilab, Batavia, Illinois; R. C. York, NSCL, East Lansing, Michigan","Prototyping of a Superconducting Elliptical Cavity for a Proton Linac",,"proton, linac, SNS, vacuum, radiation"
THP077,"S. Doebert, R. Corsini, R. Fandos, A. Grudiev, E. Jensen, CERN, Geneva; Ö.M. Mete, Ankara University, Faculty of Engineering, Tandogan, Ankara; T. Ramsvik, J. A. Rodriguez, J. P.H. Sladen, I. Syratchev, M. Taborelli, F. Tecker, P. Urschütz, I. Wilson, W. Wuensch, CERN, Geneva","A High-Gradient Test of a 30-GHz Copper Accelerating Structure",,"electron, linac, pick-up, vacuum, acceleration"
THP078,"S. Doebert, CERN, Geneva; C. Adolphsen, SLAC, Menlo Park, California; A. Grudiev, S. T. Heikkinen, CERN, Geneva; L. Laurent, SLAC, Menlo Park, California; J. A. Rodriguez, I. Syratchev, M. Taborelli, W. Wuensch, CERN, Geneva","High-Gradient Test of a Tungsten-Iris X-Band Accelerator Structure at NLCTA",,"vacuum, linear-collider, collider, RF-structure, impedance"
THP079,"P. N. Ostroumov, A. Barcikowski, ANL, Argonne, Illinois; J. Rathke, AES, Princeton, New Jersey; B. M. Rusthoven, ANL, Argonne, Illinois; D. L. Schrage, TechSource, Santa Fe, New Mexico; S. I. Sharamentov, S. Sharma, W. F. Toter, ANL, Argonne, Illinois; N. Vinogradov, Northern Illinois University, DeKalb, Illinois","High-Power Test of a 57-MHz CW RFQ",,"rfq, vacuum, acceleration, pick-up, linac"
THP081,"S.-H. Kim, I. E. Campisi, F. Casagrande, M. S. Champion, M. T. Crofford, D.-O. Jeon, Y. W. Kang, M. P. McCarthy, D. Stout, ORNL, Oak Ridge, Tennessee","Study on Fault Scenarios of Coaxial Type HOM Couplers in SRF Cavities",,"SNS, electron, coupling, radiation, vacuum"
THP082,"M. Pekeler, S. Bauer, H. Vogel, P. vom Stein, ACCEL, Bergisch Gladbach","Industrialization of TESLA-Type SRF Technology at ACCEL",,"vacuum, cryogenics, controls, electron, monitoring"
THP083,"YL. Li, J. W. Lewellen, ANL, Argonne, Illinois","Generation of Ellipsoidal Beam Through 3-D Pulse Shaping of a Photoinjector Drive Laser",,"laser, simulation, emittance, electron, gun"
THP084,"D. E. Johnson, Fermilab, Batavia, Illinois","Design of an 8-Gev H- Transport and Multiturn Injection System",,"injection, linac, lattice, proton, dipole"
THP085,"T. Ito, JAEA/LINAC, Ibaraki-ken; H. Asano, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; Z. Kabeya, S. Kakizaki, MHI, Nagoya; T. Kato, KEK, Ibaraki; T. Morishita, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; F. Naito, KEK, Ibaraki; K. Suzuki, MHI, Nagoya; E. Takasaki, H. Tanaka, K. Yoshino, KEK, Ibaraki","Transportation of the DTL/SDTL for the J-PARC",,"acceleration, alignment, target, linac, focusing"
THP086,"Y. Iwashita, Kyoto ICR, Uji, Kyoto","Mitigation of Power Loss Due to Skin Effect by Thin-Layered Film",,"resonance, controls, vacuum, electromagnetic-fields"
THP087,"T. Kamitani, T. Higo, M. Ikeda, K. Kakihara, N. K. Kudo, S. Ohsawa, T. Sugimura, T. T. Takatomi, K. Yokoyama, KEK, Ibaraki","Status of C-band Accelerating Section Development at the KEKB Injector Linac",,"linac, klystron, impedance, positron, acceleration"
THP089,"C. M. Kleffner, R. Baer, W. Barth, GSI, Darmstadt; A. Bechtold, IAP, Frankfurt-am-Main; R. Cee, E. Feldmeier, HIT, Heidelberg; M. Galonska, F. Heymach, R. Hollinger, G. Hutter, W. Kaufmann, M. T. Maier, A. Reiter, GSI, Darmstadt; A. Schempp, IAP, Frankfurt-am-Main; B. Schlitt, M. Schwickert, P. S. Spaedtke, W. Vinzenz, GSI, Darmstadt; S. Vollmer, HIT, Heidelberg","Testbench of the HICAT RFQ at GSI",,"rfq, ion, linac, proton, RF-structure"
THP090,"T. Saeki, F. Furuta, H. Hayano, Y. Higashi, T. Higo, I. H. Inoue, S. Kazakov, H. Matsumoto, Y. Morozumi, R. S. Orr, K. Saito, M. Satoh, N. Toge, K. Ueno, H. Yamaoka, K. Yokoya, KEK, Ibaraki","Initial Studies of 9-Cell High-Gradient Superconducting Cavities at KEK",,"pick-up, insertion, superconductivity, coupling, higher-order-mode"
THP091,"T. Suwada, KEK, Ibaraki; R. Chehab, LAL, Orsay; K. Furukawa, KEK, Ibaraki; R. Hamatsu, T. Haruna, TMU, Hatioji-shi,,Tokyo; T. Kamitani, KEK, Ibaraki; Y. Kanamaru, TMU, Hatioji-shi,,Tokyo; H. Okuno, KEK, Tsukuba; A. Potylitsyn, TPU, Tomsk; M. Satoh, T. Sugimura, KEK, Ibaraki; I. S. Tropin, TPU, Tomsk; K. Umemori, KEK, Ibaraki; K. Yoshida, Saga Synchrotron Light Source, Industry Promotion Division, Saga City","Experimental Study of Positron Production from Monocrystalline Targets at the KEKB Injector Linac",,"target, positron, electron, radiation, linac"
THP092,"T. Suwada, K. Furukawa, E. Kadokura, M. Satoh, KEK, Ibaraki","Control System for a Limitation of an Integrated Amount of Beam Charges Delivered from the KEKB Injector Linac",,"injection, controls, linac, electron, positron"
THP093,"P. M. McIntyre, N. Pogue, A. Sattarov, Texas A&M University, College Station, Texas","Polyhedral Cavity for Superconducting Linacs",,"linac, coupling, collider, emittance, brightness"
THP094,"C. G.R. Geddes, LBNL, Berkeley, California; D. L. Bruhwiler, J. R. Cary, Tech-X, Boulder, Colorado; E. Esarey, LBNL, Berkeley, California; S. M. Hooker, OXFORDphysics, Oxford, Oxon; W. Leemans, LBNL, Berkeley, California; E. Michel, University of Nevada, Reno, Reno, Nevada; P. Michel, B. Nagler, K. Nakamura, G. R. Plateau, C. B. Schroeder, B. Shadwick, C. Toth, J. Van Tilborg, LBNL, Berkeley, California","GeV Laser Wakefield Acceleration and Injection Control at LOASIS",,"laser, electron, plasma, simulation, injection"
THP097,"W. J. Jalmuzna, P. F. Fafara, W. Koprek, P. K. Perkuszewski, K. T. Pozniak, P. Pucyk, R. S. Romaniuk, Warsaw University of Technology, Institute of Electronic Systems, Warsaw; S. Simrock, DESY, Hamburg","FPGA BASED DIGITAL RF CONTROL FOR FLASH",,"controls, klystron, feedback, gun, cathode"
TU1002,"D. C. Nguyen, LANL, Los Alamos, New Mexico","Technologies Toward a 100-kW Free-Electron Laser",,"wiggler, electron, gun, extraction, emittance"
TU1003,"R. D. Scarpetti, H. A. Davis, LANL, Los Alamos, New Mexico","Modern Electron Induction Linacs",,"electron, target, induction, cathode, linac"
TU1004,"M. P. Stockli, ORNL, Oak Ridge, Tennessee","Development of High-Current, High-Duty-Factor H- Injectors",,"emittance, SNS, ion, electron, plasma"
TU2001,"A. Freyberger, J. F. Benesch, S. A. Bogacz, Y.-C. Chao, J. M. Grames, L. Harwood, R. Kazimi, G. A. Krafft, L. Merminga, E. Pozdeyev, Y. Roblin, M. Spata, M. Wiseman, B. C. Yunn, Y. Zhang, Jefferson Lab, Newport News, Virginia","The 12-GeV CEBAF Upgrade Project",,""
TU2002,"M. Okamura, RIKEN, Saitama","Laser-Based Heavy Ion Production",,"ion, laser, plasma, rfq, target"
TU2003,"S. Fu, S. X. Fang, IHEP Beijing, Beijing; J. Wei, BNL, Upton, Long Island, New York","China Spallation Neutron Source Linac Design",,"linac, rfq, power-supply, ion, ion-source"
TU2004,"A. Pisent, G. Bisoffi, D. Carlucci, M. Cavenago, M. Comunian, A. Facco, E. Fagotti, INFN/LNL, Legnaro, Padova; S. X. Fang, S. Fu, IHEP Beijing, Beijing; A. Galatà, INFN/LNL, Legnaro, Padova; X. L. Guan, CIAE, Beijing; A. Palmieri, M. Poggi, A. M. Porcellato, P. A. Posocco, C. Roncolato, INFN/LNL, Legnaro, Padova; S. Vitulli, CNAO Foundation, Milan","Results on the Beam Commissioning of the Superconducting-RFQ of the New LNL Injector",,"rfq, emittance, simulation, ion, beam-losses"
TU3001,"R. Hollinger, W. Barth, L. A. Dahl, M. Galonska, GSI, Darmstadt; R. Gobin, CEA, Gif-sur-Yvette; L. Groening, GSI, Darmstadt; P.-A. Leroy, CEA, Gif-sur-Yvette; O. Meusel, IAP, Frankfurt-am-Main; P. S. Spaedtke, GSI, Darmstadt","High-Current Proton Beam Investigations at the SILHI-LEBT at CEA/Saclay",,"emittance, ion, proton, space-charge, ion-source"
TU3002,"A. J. Favale, AES, Medford, NY","Industrial Aspects of Linac Components",,"linac, gun, radio-frequency, vacuum, electron"
TUP001,"S. J. Pasky, M. Borland, L. Erwin, R. M. Lill, N. Sereno, ANL, Argonne, Illinois","Linac Automated Beam Phase Control System",,"linac, controls, klystron, gun, feedback"
TUP002,"D. A. Bartkoski, A. V. Aleksandrov, D. E. Anderson, M. T. Crofford, C. Deibele, S. Henderson, J. C. Patterson, C. Sibley, A. Webster, ORNL, Oak Ridge, Tennessee","High-Dynamic-Range Current Measurements in the Medium-Energy Beta Transport Line at the Spallation Neutron Source",,"SNS, Spallation-Neutron-Source, linac, extraction, rfq"
TUP003,"J. F. Power, LANL, Los Alamos, New Mexico; A. V. Aleksandrov, S. Assadi, W. Blokland, P. Chu, C. Deibele, J. Galambos, C. D. Long, J. Pogge, ORNL, Oak Ridge, Tennessee; M. W. Stettler, LANL, Los Alamos, New Mexico; A. Webster, ORNL, Oak Ridge, Tennessee","Spallation Neutron Source Linac Beam Position and Phase Monitor System",,"linac, pick-up, SNS, controls, instrumentation"
TUP004,"B. Park, M.-H. Cho, S. H. Kim, S.-I. Moon, W. Namkung, POSTECH, Pohang, Kyungbuk; J.-S. Oh, S. J. Park, PAL, Pohang, Kyungbuk","Intense L-Band Electron Linac for Industrial Applications",,"coupling, linac, electron, impedance, klystron"
TUP005,"J. W. Staples, M. D. Hoff, J. W. Kwan, D. Li, B. A. Ludewigt, A. Ratti, S. P. Virostek, R. Wells, LBNL, Berkeley, California","Design of an RFQ-Based Neutron Source for Cargo Container Interrogation",,"rfq, target, ion-source, ion, quadrupole"
TUP007,"C.-X. Tang, H. Chen, Y. H. Liu, TUB, Beijing","Low-Energy Linacs and Their Applications in Tsinghua University",,"linac, electron, klystron, positron, scattering"
TUP008,"C.-X. Tang, Q. Du, Y.-C. Du, X. He, W.-H. Huang, Y. Lin, TUB, Beijing","The Low Emittance Photoinjector in Tsinghua University",,"emittance, cathode, gun, laser, electron"
