a-01,"R. Bimbot, IPN, Orsay, France","From the Discovery of Radioactivity to the Production of Radioactive Beams",5 12,
a-30,"S.K. Parcell, D.W. Arnott, National Medical Cyclotron, Camperdown, Australia; E.M. Conard, Particle Accelerator Consultants, Dion-Valmont, Belgium","New Irradiation Facilities at the Australian National Medical Cyclotron",123 126,
a-31,"C. Brugnoni, R. Bisconti, M.F. Stroosnijder, Joint Research Centre of the European Commission, Ispra (Va), Italy; G. Laguzzi, CNR-Rome, Rome, Italy","Application of Thin Layer Activation in Corrosion of Bronzes",127 128,
a-32,"F. Ditrói, I. Mahunka, S. Takács, F. Tárkányi, Institute of Nuclear Research of the Hungarian Academy of Sciences, Debrecen, Hungary","Application of Small Energy Cyclotrons for Thin Layer Activation Technique",129 132,
a-33,"J.C. Cornell, A.H. Botha, J.L. Conradie, D.T. Fourie, A. Müller, H.A. Smit, National Accelerator Centre, Faure, Republic of South Africa","New Beamlines for Proton Therapy at NAC",133 136,
a-34,"M.N. Rajcevic, J.J. Comor, A. Dobrosavljevic, Vinca Institute of Nuclear Sciences, Belgrade, Yugoslavia","Design of a Channel for Irradiation of Solid Targets",137 140,
a-35,"R.L. Maughan, J.D. Forman, A.T. Porter, M. Yudelev, Harper Hospital and Wayne State University, Detroit, Michigan, USA; H.G. Blosser, NSCL, East Lansing, Michigan, USA; E.B. Blosser, G.F. Blosser, MedCyc Corporation, Haslett, Michigan, USA","Neutron Radiation Therapy with the Harper Hospital Superconducting Cyclotron: Six Years Operating Experience",141 144,
a-36,"A.A. Efremov, S.L. Bogomolov, V.B. Kutner, A.N. Lebedev, V.N. Loginov, N.Yu. Yazvitsky, JINR, Dubna, Russia","Li and Ca Ion Beams Production",145 147,
b-01,"A. Goto, S. Fujishima, K. Ikegami, T. Kawaguchi, J.-W. Kim, T. Kubo, T. Mitsumoto, T. Morikawa, J. Ohnishi, H. Okuno, N. Sakamoto, K. Sugii, T. Tominaka, T. Wada, Y. Yano, S. Yokouchi, RIKEN, Saitama, Japan","The K2500 Superconducting Ring Cyclotron of Riken RI Beam Factory - Overview and Status",148 155,
b-02,"A. Rovelli, INFN/LNS, Catania, Italy","Very Low Intensity Beam Diagnostics",156 162,
b-03,"B. Launé, M. Malard, IPN, Orsay, France; R. Anne, D. Bibet, L. Boy, J. Guillot, E. Lécorché, B. Piquet, B. Raine, C. Tribouillard, M. Ulrich, A.C.C. Villari, GANIL, Caen, France","Diagnostic System Dedicated to the Radioactive Ion Beams at the SPIRAL Facility",163 166,
b-04,"A. Horbowa, IPN, Orsay, France; P. Dolegieviez, GANIL, Caen, France","Vacuum System Performances on SPIRAL Facility",167 170,
b-05,"S. Brandenburg, L. de Vries, KVI, Groningen, The Netherlands","The RF-System of the AGOR-Cyclotron",171 174,
b-06,"M. Di Giacomo, GANIL, Caen, France","Design and Manufacturing Tools for RF Resonators at GANIL",175 178,
b-07,"Z.Q. Xie, D.J. Clark, A. Guy, S.A. Lundgren, C.M. Lyneis, LBNL, Berkeley, California, USA","Vacuum Improvements for Ultra High Charge Ion Acceleration",179 182,
