a-01,"R. Bimbot, IPN, Orsay, France","From the Discovery of Radioactivity to the Production of Radioactive Beams",5 12,
g-09,"P.M. Cronje, A.H. Botha, J.L. Conradie, D.T. Fourie, W.A.G. Nel, National Accelerator Centre, Faure, South Africa","Beam Depolarization in the NAC Beam Lines and Cyclotrons",481 484,
g-10,"S. Fujishima, A. Goto, T. Mitsumoto, H. Okuno, T. Tominaka, Y. Yano, RIKEN, Saitama, Japan","Analysis of the Injection and Extraction Trajectories in the RIKEN Superconducting Ring Cyclotron",485 488,
g-11,"M.V. Lachinov, B.F. Milton, TRIUMF, Vancouver, B.C., Canada","Optimized Bunching in the SPIRAL Inflector of the CYCLONE 44 Injection System",489 492,
g-12,"A.A. Rylov, V.N. Bubir, I.R. Gulamov, Institute of Nuclear Physics, Tashkent, Uzbekistan","Ion Source Revolved on 8o Angle Relatively Dee Edge for Classic Cyclotron",493 494,
g-13,"T. Tominaka, S. Fujishima, A. Goto, H. Okuno, Y. Yano, RIKEN, Saitama, Japan","An Optimal Design for the Injection and Extraction Elements for the RIKEN Superconducting Ring Cyclotron",495 498,
g-14,"M. Fukuda, T. Agematsu, K. Arakawa, I. Ishibori, T. Karasawa, A. Matsumura, N. Nakamura, T. Nara, S. Okumura, H. Tamura, JAERI, Gunma, Japan","Estimation of a Beam Centering Error in the JAERI AVF Cyclotron",499 502,
g-15,"J.-W. Kim, S. Fujishima, A. Goto, K. Ikegami, T. Kawaguchi, T. Kubo, T. Mitsumoto, T. Morikawa, J. Ohnishi, H. Okuno, N. Sakamoto, K. Sugii, T. Tominaka, T. Wada, Y. Yano, S. Yokouchi, RIKEN, Saitama, Japan","A Single-Turn Extraction Study for the RIKEN Superconducting Ring Cyclotron",503 506,
g-16,"T. Mitsumoto, S. Fujishima, A. Goto, T. Kawaguchi, J.-W. Kim, J. Ohnishi, H. Okuno, T. Tominaka, Y. Yano, RIKEN, Saitama, Japan","Orbit Analysis of the RIKEN Superconducting Ring Cyclotron",507 510,
g-17,"L.M. Onischenko, O.N. Borisov, JINR, Dubna, Russia","Beam Extraction from Electron Model by Expansion-Computer Simulation",511 513,
g-18,"T.L. Grimm, G. Horner, D.A. Johnson, F. Marti, NSCL, East Lansing, Michigan, USA","Compensation of Magnetic Field Imperfections in the NSCL K500 Superconducting Cyclotron",514 517,
g-19,"N.K. Abrossimov, S.A. Artamonov, V.A. Eliseev, G.A. Riabov, St Petersburg Nuclear Physics Institute, Gatchina, Russia","Design and Modeling the SPIRAL Magnetic Structure for 80 MeV H- Isochronous Cyclotron",518 521,
g-20,"A. Mochihashi, K. Sato, Osaka University, Osaka , Japan","Analytical Expression of Transient EDDY Current Effect in Iron-Solid Magnets",522 525,
g-21,"X.Y. Xu, J.W. Xia, P. Yuan, Institute of Modern Physics, Lanzhou, China","A Program on Magnet Optimization Design",526 527,
g-22,"O.N. Borisov, N.A. Morozov, E.V. Samsonov, N.G. Shakun, S.B. Vorojtsov, JINR, Dubna, Russia; E. Bakewicz, K. Daniel, H. Doruch, T. Kwiecien, R. Taraszkiewicz, Henryk Niewodniczanski Institute of Nuclear Physics, Krakow, Poland","New Beam Extraction System for the AIC-144 Cyclotron",528 531,
g-23,"G.H. Gillespie, N.A. Brown, B.W. Hill, M.C. Lampel, H. Martono, J.M. Moore, G.H. Gillespie Associates Inc., Del Mar, California, USA","Using the Particle Beam Optics Laboratory (PBO LABTM) for Beamline Design and Analysis",532 535,
g-24,"D.V. Altiparmakov, P. Belicev, Vinca Institute of Nuclear Sciences, Belgrade, Yugoslavia","Numerical Simulation of Real vs. Theoretical SPIRAL Inflector",536 539,
g-25,"S.S. Tomic, P. Belicev, N. Neskovic, Vinca Institute of Nuclear Sciences, Belgrade, Yugoslavia; E.V. Samsonov, JINR, Dubna, Russia","Ion Beam Dynamics in the Acceleration Region of the VINCY Cyclotron",540 543,
g-26,"I.A. Ivanenko, JINR, Dubna, Russia","The Central Region of the U400 Cyclotron. The Calculation of the Accelerating Beam Dynamics for the First Orbits After the Injection",544 547,
h-01,"W. Busse, HMI, Berlin, Germany; Th. Blumer, PSI, Villigen, Switzerland; J.C. Collins, Indiana University, Bloomington, Indiana, USA; L. David, GANIL, Caen, France; P. Kroon, KVI, Groningen, Netherlands; A. Lassila, University of Jyväskylä, Jyväskylä, Finland; M. Mouat, TRIUMF, Vancouver, B.C., Canada","Can We Make a Control System Do What the Operator Wants?",548 554,
h-02,"A.R. Mahlou, H. Afarideh, B. Fateh, S.M. Hadji-Saeid, Nuclear Research Center for Agriculture and Medicine, Karadj, Iran","Design and Construction of Control System for Radioisotope Production Through Gas Target",555 559,
h-03,"A. Savalle, P. Gillette, C. Leboucher, E. Lécorché, E. Lemaitre, M.-H. Moscatello, GANIL, Caen, France","Automatic Beam Tuning at GANIL",560 563,
h-04,"L. David, E. Lécorché, The Control Group, GANIL, Caen, France","Software Trends for Both the GANIL SPIRAL Control",564 566,
h-05,"M. Cihák, J. Lacman, J. Stursa, Nuclear Physics Institute, ASCR, Rez, Czech Republic","New Control System for the Isochronous Cyclotron U-120M",567 570,
h-06,"T.T. Luong, J.C. Deroy, P. De Saint Jores, L. Martina, GANIL, Caen, France","The Radiation Safety Access Control at GANIL and the Rib SPIRAL Facility",571 574,
h-07,"T. Stalevski, R. Balvanovic, S. Dekic, A. Dobrosavljevic, I. Draganic, D. Strbac, I. Vuleta, Vinca Institute of Nuclear Sciences, Belgrade, Yugoslavia","Safety and Control Systems of the mVINIS Ion Source",575 578,
h-08,"B.J. Samardzic, V.R. Drndarevic, Vinca Institute of Nuclear Sciences, Belgrade, Yugoslavia","PC Based RF Control System for the VINCY Cyclotron",579 582,
h-09,"A. Lassila, E. Liukkonen, University of Jyväskylä, Jyväskylä, Finland","Evolutionary Steps of the Alcont Control System at JYFL",583 586,
i-01,"B.N. Gikal, G.G. Gulbekian, V.B. Kutner, JINR, Dubna, Russia","Recent Developments at Dubna U400 and U400M Cyclotrons",587 591,
i-02,"H.W. Schreuder, S. Brandenburg, H. Post, L.P. Roobol, L. de Vries, S. van der Veen, KVI, Groningen, Netherlands","AGOR Performance Report",592 598,
i-03,"D. Rifuggiato, L. Calabretta, G. Cuttone, S. Gammino, G. Raia, A. Rovelli, INFN/LNS, Catania, Italy","First Years of Operation of the LNS Superconducting Cyclotron",599 602,
i-04,"J.Y. Tang, Y.F. Wang, B.W. Wei, Institute of Modern Physics, Lanzhou, China","Status, New Development and Upgrading Program at HIRFL",603 608,
i-05,"T. Saito, S. Ano, K. Hatanaka, T. Itahashi, M. Kibayashi, K. Sato, A. Shimizu, H. Tamura, K. Tamura, T. Yamazaki, Osaka University, Osaka , Japan","Highly Stabilized Operation of the RCNP Cyclotron",609 612,
i-06,"B. Mukherjee, ANSTO, Menai, Australia; R.M. Ronningen, NSCL, East Lansing, Michigan, USA; P. Rossi, MSU, East Lansing, Michigan, USA","Neutron Skyshine Measurement at a K1200 Superconducting Heavy Ion Cyclotron using Bubble Dosimeters",613 616,
i-07,"K. Arakawa, T. Agematsu, M. Fukuda, I. Ishibori, Y. Nakamura, T. Nara, S. Okumura, H. Tamura, W. Yokota, JAERI, Gunma, Japan","Status Report on the JAERI AVF Cyclotron",617 620,
i-08,"T. Honma, Y. Furusawa, T. Hiraoka, T. Kanai, K. Noda, H. Ogawa, Y. Sato, K. Suzuki, M. Takada, S. Yamada, T. Yamada, N. Yasuda, NIRS, Chiba, Japan; H. Nonaka, Sumitomo Heavy Industries, Ehime, Japan","Present Status of Cyclotron Facility at NIRS",621 624,
i-09,"H.N. Jungwirth, A.H. Botha, P.J. Celliers, J.L. Conradie, J.C. Cornell, P.M. Cronje, J.G. de Villiers, Z.B. du Toit, D.T. Fourie, M.E. Hogan, W.A.G. Nel, L.M.M. Roels, P.F. Rohwer, P.J. Theron, W.F. van Heerden, D.M. van Rooyen, H.F. Weehuizen, National Accelerator Centre, Faure, South Africa; K. Kennepohl, FZJ, Jülich, Germany","Progress with New Beams and Facilities at NAC",625 628,
i-10,"M. Kase, J. Fujita, A. Goto, K. Ikegami, N. Inabe, T. Kageyama, O. Kamigaito, M. Kidera, M. Kobayashi, S. Kohara, M. Nagase, T. Nakagawa, Y. Yano, I. Yokoyama, A. Yoneda, RIKEN, Saitama, Japan","Present Status of the RIKEN Accelerator Research Facility (RARF)",629 631,
i-11,"G.J. Kim, D.P. May, Texas AM University, College Station, Texas, USA","Striving for Intense Beams from the Texas AM K500 Cyclotron",632 635,
i-12,"B.N. Kirsanov, N.A. Konyakhin, N.N. Krasnov, V.N. Mironov, A.A. Ognev, A.A. Ponomarev, A.A. Razbash, Yu.G. Sevastyanov, Cyclotron Co. Ltd, Obninsk, Kaluga Region, Russia","The Use of a Classical Cyclotron with 28 MeV Proton Energy for the Production of 201TI and 68Ge",636 637,
i-13,"B.F. Milton, R.J. Dawson, M.P. Dehnel, T. Kuo, R. Ruegg, TRIUMF, Vancouver, B.C., Canada; R. Risler, University of Washington, Seattle, Washington, USA","Design of an Axial Injection System for the Seattle MC50 Cyclotron",638 641,
i-14,"A.N. Zelenski, G. Dutto, A.A. Hamian, R. Laxdal, C.D.P. Levy, G.H. Mackenzie, D.W. Ramsay, P. Schmor, N.A. Titov, W.T.H. van Oers, TRIUMF, Vancouver, B.C., Canada","A High Quality Polarized Cyclotron Beam for the TRIUMF Parity Violation Experiment",642 645,
i-15,"D. Rifuggiato, L. Calabretta, V.A. Shchepunov, INFN/LNS, Catania, Italy; A.I. Papash, Institute for Nuclear Research, Kiev, Ukraine","Axial Injection in the LNS Superconducting Cyclotron",646 649,
i-16,"P. Heikkinen, E. Liukkonen, P. Nieminen, University of Jyväskylä, Jyväskylä, Finland; S.A. Artamonov, G.A. Riabov, V. Volchenkov, A. Zubarev, St Petersburg Nuclear Physics Institute, Gatchina, Russia","Feasibility Studies of the H- Acceleration in the K130 Cyclotron in Jyväskylä",650 653,
i-17,"W. Bräutigam, R. Brings, R. Gebel, R. Maier, A. Schnase, FZJ, Jülich, Germany; H.N. Jungwirth, National Accelerator Centre, Faure, South Africa","H- Operation of the Cyclotron JULIC as Injector for the Cooler Synchrotron COSY-Jülich",654 657,
i-18,"A.I. Papash, Institute for Nuclear Research, Kiev, Ukraine","Supplying and Acceleration of Multicharged Ions on the Kiev Isochronous Cyclotron U-240",658 660,
j-01,"S. Gales, IPN, Orsay, France","Present and Future Role of Cyclotrons in Nuclear Physics and Their Applications",661 664,
j-02,"L. Calabretta, D. Rifuggiato, INFN/LNS, Catania, Italy","Superconducting Cyclotrons for Acceleration of H2+",665 668,
j-03,"C. Bieth, A. Laisne, Pantechnik, Caen, France","A Very Compact Protontherapy Facility Based on an Extensive Use of High Temperature Superconductors (HTS)",669 672,
j-04,"P.V. Bogdanov, A.V. Galchuk, V.G. Mudrolyubov, A.V. Popov, B.N. Tronov, M.F. Vorogushin, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, St Petersburg, Russia","Experience of the MGC-20 Operation and its Prospects",673 676,
j-05,"M.F. Yoon, S. Oh, W.Y. Yang, POSTECH, Pohang, Korea; J.S. Chai, Cyclotron Application Laboratory, Seoul, Korea; J.-W. Kim, RIKEN, Saitama, Japan","Initial Design of a 13 MeV Cyclotron for Positron Emission Tomography: Design of the Main Magnet",677 680,
j-06,"A.V. Galchuk, L.E. Korolev, B.N. Tronov, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, St Petersburg, Russia; M.N.H. Comsan, Nuclear Researches Centre of ARE, Cairo, Egypt","External Beam Possibilities for the MGC-20 Cyclotron Project in Egypt",681 683,
j-07,"A. Laisne, Pantechnik, Caen, France","More About a Universal Compact Isochronous Superconducting Cyclotron Archetype",684 686,
jrr,"M.K. Craddock, University of British Columbia and TRIUMF, Vancouver, B.C., Canada; D.J. Clark, LBNL, Berkeley, California, USA","John Reginald Richardson",99 98,
k-01,"R.C. York, H.G. Blosser, T.L. Grimm, F. Marti, J. Vincent, X.Y. Wu, A. Zeller, NSCL, East Lansing, Michigan, USA","The NSCL Coupled Cyclotron Project - Overview and Status",687 691,
k-02,"R.K. Bhandari, The VECC Staff, Variable Energy Cyclotron Centre, Calcutta, India","Status of the Calcutta Superconducting Cyclotron Project",692 695,
k-03,"Y. Yano, A. Goto, RIKEN, Saitama, Japan; T. Katayama, University of Tokyo, Tokyo, Japan","Overview of RIKEN RI Beam Factory Project",696 703,
k-04,"M. Fulop, Slovak Institute of Metrology, Bratislava, Slovak Republic; S. Ftáccaron;niková, P. Ragan, Institute of Preventive and Clinical Medicine, Bratislava, Slovak Republic","Cyklotron for Medical and Physical Uses in Slovak Republic",706 709,
l-01,"Th. Stammbach, PSI, Villigen, Switzerland","Final Remarks",704 705,
