FRXGB001,"O. Boine-Frankenheim, GSI, Darmstadt","Accelerator Challenges of Proposed Radioactive Beam Facilities",
MOPLE002,"M. Torikoshi, M. Kumada, K. Noda, M. Sasaki, T. Tsunoo, S. Yamada, NIRS, Chiba City; H. Ogawa, A. Takubo, AEC, Chiba City; K. Itoh, T. Kurusu, H. Maeda, T. Wada, Toshiba Corporation, Yokohama-city","Development of Superconducting Wiggler at NIRS",
MOPLE003,"L. García-Tabarés, P. Abramian, J. Calero, F. Toral, CEDEX-CIEMAT, Madrid; A. Ijspeert, J.C. Pérez, CERN, Geneva","Dimensional Metrology of Cylinders Based on Digital Image Processing: Application to LHC Corrector Magnets",
MOPLE004,"L. Tkachenko, I. Bogdanov, S. Kozub, V. Pleskach, P. Shcherbakov, V. Sytnik, A. Tikhov, S. Zintchenko, V. Zubko, IHEP, Protvino, Moscow Region; K. Bishofberger, R. Hively, G. Krafzcyk, G.I. Kuznetsov, A. Martinez, H. Pfeffer, V. Shiltsev, N. Solyak, D. Wolff, FNAL, Batavia","Test Results of the Magnetic System for the Tevatron Electron Lens",
MOPLE005,"L. Tkachenko, A. Ageev, I. Bogdanov, S. Kozub, P. Shcherbakov, P. Slabodchikov, V. Sytnik, V. Zubko, IHEP, Protvino, Moscow Region; K. Blasche, J. Kaugerts, G. Moritz, GSI, Darmstadt","A Possibility of Development of Superconducting Dipole for Fast-Cycling Magnetic Fields ",
MOPLE006,"M. Okamura, T. Katayama, T. Tominaka, RIKEN, Saitama; R. Gupta, A.U. Luccio, W.W. MacKay, T. Roser, E. Willen, BNL, Upton, Long Island, New York; T. Ohkawa, Mitsubishi Heavy Industries, Ltd., Kobe, Hyogo","Design Study of a Partial Snake for the AGS",
MOPLE007,"V. Zubko, I. Bogdanov, A. Harchenko, S. Kozub, K. Myznikov, A. Olyunin, V. Sytnik, L. Tkachenko, IHEP, Protvino, Moscow Region; I. Akimov, D. Gusakov, D. Rakov, A. Shikov, VNIINM, Moscow","HTS Current Lead Optimization",
MOPLE008,"P.L. Walstrom, LANL, Los Alamos","Design of End Turns in Current-Dominated Dipole and Quadrupole Magnets for Fields with Low Higher-Harmonic Content",
MOPLE010,"N. Ohuchi, Y. Ajima, H. Hirano, M. Iida, N. Kimura, T. Nakamoto, T. Ogitsu, H. Ohhata, T. Shintomi, S. Sugawara, K. Tsuchiya, A. Yamamoto, KEK, Ibaraki-ken","Field Quality of the Low-beta Quadrupole Magnets, MQXA, for the LHC-IR",
MOPLE011,"H. Hirano, Y. Ajima, T. Nakamoto, T. Ogitsu, N. Ohuchi, T. Shintomi, K. Tsuchiya, A. Yamamoto, KEK, Ibaraki-ken","Measurements of Magnetic Axis and Twist of a Low-beta Quadrupole Magnet for LHC by using a Morgan Coil",
MOPLE012,"A. Vergara-Fernández, R. Denz, F. Rodríguez-Mateos, CERN, Geneva","Reliability Analysis for the Quench Detection in the LHC Machine",
