wga22,"G. Franchetti, W.B. Bayer, F. Becker, O. Chorniy, P. Forck, T. Giacomini, I. Hofmann, M. Kirk, T.S. Mohite, C. Omet, A.S. Parfenova, P. Schütt, GSI, Darmstadt","The S317 Experiment on High Intensity Beam Loss and Emittance Growth",128 130,
wga24,"A.Y. Molodozhentsev, E. Forest, KEK, Ibaraki","Simulation of Resonances and Beam Loss for the J-PARC Main Ring",131 133,
wga25,"M. Martini, M. Aiba, C. Carli, CERN, Geneva","Evolution Beam Parameters During Injection and Storage of the High Brightness Beams Envisaged for the Linac4 Injection into the CERN PS Booster",134 136,
wga26,"J.A. Holmes, S.M. Cousineau, V.V. Danilov, M.A. Plum, A.P. Shishlo, ORNL, Oak Ridge, Tennessee","High Intensity Effects in the SNS Accumulator Ring",137 142,
wga27,"C.M. Warsop, D.J. Adams, B. Jones, S.J. Payne, B.G. Pine, J.W.G. Thomason, R.E. Williamson, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Space Charge and High Intensity Studies on ISIS",143 147,
wga28,"A.V. Fedotov, M. Bai, D. Bruno, P. Cameron, R. Connolly, J. Cupolo, A.J. Della Penna, K.A. Drees, W. Fischer, G. Ganetis, L.T. Hoff, V. Litvinenko, W. Louie, Y. Luo, N. Malitsky, G.J. Marr, A. Marusic, C. Montag, V. Ptitsyn, T. Roser, T. Satogata, S. Tepikian, D. Trbojevic, N. Tsoupas, BNL, Upton, Long Island, New York","IBS Suppression Lattice in RHIC: Theory and Experimental Verification",148 152,
wga29,"E. Métral, H. Burkhardt, CERN, Geneva","Achievable Space-Charge Tune Shift with Long Lifetime in the CERN PS and SPS",153 156,
wga30,"E. Pozdeyev, BNL, Upton, Long Island, New York; F. Marti, NSCL, East Lansing, Michigan; J.A. Rodriguez, CERN, Geneva; R.C. York, NSCL, East Lansing, Michigan","Space Charge Effect in Isochronous Rings",157 164,
wga31,"C. Wu, E. Abed, B.L. Beaudoin, S. Bernal, R.A. Kishek, P.G. O'Shea, M. Reiser, D.F. Sutter, UMD, College Park, Maryland","Linear Resonance Analysis of Beams with Intense Space Charge in the University of Maryland Electron Ring (UMER)",165 167,
wga32,"K.Y. Ng, Fermilab, Batavia, Illinois","Landau Damping of Space-Charge Dominated Fermilab Booster Beam",168 177,
wga33,"J.J. Yang, CIAE, Beijing; A. Adelmann, M. Humbel, G. Seidel, PSI, Villigen; T.J. Zhang, CIAE, Beijing","Numerical Study of Beam Dynamics in High Intensity Cyclotrons Including Neighboring Bunch Effects",178 182,
wga34,"D.T. Abell, G.I. Bell, Tech-X, Boulder, Colorado; E. Forest, KEK, Ibaraki; A.V. Sobol, Tech-X, Boulder, Colorado","Simulation of Space-Charge Effects in an FFAG Using PTC",183 183,
wgb01,"Y. Zhang, S. Henderson, ORNL, Oak Ridge, Tennessee","Phase Damping in the SNS Linac",184 189,
wgb02,"Y. Zhang, ORNL, Oak Ridge, Tennessee; J. Qiang, LBNL, Berkeley, California","Impact Simulation and the SNS Linac Beam",190 193,
wgb03,"R.D. Ryne, LBNL, Berkeley, California","Linac Beam Dynamics Codes: State of the Art and Perspectives",194 194,
wgb04,"L. Groening, W. Barth, W.B. Bayer, G. Clemente, L.A. Dahl, P. Forck, P. Gerhard, I. Hofmann, GSI, Darmstadt; D.-O. Jeon, ORNL, Oak Ridge, Tennessee; G. Riehl, GSI, Darmstadt; D. Uriot, CEA, Gif-sur-Yvette; S. Yaramyshev, GSI, Darmstadt","Simulation of Experiments on Transverse RMS-Emittance Growth Along an Alvarez DTL",195 199,
wgb05,"J. Xu, ANL, Argonne, Illinois; V.N. Aseev, Fermilab, Batavia, Illinois; B. Mustapha, P.N. Ostroumov, ANL, Argonne, Illinois","Simulations of High-Intensity Beams Using BG/P Supercomputer at ANL",200 202,
wgb06,"A.P. Shishlo, A.V. Aleksandrov, ORNL, Oak Ridge, Tennessee","Using the Online Single Particle Model for SNS Accelerator Tuning",203 206,
wgb07,"Y. Zhang, ORNL, Oak Ridge, Tennessee","Beam Studies at the SNS Linac",207 212,
wgb08,"M. Ikegami, KEK, Ibaraki; Y. Kondo, T. Morishita, H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Measurement and Simulation in J-PARC Linac",213 217,
wgb10,"P.N. Ostroumov, ANL, Argonne, Illinois; J.-P. Carneiro, Fermilab, Batavia, Illinois","Physics Design of Front Ends for Superconducting Ion Linacs",218 222,
wgb11,"R. Tiede, IAP, Frankfurt am Main; G. Clemente, GSI, Darmstadt; H. Podlech, U. Ratzinger, C. Zhang, IAP, Frankfurt am Main","KONUS Beam Dynamics Designs Using H-Mode Cavities",223 230,
wgb12,"D.-O. Jeon, ORNL, Oak Ridge, Tennessee; G. Franchetti, L. Groening, I. Hofmann, GSI, Darmstadt","Prediction of the 4=1 Resonance of a High Intensity Linac",231 234,
wgb13,"G. Clemente, L. Groening, GSI, Darmstadt; U. Ratzinger, R. Tiede, IAP, Frankfurt am Main","Investigation of the Beam Dynamics Layout of the FAIR Proton Injector",235 237,
wgb14,"A.M. Lombardi, G. Bellodi, CERN, Geneva; R.D. Duperrier, CEA, Gif-sur-Yvette; M. Eshraqi, F. Gerigk, J.-B. Lallement, S. Lanzone, E.Zh. Sargsyan, CERN, Geneva; D. Uriot, CEA, Gif-sur-Yvette","Beam Dynamics in Linac4 at CERN",238 245,
wgb15,"J. Rodnizki, B. Bazak, D. Berkovits, G. Feinberg, A. Shor, Y. Yanay, Soreq NRC, Yavne","Lattice Beam Dynamics Study at Low  for SARAF/EURISOL Driver 40/60 MeV 4 mA d& Superconducting Linac",246 253,
wgb17,"B. Mustapha, P.N. Ostroumov, ANL, Argonne, Illinois","Development of Large Scale Optimization Tools for Beam Tracking Codes",254 258,
wgc01,"J. Barranco, CERN, Geneva; J. Barranco, UPC, Barcelona; Y. Papaphilippou, CERN, Geneva","Efficiency and Robustness of the PS2 Collimation System",259 261,
wgc02,"T. Spickermann, M.J. Borden, LANL, Los Alamos, New Mexico; C.S. Feigerle, University of Tennessee, Knoxville, Tennessee; v.j. Jaggi, TRIUMF, Vancouver; R.J. Macek, LANL, Los Alamos, New Mexico; R.W. Shaw, ORNL, Oak Ridge, Tennessee; I. Sugai, KEK, Ibaraki; S.K. Zeisler, TRIUMF, Vancouver","Comparison of Carbon Stripper Foils Under Operational Conditions at the Los Alamos Proton Storage Ring",262 264,
wgc03,"J. G. Wang, ORNL, Oak Ridge, Tennessee","3D Simulation Studies of Beam Dynamic Issues in SNS Ring Injection and Extraction",265 267,
wgc04,"M.A. Plum, ORNL, Oak Ridge, Tennessee","SNS Injection and Extraction Systems--Issues and Solutions",268 274,
wgc05,"P.K. Saha, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Experience with J-PARC RCS Injection and Extraction Systems",275 283,
wgc06,"V.V. Danilov, ORNL, Oak Ridge, Tennessee","Future Prospects for Laser Stripping Injection in High Intensity Machines",284 289,
wgc07,"D.E. Johnson, Fermilab, Batavia, Illinois","Challenges Associated with 8 GeV H- Transport and Injection for Fermilab Project-X",290 299,
wgc08,"I. Sugai, KEK, Ibaraki; C.S. Feigerle, University of Tennessee, Knoxville, Tennessee; Y. Irie, H. Kawakami, M. Oyaizu, KEK, Ibaraki; M.A. Plum, R.W. Shaw, ORNL, Oak Ridge, Tennessee; A. Takagi, Y. Takeda, KEK, Ibaraki","Lifetime Measurement of HBC-FOIL and Nanocrystalline Diamond Foil by Using KEK-650 KeV High Intensity H- DC Beam",300 303,
wgc10,"K. Yamamoto, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","The Beam Collimator System of J-PARC Rapid Cycling Synchrotron",304 311,
wgc11,"B.C. Brown, Fermilab, Batavia, Illinois","Collimation System for Beam Loss Localization with Slip Stacking Injection in the Fermilab Main Injector",312 319,
wgc12,"J. Tang, L. Liu, J. Qiu, G.H. Wei, J. Wei, C. Zhang, IHEP Beijing, Beijing","Beam Preparation for the Injection into CSNS RCS",320 325,
wgc14,"W. Bartmann, M. Benedikt, B. Goddard, CERN, Geneva","A Triplet Insertion Concept for the PS2 H- Injection",326 328,
wgd01,"G. Seidel, PSI, Villigen","Operation of the High Intensity Proton Beam Facility at PSI",329 332,
wgd02,"M. Ikegami, KEK, Ibaraki","Transition from Commissioning to Operation in J-PARC Linac",333 337,
wgd03,"J. Galambos, ORNL, Oak Ridge, Tennessee","The SNS Power Rampup",338 342,
wgd04,"D.J.S. Findlay, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Operational Experience with High Beam Powers at ISIS",343 347,
wgd05,"L. Rybarcyk, LANL, Los Alamos, New Mexico","High Power Operational Experience with the LANSCE Linac",348 352,
